Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3900000 through 3909999



3900000 --> Sunday, 04 - 09

3900001 --> Sunday, 03 - 25

3900002 --> Sunday, 04 - 14

3900003 --> Sunday, 04 - 06

3900004 --> Sunday, 04 - 25

3900005 --> Sunday, 04 - 10

3900006 --> Sunday, 04 - 02

3900007 --> Sunday, 04 - 22

3900008 --> Sunday, 04 - 06

3900009 --> Sunday, 03 - 29

3900010 --> Sunday, 04 - 18

3900011 --> Sunday, 04 - 03

3900012 --> Sunday, 03 - 25

3900013 --> Sunday, 04 - 14

3900014 --> Sunday, 03 - 30

3900015 --> Sunday, 04 - 19

3900016 --> Sunday, 04 - 10

3900017 --> Sunday, 03 - 26

3900018 --> Sunday, 04 - 15

3900019 --> Sunday, 04 - 07

3900020 --> Sunday, 03 - 29

3900021 --> Sunday, 04 - 11

3900022 --> Sunday, 04 - 03

3900023 --> Sunday, 04 - 23

3900024 --> Sunday, 04 - 14

3900025 --> Sunday, 03 - 30

3900026 --> Sunday, 04 - 19

3900027 --> Sunday, 04 - 11

3900028 --> Sunday, 03 - 26

3900029 --> Sunday, 04 - 15

3900030 --> Sunday, 04 - 07

3900031 --> Sunday, 03 - 23

3900032 --> Sunday, 04 - 11

3900033 --> Sunday, 04 - 03

3900034 --> Sunday, 04 - 23

3900035 --> Sunday, 04 - 08

3900036 --> Sunday, 03 - 30

3900037 --> Sunday, 04 - 19

3900038 --> Sunday, 04 - 04

3900039 --> Sunday, 03 - 27

3900040 --> Sunday, 04 - 15

3900041 --> Sunday, 03 - 31

3900042 --> Sunday, 04 - 20

3900043 --> Sunday, 04 - 12

3900044 --> Sunday, 04 - 03

3900045 --> Sunday, 04 - 16

3900046 --> Sunday, 04 - 08

3900047 --> Sunday, 03 - 31

3900048 --> Sunday, 04 - 19

3900049 --> Sunday, 04 - 04

3900050 --> Sunday, 03 - 27

3900051 --> Sunday, 04 - 16

3900052 --> Sunday, 03 - 31

3900053 --> Sunday, 04 - 20

3900054 --> Sunday, 04 - 12

3900055 --> Sunday, 03 - 28

3900056 --> Sunday, 04 - 16
