Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 4160000 through 4169999



4160000 --> Sunday, 04 - 02

4160001 --> Sunday, 04 - 22

4160002 --> Sunday, 04 - 07

4160003 --> Sunday, 03 - 30

4160004 --> Sunday, 04 - 18

4160005 --> Sunday, 04 - 03

4160006 --> Sunday, 03 - 26

4160007 --> Sunday, 04 - 15

4160008 --> Sunday, 03 - 30

4160009 --> Sunday, 04 - 19

4160010 --> Sunday, 04 - 11

4160011 --> Sunday, 03 - 27

4160012 --> Sunday, 04 - 15

4160013 --> Sunday, 04 - 07

4160014 --> Sunday, 03 - 23

4160015 --> Sunday, 04 - 12

4160016 --> Sunday, 04 - 03

4160017 --> Sunday, 04 - 23

4160018 --> Sunday, 04 - 08

4160019 --> Sunday, 03 - 31

4160020 --> Sunday, 04 - 19

4160021 --> Sunday, 04 - 11

4160022 --> Sunday, 03 - 27

4160023 --> Sunday, 04 - 16

4160024 --> Sunday, 04 - 07

4160025 --> Sunday, 03 - 23

4160026 --> Sunday, 04 - 12

4160027 --> Sunday, 04 - 04

4160028 --> Sunday, 04 - 23

4160029 --> Sunday, 04 - 08

4160030 --> Sunday, 03 - 31

4160031 --> Sunday, 04 - 20

4160032 --> Sunday, 04 - 04

4160033 --> Sunday, 03 - 27

4160034 --> Sunday, 04 - 16

4160035 --> Sunday, 04 - 01

4160036 --> Sunday, 04 - 20

4160037 --> Sunday, 04 - 12

4160038 --> Sunday, 03 - 28

4160039 --> Sunday, 04 - 17

4160040 --> Sunday, 04 - 08

4160041 --> Sunday, 03 - 31

4160042 --> Sunday, 04 - 13

4160043 --> Sunday, 04 - 05

4160044 --> Sunday, 03 - 27

4160045 --> Sunday, 04 - 16

4160046 --> Sunday, 04 - 01

4160047 --> Sunday, 04 - 21

4160048 --> Sunday, 04 - 12

4160049 --> Sunday, 03 - 28

4160050 --> Sunday, 04 - 17

4160051 --> Sunday, 04 - 09

4160052 --> Sunday, 03 - 24

4160053 --> Sunday, 04 - 13

4160054 --> Sunday, 04 - 05

4160055 --> Sunday, 04 - 25

4160056 --> Sunday, 04 - 09

4160057 --> Sunday, 04 - 01

4160058 --> Sunday, 04 - 21

4160059 --> Sunday, 04 - 06

4160060 --> Sunday, 03 - 28

4160061 --> Sunday, 04 - 17

4160062 --> Sunday, 04 - 02

4160063 --> Sunday, 03 - 25

4160064 --> Sunday, 04 - 13

4160065 --> Sunday, 04 - 05

4160066 --> Sunday, 04 - 18

4160067 --> Sunday, 04 - 10

4160068 --> Sunday, 04 - 01

4160069 --> Sunday, 04 - 14

4160070 --> Sunday, 04 - 06

4160071 --> Sunday, 03 - 29

4160072 --> Sunday, 04 - 17

4160073 --> Sunday, 04 - 02

4160074 --> Sunday, 04 - 22

4160075 --> Sunday, 04 - 14

4160076 --> Sunday, 03 - 29

4160077 --> Sunday, 04 - 18

4160078 --> Sunday, 04 - 10

4160079 --> Sunday, 03 - 26

4160080 --> Sunday, 04 - 14

4160081 --> Sunday, 04 - 06

4160082 --> Sunday, 03 - 22

4160083 --> Sunday, 04 - 11

4160084 --> Sunday, 04 - 02

4160085 --> Sunday, 04 - 22

4160086 --> Sunday, 04 - 07

4160087 --> Sunday, 03 - 30

4160088 --> Sunday, 04 - 18

4160089 --> Sunday, 04 - 03

4160090 --> Sunday, 03 - 26

4160091 --> Sunday, 04 - 15

4160092 --> Sunday, 04 - 06

4160093 --> Sunday, 04 - 19

4160094 --> Sunday, 04 - 11

4160095 --> Sunday, 04 - 03

4160096 --> Sunday, 04 - 22

4160097 --> Sunday, 04 - 07

4160098 --> Sunday, 03 - 30

4160099 --> Sunday, 04 - 19

4160100 --> Sunday, 04 - 04

4160101 --> Sunday, 03 - 27

4160102 --> Sunday, 04 - 16

4160103 --> Sunday, 04 - 01

4160104 --> Sunday, 04 - 20

4160105 --> Sunday, 04 - 12

4160106 --> Sunday, 03 - 28

4160107 --> Sunday, 04 - 17

4160108 --> Sunday, 04 - 08

4160109 --> Sunday, 03 - 24

4160110 --> Sunday, 04 - 13

4160111 --> Sunday, 04 - 05

4160112 --> Sunday, 04 - 24

4160113 --> Sunday, 04 - 09

4160114 --> Sunday, 04 - 01

4160115 --> Sunday, 04 - 21

4160116 --> Sunday, 04 - 12

4160117 --> Sunday, 03 - 28

4160118 --> Sunday, 04 - 17

4160119 --> Sunday, 04 - 09

4160120 --> Sunday, 03 - 24

4160121 --> Sunday, 04 - 13

4160122 --> Sunday, 04 - 05

4160123 --> Sunday, 04 - 18

4160124 --> Sunday, 04 - 09

4160125 --> Sunday, 04 - 01

4160126 --> Sunday, 04 - 21

4160127 --> Sunday, 04 - 06

4160128 --> Sunday, 03 - 28

4160129 --> Sunday, 04 - 17

4160130 --> Sunday, 04 - 02

4160131 --> Sunday, 04 - 22

4160132 --> Sunday, 04 - 13

4160133 --> Sunday, 03 - 29

4160134 --> Sunday, 04 - 18

4160135 --> Sunday, 04 - 10

4160136 --> Sunday, 04 - 01

4160137 --> Sunday, 04 - 14

4160138 --> Sunday, 04 - 06

4160139 --> Sunday, 03 - 29

4160140 --> Sunday, 04 - 17

4160141 --> Sunday, 04 - 02

4160142 --> Sunday, 04 - 22

4160143 --> Sunday, 04 - 14

4160144 --> Sunday, 03 - 29

4160145 --> Sunday, 04 - 18

4160146 --> Sunday, 04 - 10

4160147 --> Sunday, 03 - 26

4160148 --> Sunday, 04 - 14

4160149 --> Sunday, 04 - 06

4160150 --> Sunday, 04 - 19

4160151 --> Sunday, 04 - 11

4160152 --> Sunday, 04 - 02

4160153 --> Sunday, 04 - 22

4160154 --> Sunday, 04 - 07

4160155 --> Sunday, 03 - 30

4160156 --> Sunday, 04 - 18

4160157 --> Sunday, 04 - 03

4160158 --> Sunday, 03 - 26

4160159 --> Sunday, 04 - 15

4160160 --> Sunday, 04 - 06

4160161 --> Sunday, 04 - 19

4160162 --> Sunday, 04 - 11

4160163 --> Sunday, 04 - 03

4160164 --> Sunday, 04 - 15

4160165 --> Sunday, 04 - 07

4160166 --> Sunday, 03 - 30

4160167 --> Sunday, 04 - 12

4160168 --> Sunday, 04 - 03

4160169 --> Sunday, 04 - 23

4160170 --> Sunday, 04 - 15

4160171 --> Sunday, 03 - 31

4160172 --> Sunday, 04 - 19

4160173 --> Sunday, 04 - 11

4160174 --> Sunday, 03 - 27

4160175 --> Sunday, 04 - 16

4160176 --> Sunday, 04 - 07

4160177 --> Sunday, 03 - 23

4160178 --> Sunday, 04 - 12

4160179 --> Sunday, 04 - 04

4160180 --> Sunday, 04 - 23

4160181 --> Sunday, 04 - 08

4160182 --> Sunday, 03 - 31

4160183 --> Sunday, 04 - 20

4160184 --> Sunday, 04 - 04

4160185 --> Sunday, 03 - 27

4160186 --> Sunday, 04 - 16

4160187 --> Sunday, 04 - 01

4160188 --> Sunday, 04 - 20

