Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3480000 through 3489999



3480000 --> Sunday, 03 - 26

3480001 --> Sunday, 04 - 15

3480002 --> Sunday, 03 - 31

3480003 --> Sunday, 04 - 20

3480004 --> Sunday, 04 - 11

3480005 --> Sunday, 04 - 03

3480006 --> Sunday, 04 - 16

3480007 --> Sunday, 04 - 08

3480008 --> Sunday, 03 - 30

3480009 --> Sunday, 04 - 19

3480010 --> Sunday, 04 - 04

3480011 --> Sunday, 03 - 27

3480012 --> Sunday, 04 - 15

3480013 --> Sunday, 03 - 31

3480014 --> Sunday, 04 - 20

3480015 --> Sunday, 04 - 12

3480016 --> Sunday, 03 - 27

3480017 --> Sunday, 04 - 16

3480018 --> Sunday, 04 - 08

3480019 --> Sunday, 03 - 24

3480020 --> Sunday, 04 - 12

3480021 --> Sunday, 04 - 04

3480022 --> Sunday, 04 - 24

3480023 --> Sunday, 04 - 09

3480024 --> Sunday, 03 - 31

3480025 --> Sunday, 04 - 20

3480026 --> Sunday, 04 - 05

3480027 --> Sunday, 03 - 28

3480028 --> Sunday, 04 - 16

3480029 --> Sunday, 04 - 08

3480030 --> Sunday, 03 - 24

3480031 --> Sunday, 04 - 13

3480032 --> Sunday, 04 - 04

3480033 --> Sunday, 04 - 24

3480034 --> Sunday, 04 - 09

3480035 --> Sunday, 04 - 01

3480036 --> Sunday, 04 - 20

3480037 --> Sunday, 04 - 05

3480038 --> Sunday, 03 - 28

3480039 --> Sunday, 04 - 17

3480040 --> Sunday, 04 - 01

3480041 --> Sunday, 04 - 21

3480042 --> Sunday, 04 - 13

3480043 --> Sunday, 03 - 29

3480044 --> Sunday, 04 - 17

3480045 --> Sunday, 04 - 09

3480046 --> Sunday, 03 - 25

3480047 --> Sunday, 04 - 14

3480048 --> Sunday, 04 - 05

3480049 --> Sunday, 03 - 28

3480050 --> Sunday, 04 - 10

3480051 --> Sunday, 04 - 02

3480052 --> Sunday, 04 - 21

3480053 --> Sunday, 04 - 13

3480054 --> Sunday, 03 - 29

3480055 --> Sunday, 04 - 18

3480056 --> Sunday, 04 - 09

3480057 --> Sunday, 03 - 25

3480058 --> Sunday, 04 - 14

3480059 --> Sunday, 04 - 06

3480060 --> Sunday, 04 - 25

3480061 --> Sunday, 04 - 10

3480062 --> Sunday, 04 - 02

3480063 --> Sunday, 04 - 22

3480064 --> Sunday, 04 - 06

3480065 --> Sunday, 03 - 29

3480066 --> Sunday, 04 - 18

3480067 --> Sunday, 04 - 03

3480068 --> Sunday, 03 - 25

3480069 --> Sunday, 04 - 14

3480070 --> Sunday, 03 - 30

3480071 --> Sunday, 04 - 19

3480072 --> Sunday, 04 - 10

3480073 --> Sunday, 04 - 02

3480074 --> Sunday, 04 - 15

3480075 --> Sunday, 04 - 07

3480076 --> Sunday, 03 - 29

3480077 --> Sunday, 04 - 18

3480078 --> Sunday, 04 - 03

3480079 --> Sunday, 04 - 23

3480080 --> Sunday, 04 - 14

