Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3800000 through 3809999



3800000 --> Sunday, 04 - 02

3800001 --> Sunday, 04 - 15

3800002 --> Sunday, 04 - 07

3800003 --> Sunday, 03 - 30

3800004 --> Sunday, 04 - 18

3800005 --> Sunday, 04 - 03

3800006 --> Sunday, 04 - 23

3800007 --> Sunday, 04 - 15

3800008 --> Sunday, 03 - 30

3800009 --> Sunday, 04 - 19

3800010 --> Sunday, 04 - 11

3800011 --> Sunday, 03 - 27

3800012 --> Sunday, 04 - 15

3800013 --> Sunday, 04 - 07

3800014 --> Sunday, 03 - 23

3800015 --> Sunday, 04 - 12

3800016 --> Sunday, 04 - 03

3800017 --> Sunday, 04 - 23

3800018 --> Sunday, 04 - 08

3800019 --> Sunday, 03 - 31

3800020 --> Sunday, 04 - 19

3800021 --> Sunday, 04 - 04

3800022 --> Sunday, 03 - 27

3800023 --> Sunday, 04 - 16

3800024 --> Sunday, 04 - 07

3800025 --> Sunday, 04 - 20

3800026 --> Sunday, 04 - 12

3800027 --> Sunday, 04 - 04

3800028 --> Sunday, 04 - 23

3800029 --> Sunday, 04 - 08

3800030 --> Sunday, 03 - 31

3800031 --> Sunday, 04 - 20

3800032 --> Sunday, 04 - 04

3800033 --> Sunday, 03 - 27

3800034 --> Sunday, 04 - 16

3800035 --> Sunday, 04 - 01

3800036 --> Sunday, 04 - 20

3800037 --> Sunday, 04 - 12

3800038 --> Sunday, 03 - 28

3800039 --> Sunday, 04 - 17

3800040 --> Sunday, 04 - 08

3800041 --> Sunday, 03 - 24

3800042 --> Sunday, 04 - 13

3800043 --> Sunday, 04 - 05

3800044 --> Sunday, 04 - 24

3800045 --> Sunday, 04 - 09

3800046 --> Sunday, 04 - 01

3800047 --> Sunday, 04 - 21

3800048 --> Sunday, 04 - 12

3800049 --> Sunday, 03 - 28

3800050 --> Sunday, 04 - 17

3800051 --> Sunday, 04 - 09

3800052 --> Sunday, 03 - 24

3800053 --> Sunday, 04 - 13

3800054 --> Sunday, 04 - 05

3800055 --> Sunday, 04 - 18

3800056 --> Sunday, 04 - 09

3800057 --> Sunday, 04 - 01

3800058 --> Sunday, 04 - 21

3800059 --> Sunday, 04 - 06

3800060 --> Sunday, 03 - 28

3800061 --> Sunday, 04 - 17

3800062 --> Sunday, 04 - 02

3800063 --> Sunday, 04 - 22

3800064 --> Sunday, 04 - 13

3800065 --> Sunday, 03 - 29

3800066 --> Sunday, 04 - 18

3800067 --> Sunday, 04 - 10

3800068 --> Sunday, 04 - 01

3800069 --> Sunday, 04 - 14

3800070 --> Sunday, 04 - 06

3800071 --> Sunday, 03 - 29

3800072 --> Sunday, 04 - 17

3800073 --> Sunday, 04 - 02

3800074 --> Sunday, 04 - 22

3800075 --> Sunday, 04 - 14

3800076 --> Sunday, 03 - 29

3800077 --> Sunday, 04 - 18

3800078 --> Sunday, 04 - 10

3800079 --> Sunday, 03 - 26

3800080 --> Sunday, 04 - 14

3800081 --> Sunday, 04 - 06

3800082 --> Sunday, 04 - 19

3800083 --> Sunday, 04 - 11

3800084 --> Sunday, 04 - 02

3800085 --> Sunday, 04 - 22

3800086 --> Sunday, 04 - 07

3800087 --> Sunday, 03 - 30

3800088 --> Sunday, 04 - 18

3800089 --> Sunday, 04 - 03

3800090 --> Sunday, 03 - 26

3800091 --> Sunday, 04 - 15

3800092 --> Sunday, 04 - 06

3800093 --> Sunday, 04 - 19

3800094 --> Sunday, 04 - 11

3800095 --> Sunday, 03 - 27

3800096 --> Sunday, 04 - 15

3800097 --> Sunday, 04 - 07

3800098 --> Sunday, 03 - 30

3800099 --> Sunday, 04 - 12

3800100 --> Sunday, 04 - 04

3800101 --> Sunday, 03 - 27

3800102 --> Sunday, 04 - 16

3800103 --> Sunday, 04 - 01

3800104 --> Sunday, 04 - 20

3800105 --> Sunday, 04 - 12

3800106 --> Sunday, 03 - 28

3800107 --> Sunday, 04 - 17

3800108 --> Sunday, 04 - 08

3800109 --> Sunday, 03 - 24

3800110 --> Sunday, 04 - 13

3800111 --> Sunday, 04 - 05

3800112 --> Sunday, 04 - 24

3800113 --> Sunday, 04 - 09

3800114 --> Sunday, 04 - 01

3800115 --> Sunday, 04 - 21

3800116 --> Sunday, 04 - 05

3800117 --> Sunday, 03 - 28

3800118 --> Sunday, 04 - 17

3800119 --> Sunday, 04 - 02

3800120 --> Sunday, 03 - 24

3800121 --> Sunday, 04 - 13

3800122 --> Sunday, 04 - 05

3800123 --> Sunday, 04 - 18

3800124 --> Sunday, 04 - 09

3800125 --> Sunday, 04 - 01

3800126 --> Sunday, 04 - 21

3800127 --> Sunday, 04 - 06

3800128 --> Sunday, 03 - 28

3800129 --> Sunday, 04 - 17

3800130 --> Sunday, 04 - 02

3800131 --> Sunday, 04 - 22

3800132 --> Sunday, 04 - 13

3800133 --> Sunday, 03 - 29

3800134 --> Sunday, 04 - 18

3800135 --> Sunday, 04 - 10

3800136 --> Sunday, 03 - 25

3800137 --> Sunday, 04 - 14

3800138 --> Sunday, 04 - 06

3800139 --> Sunday, 03 - 22

3800140 --> Sunday, 04 - 10

3800141 --> Sunday, 04 - 02

3800142 --> Sunday, 04 - 22

3800143 --> Sunday, 04 - 07

3800144 --> Sunday, 03 - 29

3800145 --> Sunday, 04 - 18

3800146 --> Sunday, 04 - 10

3800147 --> Sunday, 03 - 26

3800148 --> Sunday, 04 - 14

3800149 --> Sunday, 04 - 06

3800150 --> Sunday, 04 - 19

3800151 --> Sunday, 04 - 11

3800152 --> Sunday, 04 - 02

3800153 --> Sunday, 04 - 22

3800154 --> Sunday, 04 - 07

3800155 --> Sunday, 03 - 30

3800156 --> Sunday, 04 - 18

3800157 --> Sunday, 04 - 03

3800158 --> Sunday, 03 - 26

3800159 --> Sunday, 04 - 15

3800160 --> Sunday, 03 - 30

3800161 --> Sunday, 04 - 19

3800162 --> Sunday, 04 - 11

3800163 --> Sunday, 03 - 27

3800164 --> Sunday, 04 - 15

3800165 --> Sunday, 04 - 07

3800166 --> Sunday, 03 - 30

3800167 --> Sunday, 04 - 12

3800168 --> Sunday, 04 - 03

3800169 --> Sunday, 04 - 23

3800170 --> Sunday, 04 - 15

3800171 --> Sunday, 03 - 31

3800172 --> Sunday, 04 - 19

3800173 --> Sunday, 04 - 11

3800174 --> Sunday, 03 - 27

3800175 --> Sunday, 04 - 16

3800176 --> Sunday, 04 - 07

3800177 --> Sunday, 03 - 23

3800178 --> Sunday, 04 - 12

3800179 --> Sunday, 04 - 04

3800180 --> Sunday, 04 - 23

3800181 --> Sunday, 04 - 08

3800182 --> Sunday, 03 - 31

3800183 --> Sunday, 04 - 20

3800184 --> Sunday, 04 - 04

3800185 --> Sunday, 03 - 27

3800186 --> Sunday, 04 - 16

3800187 --> Sunday, 04 - 01

3800188 --> Sunday, 04 - 20

3800189 --> Sunday, 04 - 12

3800190 --> Sunday, 03 - 28

3800191 --> Sunday, 04 - 17

3800192 --> Sunday, 04 - 08

3800193 --> Sunday, 03 - 31

3800194 --> Sunday, 04 - 13

3800195 --> Sunday, 04 - 05

3800196 --> Sunday, 03 - 27

3800197 --> Sunday, 04 - 16

3800198 --> Sunday, 04 - 01

3800199 --> Sunday, 04 - 21

3800200 --> Sunday, 04 - 13

3800201 --> Sunday, 03 - 29

3800202 --> Sunday, 04 - 18

3800203 --> Sunday, 04 - 10

3800204 --> Sunday, 03 - 25

3800205 --> Sunday, 04 - 14

3800206 --> Sunday, 04 - 06

3800207 --> Sunday, 04 - 19

3800208 --> Sunday, 04 - 10

3800209 --> Sunday, 04 - 02

3800210 --> Sunday, 04 - 22

3800211 --> Sunday, 04 - 07

3800212 --> Sunday, 03 - 29

3800213 --> Sunday, 04 - 18

3800214 --> Sunday, 04 - 03

3800215 --> Sunday, 03 - 26

3800216 --> Sunday, 04 - 14

3800217 --> Sunday, 03 - 30

3800218 --> Sunday, 04 - 19

3800219 --> Sunday, 04 - 11

3800220 --> Sunday, 04 - 02

3800221 --> Sunday, 04 - 15

3800222 --> Sunday, 04 - 07

3800223 --> Sunday, 03 - 30

3800224 --> Sunday, 04 - 18

3800225 --> Sunday, 04 - 03

3800226 --> Sunday, 04 - 23

3800227 --> Sunday, 04 - 15

3800228 --> Sunday, 03 - 30

3800229 --> Sunday, 04 - 19

3800230 --> Sunday, 04 - 11

3800231 --> Sunday, 03 - 27

3800232 --> Sunday, 04 - 15

3800233 --> Sunday, 04 - 07

3800234 --> Sunday, 03 - 23

3800235 --> Sunday, 04 - 12

3800236 --> Sunday, 04 - 03

3800237 --> Sunday, 04 - 23

3800238 --> Sunday, 04 - 08

3800239 --> Sunday, 03 - 31

3800240 --> Sunday, 04 - 19

3800241 --> Sunday, 04 - 04

3800242 --> Sunday, 03 - 27

3800243 --> Sunday, 04 - 16

3800244 --> Sunday, 04 - 07

3800245 --> Sunday, 04 - 20

3800246 --> Sunday, 04 - 12

3800247 --> Sunday, 03 - 28

3800248 --> Sunday, 04 - 16

3800249 --> Sunday, 04 - 08

3800250 --> Sunday, 03 - 31

3800251 --> Sunday, 04 - 13

3800252 --> Sunday, 04 - 04

3800253 --> Sunday, 03 - 27

3800254 --> Sunday, 04 - 16

3800255 --> Sunday, 04 - 01

3800256 --> Sunday, 04 - 20

3800257 --> Sunday, 04 - 12

3800258 --> Sunday, 03 - 28

3800259 --> Sunday, 04 - 17

3800260 --> Sunday, 04 - 08

3800261 --> Sunday, 03 - 24

3800262 --> Sunday, 04 - 13

3800263 --> Sunday, 04 - 05

3800264 --> Sunday, 04 - 24

3800265 --> Sunday, 04 - 09

3800266 --> Sunday, 04 - 01

3800267 --> Sunday, 04 - 21

3800268 --> Sunday, 04 - 05

3800269 --> Sunday, 03 - 28

3800270 --> Sunday, 04 - 17

3800271 --> Sunday, 04 - 02

3800272 --> Sunday, 03 - 24

3800273 --> Sunday, 04 - 13

3800274 --> Sunday, 04 - 05

3800275 --> Sunday, 04 - 18

3800276 --> Sunday, 04 - 09

3800277 --> Sunday, 04 - 01

3800278 --> Sunday, 04 - 21

3800279 --> Sunday, 04 - 06

3800280 --> Sunday, 03 - 28

3800281 --> Sunday, 04 - 17

3800282 --> Sunday, 04 - 02

3800283 --> Sunday, 04 - 22

3800284 --> Sunday, 04 - 13

3800285 --> Sunday, 03 - 29

3800286 --> Sunday, 04 - 18

3800287 --> Sunday, 04 - 10

3800288 --> Sunday, 03 - 25

3800289 --> Sunday, 04 - 14

3800290 --> Sunday, 04 - 06

3800291 --> Sunday, 03 - 22

3800292 --> Sunday, 04 - 10

3800293 --> Sunday, 04 - 02

3800294 --> Sunday, 04 - 22

3800295 --> Sunday, 04 - 07

3800296 --> Sunday, 03 - 29

3800297 --> Sunday, 04 - 18

3800298 --> Sunday, 04 - 10

3800299 --> Sunday, 03 - 26

3800300 --> Sunday, 04 - 15

3800301 --> Sunday, 04 - 07

3800302 --> Sunday, 03 - 23

3800303 --> Sunday, 04 - 12

3800304 --> Sunday, 04 - 03

3800305 --> Sunday, 04 - 23

3800306 --> Sunday, 04 - 08

3800307 --> Sunday, 03 - 31

3800308 --> Sunday, 04 - 19

3800309 --> Sunday, 04 - 04

3800310 --> Sunday, 03 - 27

3800311 --> Sunday, 04 - 16

3800312 --> Sunday, 03 - 31

3800313 --> Sunday, 04 - 20

3800314 --> Sunday, 04 - 12

3800315 --> Sunday, 03 - 28

3800316 --> Sunday, 04 - 16

3800317 --> Sunday, 04 - 08

3800318 --> Sunday, 03 - 31

3800319 --> Sunday, 04 - 13

3800320 --> Sunday, 04 - 04

3800321 --> Sunday, 03 - 27

3800322 --> Sunday, 04 - 16

3800323 --> Sunday, 04 - 01

3800324 --> Sunday, 04 - 20

3800325 --> Sunday, 04 - 12

3800326 --> Sunday, 03 - 28

3800327 --> Sunday, 04 - 17

3800328 --> Sunday, 04 - 08

3800329 --> Sunday, 03 - 24

3800330 --> Sunday, 04 - 13

3800331 --> Sunday, 04 - 05

3800332 --> Sunday, 04 - 24

3800333 --> Sunday, 04 - 09

3800334 --> Sunday, 04 - 01

3800335 --> Sunday, 04 - 21

