Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 4900000 through 4909999



4900000 --> Sunday, 04 - 16

4900001 --> Sunday, 04 - 01

4900002 --> Sunday, 04 - 21

4900003 --> Sunday, 04 - 13

4900004 --> Sunday, 04 - 04

4900005 --> Sunday, 04 - 17

4900006 --> Sunday, 04 - 09

4900007 --> Sunday, 03 - 25

4900008 --> Sunday, 04 - 13

4900009 --> Sunday, 04 - 05

4900010 --> Sunday, 03 - 28

4900011 --> Sunday, 04 - 10

4900012 --> Sunday, 04 - 01

4900013 --> Sunday, 04 - 21

4900014 --> Sunday, 04 - 13

4900015 --> Sunday, 03 - 29

4900016 --> Sunday, 04 - 17

4900017 --> Sunday, 04 - 09

4900018 --> Sunday, 03 - 25

4900019 --> Sunday, 04 - 14

4900020 --> Sunday, 04 - 05

4900021 --> Sunday, 04 - 25

4900022 --> Sunday, 04 - 10

4900023 --> Sunday, 04 - 02

4900024 --> Sunday, 04 - 21

4900025 --> Sunday, 04 - 06

4900026 --> Sunday, 03 - 29

4900027 --> Sunday, 04 - 18

4900028 --> Sunday, 04 - 02

4900029 --> Sunday, 03 - 25

4900030 --> Sunday, 04 - 14

4900031 --> Sunday, 03 - 30

4900032 --> Sunday, 04 - 18

4900033 --> Sunday, 04 - 10

4900034 --> Sunday, 04 - 02

4900035 --> Sunday, 04 - 15

4900036 --> Sunday, 04 - 06

4900037 --> Sunday, 03 - 29

4900038 --> Sunday, 04 - 18

4900039 --> Sunday, 04 - 03

4900040 --> Sunday, 04 - 22

4900041 --> Sunday, 04 - 14

4900042 --> Sunday, 03 - 30

4900043 --> Sunday, 04 - 19

4900044 --> Sunday, 04 - 10

4900045 --> Sunday, 03 - 26

4900046 --> Sunday, 04 - 15

4900047 --> Sunday, 04 - 07

4900048 --> Sunday, 03 - 22

4900049 --> Sunday, 04 - 11

4900050 --> Sunday, 04 - 03

4900051 --> Sunday, 04 - 23

4900052 --> Sunday, 04 - 07

4900053 --> Sunday, 03 - 30

4900054 --> Sunday, 04 - 19

4900055 --> Sunday, 04 - 04

4900056 --> Sunday, 03 - 26

4900057 --> Sunday, 04 - 15

4900058 --> Sunday, 04 - 07

4900059 --> Sunday, 04 - 20

4900060 --> Sunday, 04 - 11

4900061 --> Sunday, 04 - 03

4900062 --> Sunday, 04 - 16

4900063 --> Sunday, 04 - 08

4900064 --> Sunday, 03 - 30

4900065 --> Sunday, 04 - 19

4900066 --> Sunday, 04 - 04

4900067 --> Sunday, 03 - 27

4900068 --> Sunday, 04 - 15

4900069 --> Sunday, 03 - 31

4900070 --> Sunday, 04 - 20

4900071 --> Sunday, 04 - 12

4900072 --> Sunday, 03 - 27

4900073 --> Sunday, 04 - 16

4900074 --> Sunday, 04 - 08

4900075 --> Sunday, 03 - 24

4900076 --> Sunday, 04 - 12

4900077 --> Sunday, 04 - 04

4900078 --> Sunday, 04 - 24

4900079 --> Sunday, 04 - 09

4900080 --> Sunday, 03 - 31

4900081 --> Sunday, 04 - 20

4900082 --> Sunday, 04 - 05

4900083 --> Sunday, 03 - 28

4900084 --> Sunday, 04 - 16

4900085 --> Sunday, 04 - 08

4900086 --> Sunday, 03 - 24

4900087 --> Sunday, 04 - 13

4900088 --> Sunday, 04 - 04

4900089 --> Sunday, 04 - 24

4900090 --> Sunday, 04 - 09

4900091 --> Sunday, 04 - 01

4900092 --> Sunday, 04 - 20

4900093 --> Sunday, 04 - 05

4900094 --> Sunday, 03 - 28

4900095 --> Sunday, 04 - 17

4900096 --> Sunday, 04 - 01

4900097 --> Sunday, 04 - 21

4900098 --> Sunday, 04 - 13

4900099 --> Sunday, 03 - 29

4900100 --> Sunday, 04 - 18

4900101 --> Sunday, 04 - 10

4900102 --> Sunday, 03 - 26

4900103 --> Sunday, 04 - 15

4900104 --> Sunday, 04 - 06

4900105 --> Sunday, 03 - 29

4900106 --> Sunday, 04 - 11

4900107 --> Sunday, 04 - 03

4900108 --> Sunday, 04 - 22

4900109 --> Sunday, 04 - 14

4900110 --> Sunday, 03 - 30

4900111 --> Sunday, 04 - 19

4900112 --> Sunday, 04 - 10

4900113 --> Sunday, 03 - 26

4900114 --> Sunday, 04 - 15

4900115 --> Sunday, 04 - 07

4900116 --> Sunday, 03 - 22

4900117 --> Sunday, 04 - 11

4900118 --> Sunday, 04 - 03

4900119 --> Sunday, 04 - 23

4900120 --> Sunday, 04 - 07

4900121 --> Sunday, 03 - 30

4900122 --> Sunday, 04 - 19

4900123 --> Sunday, 04 - 04

4900124 --> Sunday, 03 - 26

4900125 --> Sunday, 04 - 15

4900126 --> Sunday, 03 - 31

4900127 --> Sunday, 04 - 20

4900128 --> Sunday, 04 - 11

4900129 --> Sunday, 04 - 03

4900130 --> Sunday, 04 - 16

4900131 --> Sunday, 04 - 08

4900132 --> Sunday, 03 - 30

4900133 --> Sunday, 04 - 19

4900134 --> Sunday, 04 - 04

4900135 --> Sunday, 03 - 27

4900136 --> Sunday, 04 - 15

4900137 --> Sunday, 03 - 31

4900138 --> Sunday, 04 - 20

4900139 --> Sunday, 04 - 12

4900140 --> Sunday, 03 - 27

4900141 --> Sunday, 04 - 16

4900142 --> Sunday, 04 - 08

4900143 --> Sunday, 03 - 24

4900144 --> Sunday, 04 - 12

4900145 --> Sunday, 04 - 04

4900146 --> Sunday, 04 - 24

4900147 --> Sunday, 04 - 09

4900148 --> Sunday, 03 - 31

4900149 --> Sunday, 04 - 20

4900150 --> Sunday, 04 - 05

4900151 --> Sunday, 03 - 28

4900152 --> Sunday, 04 - 16

4900153 --> Sunday, 04 - 08

4900154 --> Sunday, 03 - 24

4900155 --> Sunday, 04 - 13

4900156 --> Sunday, 04 - 04

4900157 --> Sunday, 04 - 17

4900158 --> Sunday, 04 - 09

4900159 --> Sunday, 04 - 01

4900160 --> Sunday, 04 - 20

4900161 --> Sunday, 04 - 05

4900162 --> Sunday, 03 - 28

4900163 --> Sunday, 04 - 17

4900164 --> Sunday, 04 - 01

4900165 --> Sunday, 04 - 21

4900166 --> Sunday, 04 - 13

4900167 --> Sunday, 03 - 29

4900168 --> Sunday, 04 - 17

4900169 --> Sunday, 04 - 09

4900170 --> Sunday, 03 - 25

4900171 --> Sunday, 04 - 14

4900172 --> Sunday, 04 - 05

4900173 --> Sunday, 03 - 28

4900174 --> Sunday, 04 - 10

4900175 --> Sunday, 04 - 02

4900176 --> Sunday, 04 - 21

4900177 --> Sunday, 04 - 06

4900178 --> Sunday, 03 - 29

4900179 --> Sunday, 04 - 18

4900180 --> Sunday, 04 - 09

4900181 --> Sunday, 03 - 25

4900182 --> Sunday, 04 - 14

4900183 --> Sunday, 04 - 06

4900184 --> Sunday, 04 - 25

4900185 --> Sunday, 04 - 10

4900186 --> Sunday, 04 - 02

4900187 --> Sunday, 04 - 22

4900188 --> Sunday, 04 - 06

4900189 --> Sunday, 03 - 29

4900190 --> Sunday, 04 - 18

4900191 --> Sunday, 04 - 03

4900192 --> Sunday, 03 - 25

4900193 --> Sunday, 04 - 14

4900194 --> Sunday, 03 - 30

4900195 --> Sunday, 04 - 19

4900196 --> Sunday, 04 - 10

4900197 --> Sunday, 03 - 26

4900198 --> Sunday, 04 - 15

4900199 --> Sunday, 04 - 07

4900200 --> Sunday, 03 - 23

4900201 --> Sunday, 04 - 12

4900202 --> Sunday, 04 - 04

4900203 --> Sunday, 04 - 24

4900204 --> Sunday, 04 - 08

4900205 --> Sunday, 03 - 31

4900206 --> Sunday, 04 - 20

4900207 --> Sunday, 04 - 05

4900208 --> Sunday, 03 - 27

4900209 --> Sunday, 04 - 16

4900210 --> Sunday, 04 - 08

4900211 --> Sunday, 03 - 24

4900212 --> Sunday, 04 - 12

4900213 --> Sunday, 04 - 04

4900214 --> Sunday, 04 - 17

4900215 --> Sunday, 04 - 09

4900216 --> Sunday, 03 - 31

4900217 --> Sunday, 04 - 20

