Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 4960000 through 4969999



4960000 --> Sunday, 03 - 26

4960001 --> Sunday, 04 - 15

4960002 --> Sunday, 03 - 31

4960003 --> Sunday, 04 - 20

4960004 --> Sunday, 04 - 11

4960005 --> Sunday, 04 - 03

4960006 --> Sunday, 04 - 16

4960007 --> Sunday, 04 - 08

4960008 --> Sunday, 03 - 30

4960009 --> Sunday, 04 - 12

4960010 --> Sunday, 04 - 04

4960011 --> Sunday, 04 - 24

4960012 --> Sunday, 04 - 15

4960013 --> Sunday, 03 - 31

4960014 --> Sunday, 04 - 20

4960015 --> Sunday, 04 - 12

4960016 --> Sunday, 03 - 27

4960017 --> Sunday, 04 - 16

4960018 --> Sunday, 04 - 08

4960019 --> Sunday, 03 - 24

4960020 --> Sunday, 04 - 12

4960021 --> Sunday, 04 - 04

4960022 --> Sunday, 04 - 24

4960023 --> Sunday, 04 - 09

4960024 --> Sunday, 03 - 31

4960025 --> Sunday, 04 - 20

4960026 --> Sunday, 04 - 05

4960027 --> Sunday, 03 - 28

4960028 --> Sunday, 04 - 16

4960029 --> Sunday, 04 - 01

4960030 --> Sunday, 04 - 21

4960031 --> Sunday, 04 - 13

4960032 --> Sunday, 04 - 04

4960033 --> Sunday, 04 - 17

4960034 --> Sunday, 04 - 09

4960035 --> Sunday, 04 - 01

4960036 --> Sunday, 04 - 20

4960037 --> Sunday, 04 - 05

4960038 --> Sunday, 03 - 28

4960039 --> Sunday, 04 - 17

4960040 --> Sunday, 04 - 01

4960041 --> Sunday, 04 - 21

4960042 --> Sunday, 04 - 13

4960043 --> Sunday, 03 - 29

4960044 --> Sunday, 04 - 17

4960045 --> Sunday, 04 - 09

4960046 --> Sunday, 03 - 25

4960047 --> Sunday, 04 - 14

4960048 --> Sunday, 04 - 05

4960049 --> Sunday, 04 - 25

4960050 --> Sunday, 04 - 10

4960051 --> Sunday, 04 - 02

4960052 --> Sunday, 04 - 21

4960053 --> Sunday, 04 - 06

4960054 --> Sunday, 03 - 29

4960055 --> Sunday, 04 - 18

4960056 --> Sunday, 04 - 09

4960057 --> Sunday, 03 - 25

4960058 --> Sunday, 04 - 14

4960059 --> Sunday, 04 - 06

4960060 --> Sunday, 04 - 18

4960061 --> Sunday, 04 - 10

4960062 --> Sunday, 04 - 02

4960063 --> Sunday, 04 - 22

4960064 --> Sunday, 04 - 06

4960065 --> Sunday, 03 - 29

4960066 --> Sunday, 04 - 18

4960067 --> Sunday, 04 - 03

4960068 --> Sunday, 04 - 22

4960069 --> Sunday, 04 - 14

4960070 --> Sunday, 03 - 30

4960071 --> Sunday, 04 - 19

4960072 --> Sunday, 04 - 10

4960073 --> Sunday, 03 - 26

4960074 --> Sunday, 04 - 15

4960075 --> Sunday, 04 - 07

4960076 --> Sunday, 03 - 29

4960077 --> Sunday, 04 - 11

4960078 --> Sunday, 04 - 03

4960079 --> Sunday, 04 - 23

4960080 --> Sunday, 04 - 14

4960081 --> Sunday, 03 - 30

4960082 --> Sunday, 04 - 19

4960083 --> Sunday, 04 - 04

4960084 --> Sunday, 03 - 26

4960085 --> Sunday, 04 - 15

4960086 --> Sunday, 04 - 07

4960087 --> Sunday, 04 - 20

4960088 --> Sunday, 04 - 11

4960089 --> Sunday, 04 - 03

4960090 --> Sunday, 04 - 23

4960091 --> Sunday, 04 - 08

4960092 --> Sunday, 03 - 30

4960093 --> Sunday, 04 - 19

4960094 --> Sunday, 04 - 04

4960095 --> Sunday, 03 - 27

4960096 --> Sunday, 04 - 15

4960097 --> Sunday, 03 - 31

4960098 --> Sunday, 04 - 20

4960099 --> Sunday, 04 - 12

4960100 --> Sunday, 04 - 04

4960101 --> Sunday, 04 - 17

4960102 --> Sunday, 04 - 09

4960103 --> Sunday, 03 - 25

4960104 --> Sunday, 04 - 13

4960105 --> Sunday, 04 - 05

4960106 --> Sunday, 03 - 28

4960107 --> Sunday, 04 - 10

4960108 --> Sunday, 04 - 01

4960109 --> Sunday, 04 - 21

4960110 --> Sunday, 04 - 13

4960111 --> Sunday, 03 - 29

4960112 --> Sunday, 04 - 17

4960113 --> Sunday, 04 - 09

4960114 --> Sunday, 03 - 25

4960115 --> Sunday, 04 - 14

4960116 --> Sunday, 04 - 05

4960117 --> Sunday, 04 - 25

4960118 --> Sunday, 04 - 10

4960119 --> Sunday, 04 - 02

4960120 --> Sunday, 04 - 21

4960121 --> Sunday, 04 - 06

4960122 --> Sunday, 03 - 29

4960123 --> Sunday, 04 - 18

4960124 --> Sunday, 04 - 02

4960125 --> Sunday, 03 - 25

4960126 --> Sunday, 04 - 14

4960127 --> Sunday, 03 - 30

4960128 --> Sunday, 04 - 18

4960129 --> Sunday, 04 - 10

4960130 --> Sunday, 04 - 02

4960131 --> Sunday, 04 - 15

4960132 --> Sunday, 04 - 06

4960133 --> Sunday, 03 - 29

4960134 --> Sunday, 04 - 18

4960135 --> Sunday, 04 - 03

4960136 --> Sunday, 04 - 22

4960137 --> Sunday, 04 - 14

4960138 --> Sunday, 03 - 30

