Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2260000 through 2269999



2260000 --> Sunday, 04 - 23

2260001 --> Sunday, 04 - 08

2260002 --> Sunday, 03 - 31

2260003 --> Sunday, 04 - 20

2260004 --> Sunday, 04 - 04

2260005 --> Sunday, 03 - 27

2260006 --> Sunday, 04 - 16

2260007 --> Sunday, 04 - 01

2260008 --> Sunday, 04 - 20

2260009 --> Sunday, 04 - 12

2260010 --> Sunday, 03 - 28

2260011 --> Sunday, 04 - 17

2260012 --> Sunday, 04 - 08

2260013 --> Sunday, 03 - 24

2260014 --> Sunday, 04 - 13

2260015 --> Sunday, 04 - 05

2260016 --> Sunday, 04 - 24

2260017 --> Sunday, 04 - 09

2260018 --> Sunday, 04 - 01

2260019 --> Sunday, 04 - 21

2260020 --> Sunday, 04 - 12

2260021 --> Sunday, 03 - 28

2260022 --> Sunday, 04 - 17

2260023 --> Sunday, 04 - 09

2260024 --> Sunday, 03 - 24

2260025 --> Sunday, 04 - 13

2260026 --> Sunday, 04 - 05

2260027 --> Sunday, 04 - 18

2260028 --> Sunday, 04 - 09

2260029 --> Sunday, 04 - 01

2260030 --> Sunday, 04 - 21

2260031 --> Sunday, 04 - 06

2260032 --> Sunday, 03 - 28

2260033 --> Sunday, 04 - 17

2260034 --> Sunday, 04 - 02

2260035 --> Sunday, 04 - 22

2260036 --> Sunday, 04 - 13

2260037 --> Sunday, 03 - 29

2260038 --> Sunday, 04 - 18

2260039 --> Sunday, 04 - 10

2260040 --> Sunday, 04 - 01

2260041 --> Sunday, 04 - 14

2260042 --> Sunday, 04 - 06

2260043 --> Sunday, 03 - 29

2260044 --> Sunday, 04 - 17

2260045 --> Sunday, 04 - 02

2260046 --> Sunday, 04 - 22

2260047 --> Sunday, 04 - 14

2260048 --> Sunday, 03 - 29

2260049 --> Sunday, 04 - 18

2260050 --> Sunday, 04 - 10

2260051 --> Sunday, 03 - 26

2260052 --> Sunday, 04 - 14

2260053 --> Sunday, 04 - 06

2260054 --> Sunday, 04 - 19

2260055 --> Sunday, 04 - 11

2260056 --> Sunday, 04 - 02

2260057 --> Sunday, 04 - 22

2260058 --> Sunday, 04 - 07

2260059 --> Sunday, 03 - 30

2260060 --> Sunday, 04 - 18

2260061 --> Sunday, 04 - 03

2260062 --> Sunday, 03 - 26

2260063 --> Sunday, 04 - 15

2260064 --> Sunday, 04 - 06

2260065 --> Sunday, 04 - 19

2260066 --> Sunday, 04 - 11

2260067 --> Sunday, 04 - 03

2260068 --> Sunday, 04 - 22

2260069 --> Sunday, 04 - 07

2260070 --> Sunday, 03 - 30

2260071 --> Sunday, 04 - 12

2260072 --> Sunday, 04 - 03

2260073 --> Sunday, 04 - 23

2260074 --> Sunday, 04 - 15

2260075 --> Sunday, 03 - 31

2260076 --> Sunday, 04 - 19

2260077 --> Sunday, 04 - 11

2260078 --> Sunday, 03 - 27

2260079 --> Sunday, 04 - 16

2260080 --> Sunday, 04 - 07

2260081 --> Sunday, 03 - 23

2260082 --> Sunday, 04 - 12

2260083 --> Sunday, 04 - 04

2260084 --> Sunday, 04 - 23

2260085 --> Sunday, 04 - 08

2260086 --> Sunday, 03 - 31

2260087 --> Sunday, 04 - 20

2260088 --> Sunday, 04 - 04

2260089 --> Sunday, 03 - 27

2260090 --> Sunday, 04 - 16

2260091 --> Sunday, 04 - 01

2260092 --> Sunday, 04 - 20

2260093 --> Sunday, 04 - 12

2260094 --> Sunday, 04 - 04

2260095 --> Sunday, 04 - 17

2260096 --> Sunday, 04 - 08

2260097 --> Sunday, 03 - 31

2260098 --> Sunday, 04 - 20

2260099 --> Sunday, 04 - 05

2260100 --> Sunday, 03 - 28

2260101 --> Sunday, 04 - 17

2260102 --> Sunday, 04 - 02

2260103 --> Sunday, 04 - 22

2260104 --> Sunday, 04 - 13

2260105 --> Sunday, 03 - 29

2260106 --> Sunday, 04 - 18

2260107 --> Sunday, 04 - 10

2260108 --> Sunday, 03 - 25

2260109 --> Sunday, 04 - 14

2260110 --> Sunday, 04 - 06

2260111 --> Sunday, 03 - 22

2260112 --> Sunday, 04 - 10

2260113 --> Sunday, 04 - 02

2260114 --> Sunday, 04 - 22

2260115 --> Sunday, 04 - 07

2260116 --> Sunday, 03 - 29

2260117 --> Sunday, 04 - 18

2260118 --> Sunday, 04 - 10

2260119 --> Sunday, 03 - 26

2260120 --> Sunday, 04 - 14

2260121 --> Sunday, 04 - 06

2260122 --> Sunday, 04 - 19

2260123 --> Sunday, 04 - 11

2260124 --> Sunday, 04 - 02

2260125 --> Sunday, 04 - 22

2260126 --> Sunday, 04 - 07

2260127 --> Sunday, 03 - 30

2260128 --> Sunday, 04 - 18

2260129 --> Sunday, 04 - 03

2260130 --> Sunday, 03 - 26

2260131 --> Sunday, 04 - 15

2260132 --> Sunday, 03 - 30

2260133 --> Sunday, 04 - 19

2260134 --> Sunday, 04 - 11

2260135 --> Sunday, 03 - 27

2260136 --> Sunday, 04 - 15

2260137 --> Sunday, 04 - 07

2260138 --> Sunday, 03 - 30

2260139 --> Sunday, 04 - 12

2260140 --> Sunday, 04 - 03

2260141 --> Sunday, 04 - 23

2260142 --> Sunday, 04 - 15

2260143 --> Sunday, 03 - 31

2260144 --> Sunday, 04 - 19

2260145 --> Sunday, 04 - 11

2260146 --> Sunday, 03 - 27

2260147 --> Sunday, 04 - 16

2260148 --> Sunday, 04 - 07

2260149 --> Sunday, 03 - 23

2260150 --> Sunday, 04 - 12

2260151 --> Sunday, 04 - 04

2260152 --> Sunday, 04 - 23

2260153 --> Sunday, 04 - 08

2260154 --> Sunday, 03 - 31

2260155 --> Sunday, 04 - 20

2260156 --> Sunday, 04 - 04

2260157 --> Sunday, 03 - 27

2260158 --> Sunday, 04 - 16

2260159 --> Sunday, 04 - 01

2260160 --> Sunday, 04 - 20

2260161 --> Sunday, 04 - 12

2260162 --> Sunday, 04 - 04

2260163 --> Sunday, 04 - 17

2260164 --> Sunday, 04 - 08

2260165 --> Sunday, 03 - 31

2260166 --> Sunday, 04 - 13

2260167 --> Sunday, 04 - 05

2260168 --> Sunday, 03 - 27

2260169 --> Sunday, 04 - 16

2260170 --> Sunday, 04 - 01

2260171 --> Sunday, 04 - 21

2260172 --> Sunday, 04 - 12

2260173 --> Sunday, 03 - 28

2260174 --> Sunday, 04 - 17

2260175 --> Sunday, 04 - 09

2260176 --> Sunday, 03 - 24

2260177 --> Sunday, 04 - 13

2260178 --> Sunday, 04 - 05

2260179 --> Sunday, 04 - 25

2260180 --> Sunday, 04 - 09

2260181 --> Sunday, 04 - 01

2260182 --> Sunday, 04 - 21

2260183 --> Sunday, 04 - 06

2260184 --> Sunday, 03 - 28

2260185 --> Sunday, 04 - 17

2260186 --> Sunday, 04 - 02

2260187 --> Sunday, 03 - 25

2260188 --> Sunday, 04 - 13

2260189 --> Sunday, 04 - 05

2260190 --> Sunday, 04 - 18

2260191 --> Sunday, 04 - 10

2260192 --> Sunday, 04 - 01

2260193 --> Sunday, 04 - 21

2260194 --> Sunday, 04 - 06

2260195 --> Sunday, 03 - 29

2260196 --> Sunday, 04 - 17

2260197 --> Sunday, 04 - 02

2260198 --> Sunday, 04 - 22

2260199 --> Sunday, 04 - 14

2260200 --> Sunday, 03 - 30

2260201 --> Sunday, 04 - 19

2260202 --> Sunday, 04 - 11

2260203 --> Sunday, 03 - 27

2260204 --> Sunday, 04 - 15

2260205 --> Sunday, 04 - 07

2260206 --> Sunday, 03 - 23

2260207 --> Sunday, 04 - 12

2260208 --> Sunday, 04 - 03

2260209 --> Sunday, 04 - 23

2260210 --> Sunday, 04 - 08

2260211 --> Sunday, 03 - 31

2260212 --> Sunday, 04 - 19

2260213 --> Sunday, 04 - 04

2260214 --> Sunday, 03 - 27

2260215 --> Sunday, 04 - 16

2260216 --> Sunday, 04 - 07

2260217 --> Sunday, 04 - 20

2260218 --> Sunday, 04 - 12

2260219 --> Sunday, 04 - 04

2260220 --> Sunday, 04 - 23

2260221 --> Sunday, 04 - 08

2260222 --> Sunday, 03 - 31

2260223 --> Sunday, 04 - 13

2260224 --> Sunday, 04 - 04

2260225 --> Sunday, 03 - 27

2260226 --> Sunday, 04 - 16

2260227 --> Sunday, 04 - 01

2260228 --> Sunday, 04 - 20

2260229 --> Sunday, 04 - 12

2260230 --> Sunday, 03 - 28

2260231 --> Sunday, 04 - 17

2260232 --> Sunday, 04 - 08

2260233 --> Sunday, 03 - 24

2260234 --> Sunday, 04 - 13

2260235 --> Sunday, 04 - 05

2260236 --> Sunday, 04 - 24

2260237 --> Sunday, 04 - 09

2260238 --> Sunday, 04 - 01

2260239 --> Sunday, 04 - 21

2260240 --> Sunday, 04 - 05

2260241 --> Sunday, 03 - 28

2260242 --> Sunday, 04 - 17

2260243 --> Sunday, 04 - 02

2260244 --> Sunday, 03 - 24

2260245 --> Sunday, 04 - 13

2260246 --> Sunday, 04 - 05

2260247 --> Sunday, 04 - 18

2260248 --> Sunday, 04 - 09

2260249 --> Sunday, 04 - 01

2260250 --> Sunday, 04 - 21

2260251 --> Sunday, 04 - 06

2260252 --> Sunday, 03 - 28

2260253 --> Sunday, 04 - 17

2260254 --> Sunday, 04 - 02

2260255 --> Sunday, 04 - 22

2260256 --> Sunday, 04 - 13

2260257 --> Sunday, 03 - 29

2260258 --> Sunday, 04 - 18

2260259 --> Sunday, 04 - 10

2260260 --> Sunday, 03 - 25

2260261 --> Sunday, 04 - 14

2260262 --> Sunday, 04 - 06

2260263 --> Sunday, 03 - 22

2260264 --> Sunday, 04 - 10

2260265 --> Sunday, 04 - 02

2260266 --> Sunday, 04 - 22

2260267 --> Sunday, 04 - 07

2260268 --> Sunday, 03 - 29

2260269 --> Sunday, 04 - 18

2260270 --> Sunday, 04 - 10

2260271 --> Sunday, 03 - 26

2260272 --> Sunday, 04 - 14

2260273 --> Sunday, 04 - 06

2260274 --> Sunday, 04 - 19

2260275 --> Sunday, 04 - 11

2260276 --> Sunday, 04 - 02

2260277 --> Sunday, 04 - 22

2260278 --> Sunday, 04 - 07

2260279 --> Sunday, 03 - 30

2260280 --> Sunday, 04 - 18

2260281 --> Sunday, 04 - 03

2260282 --> Sunday, 03 - 26

2260283 --> Sunday, 04 - 15

2260284 --> Sunday, 03 - 30

2260285 --> Sunday, 04 - 19

2260286 --> Sunday, 04 - 11

2260287 --> Sunday, 03 - 27

2260288 --> Sunday, 04 - 15

2260289 --> Sunday, 04 - 07

2260290 --> Sunday, 03 - 30

2260291 --> Sunday, 04 - 12

2260292 --> Sunday, 04 - 03

2260293 --> Sunday, 04 - 23

2260294 --> Sunday, 04 - 15

2260295 --> Sunday, 03 - 31

2260296 --> Sunday, 04 - 19

2260297 --> Sunday, 04 - 11

2260298 --> Sunday, 03 - 27

2260299 --> Sunday, 04 - 16

2260300 --> Sunday, 04 - 08

2260301 --> Sunday, 03 - 24

2260302 --> Sunday, 04 - 13

2260303 --> Sunday, 04 - 05

2260304 --> Sunday, 04 - 24

2260305 --> Sunday, 04 - 09

2260306 --> Sunday, 04 - 01

2260307 --> Sunday, 04 - 21

2260308 --> Sunday, 04 - 05

2260309 --> Sunday, 03 - 28

2260310 --> Sunday, 04 - 17

2260311 --> Sunday, 04 - 02

2260312 --> Sunday, 03 - 24

2260313 --> Sunday, 04 - 13

2260314 --> Sunday, 04 - 05

2260315 --> Sunday, 04 - 18

2260316 --> Sunday, 04 - 09

2260317 --> Sunday, 04 - 01

2260318 --> Sunday, 04 - 14

2260319 --> Sunday, 04 - 06

2260320 --> Sunday, 03 - 28

2260321 --> Sunday, 04 - 17

2260322 --> Sunday, 04 - 02

2260323 --> Sunday, 04 - 22

2260324 --> Sunday, 04 - 13

2260325 --> Sunday, 03 - 29

2260326 --> Sunday, 04 - 18

2260327 --> Sunday, 04 - 10

2260328 --> Sunday, 03 - 25

2260329 --> Sunday, 04 - 14

2260330 --> Sunday, 04 - 06

2260331 --> Sunday, 03 - 22

2260332 --> Sunday, 04 - 10

2260333 --> Sunday, 04 - 02

2260334 --> Sunday, 04 - 22

2260335 --> Sunday, 04 - 07

2260336 --> Sunday, 03 - 29

2260337 --> Sunday, 04 - 18

2260338 --> Sunday, 04 - 03

2260339 --> Sunday, 03 - 26

2260340 --> Sunday, 04 - 14

2260341 --> Sunday, 04 - 06

2260342 --> Sunday, 04 - 19

2260343 --> Sunday, 04 - 11

2260344 --> Sunday, 04 - 02

2260345 --> Sunday, 04 - 22

2260346 --> Sunday, 04 - 07

2260347 --> Sunday, 03 - 30

2260348 --> Sunday, 04 - 18

2260349 --> Sunday, 04 - 03

2260350 --> Sunday, 03 - 26

2260351 --> Sunday, 04 - 15

2260352 --> Sunday, 03 - 30

2260353 --> Sunday, 04 - 19

2260354 --> Sunday, 04 - 11

2260355 --> Sunday, 03 - 27

2260356 --> Sunday, 04 - 15

2260357 --> Sunday, 04 - 07

2260358 --> Sunday, 03 - 23

2260359 --> Sunday, 04 - 12

2260360 --> Sunday, 04 - 03

2260361 --> Sunday, 04 - 23

2260362 --> Sunday, 04 - 08

2260363 --> Sunday, 03 - 31

2260364 --> Sunday, 04 - 19

2260365 --> Sunday, 04 - 11

2260366 --> Sunday, 03 - 27

2260367 --> Sunday, 04 - 16

2260368 --> Sunday, 04 - 07

2260369 --> Sunday, 03 - 23

2260370 --> Sunday, 04 - 12

2260371 --> Sunday, 04 - 04

2260372 --> Sunday, 04 - 23

2260373 --> Sunday, 04 - 08

2260374 --> Sunday, 03 - 31

2260375 --> Sunday, 04 - 20

2260376 --> Sunday, 04 - 04

2260377 --> Sunday, 03 - 27

2260378 --> Sunday, 04 - 16

2260379 --> Sunday, 04 - 01

2260380 --> Sunday, 04 - 20

2260381 --> Sunday, 04 - 12

2260382 --> Sunday, 03 - 28

2260383 --> Sunday, 04 - 17

2260384 --> Sunday, 04 - 08

2260385 --> Sunday, 03 - 31

2260386 --> Sunday, 04 - 13

2260387 --> Sunday, 04 - 05

2260388 --> Sunday, 03 - 27

2260389 --> Sunday, 04 - 16

2260390 --> Sunday, 04 - 01

2260391 --> Sunday, 04 - 21

2260392 --> Sunday, 04 - 12

2260393 --> Sunday, 03 - 28

2260394 --> Sunday, 04 - 17

2260395 --> Sunday, 04 - 09

2260396 --> Sunday, 03 - 24

2260397 --> Sunday, 04 - 13

2260398 --> Sunday, 04 - 05

2260399 --> Sunday, 04 - 25

2260400 --> Sunday, 04 - 09

2260401 --> Sunday, 04 - 01

2260402 --> Sunday, 04 - 21

2260403 --> Sunday, 04 - 06

2260404 --> Sunday, 03 - 28

2260405 --> Sunday, 04 - 17

2260406 --> Sunday, 04 - 02

2260407 --> Sunday, 03 - 25

2260408 --> Sunday, 04 - 13

2260409 --> Sunday, 04 - 05

2260410 --> Sunday, 04 - 18

2260411 --> Sunday, 04 - 10

2260412 --> Sunday, 04 - 01

2260413 --> Sunday, 04 - 14

2260414 --> Sunday, 04 - 06

2260415 --> Sunday, 03 - 29

2260416 --> Sunday, 04 - 17

2260417 --> Sunday, 04 - 02

2260418 --> Sunday, 04 - 22

2260419 --> Sunday, 04 - 14

2260420 --> Sunday, 03 - 29

2260421 --> Sunday, 04 - 18

2260422 --> Sunday, 04 - 10

2260423 --> Sunday, 03 - 26

2260424 --> Sunday, 04 - 14

2260425 --> Sunday, 04 - 06

2260426 --> Sunday, 03 - 22

2260427 --> Sunday, 04 - 11

2260428 --> Sunday, 04 - 02

2260429 --> Sunday, 04 - 22

2260430 --> Sunday, 04 - 07

2260431 --> Sunday, 03 - 30

2260432 --> Sunday, 04 - 18

2260433 --> Sunday, 04 - 03

2260434 --> Sunday, 03 - 26

2260435 --> Sunday, 04 - 15

2260436 --> Sunday, 04 - 06

2260437 --> Sunday, 04 - 19

2260438 --> Sunday, 04 - 11

2260439 --> Sunday, 04 - 03

2260440 --> Sunday, 04 - 22

2260441 --> Sunday, 04 - 07

2260442 --> Sunday, 03 - 30

2260443 --> Sunday, 04 - 19

2260444 --> Sunday, 04 - 03

2260445 --> Sunday, 03 - 26

2260446 --> Sunday, 04 - 15

2260447 --> Sunday, 03 - 31

2260448 --> Sunday, 04 - 19

2260449 --> Sunday, 04 - 11

2260450 --> Sunday, 03 - 27

2260451 --> Sunday, 04 - 16

2260452 --> Sunday, 04 - 07

2260453 --> Sunday, 03 - 23

2260454 --> Sunday, 04 - 12

2260455 --> Sunday, 04 - 04

2260456 --> Sunday, 04 - 23

2260457 --> Sunday, 04 - 08

2260458 --> Sunday, 03 - 31

2260459 --> Sunday, 04 - 20

2260460 --> Sunday, 04 - 11

2260461 --> Sunday, 03 - 27

2260462 --> Sunday, 04 - 16

2260463 --> Sunday, 04 - 08

2260464 --> Sunday, 03 - 23

2260465 --> Sunday, 04 - 12

2260466 --> Sunday, 04 - 04

2260467 --> Sunday, 04 - 24

2260468 --> Sunday, 04 - 08

2260469 --> Sunday, 03 - 31

2260470 --> Sunday, 04 - 20

2260471 --> Sunday, 04 - 05

2260472 --> Sunday, 03 - 27

2260473 --> Sunday, 04 - 16

2260474 --> Sunday, 04 - 01

2260475 --> Sunday, 04 - 21

2260476 --> Sunday, 04 - 12

2260477 --> Sunday, 03 - 28

2260478 --> Sunday, 04 - 17

2260479 --> Sunday, 04 - 09

2260480 --> Sunday, 03 - 31

2260481 --> Sunday, 04 - 13

2260482 --> Sunday, 04 - 05

2260483 --> Sunday, 03 - 28

2260484 --> Sunday, 04 - 16

2260485 --> Sunday, 04 - 01

2260486 --> Sunday, 04 - 21

2260487 --> Sunday, 04 - 06

2260488 --> Sunday, 03 - 28

2260489 --> Sunday, 04 - 17

2260490 --> Sunday, 04 - 09

2260491 --> Sunday, 03 - 25

2260492 --> Sunday, 04 - 13

2260493 --> Sunday, 04 - 05

2260494 --> Sunday, 04 - 25

2260495 --> Sunday, 04 - 10

2260496 --> Sunday, 04 - 01

2260497 --> Sunday, 04 - 21

2260498 --> Sunday, 04 - 06

2260499 --> Sunday, 03 - 29

2260500 --> Sunday, 04 - 18

2260501 --> Sunday, 04 - 03

2260502 --> Sunday, 03 - 26
