Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3850000 through 3859999



3850000 --> Sunday, 04 - 02

3850001 --> Sunday, 04 - 22

3850002 --> Sunday, 04 - 14

3850003 --> Sunday, 03 - 30

3850004 --> Sunday, 04 - 18

3850005 --> Sunday, 04 - 10

3850006 --> Sunday, 03 - 26

3850007 --> Sunday, 04 - 15

3850008 --> Sunday, 04 - 06

3850009 --> Sunday, 04 - 19

3850010 --> Sunday, 04 - 11

3850011 --> Sunday, 04 - 03

3850012 --> Sunday, 04 - 22

3850013 --> Sunday, 04 - 07

3850014 --> Sunday, 03 - 30

3850015 --> Sunday, 04 - 19

3850016 --> Sunday, 04 - 03

3850017 --> Sunday, 03 - 26

3850018 --> Sunday, 04 - 15

3850019 --> Sunday, 03 - 31

3850020 --> Sunday, 04 - 19

3850021 --> Sunday, 04 - 11

3850022 --> Sunday, 04 - 03

3850023 --> Sunday, 04 - 16

3850024 --> Sunday, 04 - 07

3850025 --> Sunday, 03 - 30

3850026 --> Sunday, 04 - 19

3850027 --> Sunday, 04 - 04

3850028 --> Sunday, 04 - 23

3850029 --> Sunday, 04 - 15

3850030 --> Sunday, 03 - 31

3850031 --> Sunday, 04 - 20

3850032 --> Sunday, 04 - 11

3850033 --> Sunday, 03 - 27

3850034 --> Sunday, 04 - 16

3850035 --> Sunday, 04 - 08

3850036 --> Sunday, 03 - 23

3850037 --> Sunday, 04 - 12

3850038 --> Sunday, 04 - 04

3850039 --> Sunday, 04 - 24

3850040 --> Sunday, 04 - 08

3850041 --> Sunday, 03 - 31

3850042 --> Sunday, 04 - 20

3850043 --> Sunday, 04 - 05

3850044 --> Sunday, 03 - 27

3850045 --> Sunday, 04 - 16

3850046 --> Sunday, 04 - 01

3850047 --> Sunday, 04 - 21

3850048 --> Sunday, 04 - 12

3850049 --> Sunday, 04 - 04

3850050 --> Sunday, 04 - 17

3850051 --> Sunday, 04 - 09

3850052 --> Sunday, 03 - 31

3850053 --> Sunday, 04 - 20

3850054 --> Sunday, 04 - 05

3850055 --> Sunday, 03 - 28

3850056 --> Sunday, 04 - 16

3850057 --> Sunday, 04 - 01

3850058 --> Sunday, 04 - 21

3850059 --> Sunday, 04 - 13

3850060 --> Sunday, 03 - 28

3850061 --> Sunday, 04 - 17

3850062 --> Sunday, 04 - 09

3850063 --> Sunday, 03 - 25

3850064 --> Sunday, 04 - 13

3850065 --> Sunday, 04 - 05

3850066 --> Sunday, 04 - 25

3850067 --> Sunday, 04 - 10

3850068 --> Sunday, 04 - 01

3850069 --> Sunday, 04 - 21

3850070 --> Sunday, 04 - 06

3850071 --> Sunday, 03 - 29

