Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 1790000 through 1799999



1790000 --> Sunday, 04 - 09

1790001 --> Sunday, 03 - 25

1790002 --> Sunday, 04 - 14

1790003 --> Sunday, 04 - 06

1790004 --> Sunday, 04 - 18

1790005 --> Sunday, 04 - 10

1790006 --> Sunday, 04 - 02

1790007 --> Sunday, 04 - 22

1790008 --> Sunday, 04 - 06

1790009 --> Sunday, 03 - 29

1790010 --> Sunday, 04 - 18

1790011 --> Sunday, 04 - 03

1790012 --> Sunday, 04 - 22

1790013 --> Sunday, 04 - 14

1790014 --> Sunday, 03 - 30

1790015 --> Sunday, 04 - 19

1790016 --> Sunday, 04 - 10

1790017 --> Sunday, 03 - 26

1790018 --> Sunday, 04 - 15

1790019 --> Sunday, 04 - 07

1790020 --> Sunday, 03 - 29

1790021 --> Sunday, 04 - 11

1790022 --> Sunday, 04 - 03

1790023 --> Sunday, 04 - 23

1790024 --> Sunday, 04 - 14

1790025 --> Sunday, 03 - 30

1790026 --> Sunday, 04 - 19

1790027 --> Sunday, 04 - 11

1790028 --> Sunday, 03 - 26

1790029 --> Sunday, 04 - 15

1790030 --> Sunday, 04 - 07

1790031 --> Sunday, 04 - 20

1790032 --> Sunday, 04 - 11

1790033 --> Sunday, 04 - 03

1790034 --> Sunday, 04 - 23

1790035 --> Sunday, 04 - 08

1790036 --> Sunday, 03 - 30

1790037 --> Sunday, 04 - 19

1790038 --> Sunday, 04 - 04

1790039 --> Sunday, 03 - 27

1790040 --> Sunday, 04 - 15

1790041 --> Sunday, 03 - 31

1790042 --> Sunday, 04 - 20

1790043 --> Sunday, 04 - 12

1790044 --> Sunday, 04 - 03

1790045 --> Sunday, 04 - 16

1790046 --> Sunday, 04 - 08

1790047 --> Sunday, 03 - 24

1790048 --> Sunday, 04 - 12

1790049 --> Sunday, 04 - 04

1790050 --> Sunday, 04 - 24

1790051 --> Sunday, 04 - 09

1790052 --> Sunday, 03 - 31

1790053 --> Sunday, 04 - 20

1790054 --> Sunday, 04 - 12

1790055 --> Sunday, 03 - 28

1790056 --> Sunday, 04 - 16

1790057 --> Sunday, 04 - 08

1790058 --> Sunday, 03 - 24

1790059 --> Sunday, 04 - 13

1790060 --> Sunday, 04 - 04

1790061 --> Sunday, 04 - 24

1790062 --> Sunday, 04 - 09

1790063 --> Sunday, 04 - 01

1790064 --> Sunday, 04 - 20

1790065 --> Sunday, 04 - 05

1790066 --> Sunday, 03 - 28

1790067 --> Sunday, 04 - 17

1790068 --> Sunday, 04 - 01

1790069 --> Sunday, 04 - 21

1790070 --> Sunday, 04 - 13

1790071 --> Sunday, 03 - 29

1790072 --> Sunday, 04 - 17

1790073 --> Sunday, 04 - 09

1790074 --> Sunday, 04 - 01

1790075 --> Sunday, 04 - 14

1790076 --> Sunday, 04 - 05

1790077 --> Sunday, 03 - 28

1790078 --> Sunday, 04 - 17

1790079 --> Sunday, 04 - 02

1790080 --> Sunday, 04 - 21

1790081 --> Sunday, 04 - 13

1790082 --> Sunday, 03 - 29

1790083 --> Sunday, 04 - 18

1790084 --> Sunday, 04 - 09

1790085 --> Sunday, 03 - 25

1790086 --> Sunday, 04 - 14

1790087 --> Sunday, 04 - 06

1790088 --> Sunday, 04 - 25

1790089 --> Sunday, 04 - 10

1790090 --> Sunday, 04 - 02

1790091 --> Sunday, 04 - 22

1790092 --> Sunday, 04 - 06

1790093 --> Sunday, 03 - 29

1790094 --> Sunday, 04 - 18

1790095 --> Sunday, 04 - 03

1790096 --> Sunday, 03 - 25

1790097 --> Sunday, 04 - 14

1790098 --> Sunday, 04 - 06

1790099 --> Sunday, 04 - 19

1790100 --> Sunday, 04 - 11

1790101 --> Sunday, 04 - 03

1790102 --> Sunday, 04 - 23

1790103 --> Sunday, 04 - 08

1790104 --> Sunday, 03 - 30

1790105 --> Sunday, 04 - 19

1790106 --> Sunday, 04 - 04

1790107 --> Sunday, 03 - 27

1790108 --> Sunday, 04 - 15

1790109 --> Sunday, 03 - 31

1790110 --> Sunday, 04 - 20

1790111 --> Sunday, 04 - 12

1790112 --> Sunday, 03 - 27

1790113 --> Sunday, 04 - 16

1790114 --> Sunday, 04 - 08

1790115 --> Sunday, 03 - 24

1790116 --> Sunday, 04 - 12

1790117 --> Sunday, 04 - 04

1790118 --> Sunday, 04 - 24

1790119 --> Sunday, 04 - 09

1790120 --> Sunday, 03 - 31

1790121 --> Sunday, 04 - 20

1790122 --> Sunday, 04 - 12

1790123 --> Sunday, 03 - 28

1790124 --> Sunday, 04 - 16

1790125 --> Sunday, 04 - 08

1790126 --> Sunday, 03 - 24

1790127 --> Sunday, 04 - 13

1790128 --> Sunday, 04 - 04

1790129 --> Sunday, 04 - 24

1790130 --> Sunday, 04 - 09

1790131 --> Sunday, 04 - 01

1790132 --> Sunday, 04 - 20

1790133 --> Sunday, 04 - 05

1790134 --> Sunday, 03 - 28

1790135 --> Sunday, 04 - 17

1790136 --> Sunday, 04 - 01

1790137 --> Sunday, 04 - 21

1790138 --> Sunday, 04 - 13

1790139 --> Sunday, 03 - 29

1790140 --> Sunday, 04 - 17

1790141 --> Sunday, 04 - 09

1790142 --> Sunday, 03 - 25

1790143 --> Sunday, 04 - 14

1790144 --> Sunday, 04 - 05

1790145 --> Sunday, 03 - 28

1790146 --> Sunday, 04 - 10

1790147 --> Sunday, 04 - 02

1790148 --> Sunday, 04 - 21

1790149 --> Sunday, 04 - 13

1790150 --> Sunday, 03 - 29

1790151 --> Sunday, 04 - 18

1790152 --> Sunday, 04 - 09

1790153 --> Sunday, 03 - 25

1790154 --> Sunday, 04 - 14

1790155 --> Sunday, 04 - 06

1790156 --> Sunday, 04 - 25

1790157 --> Sunday, 04 - 10

1790158 --> Sunday, 04 - 02

1790159 --> Sunday, 04 - 22

1790160 --> Sunday, 04 - 06

1790161 --> Sunday, 03 - 29

1790162 --> Sunday, 04 - 18

1790163 --> Sunday, 04 - 03

1790164 --> Sunday, 03 - 25

1790165 --> Sunday, 04 - 14

1790166 --> Sunday, 03 - 30

1790167 --> Sunday, 04 - 19

1790168 --> Sunday, 04 - 10

1790169 --> Sunday, 04 - 02

1790170 --> Sunday, 04 - 15

1790171 --> Sunday, 04 - 07

1790172 --> Sunday, 03 - 29

1790173 --> Sunday, 04 - 18

1790174 --> Sunday, 04 - 03

1790175 --> Sunday, 04 - 23

1790176 --> Sunday, 04 - 14

1790177 --> Sunday, 03 - 30

1790178 --> Sunday, 04 - 19

1790179 --> Sunday, 04 - 11

1790180 --> Sunday, 03 - 26

1790181 --> Sunday, 04 - 15

1790182 --> Sunday, 04 - 07

1790183 --> Sunday, 03 - 23

1790184 --> Sunday, 04 - 11

1790185 --> Sunday, 04 - 03

1790186 --> Sunday, 04 - 23

1790187 --> Sunday, 04 - 08

1790188 --> Sunday, 03 - 30

1790189 --> Sunday, 04 - 19

1790190 --> Sunday, 04 - 04

1790191 --> Sunday, 03 - 27

1790192 --> Sunday, 04 - 15

1790193 --> Sunday, 04 - 07

1790194 --> Sunday, 04 - 20

1790195 --> Sunday, 04 - 12

1790196 --> Sunday, 04 - 03

1790197 --> Sunday, 04 - 23

1790198 --> Sunday, 04 - 08

1790199 --> Sunday, 03 - 31

1790200 --> Sunday, 04 - 13

1790201 --> Sunday, 04 - 05

1790202 --> Sunday, 03 - 28

1790203 --> Sunday, 04 - 10

1790204 --> Sunday, 04 - 01

1790205 --> Sunday, 04 - 21

1790206 --> Sunday, 04 - 13

1790207 --> Sunday, 03 - 29

1790208 --> Sunday, 04 - 17

1790209 --> Sunday, 04 - 09

1790210 --> Sunday, 03 - 25

1790211 --> Sunday, 04 - 14

1790212 --> Sunday, 04 - 05

1790213 --> Sunday, 04 - 25

1790214 --> Sunday, 04 - 10

1790215 --> Sunday, 04 - 02

1790216 --> Sunday, 04 - 21

1790217 --> Sunday, 04 - 06

1790218 --> Sunday, 03 - 29

1790219 --> Sunday, 04 - 18

1790220 --> Sunday, 04 - 02

1790221 --> Sunday, 03 - 25

1790222 --> Sunday, 04 - 14

1790223 --> Sunday, 03 - 30

1790224 --> Sunday, 04 - 18

1790225 --> Sunday, 04 - 10

1790226 --> Sunday, 04 - 02

1790227 --> Sunday, 04 - 15

1790228 --> Sunday, 04 - 06

1790229 --> Sunday, 03 - 29

1790230 --> Sunday, 04 - 18

1790231 --> Sunday, 04 - 03

1790232 --> Sunday, 04 - 22

1790233 --> Sunday, 04 - 14

1790234 --> Sunday, 03 - 30

1790235 --> Sunday, 04 - 19

1790236 --> Sunday, 04 - 10

1790237 --> Sunday, 03 - 26

1790238 --> Sunday, 04 - 15

1790239 --> Sunday, 04 - 07

1790240 --> Sunday, 03 - 22

1790241 --> Sunday, 04 - 11

1790242 --> Sunday, 04 - 03

1790243 --> Sunday, 04 - 23

1790244 --> Sunday, 04 - 07

1790245 --> Sunday, 03 - 30

1790246 --> Sunday, 04 - 19

1790247 --> Sunday, 04 - 04

1790248 --> Sunday, 03 - 26

1790249 --> Sunday, 04 - 15

1790250 --> Sunday, 04 - 07

1790251 --> Sunday, 04 - 20

1790252 --> Sunday, 04 - 11

1790253 --> Sunday, 04 - 03

1790254 --> Sunday, 04 - 23

1790255 --> Sunday, 04 - 08

1790256 --> Sunday, 03 - 30

1790257 --> Sunday, 04 - 19

1790258 --> Sunday, 04 - 04

1790259 --> Sunday, 03 - 27

1790260 --> Sunday, 04 - 15

1790261 --> Sunday, 03 - 31

1790262 --> Sunday, 04 - 20

1790263 --> Sunday, 04 - 12

1790264 --> Sunday, 03 - 27

1790265 --> Sunday, 04 - 16

1790266 --> Sunday, 04 - 08

1790267 --> Sunday, 03 - 24

1790268 --> Sunday, 04 - 12

1790269 --> Sunday, 04 - 04

1790270 --> Sunday, 04 - 24

1790271 --> Sunday, 04 - 09

1790272 --> Sunday, 03 - 31

1790273 --> Sunday, 04 - 20

1790274 --> Sunday, 04 - 12

1790275 --> Sunday, 03 - 28

1790276 --> Sunday, 04 - 16

1790277 --> Sunday, 04 - 08

1790278 --> Sunday, 03 - 24

1790279 --> Sunday, 04 - 13

1790280 --> Sunday, 04 - 04

1790281 --> Sunday, 04 - 24

1790282 --> Sunday, 04 - 09

1790283 --> Sunday, 04 - 01

1790284 --> Sunday, 04 - 20

1790285 --> Sunday, 04 - 05

1790286 --> Sunday, 03 - 28

1790287 --> Sunday, 04 - 17

1790288 --> Sunday, 04 - 01

1790289 --> Sunday, 04 - 21

1790290 --> Sunday, 04 - 13

1790291 --> Sunday, 03 - 29

1790292 --> Sunday, 04 - 17

1790293 --> Sunday, 04 - 09

1790294 --> Sunday, 03 - 25

1790295 --> Sunday, 04 - 14

1790296 --> Sunday, 04 - 05

1790297 --> Sunday, 03 - 28

1790298 --> Sunday, 04 - 10

1790299 --> Sunday, 04 - 02

1790300 --> Sunday, 04 - 22

1790301 --> Sunday, 04 - 14

1790302 --> Sunday, 03 - 30

1790303 --> Sunday, 04 - 19

1790304 --> Sunday, 04 - 10

1790305 --> Sunday, 03 - 26

1790306 --> Sunday, 04 - 15

1790307 --> Sunday, 04 - 07

1790308 --> Sunday, 03 - 22

1790309 --> Sunday, 04 - 11

1790310 --> Sunday, 04 - 03

1790311 --> Sunday, 04 - 23

1790312 --> Sunday, 04 - 07

1790313 --> Sunday, 03 - 30

1790314 --> Sunday, 04 - 19

1790315 --> Sunday, 04 - 04

1790316 --> Sunday, 03 - 26

1790317 --> Sunday, 04 - 15

1790318 --> Sunday, 03 - 31

1790319 --> Sunday, 04 - 20

1790320 --> Sunday, 04 - 11

1790321 --> Sunday, 04 - 03

1790322 --> Sunday, 04 - 16

1790323 --> Sunday, 04 - 08

1790324 --> Sunday, 03 - 30

1790325 --> Sunday, 04 - 19

1790326 --> Sunday, 04 - 04

1790327 --> Sunday, 03 - 27

1790328 --> Sunday, 04 - 15

1790329 --> Sunday, 03 - 31

1790330 --> Sunday, 04 - 20

1790331 --> Sunday, 04 - 12

1790332 --> Sunday, 03 - 27

1790333 --> Sunday, 04 - 16

1790334 --> Sunday, 04 - 08

1790335 --> Sunday, 03 - 24

1790336 --> Sunday, 04 - 12

1790337 --> Sunday, 04 - 04

1790338 --> Sunday, 04 - 24

1790339 --> Sunday, 04 - 09

1790340 --> Sunday, 03 - 31

1790341 --> Sunday, 04 - 20

1790342 --> Sunday, 04 - 05

1790343 --> Sunday, 03 - 28

1790344 --> Sunday, 04 - 16

1790345 --> Sunday, 04 - 08

1790346 --> Sunday, 03 - 24

1790347 --> Sunday, 04 - 13

1790348 --> Sunday, 04 - 04

1790349 --> Sunday, 04 - 24

1790350 --> Sunday, 04 - 09

1790351 --> Sunday, 04 - 01

1790352 --> Sunday, 04 - 20

1790353 --> Sunday, 04 - 05

1790354 --> Sunday, 03 - 28

1790355 --> Sunday, 04 - 17

1790356 --> Sunday, 04 - 01

1790357 --> Sunday, 04 - 21

1790358 --> Sunday, 04 - 13

1790359 --> Sunday, 03 - 29

1790360 --> Sunday, 04 - 17

1790361 --> Sunday, 04 - 09

1790362 --> Sunday, 03 - 25

1790363 --> Sunday, 04 - 14

1790364 --> Sunday, 04 - 05

1790365 --> Sunday, 03 - 28

1790366 --> Sunday, 04 - 10

1790367 --> Sunday, 04 - 02

1790368 --> Sunday, 04 - 21

1790369 --> Sunday, 04 - 13

1790370 --> Sunday, 03 - 29

1790371 --> Sunday, 04 - 18

1790372 --> Sunday, 04 - 09

1790373 --> Sunday, 03 - 25

1790374 --> Sunday, 04 - 14

1790375 --> Sunday, 04 - 06

1790376 --> Sunday, 04 - 25

1790377 --> Sunday, 04 - 10

1790378 --> Sunday, 04 - 02

1790379 --> Sunday, 04 - 22

1790380 --> Sunday, 04 - 06

1790381 --> Sunday, 03 - 29

1790382 --> Sunday, 04 - 18

1790383 --> Sunday, 04 - 03

1790384 --> Sunday, 03 - 25

1790385 --> Sunday, 04 - 14

1790386 --> Sunday, 03 - 30

1790387 --> Sunday, 04 - 19

1790388 --> Sunday, 04 - 10

1790389 --> Sunday, 03 - 26

1790390 --> Sunday, 04 - 15

1790391 --> Sunday, 04 - 07

1790392 --> Sunday, 03 - 29

1790393 --> Sunday, 04 - 11

1790394 --> Sunday, 04 - 03

1790395 --> Sunday, 04 - 23

1790396 --> Sunday, 04 - 14

1790397 --> Sunday, 03 - 30

1790398 --> Sunday, 04 - 19

1790399 --> Sunday, 04 - 11

1790400 --> Sunday, 03 - 26

1790401 --> Sunday, 04 - 15

1790402 --> Sunday, 04 - 07

1790403 --> Sunday, 03 - 23

1790404 --> Sunday, 04 - 11

1790405 --> Sunday, 04 - 03

1790406 --> Sunday, 04 - 23

1790407 --> Sunday, 04 - 08

1790408 --> Sunday, 03 - 30

1790409 --> Sunday, 04 - 19

1790410 --> Sunday, 04 - 04

1790411 --> Sunday, 03 - 27

1790412 --> Sunday, 04 - 15

1790413 --> Sunday, 03 - 31

1790414 --> Sunday, 04 - 20

1790415 --> Sunday, 04 - 12

1790416 --> Sunday, 04 - 03

1790417 --> Sunday, 04 - 16

1790418 --> Sunday, 04 - 08

1790419 --> Sunday, 03 - 31

1790420 --> Sunday, 04 - 19

1790421 --> Sunday, 04 - 04

1790422 --> Sunday, 03 - 27

1790423 --> Sunday, 04 - 16

1790424 --> Sunday, 03 - 31

1790425 --> Sunday, 04 - 20

1790426 --> Sunday, 04 - 12

1790427 --> Sunday, 03 - 28

1790428 --> Sunday, 04 - 16

1790429 --> Sunday, 04 - 08

1790430 --> Sunday, 03 - 24

1790431 --> Sunday, 04 - 13

1790432 --> Sunday, 04 - 04

1790433 --> Sunday, 04 - 24

1790434 --> Sunday, 04 - 09

1790435 --> Sunday, 04 - 01

1790436 --> Sunday, 04 - 20

1790437 --> Sunday, 04 - 05

1790438 --> Sunday, 03 - 28

1790439 --> Sunday, 04 - 17

1790440 --> Sunday, 04 - 08

1790441 --> Sunday, 03 - 24

1790442 --> Sunday, 04 - 13

1790443 --> Sunday, 04 - 05

1790444 --> Sunday, 04 - 24

1790445 --> Sunday, 04 - 09

1790446 --> Sunday, 04 - 01

1790447 --> Sunday, 04 - 14

1790448 --> Sunday, 04 - 05

1790449 --> Sunday, 03 - 28

1790450 --> Sunday, 04 - 17

1790451 --> Sunday, 04 - 02

1790452 --> Sunday, 04 - 21

1790453 --> Sunday, 04 - 13

1790454 --> Sunday, 03 - 29

1790455 --> Sunday, 04 - 18

1790456 --> Sunday, 04 - 09

