Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2350000 through 2359999



2350000 --> Sunday, 04 - 23

2350001 --> Sunday, 04 - 08

2350002 --> Sunday, 03 - 31

2350003 --> Sunday, 04 - 20

2350004 --> Sunday, 04 - 04

2350005 --> Sunday, 03 - 27

2350006 --> Sunday, 04 - 16

2350007 --> Sunday, 04 - 01

2350008 --> Sunday, 04 - 20

2350009 --> Sunday, 04 - 12

2350010 --> Sunday, 03 - 28

2350011 --> Sunday, 04 - 17

2350012 --> Sunday, 04 - 08

2350013 --> Sunday, 03 - 31

2350014 --> Sunday, 04 - 13

2350015 --> Sunday, 04 - 05

2350016 --> Sunday, 04 - 24

2350017 --> Sunday, 04 - 09

2350018 --> Sunday, 04 - 01

2350019 --> Sunday, 04 - 21

2350020 --> Sunday, 04 - 12

2350021 --> Sunday, 03 - 28

2350022 --> Sunday, 04 - 17

2350023 --> Sunday, 04 - 09

2350024 --> Sunday, 03 - 24

2350025 --> Sunday, 04 - 13

2350026 --> Sunday, 04 - 05

2350027 --> Sunday, 04 - 18

2350028 --> Sunday, 04 - 09

2350029 --> Sunday, 04 - 01

2350030 --> Sunday, 04 - 21

2350031 --> Sunday, 04 - 06

2350032 --> Sunday, 03 - 28

2350033 --> Sunday, 04 - 17

2350034 --> Sunday, 04 - 02

2350035 --> Sunday, 04 - 22

2350036 --> Sunday, 04 - 13

2350037 --> Sunday, 03 - 29

2350038 --> Sunday, 04 - 18

2350039 --> Sunday, 04 - 10

2350040 --> Sunday, 04 - 01

2350041 --> Sunday, 04 - 14

2350042 --> Sunday, 04 - 06

2350043 --> Sunday, 03 - 29

2350044 --> Sunday, 04 - 17

2350045 --> Sunday, 04 - 02

2350046 --> Sunday, 04 - 22

2350047 --> Sunday, 04 - 14

2350048 --> Sunday, 03 - 29

2350049 --> Sunday, 04 - 18

2350050 --> Sunday, 04 - 10

2350051 --> Sunday, 03 - 26

2350052 --> Sunday, 04 - 14

2350053 --> Sunday, 04 - 06

2350054 --> Sunday, 04 - 19

2350055 --> Sunday, 04 - 11

2350056 --> Sunday, 04 - 02

2350057 --> Sunday, 04 - 22

2350058 --> Sunday, 04 - 07

2350059 --> Sunday, 03 - 30

2350060 --> Sunday, 04 - 18

2350061 --> Sunday, 04 - 03

2350062 --> Sunday, 03 - 26

2350063 --> Sunday, 04 - 15

2350064 --> Sunday, 04 - 06

2350065 --> Sunday, 04 - 19

2350066 --> Sunday, 04 - 11

2350067 --> Sunday, 04 - 03

2350068 --> Sunday, 04 - 22

2350069 --> Sunday, 04 - 07

2350070 --> Sunday, 03 - 30

2350071 --> Sunday, 04 - 19

2350072 --> Sunday, 04 - 03

2350073 --> Sunday, 04 - 23

2350074 --> Sunday, 04 - 15

2350075 --> Sunday, 03 - 31

2350076 --> Sunday, 04 - 19

2350077 --> Sunday, 04 - 11

2350078 --> Sunday, 03 - 27

2350079 --> Sunday, 04 - 16

2350080 --> Sunday, 04 - 07

2350081 --> Sunday, 03 - 23

2350082 --> Sunday, 04 - 12

2350083 --> Sunday, 04 - 04

2350084 --> Sunday, 04 - 23

2350085 --> Sunday, 04 - 08

2350086 --> Sunday, 03 - 31

2350087 --> Sunday, 04 - 20

2350088 --> Sunday, 04 - 11

2350089 --> Sunday, 03 - 27

2350090 --> Sunday, 04 - 16

2350091 --> Sunday, 04 - 01

2350092 --> Sunday, 04 - 20

2350093 --> Sunday, 04 - 12

2350094 --> Sunday, 04 - 04

2350095 --> Sunday, 04 - 17

2350096 --> Sunday, 04 - 08

2350097 --> Sunday, 03 - 31

2350098 --> Sunday, 04 - 20

2350099 --> Sunday, 04 - 05

2350100 --> Sunday, 03 - 28

2350101 --> Sunday, 04 - 17

2350102 --> Sunday, 04 - 02

2350103 --> Sunday, 04 - 22

2350104 --> Sunday, 04 - 13

2350105 --> Sunday, 03 - 29

2350106 --> Sunday, 04 - 18

2350107 --> Sunday, 04 - 10

2350108 --> Sunday, 04 - 01

2350109 --> Sunday, 04 - 14

2350110 --> Sunday, 04 - 06

2350111 --> Sunday, 03 - 22

2350112 --> Sunday, 04 - 10

2350113 --> Sunday, 04 - 02

2350114 --> Sunday, 04 - 22

2350115 --> Sunday, 04 - 07

2350116 --> Sunday, 03 - 29

2350117 --> Sunday, 04 - 18

2350118 --> Sunday, 04 - 10

2350119 --> Sunday, 03 - 26

2350120 --> Sunday, 04 - 14

2350121 --> Sunday, 04 - 06

2350122 --> Sunday, 04 - 19

2350123 --> Sunday, 04 - 11

2350124 --> Sunday, 04 - 02

2350125 --> Sunday, 04 - 22

2350126 --> Sunday, 04 - 07

2350127 --> Sunday, 03 - 30

2350128 --> Sunday, 04 - 18

2350129 --> Sunday, 04 - 03

2350130 --> Sunday, 03 - 26

2350131 --> Sunday, 04 - 15

2350132 --> Sunday, 03 - 30

2350133 --> Sunday, 04 - 19

2350134 --> Sunday, 04 - 11

2350135 --> Sunday, 03 - 27

2350136 --> Sunday, 04 - 15

2350137 --> Sunday, 04 - 07

2350138 --> Sunday, 03 - 30

2350139 --> Sunday, 04 - 12

2350140 --> Sunday, 04 - 03

2350141 --> Sunday, 04 - 23

2350142 --> Sunday, 04 - 15

2350143 --> Sunday, 03 - 31

2350144 --> Sunday, 04 - 19

2350145 --> Sunday, 04 - 11

2350146 --> Sunday, 03 - 27

2350147 --> Sunday, 04 - 16

2350148 --> Sunday, 04 - 07

2350149 --> Sunday, 03 - 23

2350150 --> Sunday, 04 - 12

2350151 --> Sunday, 04 - 04

2350152 --> Sunday, 04 - 23

2350153 --> Sunday, 04 - 08

2350154 --> Sunday, 03 - 31

2350155 --> Sunday, 04 - 20

2350156 --> Sunday, 04 - 04

2350157 --> Sunday, 03 - 27

2350158 --> Sunday, 04 - 16

2350159 --> Sunday, 04 - 01

2350160 --> Sunday, 04 - 20

2350161 --> Sunday, 04 - 12

2350162 --> Sunday, 04 - 04

2350163 --> Sunday, 04 - 17

2350164 --> Sunday, 04 - 08

2350165 --> Sunday, 03 - 31

2350166 --> Sunday, 04 - 20

2350167 --> Sunday, 04 - 05

2350168 --> Sunday, 03 - 27

2350169 --> Sunday, 04 - 16

2350170 --> Sunday, 04 - 01

2350171 --> Sunday, 04 - 21

2350172 --> Sunday, 04 - 12

2350173 --> Sunday, 03 - 28

2350174 --> Sunday, 04 - 17

2350175 --> Sunday, 04 - 09

2350176 --> Sunday, 03 - 24

2350177 --> Sunday, 04 - 13

2350178 --> Sunday, 04 - 05

2350179 --> Sunday, 04 - 25

2350180 --> Sunday, 04 - 09

2350181 --> Sunday, 04 - 01

2350182 --> Sunday, 04 - 21

2350183 --> Sunday, 04 - 06

2350184 --> Sunday, 03 - 28

2350185 --> Sunday, 04 - 17

2350186 --> Sunday, 04 - 02

2350187 --> Sunday, 03 - 25

2350188 --> Sunday, 04 - 13

2350189 --> Sunday, 04 - 05

2350190 --> Sunday, 04 - 18

2350191 --> Sunday, 04 - 10

2350192 --> Sunday, 04 - 01

2350193 --> Sunday, 04 - 21

2350194 --> Sunday, 04 - 06

2350195 --> Sunday, 03 - 29

2350196 --> Sunday, 04 - 17

2350197 --> Sunday, 04 - 02

2350198 --> Sunday, 04 - 22

2350199 --> Sunday, 04 - 14

2350200 --> Sunday, 03 - 30

2350201 --> Sunday, 04 - 19

2350202 --> Sunday, 04 - 11

2350203 --> Sunday, 03 - 27

2350204 --> Sunday, 04 - 15

2350205 --> Sunday, 04 - 07

2350206 --> Sunday, 03 - 23

2350207 --> Sunday, 04 - 12

2350208 --> Sunday, 04 - 03

2350209 --> Sunday, 04 - 23

2350210 --> Sunday, 04 - 08

2350211 --> Sunday, 03 - 31

2350212 --> Sunday, 04 - 19

2350213 --> Sunday, 04 - 04

2350214 --> Sunday, 03 - 27

2350215 --> Sunday, 04 - 16

2350216 --> Sunday, 04 - 07

2350217 --> Sunday, 04 - 20

2350218 --> Sunday, 04 - 12

2350219 --> Sunday, 04 - 04

2350220 --> Sunday, 04 - 23

2350221 --> Sunday, 04 - 08

2350222 --> Sunday, 03 - 31

2350223 --> Sunday, 04 - 20

2350224 --> Sunday, 04 - 04

2350225 --> Sunday, 03 - 27

2350226 --> Sunday, 04 - 16

