Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 1340000 through 1349999



1340000 --> Sunday, 04 - 02

1340001 --> Sunday, 03 - 25

1340002 --> Sunday, 04 - 14

1340003 --> Sunday, 03 - 30

1340004 --> Sunday, 04 - 18

1340005 --> Sunday, 04 - 10

1340006 --> Sunday, 04 - 02

1340007 --> Sunday, 04 - 15

1340008 --> Sunday, 04 - 06

1340009 --> Sunday, 03 - 29

1340010 --> Sunday, 04 - 18

1340011 --> Sunday, 04 - 03

1340012 --> Sunday, 04 - 22

1340013 --> Sunday, 04 - 14

1340014 --> Sunday, 03 - 30

1340015 --> Sunday, 04 - 19

1340016 --> Sunday, 04 - 10

1340017 --> Sunday, 03 - 26

1340018 --> Sunday, 04 - 15

1340019 --> Sunday, 04 - 07

1340020 --> Sunday, 03 - 22

1340021 --> Sunday, 04 - 11

1340022 --> Sunday, 04 - 03

1340023 --> Sunday, 04 - 23

1340024 --> Sunday, 04 - 07

1340025 --> Sunday, 03 - 30

1340026 --> Sunday, 04 - 19

1340027 --> Sunday, 04 - 04

1340028 --> Sunday, 03 - 26

1340029 --> Sunday, 04 - 15

1340030 --> Sunday, 04 - 07

1340031 --> Sunday, 04 - 20

1340032 --> Sunday, 04 - 11

1340033 --> Sunday, 04 - 03

1340034 --> Sunday, 04 - 16

1340035 --> Sunday, 04 - 08

1340036 --> Sunday, 03 - 30

1340037 --> Sunday, 04 - 19

1340038 --> Sunday, 04 - 04

1340039 --> Sunday, 03 - 27

1340040 --> Sunday, 04 - 15

1340041 --> Sunday, 03 - 31

1340042 --> Sunday, 04 - 20

1340043 --> Sunday, 04 - 12

1340044 --> Sunday, 03 - 27

1340045 --> Sunday, 04 - 16

1340046 --> Sunday, 04 - 08

1340047 --> Sunday, 03 - 24

1340048 --> Sunday, 04 - 12

1340049 --> Sunday, 04 - 04

1340050 --> Sunday, 04 - 24

1340051 --> Sunday, 04 - 09

1340052 --> Sunday, 03 - 31

1340053 --> Sunday, 04 - 20

1340054 --> Sunday, 04 - 05

1340055 --> Sunday, 03 - 28

1340056 --> Sunday, 04 - 16

1340057 --> Sunday, 04 - 08

1340058 --> Sunday, 03 - 24

1340059 --> Sunday, 04 - 13

1340060 --> Sunday, 04 - 04

1340061 --> Sunday, 04 - 24

1340062 --> Sunday, 04 - 09

1340063 --> Sunday, 04 - 01

1340064 --> Sunday, 04 - 20

1340065 --> Sunday, 04 - 05

1340066 --> Sunday, 03 - 28

1340067 --> Sunday, 04 - 17

1340068 --> Sunday, 04 - 01

1340069 --> Sunday, 04 - 21

1340070 --> Sunday, 04 - 13

1340071 --> Sunday, 03 - 29

1340072 --> Sunday, 04 - 17

1340073 --> Sunday, 04 - 09

1340074 --> Sunday, 03 - 25

1340075 --> Sunday, 04 - 14

1340076 --> Sunday, 04 - 05

1340077 --> Sunday, 03 - 28

1340078 --> Sunday, 04 - 10

1340079 --> Sunday, 04 - 02

1340080 --> Sunday, 04 - 21

1340081 --> Sunday, 04 - 13

1340082 --> Sunday, 03 - 29

1340083 --> Sunday, 04 - 18

1340084 --> Sunday, 04 - 09

1340085 --> Sunday, 03 - 25

1340086 --> Sunday, 04 - 14

1340087 --> Sunday, 04 - 06

1340088 --> Sunday, 04 - 25

1340089 --> Sunday, 04 - 10

1340090 --> Sunday, 04 - 02

1340091 --> Sunday, 04 - 22

1340092 --> Sunday, 04 - 06

1340093 --> Sunday, 03 - 29

1340094 --> Sunday, 04 - 18

1340095 --> Sunday, 04 - 03

1340096 --> Sunday, 03 - 25

1340097 --> Sunday, 04 - 14

1340098 --> Sunday, 03 - 30

1340099 --> Sunday, 04 - 19

1340100 --> Sunday, 04 - 11

1340101 --> Sunday, 04 - 03

1340102 --> Sunday, 04 - 16

1340103 --> Sunday, 04 - 08

1340104 --> Sunday, 03 - 30

1340105 --> Sunday, 04 - 19

1340106 --> Sunday, 04 - 04

1340107 --> Sunday, 03 - 27

1340108 --> Sunday, 04 - 15

1340109 --> Sunday, 03 - 31

1340110 --> Sunday, 04 - 20

1340111 --> Sunday, 04 - 12

1340112 --> Sunday, 03 - 27

1340113 --> Sunday, 04 - 16

1340114 --> Sunday, 04 - 08

1340115 --> Sunday, 03 - 24

1340116 --> Sunday, 04 - 12

1340117 --> Sunday, 04 - 04

1340118 --> Sunday, 04 - 24

1340119 --> Sunday, 04 - 09

1340120 --> Sunday, 03 - 31

1340121 --> Sunday, 04 - 20

1340122 --> Sunday, 04 - 05

1340123 --> Sunday, 03 - 28

1340124 --> Sunday, 04 - 16

1340125 --> Sunday, 04 - 08

1340126 --> Sunday, 03 - 24

1340127 --> Sunday, 04 - 13

1340128 --> Sunday, 04 - 04

1340129 --> Sunday, 04 - 17

1340130 --> Sunday, 04 - 09

1340131 --> Sunday, 04 - 01

1340132 --> Sunday, 04 - 20

1340133 --> Sunday, 04 - 05

1340134 --> Sunday, 03 - 28

1340135 --> Sunday, 04 - 17

1340136 --> Sunday, 04 - 01

1340137 --> Sunday, 04 - 21

1340138 --> Sunday, 04 - 13

1340139 --> Sunday, 03 - 29

1340140 --> Sunday, 04 - 17

1340141 --> Sunday, 04 - 09

1340142 --> Sunday, 03 - 25

1340143 --> Sunday, 04 - 14

1340144 --> Sunday, 04 - 05

1340145 --> Sunday, 03 - 28

1340146 --> Sunday, 04 - 10

1340147 --> Sunday, 04 - 02

1340148 --> Sunday, 04 - 21

1340149 --> Sunday, 04 - 06

1340150 --> Sunday, 03 - 29

1340151 --> Sunday, 04 - 18

1340152 --> Sunday, 04 - 09

1340153 --> Sunday, 03 - 25

1340154 --> Sunday, 04 - 14

1340155 --> Sunday, 04 - 06

1340156 --> Sunday, 04 - 25

1340157 --> Sunday, 04 - 10

1340158 --> Sunday, 04 - 02

1340159 --> Sunday, 04 - 22

1340160 --> Sunday, 04 - 06

1340161 --> Sunday, 03 - 29

1340162 --> Sunday, 04 - 18

1340163 --> Sunday, 04 - 03

1340164 --> Sunday, 03 - 25

1340165 --> Sunday, 04 - 14

1340166 --> Sunday, 03 - 30

1340167 --> Sunday, 04 - 19

1340168 --> Sunday, 04 - 10

1340169 --> Sunday, 03 - 26

1340170 --> Sunday, 04 - 15

1340171 --> Sunday, 04 - 07

1340172 --> Sunday, 03 - 29

1340173 --> Sunday, 04 - 11

1340174 --> Sunday, 04 - 03

1340175 --> Sunday, 04 - 23

1340176 --> Sunday, 04 - 14

1340177 --> Sunday, 03 - 30

1340178 --> Sunday, 04 - 19

1340179 --> Sunday, 04 - 11

1340180 --> Sunday, 03 - 26

1340181 --> Sunday, 04 - 15

1340182 --> Sunday, 04 - 07

1340183 --> Sunday, 03 - 23

1340184 --> Sunday, 04 - 11

1340185 --> Sunday, 04 - 03

1340186 --> Sunday, 04 - 23

1340187 --> Sunday, 04 - 08

1340188 --> Sunday, 03 - 30

1340189 --> Sunday, 04 - 19

1340190 --> Sunday, 04 - 04

1340191 --> Sunday, 03 - 27

1340192 --> Sunday, 04 - 15

1340193 --> Sunday, 03 - 31

1340194 --> Sunday, 04 - 20

1340195 --> Sunday, 04 - 12

1340196 --> Sunday, 04 - 03

1340197 --> Sunday, 04 - 16

1340198 --> Sunday, 04 - 08

1340199 --> Sunday, 03 - 31

1340200 --> Sunday, 04 - 13

1340201 --> Sunday, 04 - 05

1340202 --> Sunday, 03 - 28

1340203 --> Sunday, 04 - 10

1340204 --> Sunday, 04 - 01

1340205 --> Sunday, 04 - 21

1340206 --> Sunday, 04 - 06

1340207 --> Sunday, 03 - 29

1340208 --> Sunday, 04 - 17

1340209 --> Sunday, 04 - 09

1340210 --> Sunday, 03 - 25

1340211 --> Sunday, 04 - 14

1340212 --> Sunday, 04 - 05

1340213 --> Sunday, 04 - 25

1340214 --> Sunday, 04 - 10

1340215 --> Sunday, 04 - 02

1340216 --> Sunday, 04 - 21

1340217 --> Sunday, 04 - 06

1340218 --> Sunday, 03 - 29

1340219 --> Sunday, 04 - 18

1340220 --> Sunday, 04 - 02

1340221 --> Sunday, 03 - 25

1340222 --> Sunday, 04 - 14

1340223 --> Sunday, 03 - 30

1340224 --> Sunday, 04 - 18

1340225 --> Sunday, 04 - 10

1340226 --> Sunday, 03 - 26

1340227 --> Sunday, 04 - 15

1340228 --> Sunday, 04 - 06

1340229 --> Sunday, 03 - 29

1340230 --> Sunday, 04 - 11

1340231 --> Sunday, 04 - 03

1340232 --> Sunday, 04 - 22

1340233 --> Sunday, 04 - 14

1340234 --> Sunday, 03 - 30

1340235 --> Sunday, 04 - 19

1340236 --> Sunday, 04 - 10

1340237 --> Sunday, 03 - 26

1340238 --> Sunday, 04 - 15

1340239 --> Sunday, 04 - 07

1340240 --> Sunday, 03 - 22

1340241 --> Sunday, 04 - 11

1340242 --> Sunday, 04 - 03

1340243 --> Sunday, 04 - 23

1340244 --> Sunday, 04 - 07

1340245 --> Sunday, 03 - 30

1340246 --> Sunday, 04 - 19

1340247 --> Sunday, 04 - 04

1340248 --> Sunday, 03 - 26

1340249 --> Sunday, 04 - 15

1340250 --> Sunday, 03 - 31

1340251 --> Sunday, 04 - 20

1340252 --> Sunday, 04 - 11

1340253 --> Sunday, 04 - 03

1340254 --> Sunday, 04 - 16

1340255 --> Sunday, 04 - 08

1340256 --> Sunday, 03 - 30

1340257 --> Sunday, 04 - 19

1340258 --> Sunday, 04 - 04

1340259 --> Sunday, 03 - 27

1340260 --> Sunday, 04 - 15

1340261 --> Sunday, 03 - 31

1340262 --> Sunday, 04 - 20

1340263 --> Sunday, 04 - 12

1340264 --> Sunday, 03 - 27

1340265 --> Sunday, 04 - 16

1340266 --> Sunday, 04 - 08

1340267 --> Sunday, 03 - 24

1340268 --> Sunday, 04 - 12

1340269 --> Sunday, 04 - 04

1340270 --> Sunday, 04 - 24

1340271 --> Sunday, 04 - 09

1340272 --> Sunday, 03 - 31

1340273 --> Sunday, 04 - 20

1340274 --> Sunday, 04 - 05

1340275 --> Sunday, 03 - 28

1340276 --> Sunday, 04 - 16

1340277 --> Sunday, 04 - 08

1340278 --> Sunday, 03 - 24

1340279 --> Sunday, 04 - 13

1340280 --> Sunday, 04 - 04

1340281 --> Sunday, 04 - 17

1340282 --> Sunday, 04 - 09

1340283 --> Sunday, 04 - 01

1340284 --> Sunday, 04 - 20

1340285 --> Sunday, 04 - 05

1340286 --> Sunday, 03 - 28

1340287 --> Sunday, 04 - 17

1340288 --> Sunday, 04 - 01

1340289 --> Sunday, 04 - 21

1340290 --> Sunday, 04 - 13

1340291 --> Sunday, 03 - 29

1340292 --> Sunday, 04 - 17

1340293 --> Sunday, 04 - 09

1340294 --> Sunday, 03 - 25

1340295 --> Sunday, 04 - 14

1340296 --> Sunday, 04 - 05

1340297 --> Sunday, 03 - 28

1340298 --> Sunday, 04 - 10

1340299 --> Sunday, 04 - 02

1340300 --> Sunday, 04 - 22

1340301 --> Sunday, 04 - 07

1340302 --> Sunday, 03 - 30

1340303 --> Sunday, 04 - 19

1340304 --> Sunday, 04 - 10

1340305 --> Sunday, 03 - 26

1340306 --> Sunday, 04 - 15

1340307 --> Sunday, 04 - 07

1340308 --> Sunday, 04 - 19

1340309 --> Sunday, 04 - 11

1340310 --> Sunday, 04 - 03

1340311 --> Sunday, 04 - 23

1340312 --> Sunday, 04 - 07

1340313 --> Sunday, 03 - 30

