Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3650000 through 3659999



3650000 --> Thursday, 05 - 25

3650001 --> Thursday, 05 - 17

3650002 --> Thursday, 05 - 09

3650003 --> Thursday, 05 - 22

3650004 --> Thursday, 05 - 13

3650005 --> Thursday, 05 - 05

3650006 --> Thursday, 05 - 25

3650007 --> Thursday, 05 - 10

3650008 --> Thursday, 05 - 29

3650009 --> Thursday, 05 - 21

3650010 --> Thursday, 05 - 06

3650011 --> Thursday, 05 - 26

3650012 --> Thursday, 05 - 17

3650013 --> Thursday, 05 - 02

3650014 --> Thursday, 05 - 22

3650015 --> Thursday, 05 - 14

3650016 --> Thursday, 06 - 02

3650017 --> Thursday, 05 - 18

3650018 --> Thursday, 05 - 10

3650019 --> Thursday, 05 - 30

3650020 --> Thursday, 05 - 14

3650021 --> Thursday, 05 - 06

3650022 --> Thursday, 05 - 26

3650023 --> Thursday, 05 - 11

3650024 --> Thursday, 05 - 02

3650025 --> Thursday, 05 - 22

3650026 --> Thursday, 05 - 14

3650027 --> Thursday, 05 - 27

3650028 --> Thursday, 05 - 18

3650029 --> Thursday, 05 - 10

3650030 --> Thursday, 05 - 30

3650031 --> Thursday, 05 - 15

3650032 --> Thursday, 05 - 06

3650033 --> Thursday, 05 - 26

3650034 --> Thursday, 05 - 11

3650035 --> Thursday, 05 - 31

3650036 --> Thursday, 05 - 22

3650037 --> Thursday, 05 - 07

3650038 --> Thursday, 05 - 27

3650039 --> Thursday, 05 - 19

3650040 --> Thursday, 05 - 03

3650041 --> Thursday, 05 - 23

3650042 --> Thursday, 05 - 15

3650043 --> Thursday, 04 - 30

3650044 --> Thursday, 05 - 19

3650045 --> Thursday, 05 - 11

3650046 --> Thursday, 05 - 31

3650047 --> Thursday, 05 - 16

3650048 --> Thursday, 05 - 07

3650049 --> Thursday, 05 - 27

3650050 --> Thursday, 05 - 19

3650051 --> Thursday, 05 - 04

3650052 --> Thursday, 05 - 23

3650053 --> Thursday, 05 - 15

3650054 --> Thursday, 05 - 28

3650055 --> Thursday, 05 - 20

3650056 --> Thursday, 05 - 11

3650057 --> Thursday, 05 - 31

3650058 --> Thursday, 05 - 16

3650059 --> Thursday, 05 - 08

3650060 --> Thursday, 05 - 27

3650061 --> Thursday, 05 - 12

3650062 --> Thursday, 05 - 04

3650063 --> Thursday, 05 - 24

3650064 --> Thursday, 05 - 08

3650065 --> Thursday, 05 - 28

3650066 --> Thursday, 05 - 20

3650067 --> Thursday, 05 - 05

3650068 --> Thursday, 05 - 24

3650069 --> Thursday, 05 - 16

3650070 --> Thursday, 05 - 08

3650071 --> Thursday, 05 - 21

3650072 --> Thursday, 05 - 12

3650073 --> Thursday, 06 - 01

3650074 --> Thursday, 05 - 17

3650075 --> Thursday, 05 - 09

3650076 --> Thursday, 05 - 28

3650077 --> Thursday, 05 - 20

3650078 --> Thursday, 05 - 05

3650079 --> Thursday, 05 - 25

3650080 --> Thursday, 05 - 16

3650081 --> Thursday, 05 - 01

3650082 --> Thursday, 05 - 21

3650083 --> Thursday, 05 - 13

3650084 --> Thursday, 06 - 01

3650085 --> Thursday, 05 - 17

3650086 --> Thursday, 05 - 09

3650087 --> Thursday, 05 - 29

3650088 --> Thursday, 05 - 13

3650089 --> Thursday, 05 - 05

3650090 --> Thursday, 05 - 25

3650091 --> Thursday, 05 - 10

3650092 --> Thursday, 05 - 29

3650093 --> Thursday, 05 - 21

3650094 --> Thursday, 05 - 06

3650095 --> Thursday, 05 - 26

3650096 --> Thursday, 05 - 17

3650097 --> Thursday, 05 - 09

3650098 --> Thursday, 05 - 22

3650099 --> Thursday, 05 - 14

3650100 --> Thursday, 05 - 06

3650101 --> Thursday, 05 - 26

3650102 --> Thursday, 05 - 11

3650103 --> Thursday, 05 - 31

3650104 --> Thursday, 05 - 22

3650105 --> Thursday, 05 - 07

3650106 --> Thursday, 05 - 27

3650107 --> Thursday, 05 - 19

3650108 --> Thursday, 05 - 03

3650109 --> Thursday, 05 - 23

3650110 --> Thursday, 05 - 15

3650111 --> Thursday, 05 - 28

3650112 --> Thursday, 05 - 19

3650113 --> Thursday, 05 - 11

3650114 --> Thursday, 05 - 31

3650115 --> Thursday, 05 - 16

3650116 --> Thursday, 05 - 07

3650117 --> Thursday, 05 - 27

3650118 --> Thursday, 05 - 12

3650119 --> Thursday, 05 - 04

3650120 --> Thursday, 05 - 23

3650121 --> Thursday, 05 - 15

3650122 --> Thursday, 05 - 28

3650123 --> Thursday, 05 - 20

3650124 --> Thursday, 05 - 11

3650125 --> Thursday, 05 - 31

3650126 --> Thursday, 05 - 16

3650127 --> Thursday, 05 - 08

3650128 --> Thursday, 05 - 27

3650129 --> Thursday, 05 - 12

3650130 --> Thursday, 06 - 01

3650131 --> Thursday, 05 - 24

3650132 --> Thursday, 05 - 08

3650133 --> Thursday, 05 - 28

3650134 --> Thursday, 05 - 20

3650135 --> Thursday, 05 - 05

3650136 --> Thursday, 05 - 24

3650137 --> Thursday, 05 - 16

3650138 --> Thursday, 05 - 01

3650139 --> Thursday, 05 - 21

3650140 --> Thursday, 05 - 12

3650141 --> Thursday, 06 - 01

3650142 --> Thursday, 05 - 17

3650143 --> Thursday, 05 - 09

3650144 --> Thursday, 05 - 28

3650145 --> Thursday, 05 - 20

3650146 --> Thursday, 05 - 05

3650147 --> Thursday, 05 - 25

3650148 --> Thursday, 05 - 16

3650149 --> Thursday, 05 - 29

3650150 --> Thursday, 05 - 21

3650151 --> Thursday, 05 - 13

3650152 --> Thursday, 06 - 01

3650153 --> Thursday, 05 - 17

3650154 --> Thursday, 05 - 09

3650155 --> Thursday, 05 - 29

3650156 --> Thursday, 05 - 13

3650157 --> Thursday, 05 - 05

3650158 --> Thursday, 05 - 25

3650159 --> Thursday, 05 - 10

3650160 --> Thursday, 05 - 29

3650161 --> Thursday, 05 - 21

3650162 --> Thursday, 05 - 06

3650163 --> Thursday, 05 - 26

3650164 --> Thursday, 05 - 17

3650165 --> Thursday, 05 - 09

3650166 --> Thursday, 05 - 22

3650167 --> Thursday, 05 - 14

3650168 --> Thursday, 06 - 02

3650169 --> Thursday, 05 - 18

3650170 --> Thursday, 05 - 10

3650171 --> Thursday, 05 - 30

3650172 --> Thursday, 05 - 21

3650173 --> Thursday, 05 - 06

3650174 --> Thursday, 05 - 26

3650175 --> Thursday, 05 - 18

3650176 --> Thursday, 05 - 02

3650177 --> Thursday, 05 - 22

3650178 --> Thursday, 05 - 14

3650179 --> Thursday, 05 - 27

3650180 --> Thursday, 05 - 18

