Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2790000 through 2799999



2790000 --> Thursday, 05 - 25

2790001 --> Thursday, 05 - 10

2790002 --> Thursday, 05 - 30

2790003 --> Thursday, 05 - 22

2790004 --> Thursday, 05 - 06

2790005 --> Thursday, 05 - 26

2790006 --> Thursday, 05 - 18

2790007 --> Thursday, 05 - 03

2790008 --> Thursday, 05 - 22

2790009 --> Thursday, 05 - 14

2790010 --> Thursday, 05 - 06

2790011 --> Thursday, 05 - 19

2790012 --> Thursday, 05 - 10

2790013 --> Thursday, 05 - 30

2790014 --> Thursday, 05 - 22

2790015 --> Thursday, 05 - 07

2790016 --> Thursday, 05 - 26

2790017 --> Thursday, 05 - 18

2790018 --> Thursday, 05 - 03

2790019 --> Thursday, 05 - 23

2790020 --> Thursday, 05 - 14

2790021 --> Thursday, 06 - 03

2790022 --> Thursday, 05 - 19

2790023 --> Thursday, 05 - 11

2790024 --> Thursday, 05 - 30

2790025 --> Thursday, 05 - 15

2790026 --> Thursday, 05 - 07

2790027 --> Thursday, 05 - 27

2790028 --> Thursday, 05 - 11

2790029 --> Thursday, 05 - 03

2790030 --> Thursday, 05 - 23

2790031 --> Thursday, 05 - 08

2790032 --> Thursday, 05 - 27

2790033 --> Thursday, 05 - 19

2790034 --> Thursday, 05 - 11

2790035 --> Thursday, 05 - 24

2790036 --> Thursday, 05 - 15

2790037 --> Thursday, 05 - 07

2790038 --> Thursday, 05 - 20

2790039 --> Thursday, 05 - 12

2790040 --> Thursday, 05 - 31

2790041 --> Thursday, 05 - 23

2790042 --> Thursday, 05 - 08

2790043 --> Thursday, 05 - 28

2790044 --> Thursday, 05 - 19

2790045 --> Thursday, 05 - 04

2790046 --> Thursday, 05 - 24

2790047 --> Thursday, 05 - 16

2790048 --> Thursday, 04 - 30

2790049 --> Thursday, 05 - 20

2790050 --> Thursday, 05 - 12

2790051 --> Thursday, 06 - 01

2790052 --> Thursday, 05 - 16

2790053 --> Thursday, 05 - 08

2790054 --> Thursday, 05 - 28

2790055 --> Thursday, 05 - 13

2790056 --> Thursday, 05 - 04

2790057 --> Thursday, 05 - 24

2790058 --> Thursday, 05 - 09

2790059 --> Thursday, 05 - 29

2790060 --> Thursday, 05 - 20

2790061 --> Thursday, 05 - 12

2790062 --> Thursday, 05 - 25

2790063 --> Thursday, 05 - 17

2790064 --> Thursday, 05 - 08

2790065 --> Thursday, 05 - 28

2790066 --> Thursday, 05 - 13

2790067 --> Thursday, 05 - 05

2790068 --> Thursday, 05 - 24

2790069 --> Thursday, 05 - 09

2790070 --> Thursday, 05 - 29

2790071 --> Thursday, 05 - 21

2790072 --> Thursday, 05 - 05

2790073 --> Thursday, 05 - 25

2790074 --> Thursday, 05 - 17

2790075 --> Thursday, 05 - 02

2790076 --> Thursday, 05 - 21

2790077 --> Thursday, 05 - 13

2790078 --> Thursday, 06 - 02

2790079 --> Thursday, 05 - 18

2790080 --> Thursday, 05 - 09

2790081 --> Thursday, 05 - 29

2790082 --> Thursday, 05 - 14

2790083 --> Thursday, 05 - 06

2790084 --> Thursday, 05 - 25

2790085 --> Thursday, 05 - 17

2790086 --> Thursday, 05 - 02

2790087 --> Thursday, 05 - 22

2790088 --> Thursday, 05 - 13

2790089 --> Thursday, 06 - 02

2790090 --> Thursday, 05 - 18

2790091 --> Thursday, 05 - 10

2790092 --> Thursday, 05 - 29

2790093 --> Thursday, 05 - 14

2790094 --> Thursday, 05 - 06

2790095 --> Thursday, 05 - 26

2790096 --> Thursday, 05 - 10

2790097 --> Thursday, 05 - 30

2790098 --> Thursday, 05 - 22

2790099 --> Thursday, 05 - 07

2790100 --> Thursday, 05 - 27

2790101 --> Thursday, 05 - 19

2790102 --> Thursday, 05 - 04

2790103 --> Thursday, 05 - 24

2790104 --> Thursday, 05 - 15

2790105 --> Thursday, 05 - 07

2790106 --> Thursday, 05 - 20

2790107 --> Thursday, 05 - 12

2790108 --> Thursday, 05 - 31

2790109 --> Thursday, 05 - 23

2790110 --> Thursday, 05 - 08

2790111 --> Thursday, 05 - 28

2790112 --> Thursday, 05 - 19

2790113 --> Thursday, 05 - 04

2790114 --> Thursday, 05 - 24

2790115 --> Thursday, 05 - 16

2790116 --> Thursday, 05 - 28

2790117 --> Thursday, 05 - 20

2790118 --> Thursday, 05 - 12

2790119 --> Thursday, 06 - 01

2790120 --> Thursday, 05 - 16

2790121 --> Thursday, 05 - 08

2790122 --> Thursday, 05 - 28

2790123 --> Thursday, 05 - 13

2790124 --> Thursday, 05 - 04

2790125 --> Thursday, 05 - 24

2790126 --> Thursday, 05 - 09

2790127 --> Thursday, 05 - 29

2790128 --> Thursday, 05 - 20

2790129 --> Thursday, 05 - 12

2790130 --> Thursday, 05 - 25

2790131 --> Thursday, 05 - 17

2790132 --> Thursday, 05 - 08

2790133 --> Thursday, 05 - 21

2790134 --> Thursday, 05 - 13

2790135 --> Thursday, 06 - 02

2790136 --> Thursday, 05 - 24

2790137 --> Thursday, 05 - 09

2790138 --> Thursday, 05 - 29

2790139 --> Thursday, 05 - 21

2790140 --> Thursday, 05 - 05

2790141 --> Thursday, 05 - 25

2790142 --> Thursday, 05 - 17

2790143 --> Thursday, 05 - 02

2790144 --> Thursday, 05 - 21

2790145 --> Thursday, 05 - 13

2790146 --> Thursday, 06 - 02

