Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2970000 through 2979999



2970000 --> Thursday, 05 - 25

2970001 --> Thursday, 05 - 10

2970002 --> Thursday, 05 - 30

2970003 --> Thursday, 05 - 22

2970004 --> Thursday, 05 - 06

2970005 --> Thursday, 05 - 26

2970006 --> Thursday, 05 - 18

2970007 --> Thursday, 05 - 03

2970008 --> Thursday, 05 - 22

2970009 --> Thursday, 05 - 14

2970010 --> Thursday, 05 - 06

2970011 --> Thursday, 05 - 19

2970012 --> Thursday, 05 - 10

2970013 --> Thursday, 05 - 30

2970014 --> Thursday, 05 - 22

2970015 --> Thursday, 05 - 07

2970016 --> Thursday, 05 - 26

2970017 --> Thursday, 05 - 18

2970018 --> Thursday, 05 - 03

2970019 --> Thursday, 05 - 23

2970020 --> Thursday, 05 - 14

2970021 --> Thursday, 06 - 03

2970022 --> Thursday, 05 - 19

2970023 --> Thursday, 05 - 11

2970024 --> Thursday, 05 - 30

2970025 --> Thursday, 05 - 15

2970026 --> Thursday, 05 - 07

2970027 --> Thursday, 05 - 27

2970028 --> Thursday, 05 - 11

2970029 --> Thursday, 05 - 03

2970030 --> Thursday, 05 - 23

2970031 --> Thursday, 05 - 08

2970032 --> Thursday, 05 - 27

2970033 --> Thursday, 05 - 19

2970034 --> Thursday, 05 - 11

2970035 --> Thursday, 05 - 24

2970036 --> Thursday, 05 - 15

2970037 --> Thursday, 05 - 07

2970038 --> Thursday, 05 - 27

2970039 --> Thursday, 05 - 12

2970040 --> Thursday, 05 - 31

2970041 --> Thursday, 05 - 23

2970042 --> Thursday, 05 - 08

2970043 --> Thursday, 05 - 28

2970044 --> Thursday, 05 - 19

2970045 --> Thursday, 05 - 04

2970046 --> Thursday, 05 - 24

2970047 --> Thursday, 05 - 16

2970048 --> Thursday, 04 - 30

2970049 --> Thursday, 05 - 20

2970050 --> Thursday, 05 - 12

2970051 --> Thursday, 06 - 01

2970052 --> Thursday, 05 - 16

2970053 --> Thursday, 05 - 08

2970054 --> Thursday, 05 - 28

2970055 --> Thursday, 05 - 13

2970056 --> Thursday, 05 - 04

2970057 --> Thursday, 05 - 24

2970058 --> Thursday, 05 - 16

2970059 --> Thursday, 05 - 29

2970060 --> Thursday, 05 - 20

2970061 --> Thursday, 05 - 12

2970062 --> Thursday, 05 - 25

2970063 --> Thursday, 05 - 17

2970064 --> Thursday, 05 - 08

2970065 --> Thursday, 05 - 28

2970066 --> Thursday, 05 - 13

2970067 --> Thursday, 05 - 05

2970068 --> Thursday, 05 - 24

2970069 --> Thursday, 05 - 09

2970070 --> Thursday, 05 - 29

2970071 --> Thursday, 05 - 21

2970072 --> Thursday, 05 - 05

2970073 --> Thursday, 05 - 25

2970074 --> Thursday, 05 - 17

2970075 --> Thursday, 05 - 02

2970076 --> Thursday, 05 - 21

2970077 --> Thursday, 05 - 13

2970078 --> Thursday, 06 - 02

2970079 --> Thursday, 05 - 18

2970080 --> Thursday, 05 - 09

2970081 --> Thursday, 05 - 29

2970082 --> Thursday, 05 - 14

2970083 --> Thursday, 05 - 06

2970084 --> Thursday, 05 - 25

2970085 --> Thursday, 05 - 17

2970086 --> Thursday, 05 - 02

2970087 --> Thursday, 05 - 22

2970088 --> Thursday, 05 - 13

2970089 --> Thursday, 06 - 02

2970090 --> Thursday, 05 - 18

2970091 --> Thursday, 05 - 10

2970092 --> Thursday, 05 - 29

2970093 --> Thursday, 05 - 14

2970094 --> Thursday, 05 - 06

2970095 --> Thursday, 05 - 26

2970096 --> Thursday, 05 - 10

2970097 --> Thursday, 05 - 30

2970098 --> Thursday, 05 - 22

2970099 --> Thursday, 05 - 07

2970100 --> Thursday, 05 - 27

2970101 --> Thursday, 05 - 19

2970102 --> Thursday, 05 - 04

2970103 --> Thursday, 05 - 24

2970104 --> Thursday, 05 - 15

2970105 --> Thursday, 05 - 07

2970106 --> Thursday, 05 - 20

2970107 --> Thursday, 05 - 12

2970108 --> Thursday, 05 - 31

2970109 --> Thursday, 05 - 23

2970110 --> Thursday, 05 - 08

2970111 --> Thursday, 05 - 28

2970112 --> Thursday, 05 - 19

2970113 --> Thursday, 05 - 04

2970114 --> Thursday, 05 - 24

2970115 --> Thursday, 05 - 16

2970116 --> Thursday, 04 - 30

2970117 --> Thursday, 05 - 20

2970118 --> Thursday, 05 - 12

2970119 --> Thursday, 06 - 01

2970120 --> Thursday, 05 - 16

2970121 --> Thursday, 05 - 08

2970122 --> Thursday, 05 - 28

2970123 --> Thursday, 05 - 13

2970124 --> Thursday, 05 - 04

2970125 --> Thursday, 05 - 24

2970126 --> Thursday, 05 - 09

2970127 --> Thursday, 05 - 29

2970128 --> Thursday, 05 - 20

2970129 --> Thursday, 05 - 12

2970130 --> Thursday, 05 - 25

2970131 --> Thursday, 05 - 17

2970132 --> Thursday, 05 - 08

2970133 --> Thursday, 05 - 28

2970134 --> Thursday, 05 - 13

2970135 --> Thursday, 05 - 05

2970136 --> Thursday, 05 - 24

2970137 --> Thursday, 05 - 09

2970138 --> Thursday, 05 - 29

2970139 --> Thursday, 05 - 21

2970140 --> Thursday, 05 - 05

2970141 --> Thursday, 05 - 25

2970142 --> Thursday, 05 - 17

2970143 --> Thursday, 05 - 02

2970144 --> Thursday, 05 - 21

2970145 --> Thursday, 05 - 13

2970146 --> Thursday, 06 - 02

2970147 --> Thursday, 05 - 18

2970148 --> Thursday, 05 - 09

2970149 --> Thursday, 05 - 29

2970150 --> Thursday, 05 - 14

2970151 --> Thursday, 05 - 06

2970152 --> Thursday, 05 - 25

2970153 --> Thursday, 05 - 17

2970154 --> Thursday, 05 - 02

2970155 --> Thursday, 05 - 22

2970156 --> Thursday, 05 - 13

2970157 --> Thursday, 05 - 26

2970158 --> Thursday, 05 - 18

2970159 --> Thursday, 05 - 10

2970160 --> Thursday, 05 - 29

2970161 --> Thursday, 05 - 14

2970162 --> Thursday, 05 - 06

2970163 --> Thursday, 05 - 26

2970164 --> Thursday, 05 - 10

2970165 --> Thursday, 05 - 30

2970166 --> Thursday, 05 - 22

2970167 --> Thursday, 05 - 07

2970168 --> Thursday, 05 - 26

2970169 --> Thursday, 05 - 18

