Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3580000 through 3589999



3580000 --> Thursday, 05 - 11

3580001 --> Thursday, 05 - 31

3580002 --> Thursday, 05 - 16

3580003 --> Thursday, 05 - 08

3580004 --> Thursday, 05 - 27

3580005 --> Thursday, 05 - 19

3580006 --> Thursday, 05 - 04

3580007 --> Thursday, 05 - 24

3580008 --> Thursday, 05 - 15

3580009 --> Thursday, 05 - 28

3580010 --> Thursday, 05 - 20

3580011 --> Thursday, 05 - 12

3580012 --> Thursday, 05 - 31

3580013 --> Thursday, 05 - 16

3580014 --> Thursday, 05 - 08

3580015 --> Thursday, 05 - 28

3580016 --> Thursday, 05 - 12

3580017 --> Thursday, 05 - 04

3580018 --> Thursday, 05 - 24

3580019 --> Thursday, 05 - 09

3580020 --> Thursday, 05 - 28

3580021 --> Thursday, 05 - 20

3580022 --> Thursday, 05 - 05

3580023 --> Thursday, 05 - 25

3580024 --> Thursday, 05 - 16

3580025 --> Thursday, 05 - 08

3580026 --> Thursday, 05 - 21

3580027 --> Thursday, 05 - 13

3580028 --> Thursday, 06 - 01

3580029 --> Thursday, 05 - 24

3580030 --> Thursday, 05 - 09

3580031 --> Thursday, 05 - 29

3580032 --> Thursday, 05 - 20

3580033 --> Thursday, 05 - 05

3580034 --> Thursday, 05 - 25

3580035 --> Thursday, 05 - 17

3580036 --> Thursday, 05 - 01

3580037 --> Thursday, 05 - 21

3580038 --> Thursday, 05 - 13

3580039 --> Thursday, 06 - 02

3580040 --> Thursday, 05 - 17

3580041 --> Thursday, 05 - 09

3580042 --> Thursday, 05 - 29

3580043 --> Thursday, 05 - 14

3580044 --> Thursday, 05 - 05

3580045 --> Thursday, 05 - 25

3580046 --> Thursday, 05 - 10

3580047 --> Thursday, 05 - 30

3580048 --> Thursday, 05 - 21

3580049 --> Thursday, 05 - 13

3580050 --> Thursday, 05 - 26

3580051 --> Thursday, 05 - 18

3580052 --> Thursday, 05 - 09

3580053 --> Thursday, 05 - 29

3580054 --> Thursday, 05 - 14

3580055 --> Thursday, 05 - 06

3580056 --> Thursday, 05 - 25

3580057 --> Thursday, 05 - 10

3580058 --> Thursday, 05 - 30

3580059 --> Thursday, 05 - 22

3580060 --> Thursday, 05 - 06

3580061 --> Thursday, 05 - 26

3580062 --> Thursday, 05 - 18

3580063 --> Thursday, 05 - 03

3580064 --> Thursday, 05 - 22

3580065 --> Thursday, 05 - 14

3580066 --> Thursday, 06 - 03

3580067 --> Thursday, 05 - 19

3580068 --> Thursday, 05 - 10

3580069 --> Thursday, 05 - 30

3580070 --> Thursday, 05 - 15

3580071 --> Thursday, 05 - 07

3580072 --> Thursday, 05 - 26

3580073 --> Thursday, 05 - 18

