Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3590000 through 3599999



3590000 --> Thursday, 05 - 18

3590001 --> Thursday, 05 - 10

3590002 --> Thursday, 05 - 23

3590003 --> Thursday, 05 - 15

3590004 --> Thursday, 05 - 06

3590005 --> Thursday, 05 - 26

3590006 --> Thursday, 05 - 11

3590007 --> Thursday, 05 - 31

3590008 --> Thursday, 05 - 22

3590009 --> Thursday, 05 - 07

3590010 --> Thursday, 05 - 27

3590011 --> Thursday, 05 - 19

3590012 --> Thursday, 05 - 03

3590013 --> Thursday, 05 - 23

3590014 --> Thursday, 05 - 15

3590015 --> Thursday, 05 - 28

3590016 --> Thursday, 05 - 19

3590017 --> Thursday, 05 - 11

3590018 --> Thursday, 05 - 31

3590019 --> Thursday, 05 - 16

3590020 --> Thursday, 05 - 07

3590021 --> Thursday, 05 - 27

3590022 --> Thursday, 05 - 12

3590023 --> Thursday, 05 - 04

3590024 --> Thursday, 05 - 23

3590025 --> Thursday, 05 - 15

3590026 --> Thursday, 05 - 28

3590027 --> Thursday, 05 - 20

3590028 --> Thursday, 05 - 11

3590029 --> Thursday, 05 - 31

3590030 --> Thursday, 05 - 16

3590031 --> Thursday, 05 - 08

3590032 --> Thursday, 05 - 27

3590033 --> Thursday, 05 - 12

3590034 --> Thursday, 06 - 01

3590035 --> Thursday, 05 - 24

3590036 --> Thursday, 05 - 08

3590037 --> Thursday, 05 - 28

3590038 --> Thursday, 05 - 20

3590039 --> Thursday, 05 - 05

3590040 --> Thursday, 05 - 24

3590041 --> Thursday, 05 - 16

3590042 --> Thursday, 05 - 01

3590043 --> Thursday, 05 - 21

3590044 --> Thursday, 05 - 12

3590045 --> Thursday, 06 - 01

3590046 --> Thursday, 05 - 17

3590047 --> Thursday, 05 - 09

3590048 --> Thursday, 05 - 28

3590049 --> Thursday, 05 - 20

3590050 --> Thursday, 05 - 05

3590051 --> Thursday, 05 - 25

3590052 --> Thursday, 05 - 16

3590053 --> Thursday, 05 - 29

3590054 --> Thursday, 05 - 21

3590055 --> Thursday, 05 - 13

3590056 --> Thursday, 06 - 01

3590057 --> Thursday, 05 - 17

3590058 --> Thursday, 05 - 09

3590059 --> Thursday, 05 - 29

3590060 --> Thursday, 05 - 13

3590061 --> Thursday, 05 - 05

3590062 --> Thursday, 05 - 25

3590063 --> Thursday, 05 - 10

3590064 --> Thursday, 05 - 29

3590065 --> Thursday, 05 - 21

3590066 --> Thursday, 05 - 06

3590067 --> Thursday, 05 - 26

3590068 --> Thursday, 05 - 17

3590069 --> Thursday, 05 - 02

3590070 --> Thursday, 05 - 22

3590071 --> Thursday, 05 - 14

3590072 --> Thursday, 06 - 02

3590073 --> Thursday, 05 - 18

3590074 --> Thursday, 05 - 10

3590075 --> Thursday, 05 - 30

3590076 --> Thursday, 05 - 21

3590077 --> Thursday, 05 - 06

3590078 --> Thursday, 05 - 26

3590079 --> Thursday, 05 - 18

3590080 --> Thursday, 05 - 02

3590081 --> Thursday, 05 - 22

3590082 --> Thursday, 05 - 14

3590083 --> Thursday, 05 - 27

3590084 --> Thursday, 05 - 18

3590085 --> Thursday, 05 - 10

3590086 --> Thursday, 05 - 30

3590087 --> Thursday, 05 - 15

3590088 --> Thursday, 05 - 06

3590089 --> Thursday, 05 - 26

3590090 --> Thursday, 05 - 11

3590091 --> Thursday, 05 - 31

3590092 --> Thursday, 05 - 22

3590093 --> Thursday, 05 - 07

3590094 --> Thursday, 05 - 27

3590095 --> Thursday, 05 - 19

3590096 --> Thursday, 05 - 10

3590097 --> Thursday, 05 - 23

3590098 --> Thursday, 05 - 15

3590099 --> Thursday, 05 - 07

3590100 --> Thursday, 05 - 27

3590101 --> Thursday, 05 - 12

3590102 --> Thursday, 06 - 01

3590103 --> Thursday, 05 - 24

3590104 --> Thursday, 05 - 08

3590105 --> Thursday, 05 - 28

3590106 --> Thursday, 05 - 20

3590107 --> Thursday, 05 - 05

3590108 --> Thursday, 05 - 24

3590109 --> Thursday, 05 - 16

3590110 --> Thursday, 05 - 01

3590111 --> Thursday, 05 - 21

3590112 --> Thursday, 05 - 12

3590113 --> Thursday, 06 - 01

3590114 --> Thursday, 05 - 17

3590115 --> Thursday, 05 - 09

3590116 --> Thursday, 05 - 28

3590117 --> Thursday, 05 - 13

3590118 --> Thursday, 05 - 05

3590119 --> Thursday, 05 - 25

3590120 --> Thursday, 05 - 16

3590121 --> Thursday, 05 - 29

3590122 --> Thursday, 05 - 21

3590123 --> Thursday, 05 - 13

3590124 --> Thursday, 06 - 01

3590125 --> Thursday, 05 - 17

3590126 --> Thursday, 05 - 09

3590127 --> Thursday, 05 - 22

3590128 --> Thursday, 05 - 13

3590129 --> Thursday, 05 - 05

3590130 --> Thursday, 05 - 25

3590131 --> Thursday, 05 - 10

3590132 --> Thursday, 05 - 29

3590133 --> Thursday, 05 - 21

3590134 --> Thursday, 05 - 06

3590135 --> Thursday, 05 - 26

3590136 --> Thursday, 05 - 17

3590137 --> Thursday, 05 - 02

3590138 --> Thursday, 05 - 22

3590139 --> Thursday, 05 - 14

3590140 --> Thursday, 06 - 02

3590141 --> Thursday, 05 - 18

3590142 --> Thursday, 05 - 10

3590143 --> Thursday, 05 - 30

3590144 --> Thursday, 05 - 21

3590145 --> Thursday, 05 - 06

3590146 --> Thursday, 05 - 26

3590147 --> Thursday, 05 - 11

3590148 --> Thursday, 05 - 02

3590149 --> Thursday, 05 - 22

3590150 --> Thursday, 05 - 14

3590151 --> Thursday, 05 - 27

3590152 --> Thursday, 05 - 18

3590153 --> Thursday, 05 - 10

3590154 --> Thursday, 05 - 30

3590155 --> Thursday, 05 - 15

3590156 --> Thursday, 05 - 06

3590157 --> Thursday, 05 - 26

3590158 --> Thursday, 05 - 11

3590159 --> Thursday, 05 - 31

3590160 --> Thursday, 05 - 22

3590161 --> Thursday, 05 - 07

3590162 --> Thursday, 05 - 27

3590163 --> Thursday, 05 - 19

3590164 --> Thursday, 05 - 03

3590165 --> Thursday, 05 - 23

3590166 --> Thursday, 05 - 15

3590167 --> Thursday, 04 - 30

3590168 --> Thursday, 05 - 19

3590169 --> Thursday, 05 - 11

3590170 --> Thursday, 05 - 31

3590171 --> Thursday, 05 - 16

3590172 --> Thursday, 05 - 07

3590173 --> Thursday, 05 - 27

3590174 --> Thursday, 05 - 19

3590175 --> Thursday, 05 - 04

3590176 --> Thursday, 05 - 23

3590177 --> Thursday, 05 - 15

3590178 --> Thursday, 05 - 28

3590179 --> Thursday, 05 - 20

3590180 --> Thursday, 05 - 11

3590181 --> Thursday, 05 - 31

3590182 --> Thursday, 05 - 16

3590183 --> Thursday, 05 - 08

3590184 --> Thursday, 05 - 27

