Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 5070000 through 5079999



5070000 --> Thursday, 05 - 18

5070001 --> Thursday, 05 - 03

5070002 --> Thursday, 05 - 23

5070003 --> Thursday, 05 - 15

5070004 --> Thursday, 05 - 06

5070005 --> Thursday, 05 - 19

5070006 --> Thursday, 05 - 11

5070007 --> Thursday, 05 - 31

5070008 --> Thursday, 05 - 22

5070009 --> Thursday, 05 - 07

5070010 --> Thursday, 05 - 27

5070011 --> Thursday, 05 - 19

5070012 --> Thursday, 05 - 03

5070013 --> Thursday, 05 - 23

5070014 --> Thursday, 05 - 15

5070015 --> Thursday, 05 - 28

5070016 --> Thursday, 05 - 19

5070017 --> Thursday, 05 - 11

5070018 --> Thursday, 05 - 31

5070019 --> Thursday, 05 - 16

5070020 --> Thursday, 05 - 07

5070021 --> Thursday, 05 - 27

5070022 --> Thursday, 05 - 12

5070023 --> Thursday, 05 - 04

5070024 --> Thursday, 05 - 23

5070025 --> Thursday, 05 - 08

5070026 --> Thursday, 05 - 28

5070027 --> Thursday, 05 - 20

5070028 --> Thursday, 05 - 11

5070029 --> Thursday, 05 - 24

5070030 --> Thursday, 05 - 16

5070031 --> Thursday, 05 - 08

5070032 --> Thursday, 05 - 27

5070033 --> Thursday, 05 - 12

5070034 --> Thursday, 06 - 01

5070035 --> Thursday, 05 - 24

5070036 --> Thursday, 05 - 08

5070037 --> Thursday, 05 - 28

5070038 --> Thursday, 05 - 20

5070039 --> Thursday, 05 - 05

5070040 --> Thursday, 05 - 24

5070041 --> Thursday, 05 - 16

5070042 --> Thursday, 05 - 01

5070043 --> Thursday, 05 - 21

5070044 --> Thursday, 05 - 12

5070045 --> Thursday, 06 - 01

5070046 --> Thursday, 05 - 17

5070047 --> Thursday, 05 - 09

5070048 --> Thursday, 05 - 28

5070049 --> Thursday, 05 - 13

5070050 --> Thursday, 05 - 05

5070051 --> Thursday, 05 - 25

5070052 --> Thursday, 05 - 16

5070053 --> Thursday, 05 - 29

5070054 --> Thursday, 05 - 21

5070055 --> Thursday, 05 - 06

5070056 --> Thursday, 05 - 25

5070057 --> Thursday, 05 - 17

5070058 --> Thursday, 05 - 09

5070059 --> Thursday, 05 - 22

5070060 --> Thursday, 05 - 13

5070061 --> Thursday, 05 - 05

5070062 --> Thursday, 05 - 25

5070063 --> Thursday, 05 - 10

5070064 --> Thursday, 05 - 29

5070065 --> Thursday, 05 - 21

5070066 --> Thursday, 05 - 06

5070067 --> Thursday, 05 - 26

5070068 --> Thursday, 05 - 17

5070069 --> Thursday, 05 - 02

5070070 --> Thursday, 05 - 22

5070071 --> Thursday, 05 - 14

5070072 --> Thursday, 06 - 02

5070073 --> Thursday, 05 - 18

5070074 --> Thursday, 05 - 10

5070075 --> Thursday, 05 - 30

5070076 --> Thursday, 05 - 14

5070077 --> Thursday, 05 - 06

5070078 --> Thursday, 05 - 26

5070079 --> Thursday, 05 - 11

5070080 --> Thursday, 05 - 02

5070081 --> Thursday, 05 - 22

5070082 --> Thursday, 05 - 14

5070083 --> Thursday, 05 - 27

5070084 --> Thursday, 05 - 18

5070085 --> Thursday, 05 - 10

5070086 --> Thursday, 05 - 30

5070087 --> Thursday, 05 - 15

5070088 --> Thursday, 05 - 06

5070089 --> Thursday, 05 - 26

5070090 --> Thursday, 05 - 11

5070091 --> Thursday, 05 - 31

5070092 --> Thursday, 05 - 22

5070093 --> Thursday, 05 - 07

5070094 --> Thursday, 05 - 27

5070095 --> Thursday, 05 - 19

5070096 --> Thursday, 05 - 03

5070097 --> Thursday, 05 - 23

5070098 --> Thursday, 05 - 15

5070099 --> Thursday, 04 - 30

5070100 --> Thursday, 05 - 20

5070101 --> Thursday, 05 - 12

5070102 --> Thursday, 06 - 01

5070103 --> Thursday, 05 - 17

5070104 --> Thursday, 05 - 08

5070105 --> Thursday, 05 - 28

5070106 --> Thursday, 05 - 20

5070107 --> Thursday, 05 - 05

5070108 --> Thursday, 05 - 24

5070109 --> Thursday, 05 - 16

5070110 --> Thursday, 05 - 01

5070111 --> Thursday, 05 - 21

5070112 --> Thursday, 05 - 12

5070113 --> Thursday, 06 - 01

5070114 --> Thursday, 05 - 17

5070115 --> Thursday, 05 - 09

5070116 --> Thursday, 05 - 28

5070117 --> Thursday, 05 - 13

5070118 --> Thursday, 05 - 05

5070119 --> Thursday, 05 - 25

5070120 --> Thursday, 05 - 09

5070121 --> Thursday, 05 - 29

5070122 --> Thursday, 05 - 21

5070123 --> Thursday, 05 - 06

5070124 --> Thursday, 05 - 25

5070125 --> Thursday, 05 - 17

5070126 --> Thursday, 05 - 09

5070127 --> Thursday, 05 - 22

5070128 --> Thursday, 05 - 13

5070129 --> Thursday, 05 - 05

5070130 --> Thursday, 05 - 25

5070131 --> Thursday, 05 - 10

5070132 --> Thursday, 05 - 29

5070133 --> Thursday, 05 - 21

5070134 --> Thursday, 05 - 06

5070135 --> Thursday, 05 - 26

5070136 --> Thursday, 05 - 17

5070137 --> Thursday, 05 - 02

5070138 --> Thursday, 05 - 22

5070139 --> Thursday, 05 - 14

5070140 --> Thursday, 06 - 02

5070141 --> Thursday, 05 - 18

5070142 --> Thursday, 05 - 10

5070143 --> Thursday, 05 - 30

5070144 --> Thursday, 05 - 14

5070145 --> Thursday, 05 - 06

5070146 --> Thursday, 05 - 26

5070147 --> Thursday, 05 - 11

5070148 --> Thursday, 05 - 02

5070149 --> Thursday, 05 - 22

5070150 --> Thursday, 05 - 07

5070151 --> Thursday, 05 - 27

