Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 4870000 through 4879999



4870000 --> Thursday, 05 - 04

4870001 --> Thursday, 05 - 24

4870002 --> Thursday, 05 - 09

4870003 --> Thursday, 05 - 29

4870004 --> Thursday, 05 - 20

4870005 --> Thursday, 05 - 05

4870006 --> Thursday, 05 - 25

4870007 --> Thursday, 05 - 17

4870008 --> Thursday, 05 - 08

4870009 --> Thursday, 05 - 21

4870010 --> Thursday, 05 - 13

4870011 --> Thursday, 06 - 02

4870012 --> Thursday, 05 - 24

4870013 --> Thursday, 05 - 09

4870014 --> Thursday, 05 - 29

4870015 --> Thursday, 05 - 21

4870016 --> Thursday, 05 - 05

4870017 --> Thursday, 05 - 25

4870018 --> Thursday, 05 - 17

4870019 --> Thursday, 05 - 02

4870020 --> Thursday, 05 - 21

4870021 --> Thursday, 05 - 13

4870022 --> Thursday, 06 - 02

4870023 --> Thursday, 05 - 18

4870024 --> Thursday, 05 - 09

4870025 --> Thursday, 05 - 29

4870026 --> Thursday, 05 - 14

4870027 --> Thursday, 05 - 06

4870028 --> Thursday, 05 - 25

4870029 --> Thursday, 05 - 10

4870030 --> Thursday, 05 - 30

4870031 --> Thursday, 05 - 22

4870032 --> Thursday, 05 - 13

4870033 --> Thursday, 05 - 26

4870034 --> Thursday, 05 - 18

4870035 --> Thursday, 05 - 10

4870036 --> Thursday, 05 - 29

4870037 --> Thursday, 05 - 14

4870038 --> Thursday, 05 - 06

4870039 --> Thursday, 05 - 26

4870040 --> Thursday, 05 - 10

4870041 --> Thursday, 05 - 30

4870042 --> Thursday, 05 - 22

4870043 --> Thursday, 05 - 07

4870044 --> Thursday, 05 - 26

4870045 --> Thursday, 05 - 18

4870046 --> Thursday, 05 - 03

4870047 --> Thursday, 05 - 23

4870048 --> Thursday, 05 - 14

4870049 --> Thursday, 06 - 03

4870050 --> Thursday, 05 - 19

4870051 --> Thursday, 05 - 11

4870052 --> Thursday, 05 - 30

4870053 --> Thursday, 05 - 15

4870054 --> Thursday, 05 - 07

4870055 --> Thursday, 05 - 27

4870056 --> Thursday, 05 - 18

4870057 --> Thursday, 05 - 03

4870058 --> Thursday, 05 - 23

4870059 --> Thursday, 05 - 15

4870060 --> Thursday, 05 - 27

4870061 --> Thursday, 05 - 19

4870062 --> Thursday, 05 - 11

4870063 --> Thursday, 05 - 24

4870064 --> Thursday, 05 - 15

4870065 --> Thursday, 05 - 07

4870066 --> Thursday, 05 - 27

4870067 --> Thursday, 05 - 12

4870068 --> Thursday, 05 - 31

4870069 --> Thursday, 05 - 23

4870070 --> Thursday, 05 - 08

4870071 --> Thursday, 05 - 28

4870072 --> Thursday, 05 - 19

4870073 --> Thursday, 05 - 04

4870074 --> Thursday, 05 - 24

4870075 --> Thursday, 05 - 16

4870076 --> Thursday, 05 - 07

4870077 --> Thursday, 05 - 20

4870078 --> Thursday, 05 - 12

4870079 --> Thursday, 06 - 01

4870080 --> Thursday, 05 - 16

4870081 --> Thursday, 05 - 08

4870082 --> Thursday, 05 - 28

4870083 --> Thursday, 05 - 13

4870084 --> Thursday, 05 - 04

4870085 --> Thursday, 05 - 24

4870086 --> Thursday, 05 - 16

4870087 --> Thursday, 05 - 29

4870088 --> Thursday, 05 - 20

4870089 --> Thursday, 05 - 12

4870090 --> Thursday, 06 - 01

4870091 --> Thursday, 05 - 17

4870092 --> Thursday, 05 - 08

4870093 --> Thursday, 05 - 28

4870094 --> Thursday, 05 - 13

4870095 --> Thursday, 05 - 05

4870096 --> Thursday, 05 - 24

4870097 --> Thursday, 05 - 09

4870098 --> Thursday, 05 - 29

4870099 --> Thursday, 05 - 21

4870100 --> Thursday, 05 - 06

4870101 --> Thursday, 05 - 26

4870102 --> Thursday, 05 - 18

4870103 --> Thursday, 05 - 03

4870104 --> Thursday, 05 - 22

4870105 --> Thursday, 05 - 14

4870106 --> Thursday, 05 - 06

4870107 --> Thursday, 05 - 19

4870108 --> Thursday, 05 - 10

4870109 --> Thursday, 05 - 30

4870110 --> Thursday, 05 - 22

4870111 --> Thursday, 05 - 07

4870112 --> Thursday, 05 - 26

4870113 --> Thursday, 05 - 18

4870114 --> Thursday, 05 - 03

4870115 --> Thursday, 05 - 23

4870116 --> Thursday, 05 - 14

4870117 --> Thursday, 06 - 03

4870118 --> Thursday, 05 - 19

4870119 --> Thursday, 05 - 11

4870120 --> Thursday, 05 - 30

4870121 --> Thursday, 05 - 15

4870122 --> Thursday, 05 - 07

4870123 --> Thursday, 05 - 27

4870124 --> Thursday, 05 - 11

4870125 --> Thursday, 05 - 03

4870126 --> Thursday, 05 - 23

4870127 --> Thursday, 05 - 08

4870128 --> Thursday, 05 - 27

4870129 --> Thursday, 05 - 19

4870130 --> Thursday, 05 - 11

4870131 --> Thursday, 05 - 24

4870132 --> Thursday, 05 - 15

4870133 --> Thursday, 05 - 07

4870134 --> Thursday, 05 - 27

4870135 --> Thursday, 05 - 12

4870136 --> Thursday, 05 - 31

4870137 --> Thursday, 05 - 23

4870138 --> Thursday, 05 - 08

4870139 --> Thursday, 05 - 28

4870140 --> Thursday, 05 - 19

4870141 --> Thursday, 05 - 04

4870142 --> Thursday, 05 - 24

4870143 --> Thursday, 05 - 16

4870144 --> Thursday, 04 - 30

4870145 --> Thursday, 05 - 20

4870146 --> Thursday, 05 - 12

4870147 --> Thursday, 06 - 01

4870148 --> Thursday, 05 - 16

4870149 --> Thursday, 05 - 08

4870150 --> Thursday, 05 - 28

4870151 --> Thursday, 05 - 13

4870152 --> Thursday, 05 - 04

4870153 --> Thursday, 05 - 24

4870154 --> Thursday, 05 - 16

4870155 --> Thursday, 05 - 29

4870156 --> Thursday, 05 - 20

4870157 --> Thursday, 05 - 12

4870158 --> Thursday, 05 - 25

4870159 --> Thursday, 05 - 17

4870160 --> Thursday, 05 - 08

4870161 --> Thursday, 05 - 28

4870162 --> Thursday, 05 - 13

4870163 --> Thursday, 05 - 05

4870164 --> Thursday, 05 - 24

4870165 --> Thursday, 05 - 09

4870166 --> Thursday, 05 - 29

4870167 --> Thursday, 05 - 21

4870168 --> Thursday, 05 - 05

4870169 --> Thursday, 05 - 25

4870170 --> Thursday, 05 - 17

4870171 --> Thursday, 05 - 02

4870172 --> Thursday, 05 - 21

4870173 --> Thursday, 05 - 13

4870174 --> Thursday, 06 - 02

4870175 --> Thursday, 05 - 18

4870176 --> Thursday, 05 - 09

4870177 --> Thursday, 05 - 29

4870178 --> Thursday, 05 - 14

4870179 --> Thursday, 05 - 06

4870180 --> Thursday, 05 - 25

4870181 --> Thursday, 05 - 17

4870182 --> Thursday, 05 - 02

4870183 --> Thursday, 05 - 22

4870184 --> Thursday, 05 - 13

4870185 --> Thursday, 06 - 02

4870186 --> Thursday, 05 - 18

4870187 --> Thursday, 05 - 10

4870188 --> Thursday, 05 - 29

4870189 --> Thursday, 05 - 14

4870190 --> Thursday, 05 - 06

4870191 --> Thursday, 05 - 26

4870192 --> Thursday, 05 - 10

4870193 --> Thursday, 05 - 30

4870194 --> Thursday, 05 - 22

4870195 --> Thursday, 05 - 07

4870196 --> Thursday, 05 - 26

4870197 --> Thursday, 05 - 18

4870198 --> Thursday, 05 - 03

4870199 --> Thursday, 05 - 23

4870200 --> Thursday, 05 - 15

4870201 --> Thursday, 04 - 30

4870202 --> Thursday, 05 - 20

4870203 --> Thursday, 05 - 12

4870204 --> Thursday, 05 - 31

4870205 --> Thursday, 05 - 16

4870206 --> Thursday, 05 - 08

4870207 --> Thursday, 05 - 28

4870208 --> Thursday, 05 - 19

4870209 --> Thursday, 05 - 04

4870210 --> Thursday, 05 - 24

4870211 --> Thursday, 05 - 16

4870212 --> Thursday, 05 - 28

4870213 --> Thursday, 05 - 20

4870214 --> Thursday, 05 - 12

4870215 --> Thursday, 05 - 25

4870216 --> Thursday, 05 - 16

4870217 --> Thursday, 05 - 08

4870218 --> Thursday, 05 - 28

4870219 --> Thursday, 05 - 13

4870220 --> Thursday, 05 - 04

4870221 --> Thursday, 05 - 24

4870222 --> Thursday, 05 - 09

4870223 --> Thursday, 05 - 29

4870224 --> Thursday, 05 - 20

4870225 --> Thursday, 05 - 05

4870226 --> Thursday, 05 - 25

4870227 --> Thursday, 05 - 17

4870228 --> Thursday, 05 - 08

4870229 --> Thursday, 05 - 21

4870230 --> Thursday, 05 - 13

4870231 --> Thursday, 06 - 02

4870232 --> Thursday, 05 - 17

4870233 --> Thursday, 05 - 09

4870234 --> Thursday, 05 - 29

4870235 --> Thursday, 05 - 14

4870236 --> Thursday, 05 - 05

4870237 --> Thursday, 05 - 25

4870238 --> Thursday, 05 - 17

4870239 --> Thursday, 05 - 02

4870240 --> Thursday, 05 - 21

4870241 --> Thursday, 05 - 13

4870242 --> Thursday, 06 - 02

4870243 --> Thursday, 05 - 18

4870244 --> Thursday, 05 - 09

4870245 --> Thursday, 05 - 29

4870246 --> Thursday, 05 - 14

4870247 --> Thursday, 05 - 06

4870248 --> Thursday, 05 - 25

4870249 --> Thursday, 05 - 10

4870250 --> Thursday, 05 - 30

4870251 --> Thursday, 05 - 22

4870252 --> Thursday, 05 - 06

4870253 --> Thursday, 05 - 26

4870254 --> Thursday, 05 - 18

4870255 --> Thursday, 05 - 03

4870256 --> Thursday, 05 - 22

4870257 --> Thursday, 05 - 14

4870258 --> Thursday, 05 - 06

4870259 --> Thursday, 05 - 19

4870260 --> Thursday, 05 - 10

4870261 --> Thursday, 05 - 30

4870262 --> Thursday, 05 - 22

4870263 --> Thursday, 05 - 07

4870264 --> Thursday, 05 - 26

4870265 --> Thursday, 05 - 18

4870266 --> Thursday, 05 - 03

4870267 --> Thursday, 05 - 23

4870268 --> Thursday, 05 - 14

4870269 --> Thursday, 06 - 03

4870270 --> Thursday, 05 - 19

4870271 --> Thursday, 05 - 11

4870272 --> Thursday, 05 - 30

4870273 --> Thursday, 05 - 15

4870274 --> Thursday, 05 - 07

4870275 --> Thursday, 05 - 27

4870276 --> Thursday, 05 - 11

4870277 --> Thursday, 05 - 03

4870278 --> Thursday, 05 - 23

4870279 --> Thursday, 05 - 08

4870280 --> Thursday, 05 - 27

4870281 --> Thursday, 05 - 19

4870282 --> Thursday, 05 - 11

4870283 --> Thursday, 05 - 24

4870284 --> Thursday, 05 - 15

4870285 --> Thursday, 05 - 07

4870286 --> Thursday, 05 - 27

4870287 --> Thursday, 05 - 12

4870288 --> Thursday, 05 - 31

4870289 --> Thursday, 05 - 23

4870290 --> Thursday, 05 - 08

4870291 --> Thursday, 05 - 28

4870292 --> Thursday, 05 - 19

4870293 --> Thursday, 05 - 04

4870294 --> Thursday, 05 - 24

4870295 --> Thursday, 05 - 16

4870296 --> Thursday, 04 - 30

4870297 --> Thursday, 05 - 20

4870298 --> Thursday, 05 - 12

4870299 --> Thursday, 06 - 01

4870300 --> Thursday, 05 - 17

4870301 --> Thursday, 05 - 09

4870302 --> Thursday, 05 - 29

4870303 --> Thursday, 05 - 14

4870304 --> Thursday, 05 - 05

4870305 --> Thursday, 05 - 25

4870306 --> Thursday, 05 - 17

4870307 --> Thursday, 05 - 02

4870308 --> Thursday, 05 - 21

4870309 --> Thursday, 05 - 13

4870310 --> Thursday, 05 - 26

4870311 --> Thursday, 05 - 18

4870312 --> Thursday, 05 - 09

4870313 --> Thursday, 05 - 29

4870314 --> Thursday, 05 - 14

4870315 --> Thursday, 05 - 06

4870316 --> Thursday, 05 - 25

4870317 --> Thursday, 05 - 10

4870318 --> Thursday, 05 - 30

4870319 --> Thursday, 05 - 22

4870320 --> Thursday, 05 - 06

4870321 --> Thursday, 05 - 26

4870322 --> Thursday, 05 - 18

4870323 --> Thursday, 05 - 03

4870324 --> Thursday, 05 - 22

4870325 --> Thursday, 05 - 14

4870326 --> Thursday, 05 - 06

4870327 --> Thursday, 05 - 19

4870328 --> Thursday, 05 - 10

4870329 --> Thursday, 05 - 30

4870330 --> Thursday, 05 - 15

4870331 --> Thursday, 05 - 07

4870332 --> Thursday, 05 - 26

4870333 --> Thursday, 05 - 18

4870334 --> Thursday, 05 - 03

4870335 --> Thursday, 05 - 23

4870336 --> Thursday, 05 - 14

4870337 --> Thursday, 06 - 03

4870338 --> Thursday, 05 - 19

4870339 --> Thursday, 05 - 11

4870340 --> Thursday, 05 - 30

