Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2920000 through 2929999



2920000 --> Thursday, 05 - 18

2920001 --> Thursday, 05 - 10

2920002 --> Thursday, 05 - 30

2920003 --> Thursday, 05 - 15

2920004 --> Thursday, 05 - 06

2920005 --> Thursday, 05 - 26

2920006 --> Thursday, 05 - 11

2920007 --> Thursday, 05 - 03

2920008 --> Thursday, 05 - 22

2920009 --> Thursday, 05 - 14

2920010 --> Thursday, 05 - 27

2920011 --> Thursday, 05 - 19

2920012 --> Thursday, 05 - 10

2920013 --> Thursday, 05 - 30

2920014 --> Thursday, 05 - 15

2920015 --> Thursday, 05 - 07

2920016 --> Thursday, 05 - 26

2920017 --> Thursday, 05 - 11

2920018 --> Thursday, 05 - 31

2920019 --> Thursday, 05 - 23

2920020 --> Thursday, 05 - 07

2920021 --> Thursday, 05 - 27

2920022 --> Thursday, 05 - 19

2920023 --> Thursday, 05 - 04

2920024 --> Thursday, 05 - 23

2920025 --> Thursday, 05 - 15

2920026 --> Thursday, 04 - 30

2920027 --> Thursday, 05 - 20

2920028 --> Thursday, 05 - 11

2920029 --> Thursday, 05 - 31

2920030 --> Thursday, 05 - 16

2920031 --> Thursday, 05 - 08

2920032 --> Thursday, 05 - 27

2920033 --> Thursday, 05 - 19

2920034 --> Thursday, 05 - 04

2920035 --> Thursday, 05 - 24

2920036 --> Thursday, 05 - 15

2920037 --> Thursday, 05 - 28

2920038 --> Thursday, 05 - 20

2920039 --> Thursday, 05 - 12

2920040 --> Thursday, 05 - 31

2920041 --> Thursday, 05 - 16

2920042 --> Thursday, 05 - 08

2920043 --> Thursday, 05 - 28

2920044 --> Thursday, 05 - 12

2920045 --> Thursday, 05 - 04

2920046 --> Thursday, 05 - 24

2920047 --> Thursday, 05 - 09

2920048 --> Thursday, 05 - 28

2920049 --> Thursday, 05 - 20

2920050 --> Thursday, 05 - 05

2920051 --> Thursday, 05 - 25

2920052 --> Thursday, 05 - 16

2920053 --> Thursday, 05 - 01

2920054 --> Thursday, 05 - 21

2920055 --> Thursday, 05 - 13

2920056 --> Thursday, 06 - 01

2920057 --> Thursday, 05 - 17

2920058 --> Thursday, 05 - 09

2920059 --> Thursday, 05 - 29

2920060 --> Thursday, 05 - 20

2920061 --> Thursday, 05 - 05

2920062 --> Thursday, 05 - 25

2920063 --> Thursday, 05 - 17

2920064 --> Thursday, 05 - 01

2920065 --> Thursday, 05 - 21

2920066 --> Thursday, 05 - 13

2920067 --> Thursday, 06 - 02

2920068 --> Thursday, 05 - 17

2920069 --> Thursday, 05 - 09

2920070 --> Thursday, 05 - 29

2920071 --> Thursday, 05 - 14

2920072 --> Thursday, 05 - 05

2920073 --> Thursday, 05 - 25

2920074 --> Thursday, 05 - 10

2920075 --> Thursday, 05 - 30

2920076 --> Thursday, 05 - 21

2920077 --> Thursday, 05 - 06

2920078 --> Thursday, 05 - 26

2920079 --> Thursday, 05 - 18

2920080 --> Thursday, 05 - 09

2920081 --> Thursday, 05 - 22

2920082 --> Thursday, 05 - 14

2920083 --> Thursday, 05 - 06

2920084 --> Thursday, 05 - 25

2920085 --> Thursday, 05 - 10

2920086 --> Thursday, 05 - 30

2920087 --> Thursday, 05 - 22

2920088 --> Thursday, 05 - 06

2920089 --> Thursday, 05 - 26

2920090 --> Thursday, 05 - 18

2920091 --> Thursday, 05 - 03

2920092 --> Thursday, 05 - 22

2920093 --> Thursday, 05 - 14

2920094 --> Thursday, 06 - 03

2920095 --> Thursday, 05 - 19

2920096 --> Thursday, 05 - 10

2920097 --> Thursday, 05 - 30

2920098 --> Thursday, 05 - 15

2920099 --> Thursday, 05 - 07

2920100 --> Thursday, 05 - 27

2920101 --> Thursday, 05 - 12

2920102 --> Thursday, 05 - 04

2920103 --> Thursday, 05 - 24

2920104 --> Thursday, 05 - 15

2920105 --> Thursday, 05 - 28

2920106 --> Thursday, 05 - 20

2920107 --> Thursday, 05 - 12

2920108 --> Thursday, 05 - 31

2920109 --> Thursday, 05 - 16

2920110 --> Thursday, 05 - 08

2920111 --> Thursday, 05 - 21

2920112 --> Thursday, 05 - 12

2920113 --> Thursday, 06 - 01

2920114 --> Thursday, 05 - 24

2920115 --> Thursday, 05 - 09

2920116 --> Thursday, 05 - 28

2920117 --> Thursday, 05 - 20

2920118 --> Thursday, 05 - 05

2920119 --> Thursday, 05 - 25

2920120 --> Thursday, 05 - 16

2920121 --> Thursday, 05 - 01

2920122 --> Thursday, 05 - 21

2920123 --> Thursday, 05 - 13

2920124 --> Thursday, 06 - 01

2920125 --> Thursday, 05 - 17

2920126 --> Thursday, 05 - 09

2920127 --> Thursday, 05 - 29

2920128 --> Thursday, 05 - 20

2920129 --> Thursday, 05 - 05

2920130 --> Thursday, 05 - 25

2920131 --> Thursday, 05 - 10

2920132 --> Thursday, 05 - 29

2920133 --> Thursday, 05 - 21

2920134 --> Thursday, 05 - 13

2920135 --> Thursday, 05 - 26

2920136 --> Thursday, 05 - 17

2920137 --> Thursday, 05 - 09

2920138 --> Thursday, 05 - 29

2920139 --> Thursday, 05 - 14

2920140 --> Thursday, 05 - 05

2920141 --> Thursday, 05 - 25

2920142 --> Thursday, 05 - 10

2920143 --> Thursday, 05 - 30

2920144 --> Thursday, 05 - 21

2920145 --> Thursday, 05 - 06

2920146 --> Thursday, 05 - 26

2920147 --> Thursday, 05 - 18

2920148 --> Thursday, 05 - 02

2920149 --> Thursday, 05 - 22

2920150 --> Thursday, 05 - 14

2920151 --> Thursday, 06 - 03

2920152 --> Thursday, 05 - 18

2920153 --> Thursday, 05 - 10

2920154 --> Thursday, 05 - 30

2920155 --> Thursday, 05 - 15

2920156 --> Thursday, 05 - 06

2920157 --> Thursday, 05 - 26

2920158 --> Thursday, 05 - 18

2920159 --> Thursday, 05 - 03

2920160 --> Thursday, 05 - 22

2920161 --> Thursday, 05 - 14

2920162 --> Thursday, 05 - 27

2920163 --> Thursday, 05 - 19

2920164 --> Thursday, 05 - 10

2920165 --> Thursday, 05 - 30

2920166 --> Thursday, 05 - 15

2920167 --> Thursday, 05 - 07

2920168 --> Thursday, 05 - 26

2920169 --> Thursday, 05 - 11

2920170 --> Thursday, 05 - 31

2920171 --> Thursday, 05 - 23

2920172 --> Thursday, 05 - 07

2920173 --> Thursday, 05 - 27

2920174 --> Thursday, 05 - 19

2920175 --> Thursday, 05 - 04

2920176 --> Thursday, 05 - 23

2920177 --> Thursday, 05 - 15

2920178 --> Thursday, 05 - 07

2920179 --> Thursday, 05 - 20

2920180 --> Thursday, 05 - 11

2920181 --> Thursday, 05 - 31

2920182 --> Thursday, 05 - 23

2920183 --> Thursday, 05 - 08

2920184 --> Thursday, 05 - 27

2920185 --> Thursday, 05 - 19

2920186 --> Thursday, 05 - 04

2920187 --> Thursday, 05 - 24

2920188 --> Thursday, 05 - 15

2920189 --> Thursday, 05 - 28

2920190 --> Thursday, 05 - 20

2920191 --> Thursday, 05 - 12

2920192 --> Thursday, 05 - 31

2920193 --> Thursday, 05 - 16

2920194 --> Thursday, 05 - 08

2920195 --> Thursday, 05 - 28

2920196 --> Thursday, 05 - 12

2920197 --> Thursday, 05 - 04

2920198 --> Thursday, 05 - 24

2920199 --> Thursday, 05 - 09

2920200 --> Thursday, 05 - 29

2920201 --> Thursday, 05 - 21

2920202 --> Thursday, 05 - 06

2920203 --> Thursday, 05 - 26

2920204 --> Thursday, 05 - 17

2920205 --> Thursday, 05 - 02

2920206 --> Thursday, 05 - 22

2920207 --> Thursday, 05 - 14

2920208 --> Thursday, 06 - 02

2920209 --> Thursday, 05 - 18

2920210 --> Thursday, 05 - 10

2920211 --> Thursday, 05 - 30

2920212 --> Thursday, 05 - 21

2920213 --> Thursday, 05 - 06

2920214 --> Thursday, 05 - 26

2920215 --> Thursday, 05 - 18

2920216 --> Thursday, 05 - 02

2920217 --> Thursday, 05 - 22

2920218 --> Thursday, 05 - 14

2920219 --> Thursday, 05 - 27

2920220 --> Thursday, 05 - 18

2920221 --> Thursday, 05 - 10

2920222 --> Thursday, 05 - 30

2920223 --> Thursday, 05 - 15

2920224 --> Thursday, 05 - 06

2920225 --> Thursday, 05 - 26

2920226 --> Thursday, 05 - 11

2920227 --> Thursday, 05 - 31

2920228 --> Thursday, 05 - 22

2920229 --> Thursday, 05 - 07

2920230 --> Thursday, 05 - 27

2920231 --> Thursday, 05 - 19

2920232 --> Thursday, 05 - 10

2920233 --> Thursday, 05 - 23

2920234 --> Thursday, 05 - 15

2920235 --> Thursday, 05 - 07

2920236 --> Thursday, 05 - 26

2920237 --> Thursday, 05 - 11

2920238 --> Thursday, 05 - 31

2920239 --> Thursday, 05 - 23

2920240 --> Thursday, 05 - 07

2920241 --> Thursday, 05 - 27

2920242 --> Thursday, 05 - 19

2920243 --> Thursday, 05 - 04

2920244 --> Thursday, 05 - 23

2920245 --> Thursday, 05 - 15

2920246 --> Thursday, 05 - 28

2920247 --> Thursday, 05 - 20

2920248 --> Thursday, 05 - 11

2920249 --> Thursday, 05 - 31

2920250 --> Thursday, 05 - 16

2920251 --> Thursday, 05 - 08

2920252 --> Thursday, 05 - 27

2920253 --> Thursday, 05 - 12

2920254 --> Thursday, 05 - 04

2920255 --> Thursday, 05 - 24

2920256 --> Thursday, 05 - 15

2920257 --> Thursday, 05 - 28

2920258 --> Thursday, 05 - 20

2920259 --> Thursday, 05 - 12

2920260 --> Thursday, 05 - 31

2920261 --> Thursday, 05 - 16

2920262 --> Thursday, 05 - 08

2920263 --> Thursday, 05 - 21

2920264 --> Thursday, 05 - 12

2920265 --> Thursday, 06 - 01

2920266 --> Thursday, 05 - 24

2920267 --> Thursday, 05 - 09

2920268 --> Thursday, 05 - 28

2920269 --> Thursday, 05 - 20

2920270 --> Thursday, 05 - 05

2920271 --> Thursday, 05 - 25

2920272 --> Thursday, 05 - 16

2920273 --> Thursday, 05 - 01

2920274 --> Thursday, 05 - 21

2920275 --> Thursday, 05 - 13

2920276 --> Thursday, 06 - 01

2920277 --> Thursday, 05 - 17

2920278 --> Thursday, 05 - 09

2920279 --> Thursday, 05 - 29

2920280 --> Thursday, 05 - 20

2920281 --> Thursday, 05 - 05

2920282 --> Thursday, 05 - 25

2920283 --> Thursday, 05 - 10

2920284 --> Thursday, 05 - 29

2920285 --> Thursday, 05 - 21

2920286 --> Thursday, 05 - 13

2920287 --> Thursday, 05 - 26

2920288 --> Thursday, 05 - 17

2920289 --> Thursday, 05 - 09

2920290 --> Thursday, 05 - 29

2920291 --> Thursday, 05 - 14

2920292 --> Thursday, 05 - 05

2920293 --> Thursday, 05 - 25

2920294 --> Thursday, 05 - 10

2920295 --> Thursday, 05 - 30

2920296 --> Thursday, 05 - 21

2920297 --> Thursday, 05 - 06

2920298 --> Thursday, 05 - 26

2920299 --> Thursday, 05 - 18

2920300 --> Thursday, 05 - 03

2920301 --> Thursday, 05 - 23

2920302 --> Thursday, 05 - 15

2920303 --> Thursday, 04 - 30

2920304 --> Thursday, 05 - 19

2920305 --> Thursday, 05 - 11

2920306 --> Thursday, 05 - 31

2920307 --> Thursday, 05 - 16

2920308 --> Thursday, 05 - 07

2920309 --> Thursday, 05 - 27

2920310 --> Thursday, 05 - 19

2920311 --> Thursday, 05 - 04

2920312 --> Thursday, 05 - 23

2920313 --> Thursday, 05 - 15

2920314 --> Thursday, 05 - 28

2920315 --> Thursday, 05 - 20

2920316 --> Thursday, 05 - 11

2920317 --> Thursday, 05 - 31

2920318 --> Thursday, 05 - 16

2920319 --> Thursday, 05 - 08

2920320 --> Thursday, 05 - 27

2920321 --> Thursday, 05 - 12

2920322 --> Thursday, 05 - 04

2920323 --> Thursday, 05 - 24

2920324 --> Thursday, 05 - 08

2920325 --> Thursday, 05 - 28

2920326 --> Thursday, 05 - 20

2920327 --> Thursday, 05 - 05

2920328 --> Thursday, 05 - 24

2920329 --> Thursday, 05 - 16

2920330 --> Thursday, 05 - 08

2920331 --> Thursday, 05 - 21

2920332 --> Thursday, 05 - 12

2920333 --> Thursday, 06 - 01

2920334 --> Thursday, 05 - 24

2920335 --> Thursday, 05 - 09

2920336 --> Thursday, 05 - 28

2920337 --> Thursday, 05 - 20

2920338 --> Thursday, 05 - 05

2920339 --> Thursday, 05 - 25

2920340 --> Thursday, 05 - 16

2920341 --> Thursday, 05 - 01

2920342 --> Thursday, 05 - 21

2920343 --> Thursday, 05 - 13

2920344 --> Thursday, 06 - 01

