Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3470000 through 3479999



3470000 --> Thursday, 05 - 25

3470001 --> Thursday, 05 - 17

3470002 --> Thursday, 05 - 09

3470003 --> Thursday, 05 - 22

3470004 --> Thursday, 05 - 13

3470005 --> Thursday, 05 - 05

3470006 --> Thursday, 05 - 25

3470007 --> Thursday, 05 - 10

3470008 --> Thursday, 05 - 29

3470009 --> Thursday, 05 - 21

3470010 --> Thursday, 05 - 06

3470011 --> Thursday, 05 - 26

3470012 --> Thursday, 05 - 17

3470013 --> Thursday, 05 - 02

3470014 --> Thursday, 05 - 22

3470015 --> Thursday, 05 - 14

3470016 --> Thursday, 06 - 02

3470017 --> Thursday, 05 - 18

3470018 --> Thursday, 05 - 10

3470019 --> Thursday, 05 - 30

3470020 --> Thursday, 05 - 14

3470021 --> Thursday, 05 - 06

3470022 --> Thursday, 05 - 26

3470023 --> Thursday, 05 - 11

3470024 --> Thursday, 05 - 02

3470025 --> Thursday, 05 - 22

3470026 --> Thursday, 05 - 14

3470027 --> Thursday, 05 - 27

3470028 --> Thursday, 05 - 18

3470029 --> Thursday, 05 - 10

3470030 --> Thursday, 05 - 23

3470031 --> Thursday, 05 - 15

3470032 --> Thursday, 05 - 06

3470033 --> Thursday, 05 - 26

3470034 --> Thursday, 05 - 11

3470035 --> Thursday, 05 - 31

3470036 --> Thursday, 05 - 22

3470037 --> Thursday, 05 - 07

3470038 --> Thursday, 05 - 27

3470039 --> Thursday, 05 - 19

3470040 --> Thursday, 05 - 03

3470041 --> Thursday, 05 - 23

3470042 --> Thursday, 05 - 15

3470043 --> Thursday, 04 - 30

3470044 --> Thursday, 05 - 19

3470045 --> Thursday, 05 - 11

3470046 --> Thursday, 05 - 31

3470047 --> Thursday, 05 - 16

3470048 --> Thursday, 05 - 07

3470049 --> Thursday, 05 - 27

3470050 --> Thursday, 05 - 12

3470051 --> Thursday, 05 - 04

3470052 --> Thursday, 05 - 23

3470053 --> Thursday, 05 - 15

3470054 --> Thursday, 05 - 28

3470055 --> Thursday, 05 - 20

3470056 --> Thursday, 05 - 11

3470057 --> Thursday, 05 - 31

3470058 --> Thursday, 05 - 16

3470059 --> Thursday, 05 - 08

3470060 --> Thursday, 05 - 27

3470061 --> Thursday, 05 - 12

3470062 --> Thursday, 05 - 04

3470063 --> Thursday, 05 - 24

3470064 --> Thursday, 05 - 08

3470065 --> Thursday, 05 - 28

3470066 --> Thursday, 05 - 20

3470067 --> Thursday, 05 - 05

3470068 --> Thursday, 05 - 24

3470069 --> Thursday, 05 - 16

3470070 --> Thursday, 05 - 01

3470071 --> Thursday, 05 - 21

3470072 --> Thursday, 05 - 12

3470073 --> Thursday, 06 - 01

3470074 --> Thursday, 05 - 17

3470075 --> Thursday, 05 - 09

3470076 --> Thursday, 05 - 28

3470077 --> Thursday, 05 - 20

3470078 --> Thursday, 05 - 05

3470079 --> Thursday, 05 - 25

3470080 --> Thursday, 05 - 16

3470081 --> Thursday, 05 - 01

3470082 --> Thursday, 05 - 21

3470083 --> Thursday, 05 - 13

3470084 --> Thursday, 06 - 01

3470085 --> Thursday, 05 - 17

3470086 --> Thursday, 05 - 09

3470087 --> Thursday, 05 - 29

3470088 --> Thursday, 05 - 13

3470089 --> Thursday, 05 - 05

3470090 --> Thursday, 05 - 25

3470091 --> Thursday, 05 - 10

3470092 --> Thursday, 05 - 29

3470093 --> Thursday, 05 - 21

3470094 --> Thursday, 05 - 06

3470095 --> Thursday, 05 - 26

3470096 --> Thursday, 05 - 17

3470097 --> Thursday, 05 - 09

3470098 --> Thursday, 05 - 22

3470099 --> Thursday, 05 - 14

3470100 --> Thursday, 05 - 06

3470101 --> Thursday, 05 - 26

3470102 --> Thursday, 05 - 11

3470103 --> Thursday, 05 - 31

3470104 --> Thursday, 05 - 22

3470105 --> Thursday, 05 - 07

3470106 --> Thursday, 05 - 27

3470107 --> Thursday, 05 - 19

3470108 --> Thursday, 05 - 03

3470109 --> Thursday, 05 - 23

3470110 --> Thursday, 05 - 15

3470111 --> Thursday, 05 - 28

3470112 --> Thursday, 05 - 19

3470113 --> Thursday, 05 - 11

3470114 --> Thursday, 05 - 31

3470115 --> Thursday, 05 - 16

3470116 --> Thursday, 05 - 07

3470117 --> Thursday, 05 - 27

3470118 --> Thursday, 05 - 12

3470119 --> Thursday, 05 - 04

3470120 --> Thursday, 05 - 23

3470121 --> Thursday, 05 - 15

3470122 --> Thursday, 05 - 28

3470123 --> Thursday, 05 - 20

3470124 --> Thursday, 05 - 11

3470125 --> Thursday, 05 - 24

3470126 --> Thursday, 05 - 16

3470127 --> Thursday, 05 - 08

3470128 --> Thursday, 05 - 27

3470129 --> Thursday, 05 - 12

3470130 --> Thursday, 06 - 01

3470131 --> Thursday, 05 - 24

3470132 --> Thursday, 05 - 08

3470133 --> Thursday, 05 - 28

3470134 --> Thursday, 05 - 20

3470135 --> Thursday, 05 - 05

3470136 --> Thursday, 05 - 24

3470137 --> Thursday, 05 - 16

3470138 --> Thursday, 05 - 01

3470139 --> Thursday, 05 - 21

3470140 --> Thursday, 05 - 12

3470141 --> Thursday, 06 - 01

3470142 --> Thursday, 05 - 17

3470143 --> Thursday, 05 - 09

3470144 --> Thursday, 05 - 28

3470145 --> Thursday, 05 - 13

3470146 --> Thursday, 05 - 05

3470147 --> Thursday, 05 - 25

3470148 --> Thursday, 05 - 16

3470149 --> Thursday, 05 - 29

3470150 --> Thursday, 05 - 21

3470151 --> Thursday, 05 - 13

3470152 --> Thursday, 06 - 01

3470153 --> Thursday, 05 - 17

3470154 --> Thursday, 05 - 09

3470155 --> Thursday, 05 - 29

3470156 --> Thursday, 05 - 13

3470157 --> Thursday, 05 - 05

3470158 --> Thursday, 05 - 25

3470159 --> Thursday, 05 - 10

3470160 --> Thursday, 05 - 29

3470161 --> Thursday, 05 - 21

3470162 --> Thursday, 05 - 06

3470163 --> Thursday, 05 - 26

3470164 --> Thursday, 05 - 17

3470165 --> Thursday, 05 - 02

3470166 --> Thursday, 05 - 22

3470167 --> Thursday, 05 - 14

3470168 --> Thursday, 06 - 02

3470169 --> Thursday, 05 - 18

3470170 --> Thursday, 05 - 10

3470171 --> Thursday, 05 - 30

3470172 --> Thursday, 05 - 21

3470173 --> Thursday, 05 - 06

3470174 --> Thursday, 05 - 26

3470175 --> Thursday, 05 - 18

3470176 --> Thursday, 05 - 02

3470177 --> Thursday, 05 - 22

3470178 --> Thursday, 05 - 14

3470179 --> Thursday, 05 - 27

3470180 --> Thursday, 05 - 18

3470181 --> Thursday, 05 - 10

3470182 --> Thursday, 05 - 30

3470183 --> Thursday, 05 - 15

3470184 --> Thursday, 05 - 06

3470185 --> Thursday, 05 - 26

3470186 --> Thursday, 05 - 11

3470187 --> Thursday, 05 - 31

3470188 --> Thursday, 05 - 22

3470189 --> Thursday, 05 - 07

3470190 --> Thursday, 05 - 27

3470191 --> Thursday, 05 - 19

3470192 --> Thursday, 05 - 10

3470193 --> Thursday, 05 - 23

3470194 --> Thursday, 05 - 15

3470195 --> Thursday, 05 - 07

3470196 --> Thursday, 05 - 26

3470197 --> Thursday, 05 - 11

3470198 --> Thursday, 05 - 31

3470199 --> Thursday, 05 - 16

3470200 --> Thursday, 05 - 08

3470201 --> Thursday, 05 - 28

3470202 --> Thursday, 05 - 13

3470203 --> Thursday, 05 - 05

3470204 --> Thursday, 05 - 24

3470205 --> Thursday, 05 - 16

3470206 --> Thursday, 05 - 29

3470207 --> Thursday, 05 - 21

3470208 --> Thursday, 05 - 12

3470209 --> Thursday, 06 - 01

3470210 --> Thursday, 05 - 17

3470211 --> Thursday, 05 - 09

3470212 --> Thursday, 05 - 28

3470213 --> Thursday, 05 - 13

3470214 --> Thursday, 05 - 05

3470215 --> Thursday, 05 - 25

3470216 --> Thursday, 05 - 09

3470217 --> Thursday, 05 - 29

3470218 --> Thursday, 05 - 21

3470219 --> Thursday, 05 - 06

3470220 --> Thursday, 05 - 25

3470221 --> Thursday, 05 - 17

3470222 --> Thursday, 05 - 02

3470223 --> Thursday, 05 - 22

3470224 --> Thursday, 05 - 13

3470225 --> Thursday, 06 - 02

3470226 --> Thursday, 05 - 18

3470227 --> Thursday, 05 - 10

3470228 --> Thursday, 05 - 29

3470229 --> Thursday, 05 - 21

3470230 --> Thursday, 05 - 06

3470231 --> Thursday, 05 - 26

3470232 --> Thursday, 05 - 17

3470233 --> Thursday, 05 - 02

3470234 --> Thursday, 05 - 22

3470235 --> Thursday, 05 - 14

3470236 --> Thursday, 06 - 02

3470237 --> Thursday, 05 - 18

3470238 --> Thursday, 05 - 10

3470239 --> Thursday, 05 - 30

3470240 --> Thursday, 05 - 14

3470241 --> Thursday, 05 - 06

3470242 --> Thursday, 05 - 26

3470243 --> Thursday, 05 - 11

3470244 --> Thursday, 05 - 30

3470245 --> Thursday, 05 - 22

3470246 --> Thursday, 05 - 07

3470247 --> Thursday, 05 - 27

3470248 --> Thursday, 05 - 18

3470249 --> Thursday, 05 - 10

3470250 --> Thursday, 05 - 23

3470251 --> Thursday, 05 - 15

3470252 --> Thursday, 05 - 06

3470253 --> Thursday, 05 - 26

3470254 --> Thursday, 05 - 11

3470255 --> Thursday, 05 - 31

3470256 --> Thursday, 05 - 22

3470257 --> Thursday, 05 - 07

3470258 --> Thursday, 05 - 27

3470259 --> Thursday, 05 - 19

3470260 --> Thursday, 05 - 03

3470261 --> Thursday, 05 - 23

3470262 --> Thursday, 05 - 15

3470263 --> Thursday, 05 - 28

3470264 --> Thursday, 05 - 19

3470265 --> Thursday, 05 - 11

3470266 --> Thursday, 05 - 31

3470267 --> Thursday, 05 - 16

3470268 --> Thursday, 05 - 07

3470269 --> Thursday, 05 - 27

3470270 --> Thursday, 05 - 12

3470271 --> Thursday, 05 - 04

3470272 --> Thursday, 05 - 23

3470273 --> Thursday, 05 - 15

3470274 --> Thursday, 05 - 28

3470275 --> Thursday, 05 - 20

3470276 --> Thursday, 05 - 11

