Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2690000 through 2699999



2690000 --> Thursday, 05 - 18

2690001 --> Thursday, 05 - 03

2690002 --> Thursday, 05 - 23

2690003 --> Thursday, 05 - 15

2690004 --> Thursday, 06 - 03

2690005 --> Thursday, 05 - 19

2690006 --> Thursday, 05 - 11

2690007 --> Thursday, 05 - 31

2690008 --> Thursday, 05 - 15

2690009 --> Thursday, 05 - 07

2690010 --> Thursday, 05 - 27

2690011 --> Thursday, 05 - 12

2690012 --> Thursday, 05 - 03

2690013 --> Thursday, 05 - 23

2690014 --> Thursday, 05 - 15

2690015 --> Thursday, 05 - 28

2690016 --> Thursday, 05 - 19

2690017 --> Thursday, 05 - 11

2690018 --> Thursday, 05 - 31

2690019 --> Thursday, 05 - 16

2690020 --> Thursday, 05 - 07

2690021 --> Thursday, 05 - 27

2690022 --> Thursday, 05 - 12

2690023 --> Thursday, 06 - 01

2690024 --> Thursday, 05 - 23

2690025 --> Thursday, 05 - 08

2690026 --> Thursday, 05 - 28

2690027 --> Thursday, 05 - 20

2690028 --> Thursday, 05 - 04

2690029 --> Thursday, 05 - 24

2690030 --> Thursday, 05 - 16

2690031 --> Thursday, 05 - 01

2690032 --> Thursday, 05 - 20

2690033 --> Thursday, 05 - 12

2690034 --> Thursday, 06 - 01

2690035 --> Thursday, 05 - 17

2690036 --> Thursday, 05 - 08

2690037 --> Thursday, 05 - 28

2690038 --> Thursday, 05 - 20

2690039 --> Thursday, 05 - 05

2690040 --> Thursday, 05 - 24

2690041 --> Thursday, 05 - 16

2690042 --> Thursday, 05 - 29

2690043 --> Thursday, 05 - 21

2690044 --> Thursday, 05 - 12

2690045 --> Thursday, 06 - 01

2690046 --> Thursday, 05 - 17

2690047 --> Thursday, 05 - 09

2690048 --> Thursday, 05 - 28

2690049 --> Thursday, 05 - 13

2690050 --> Thursday, 05 - 05

2690051 --> Thursday, 05 - 25

2690052 --> Thursday, 05 - 09

2690053 --> Thursday, 05 - 29

2690054 --> Thursday, 05 - 21

2690055 --> Thursday, 05 - 06

2690056 --> Thursday, 05 - 25

2690057 --> Thursday, 05 - 17

2690058 --> Thursday, 05 - 02

2690059 --> Thursday, 05 - 22

2690060 --> Thursday, 05 - 13

2690061 --> Thursday, 06 - 02

2690062 --> Thursday, 05 - 18

2690063 --> Thursday, 05 - 10

2690064 --> Thursday, 05 - 29

2690065 --> Thursday, 05 - 21

2690066 --> Thursday, 05 - 06

2690067 --> Thursday, 05 - 26

2690068 --> Thursday, 05 - 17

2690069 --> Thursday, 05 - 02

2690070 --> Thursday, 05 - 22

2690071 --> Thursday, 05 - 14

2690072 --> Thursday, 06 - 02

2690073 --> Thursday, 05 - 18

2690074 --> Thursday, 05 - 10

2690075 --> Thursday, 05 - 30

2690076 --> Thursday, 05 - 14

2690077 --> Thursday, 05 - 06

2690078 --> Thursday, 05 - 26

2690079 --> Thursday, 05 - 11

2690080 --> Thursday, 05 - 30

2690081 --> Thursday, 05 - 22

2690082 --> Thursday, 05 - 07

2690083 --> Thursday, 05 - 27

2690084 --> Thursday, 05 - 18

2690085 --> Thursday, 05 - 10

2690086 --> Thursday, 05 - 23

2690087 --> Thursday, 05 - 15

2690088 --> Thursday, 05 - 06

2690089 --> Thursday, 05 - 26

2690090 --> Thursday, 05 - 11

2690091 --> Thursday, 05 - 31

2690092 --> Thursday, 05 - 22

2690093 --> Thursday, 05 - 07

2690094 --> Thursday, 05 - 27

2690095 --> Thursday, 05 - 19

2690096 --> Thursday, 05 - 03

2690097 --> Thursday, 05 - 23

2690098 --> Thursday, 05 - 15

2690099 --> Thursday, 05 - 28

2690100 --> Thursday, 05 - 20

2690101 --> Thursday, 05 - 12

2690102 --> Thursday, 06 - 01

2690103 --> Thursday, 05 - 17

2690104 --> Thursday, 05 - 08

2690105 --> Thursday, 05 - 28

2690106 --> Thursday, 05 - 13

2690107 --> Thursday, 05 - 05

2690108 --> Thursday, 05 - 24

2690109 --> Thursday, 05 - 16

2690110 --> Thursday, 05 - 29

2690111 --> Thursday, 05 - 21

2690112 --> Thursday, 05 - 12

2690113 --> Thursday, 06 - 01

2690114 --> Thursday, 05 - 17

2690115 --> Thursday, 05 - 09

2690116 --> Thursday, 05 - 28

2690117 --> Thursday, 05 - 13

2690118 --> Thursday, 05 - 05

2690119 --> Thursday, 05 - 25

2690120 --> Thursday, 05 - 09

2690121 --> Thursday, 05 - 29

2690122 --> Thursday, 05 - 21

2690123 --> Thursday, 05 - 06

2690124 --> Thursday, 05 - 25

2690125 --> Thursday, 05 - 17

2690126 --> Thursday, 05 - 02

2690127 --> Thursday, 05 - 22

2690128 --> Thursday, 05 - 13

2690129 --> Thursday, 06 - 02

2690130 --> Thursday, 05 - 18

2690131 --> Thursday, 05 - 10

2690132 --> Thursday, 05 - 29

2690133 --> Thursday, 05 - 21

2690134 --> Thursday, 05 - 06

2690135 --> Thursday, 05 - 26

2690136 --> Thursday, 05 - 17

2690137 --> Thursday, 05 - 02

2690138 --> Thursday, 05 - 22

2690139 --> Thursday, 05 - 14

2690140 --> Thursday, 06 - 02

2690141 --> Thursday, 05 - 18

2690142 --> Thursday, 05 - 10

2690143 --> Thursday, 05 - 30

2690144 --> Thursday, 05 - 14

2690145 --> Thursday, 05 - 06

2690146 --> Thursday, 05 - 26

2690147 --> Thursday, 05 - 11

2690148 --> Thursday, 05 - 30

2690149 --> Thursday, 05 - 22

2690150 --> Thursday, 05 - 07

2690151 --> Thursday, 05 - 27

2690152 --> Thursday, 05 - 18

2690153 --> Thursday, 05 - 03

2690154 --> Thursday, 05 - 23

2690155 --> Thursday, 05 - 15

2690156 --> Thursday, 05 - 06

2690157 --> Thursday, 05 - 19

2690158 --> Thursday, 05 - 11

2690159 --> Thursday, 05 - 31

2690160 --> Thursday, 05 - 22

2690161 --> Thursday, 05 - 07

2690162 --> Thursday, 05 - 27

2690163 --> Thursday, 05 - 19

2690164 --> Thursday, 05 - 03

2690165 --> Thursday, 05 - 23

2690166 --> Thursday, 05 - 15

2690167 --> Thursday, 05 - 28

2690168 --> Thursday, 05 - 19

2690169 --> Thursday, 05 - 11

2690170 --> Thursday, 05 - 31

2690171 --> Thursday, 05 - 16

2690172 --> Thursday, 05 - 07

2690173 --> Thursday, 05 - 27

2690174 --> Thursday, 05 - 12

2690175 --> Thursday, 05 - 04

2690176 --> Thursday, 05 - 23

