Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 4130000 through 4139999



4130000 --> Thursday, 05 - 18

4130001 --> Thursday, 05 - 10

4130002 --> Thursday, 05 - 30

4130003 --> Thursday, 05 - 15

4130004 --> Thursday, 05 - 06

4130005 --> Thursday, 05 - 26

4130006 --> Thursday, 05 - 11

4130007 --> Thursday, 05 - 31

4130008 --> Thursday, 05 - 22

4130009 --> Thursday, 05 - 07

4130010 --> Thursday, 05 - 27

4130011 --> Thursday, 05 - 19

4130012 --> Thursday, 05 - 03

4130013 --> Thursday, 05 - 23

4130014 --> Thursday, 05 - 15

4130015 --> Thursday, 04 - 30

4130016 --> Thursday, 05 - 19

4130017 --> Thursday, 05 - 11

4130018 --> Thursday, 05 - 31

4130019 --> Thursday, 05 - 16

4130020 --> Thursday, 05 - 07

4130021 --> Thursday, 05 - 27

4130022 --> Thursday, 05 - 19

4130023 --> Thursday, 05 - 04

4130024 --> Thursday, 05 - 23

4130025 --> Thursday, 05 - 15

4130026 --> Thursday, 05 - 28

4130027 --> Thursday, 05 - 20

4130028 --> Thursday, 05 - 11

4130029 --> Thursday, 05 - 31

4130030 --> Thursday, 05 - 16

4130031 --> Thursday, 05 - 08

4130032 --> Thursday, 05 - 27

4130033 --> Thursday, 05 - 12

4130034 --> Thursday, 05 - 04

4130035 --> Thursday, 05 - 24

4130036 --> Thursday, 05 - 08

4130037 --> Thursday, 05 - 28

4130038 --> Thursday, 05 - 20

4130039 --> Thursday, 05 - 05

4130040 --> Thursday, 05 - 24

4130041 --> Thursday, 05 - 16

4130042 --> Thursday, 05 - 08

4130043 --> Thursday, 05 - 21

4130044 --> Thursday, 05 - 12

4130045 --> Thursday, 06 - 01

4130046 --> Thursday, 05 - 24

4130047 --> Thursday, 05 - 09

4130048 --> Thursday, 05 - 28

4130049 --> Thursday, 05 - 20

4130050 --> Thursday, 05 - 05

4130051 --> Thursday, 05 - 25

4130052 --> Thursday, 05 - 16

4130053 --> Thursday, 05 - 01

4130054 --> Thursday, 05 - 21

4130055 --> Thursday, 05 - 13

4130056 --> Thursday, 06 - 01

4130057 --> Thursday, 05 - 17

4130058 --> Thursday, 05 - 09

4130059 --> Thursday, 05 - 29

4130060 --> Thursday, 05 - 13

4130061 --> Thursday, 05 - 05

4130062 --> Thursday, 05 - 25

4130063 --> Thursday, 05 - 10

4130064 --> Thursday, 05 - 29

4130065 --> Thursday, 05 - 21

4130066 --> Thursday, 05 - 13

4130067 --> Thursday, 05 - 26

4130068 --> Thursday, 05 - 17

4130069 --> Thursday, 05 - 09

4130070 --> Thursday, 05 - 22

4130071 --> Thursday, 05 - 14

4130072 --> Thursday, 05 - 05

4130073 --> Thursday, 05 - 25

4130074 --> Thursday, 05 - 10

4130075 --> Thursday, 05 - 30

4130076 --> Thursday, 05 - 21

4130077 --> Thursday, 05 - 06

4130078 --> Thursday, 05 - 26

4130079 --> Thursday, 05 - 18

4130080 --> Thursday, 05 - 02

4130081 --> Thursday, 05 - 22

4130082 --> Thursday, 05 - 14

4130083 --> Thursday, 06 - 03

4130084 --> Thursday, 05 - 18

4130085 --> Thursday, 05 - 10

4130086 --> Thursday, 05 - 30

4130087 --> Thursday, 05 - 15

4130088 --> Thursday, 05 - 06

4130089 --> Thursday, 05 - 26

4130090 --> Thursday, 05 - 11

4130091 --> Thursday, 05 - 03

4130092 --> Thursday, 05 - 22

4130093 --> Thursday, 05 - 14

4130094 --> Thursday, 05 - 27

4130095 --> Thursday, 05 - 19

4130096 --> Thursday, 05 - 10

4130097 --> Thursday, 05 - 30

4130098 --> Thursday, 05 - 15

4130099 --> Thursday, 05 - 07

4130100 --> Thursday, 05 - 27

4130101 --> Thursday, 05 - 12

4130102 --> Thursday, 05 - 04

4130103 --> Thursday, 05 - 24

4130104 --> Thursday, 05 - 08

4130105 --> Thursday, 05 - 28

4130106 --> Thursday, 05 - 20

4130107 --> Thursday, 05 - 05

4130108 --> Thursday, 05 - 24

4130109 --> Thursday, 05 - 16

4130110 --> Thursday, 05 - 01

4130111 --> Thursday, 05 - 21

4130112 --> Thursday, 05 - 12

4130113 --> Thursday, 06 - 01

4130114 --> Thursday, 05 - 17

4130115 --> Thursday, 05 - 09

4130116 --> Thursday, 05 - 28

4130117 --> Thursday, 05 - 20

4130118 --> Thursday, 05 - 05

4130119 --> Thursday, 05 - 25

4130120 --> Thursday, 05 - 16

4130121 --> Thursday, 05 - 01

4130122 --> Thursday, 05 - 21

4130123 --> Thursday, 05 - 13

4130124 --> Thursday, 06 - 01

4130125 --> Thursday, 05 - 17

4130126 --> Thursday, 05 - 09

4130127 --> Thursday, 05 - 29

4130128 --> Thursday, 05 - 13

4130129 --> Thursday, 05 - 05

4130130 --> Thursday, 05 - 25

4130131 --> Thursday, 05 - 10

4130132 --> Thursday, 05 - 29

4130133 --> Thursday, 05 - 21

4130134 --> Thursday, 05 - 06

4130135 --> Thursday, 05 - 26

4130136 --> Thursday, 05 - 17

4130137 --> Thursday, 05 - 09

4130138 --> Thursday, 05 - 22

4130139 --> Thursday, 05 - 14

4130140 --> Thursday, 05 - 05

4130141 --> Thursday, 05 - 25

4130142 --> Thursday, 05 - 10

4130143 --> Thursday, 05 - 30

4130144 --> Thursday, 05 - 21

4130145 --> Thursday, 05 - 06

4130146 --> Thursday, 05 - 26

4130147 --> Thursday, 05 - 18

4130148 --> Thursday, 05 - 02

4130149 --> Thursday, 05 - 22

4130150 --> Thursday, 05 - 14

4130151 --> Thursday, 06 - 03

4130152 --> Thursday, 05 - 18

4130153 --> Thursday, 05 - 10

4130154 --> Thursday, 05 - 30

4130155 --> Thursday, 05 - 15

4130156 --> Thursday, 05 - 06

4130157 --> Thursday, 05 - 26

4130158 --> Thursday, 05 - 11

4130159 --> Thursday, 05 - 03

4130160 --> Thursday, 05 - 22

4130161 --> Thursday, 05 - 14

4130162 --> Thursday, 05 - 27

4130163 --> Thursday, 05 - 19

4130164 --> Thursday, 05 - 10

4130165 --> Thursday, 05 - 23

4130166 --> Thursday, 05 - 15

4130167 --> Thursday, 05 - 07

4130168 --> Thursday, 05 - 26

4130169 --> Thursday, 05 - 11

4130170 --> Thursday, 05 - 31

4130171 --> Thursday, 05 - 23

4130172 --> Thursday, 05 - 07

4130173 --> Thursday, 05 - 27

4130174 --> Thursday, 05 - 19

4130175 --> Thursday, 05 - 04

4130176 --> Thursday, 05 - 23

4130177 --> Thursday, 05 - 15

4130178 --> Thursday, 04 - 30

4130179 --> Thursday, 05 - 20

4130180 --> Thursday, 05 - 11

4130181 --> Thursday, 05 - 31

4130182 --> Thursday, 05 - 16

4130183 --> Thursday, 05 - 08

4130184 --> Thursday, 05 - 27

4130185 --> Thursday, 05 - 12

4130186 --> Thursday, 05 - 04

4130187 --> Thursday, 05 - 24

4130188 --> Thursday, 05 - 15

4130189 --> Thursday, 05 - 28

4130190 --> Thursday, 05 - 20

4130191 --> Thursday, 05 - 12

4130192 --> Thursday, 05 - 31

4130193 --> Thursday, 05 - 16

4130194 --> Thursday, 05 - 08

4130195 --> Thursday, 05 - 28

4130196 --> Thursday, 05 - 12

4130197 --> Thursday, 05 - 04

4130198 --> Thursday, 05 - 24

4130199 --> Thursday, 05 - 09

4130200 --> Thursday, 05 - 29

4130201 --> Thursday, 05 - 21

4130202 --> Thursday, 05 - 06

4130203 --> Thursday, 05 - 26

4130204 --> Thursday, 05 - 17

4130205 --> Thursday, 05 - 02

4130206 --> Thursday, 05 - 22

4130207 --> Thursday, 05 - 14

4130208 --> Thursday, 06 - 02

4130209 --> Thursday, 05 - 18

4130210 --> Thursday, 05 - 10

4130211 --> Thursday, 05 - 30

4130212 --> Thursday, 05 - 14

4130213 --> Thursday, 05 - 06

4130214 --> Thursday, 05 - 26

4130215 --> Thursday, 05 - 11

4130216 --> Thursday, 05 - 02

4130217 --> Thursday, 05 - 22

4130218 --> Thursday, 05 - 14

4130219 --> Thursday, 05 - 27

4130220 --> Thursday, 05 - 18

4130221 --> Thursday, 05 - 10

4130222 --> Thursday, 05 - 23

4130223 --> Thursday, 05 - 15

4130224 --> Thursday, 05 - 06

4130225 --> Thursday, 05 - 26

4130226 --> Thursday, 05 - 11

4130227 --> Thursday, 05 - 31

4130228 --> Thursday, 05 - 22

4130229 --> Thursday, 05 - 07

4130230 --> Thursday, 05 - 27

4130231 --> Thursday, 05 - 19

4130232 --> Thursday, 05 - 03

4130233 --> Thursday, 05 - 23

4130234 --> Thursday, 05 - 15

4130235 --> Thursday, 04 - 30

4130236 --> Thursday, 05 - 19

4130237 --> Thursday, 05 - 11

4130238 --> Thursday, 05 - 31

4130239 --> Thursday, 05 - 16

4130240 --> Thursday, 05 - 07

4130241 --> Thursday, 05 - 27

4130242 --> Thursday, 05 - 12

4130243 --> Thursday, 05 - 04

4130244 --> Thursday, 05 - 23

4130245 --> Thursday, 05 - 15

4130246 --> Thursday, 05 - 28

4130247 --> Thursday, 05 - 20

4130248 --> Thursday, 05 - 11

4130249 --> Thursday, 05 - 31

4130250 --> Thursday, 05 - 16

4130251 --> Thursday, 05 - 08

4130252 --> Thursday, 05 - 27

4130253 --> Thursday, 05 - 12

4130254 --> Thursday, 05 - 04

4130255 --> Thursday, 05 - 24

4130256 --> Thursday, 05 - 08

4130257 --> Thursday, 05 - 28

4130258 --> Thursday, 05 - 20

4130259 --> Thursday, 05 - 05

4130260 --> Thursday, 05 - 24

4130261 --> Thursday, 05 - 16

4130262 --> Thursday, 05 - 01

4130263 --> Thursday, 05 - 21

4130264 --> Thursday, 05 - 12

4130265 --> Thursday, 06 - 01

4130266 --> Thursday, 05 - 17

4130267 --> Thursday, 05 - 09

4130268 --> Thursday, 05 - 28

4130269 --> Thursday, 05 - 20

4130270 --> Thursday, 05 - 05

4130271 --> Thursday, 05 - 25

4130272 --> Thursday, 05 - 16

4130273 --> Thursday, 05 - 01

4130274 --> Thursday, 05 - 21

4130275 --> Thursday, 05 - 13

4130276 --> Thursday, 06 - 01

4130277 --> Thursday, 05 - 17

4130278 --> Thursday, 05 - 09

4130279 --> Thursday, 05 - 29

4130280 --> Thursday, 05 - 13

4130281 --> Thursday, 05 - 05

4130282 --> Thursday, 05 - 25

4130283 --> Thursday, 05 - 10

4130284 --> Thursday, 05 - 29

4130285 --> Thursday, 05 - 21

4130286 --> Thursday, 05 - 06

4130287 --> Thursday, 05 - 26

4130288 --> Thursday, 05 - 17

4130289 --> Thursday, 05 - 09

4130290 --> Thursday, 05 - 22

4130291 --> Thursday, 05 - 14

4130292 --> Thursday, 05 - 05

4130293 --> Thursday, 05 - 25

4130294 --> Thursday, 05 - 10

4130295 --> Thursday, 05 - 30

4130296 --> Thursday, 05 - 21

4130297 --> Thursday, 05 - 06

4130298 --> Thursday, 05 - 26

4130299 --> Thursday, 05 - 18

4130300 --> Thursday, 05 - 03

4130301 --> Thursday, 05 - 23

4130302 --> Thursday, 05 - 15

4130303 --> Thursday, 05 - 28

4130304 --> Thursday, 05 - 19

4130305 --> Thursday, 05 - 11

