Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3680000 through 3689999



3680000 --> Thursday, 05 - 18

3680001 --> Thursday, 05 - 10

3680002 --> Thursday, 05 - 23

3680003 --> Thursday, 05 - 15

3680004 --> Thursday, 05 - 06

3680005 --> Thursday, 05 - 26

3680006 --> Thursday, 05 - 11

3680007 --> Thursday, 05 - 31

3680008 --> Thursday, 05 - 22

3680009 --> Thursday, 05 - 07

3680010 --> Thursday, 05 - 27

3680011 --> Thursday, 05 - 19

3680012 --> Thursday, 05 - 03

3680013 --> Thursday, 05 - 23

3680014 --> Thursday, 05 - 15

3680015 --> Thursday, 05 - 28

3680016 --> Thursday, 05 - 19

3680017 --> Thursday, 05 - 11

3680018 --> Thursday, 05 - 31

3680019 --> Thursday, 05 - 16

3680020 --> Thursday, 05 - 07

3680021 --> Thursday, 05 - 27

3680022 --> Thursday, 05 - 12

3680023 --> Thursday, 05 - 04

3680024 --> Thursday, 05 - 23

3680025 --> Thursday, 05 - 15

3680026 --> Thursday, 05 - 28

3680027 --> Thursday, 05 - 20

3680028 --> Thursday, 05 - 11

3680029 --> Thursday, 05 - 31

3680030 --> Thursday, 05 - 16

3680031 --> Thursday, 05 - 08

3680032 --> Thursday, 05 - 27

3680033 --> Thursday, 05 - 12

3680034 --> Thursday, 06 - 01

3680035 --> Thursday, 05 - 24

3680036 --> Thursday, 05 - 08

3680037 --> Thursday, 05 - 28

3680038 --> Thursday, 05 - 20

3680039 --> Thursday, 05 - 05

3680040 --> Thursday, 05 - 24

3680041 --> Thursday, 05 - 16

3680042 --> Thursday, 05 - 01

3680043 --> Thursday, 05 - 21

3680044 --> Thursday, 05 - 12

3680045 --> Thursday, 06 - 01

3680046 --> Thursday, 05 - 17

3680047 --> Thursday, 05 - 09

3680048 --> Thursday, 05 - 28

3680049 --> Thursday, 05 - 20

3680050 --> Thursday, 05 - 05

3680051 --> Thursday, 05 - 25

3680052 --> Thursday, 05 - 16

3680053 --> Thursday, 05 - 29

3680054 --> Thursday, 05 - 21

3680055 --> Thursday, 05 - 13

3680056 --> Thursday, 06 - 01

3680057 --> Thursday, 05 - 17

3680058 --> Thursday, 05 - 09

3680059 --> Thursday, 05 - 29

3680060 --> Thursday, 05 - 13

3680061 --> Thursday, 05 - 05

