Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 4210000 through 4219999



4210000 --> Thursday, 05 - 11

4210001 --> Thursday, 05 - 31

4210002 --> Thursday, 05 - 23

4210003 --> Thursday, 05 - 08

4210004 --> Thursday, 05 - 27

4210005 --> Thursday, 05 - 19

4210006 --> Thursday, 05 - 04

4210007 --> Thursday, 05 - 24

4210008 --> Thursday, 05 - 15

4210009 --> Thursday, 04 - 30

4210010 --> Thursday, 05 - 20

4210011 --> Thursday, 05 - 12

4210012 --> Thursday, 05 - 31

4210013 --> Thursday, 05 - 16

4210014 --> Thursday, 05 - 08

4210015 --> Thursday, 05 - 28

4210016 --> Thursday, 05 - 19

4210017 --> Thursday, 05 - 04

4210018 --> Thursday, 05 - 24

4210019 --> Thursday, 05 - 16

4210020 --> Thursday, 05 - 28

4210021 --> Thursday, 05 - 20

4210022 --> Thursday, 05 - 12

4210023 --> Thursday, 05 - 25

4210024 --> Thursday, 05 - 16

4210025 --> Thursday, 05 - 08

4210026 --> Thursday, 05 - 28

4210027 --> Thursday, 05 - 13

4210028 --> Thursday, 05 - 04

4210029 --> Thursday, 05 - 24

4210030 --> Thursday, 05 - 09

4210031 --> Thursday, 05 - 29

4210032 --> Thursday, 05 - 20

4210033 --> Thursday, 05 - 05

4210034 --> Thursday, 05 - 25

4210035 --> Thursday, 05 - 17

4210036 --> Thursday, 05 - 08

4210037 --> Thursday, 05 - 21

4210038 --> Thursday, 05 - 13

4210039 --> Thursday, 06 - 02

4210040 --> Thursday, 05 - 17

4210041 --> Thursday, 05 - 09

4210042 --> Thursday, 05 - 29

4210043 --> Thursday, 05 - 14

4210044 --> Thursday, 05 - 05

4210045 --> Thursday, 05 - 25

4210046 --> Thursday, 05 - 17

4210047 --> Thursday, 05 - 02

4210048 --> Thursday, 05 - 21

4210049 --> Thursday, 05 - 13

4210050 --> Thursday, 06 - 02

4210051 --> Thursday, 05 - 18

4210052 --> Thursday, 05 - 09

4210053 --> Thursday, 05 - 29

4210054 --> Thursday, 05 - 14

4210055 --> Thursday, 05 - 06

4210056 --> Thursday, 05 - 25

4210057 --> Thursday, 05 - 10

4210058 --> Thursday, 05 - 30

4210059 --> Thursday, 05 - 22

4210060 --> Thursday, 05 - 06

4210061 --> Thursday, 05 - 26

4210062 --> Thursday, 05 - 18

4210063 --> Thursday, 05 - 03

4210064 --> Thursday, 05 - 22

4210065 --> Thursday, 05 - 14

4210066 --> Thursday, 05 - 06

4210067 --> Thursday, 05 - 19

