Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 0480000 through 0489999



0480000 --> Thursday, 05 - 11

0480001 --> Thursday, 05 - 31

0480002 --> Thursday, 05 - 16

0480003 --> Thursday, 05 - 08

0480004 --> Thursday, 05 - 27

0480005 --> Thursday, 05 - 12

0480006 --> Thursday, 05 - 04

0480007 --> Thursday, 05 - 24

0480008 --> Thursday, 05 - 08

0480009 --> Thursday, 05 - 28

0480010 --> Thursday, 05 - 20

0480011 --> Thursday, 05 - 05

0480012 --> Thursday, 05 - 24

0480013 --> Thursday, 05 - 16

0480014 --> Thursday, 05 - 08

0480015 --> Thursday, 05 - 21

0480016 --> Thursday, 05 - 12

0480017 --> Thursday, 06 - 01

0480018 --> Thursday, 05 - 17

0480019 --> Thursday, 05 - 09

0480020 --> Thursday, 05 - 28

0480021 --> Thursday, 05 - 20

0480022 --> Thursday, 05 - 05

0480023 --> Thursday, 05 - 25

0480024 --> Thursday, 05 - 16

0480025 --> Thursday, 05 - 01

0480026 --> Thursday, 05 - 21

0480027 --> Thursday, 05 - 13

0480028 --> Thursday, 06 - 01

0480029 --> Thursday, 05 - 17

0480030 --> Thursday, 05 - 09

0480031 --> Thursday, 05 - 29

0480032 --> Thursday, 05 - 13

0480033 --> Thursday, 05 - 05

0480034 --> Thursday, 05 - 25

0480035 --> Thursday, 05 - 10

0480036 --> Thursday, 05 - 29

0480037 --> Thursday, 05 - 21

0480038 --> Thursday, 05 - 06

0480039 --> Thursday, 05 - 26

0480040 --> Thursday, 05 - 17

0480041 --> Thursday, 05 - 09

0480042 --> Thursday, 05 - 22

0480043 --> Thursday, 05 - 14

0480044 --> Thursday, 05 - 05

0480045 --> Thursday, 05 - 25

0480046 --> Thursday, 05 - 10

0480047 --> Thursday, 05 - 30

0480048 --> Thursday, 05 - 21

0480049 --> Thursday, 05 - 06

0480050 --> Thursday, 05 - 26

0480051 --> Thursday, 05 - 18

0480052 --> Thursday, 05 - 02

0480053 --> Thursday, 05 - 22

0480054 --> Thursday, 05 - 14

0480055 --> Thursday, 06 - 03

0480056 --> Thursday, 05 - 18

0480057 --> Thursday, 05 - 10

0480058 --> Thursday, 05 - 30

0480059 --> Thursday, 05 - 15

0480060 --> Thursday, 05 - 06

0480061 --> Thursday, 05 - 26

0480062 --> Thursday, 05 - 11

0480063 --> Thursday, 05 - 03

0480064 --> Thursday, 05 - 22

0480065 --> Thursday, 05 - 14

0480066 --> Thursday, 05 - 27

0480067 --> Thursday, 05 - 19

0480068 --> Thursday, 05 - 10

0480069 --> Thursday, 05 - 30

0480070 --> Thursday, 05 - 15

0480071 --> Thursday, 05 - 07

0480072 --> Thursday, 05 - 26

0480073 --> Thursday, 05 - 11

0480074 --> Thursday, 05 - 31

0480075 --> Thursday, 05 - 23

0480076 --> Thursday, 05 - 07

0480077 --> Thursday, 05 - 27

0480078 --> Thursday, 05 - 19

0480079 --> Thursday, 05 - 04

0480080 --> Thursday, 05 - 23

0480081 --> Thursday, 05 - 15

0480082 --> Thursday, 04 - 30

0480083 --> Thursday, 05 - 20

0480084 --> Thursday, 05 - 11

0480085 --> Thursday, 05 - 31

0480086 --> Thursday, 05 - 16

0480087 --> Thursday, 05 - 08

0480088 --> Thursday, 05 - 27

0480089 --> Thursday, 05 - 19

0480090 --> Thursday, 05 - 04

0480091 --> Thursday, 05 - 24

0480092 --> Thursday, 05 - 15

0480093 --> Thursday, 05 - 28

0480094 --> Thursday, 05 - 20

0480095 --> Thursday, 05 - 12

0480096 --> Thursday, 05 - 31

