Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 4440000 through 4449999



4440000 --> Thursday, 05 - 18

4440001 --> Thursday, 05 - 03

4440002 --> Thursday, 05 - 23

4440003 --> Thursday, 05 - 15

4440004 --> Thursday, 06 - 03

4440005 --> Thursday, 05 - 19

4440006 --> Thursday, 05 - 11

4440007 --> Thursday, 05 - 31

4440008 --> Thursday, 05 - 15

4440009 --> Thursday, 05 - 07

4440010 --> Thursday, 05 - 27

4440011 --> Thursday, 05 - 12

4440012 --> Thursday, 05 - 03

4440013 --> Thursday, 05 - 23

4440014 --> Thursday, 05 - 15

4440015 --> Thursday, 05 - 28

4440016 --> Thursday, 05 - 19

4440017 --> Thursday, 05 - 11

4440018 --> Thursday, 05 - 24

4440019 --> Thursday, 05 - 16

4440020 --> Thursday, 05 - 07

4440021 --> Thursday, 05 - 27

4440022 --> Thursday, 05 - 12

4440023 --> Thursday, 06 - 01

4440024 --> Thursday, 05 - 23

4440025 --> Thursday, 05 - 08

4440026 --> Thursday, 05 - 28

4440027 --> Thursday, 05 - 20

4440028 --> Thursday, 05 - 04

4440029 --> Thursday, 05 - 24

4440030 --> Thursday, 05 - 16

4440031 --> Thursday, 05 - 01

4440032 --> Thursday, 05 - 20

4440033 --> Thursday, 05 - 12

4440034 --> Thursday, 06 - 01

4440035 --> Thursday, 05 - 17

4440036 --> Thursday, 05 - 08

4440037 --> Thursday, 05 - 28

4440038 --> Thursday, 05 - 13

4440039 --> Thursday, 05 - 05

4440040 --> Thursday, 05 - 24

4440041 --> Thursday, 05 - 16

4440042 --> Thursday, 05 - 29

4440043 --> Thursday, 05 - 21

4440044 --> Thursday, 05 - 12

4440045 --> Thursday, 06 - 01

4440046 --> Thursday, 05 - 17

4440047 --> Thursday, 05 - 09

4440048 --> Thursday, 05 - 28

4440049 --> Thursday, 05 - 13

4440050 --> Thursday, 05 - 05

4440051 --> Thursday, 05 - 25

4440052 --> Thursday, 05 - 09

4440053 --> Thursday, 05 - 29

4440054 --> Thursday, 05 - 21

4440055 --> Thursday, 05 - 06

4440056 --> Thursday, 05 - 25

4440057 --> Thursday, 05 - 17

4440058 --> Thursday, 05 - 02

4440059 --> Thursday, 05 - 22

4440060 --> Thursday, 05 - 13

4440061 --> Thursday, 06 - 02

4440062 --> Thursday, 05 - 18

4440063 --> Thursday, 05 - 10

4440064 --> Thursday, 05 - 29

4440065 --> Thursday, 05 - 21

4440066 --> Thursday, 05 - 06

4440067 --> Thursday, 05 - 26

4440068 --> Thursday, 05 - 17

4440069 --> Thursday, 05 - 02

4440070 --> Thursday, 05 - 22

4440071 --> Thursday, 05 - 14

4440072 --> Thursday, 06 - 02

4440073 --> Thursday, 05 - 18

4440074 --> Thursday, 05 - 10

4440075 --> Thursday, 05 - 30

4440076 --> Thursday, 05 - 14

4440077 --> Thursday, 05 - 06

4440078 --> Thursday, 05 - 26

4440079 --> Thursday, 05 - 11

4440080 --> Thursday, 05 - 30

4440081 --> Thursday, 05 - 22

4440082 --> Thursday, 05 - 07

4440083 --> Thursday, 05 - 27

4440084 --> Thursday, 05 - 18

4440085 --> Thursday, 05 - 10

4440086 --> Thursday, 05 - 23

4440087 --> Thursday, 05 - 15

4440088 --> Thursday, 05 - 06

4440089 --> Thursday, 05 - 26

4440090 --> Thursday, 05 - 11

4440091 --> Thursday, 05 - 31

4440092 --> Thursday, 05 - 22

4440093 --> Thursday, 05 - 07

4440094 --> Thursday, 05 - 27

4440095 --> Thursday, 05 - 19

4440096 --> Thursday, 05 - 03

4440097 --> Thursday, 05 - 23

4440098 --> Thursday, 05 - 15

4440099 --> Thursday, 05 - 28

4440100 --> Thursday, 05 - 20

4440101 --> Thursday, 05 - 12

4440102 --> Thursday, 06 - 01

4440103 --> Thursday, 05 - 17

4440104 --> Thursday, 05 - 08

4440105 --> Thursday, 05 - 28

4440106 --> Thursday, 05 - 13

4440107 --> Thursday, 05 - 05

4440108 --> Thursday, 05 - 24

4440109 --> Thursday, 05 - 16

4440110 --> Thursday, 05 - 29

4440111 --> Thursday, 05 - 21

4440112 --> Thursday, 05 - 12

4440113 --> Thursday, 05 - 25

4440114 --> Thursday, 05 - 17

4440115 --> Thursday, 05 - 09

4440116 --> Thursday, 05 - 28

4440117 --> Thursday, 05 - 13

4440118 --> Thursday, 05 - 05

4440119 --> Thursday, 05 - 25

4440120 --> Thursday, 05 - 09

4440121 --> Thursday, 05 - 29

4440122 --> Thursday, 05 - 21

4440123 --> Thursday, 05 - 06

4440124 --> Thursday, 05 - 25

4440125 --> Thursday, 05 - 17

4440126 --> Thursday, 05 - 02

4440127 --> Thursday, 05 - 22

4440128 --> Thursday, 05 - 13

4440129 --> Thursday, 06 - 02

4440130 --> Thursday, 05 - 18

4440131 --> Thursday, 05 - 10

4440132 --> Thursday, 05 - 29

4440133 --> Thursday, 05 - 14

4440134 --> Thursday, 05 - 06

4440135 --> Thursday, 05 - 26

4440136 --> Thursday, 05 - 17

4440137 --> Thursday, 05 - 02

4440138 --> Thursday, 05 - 22

4440139 --> Thursday, 05 - 14

4440140 --> Thursday, 06 - 02

4440141 --> Thursday, 05 - 18

4440142 --> Thursday, 05 - 10

4440143 --> Thursday, 05 - 30

4440144 --> Thursday, 05 - 14

4440145 --> Thursday, 05 - 06

4440146 --> Thursday, 05 - 26

4440147 --> Thursday, 05 - 11

4440148 --> Thursday, 05 - 30

4440149 --> Thursday, 05 - 22

4440150 --> Thursday, 05 - 07

4440151 --> Thursday, 05 - 27

4440152 --> Thursday, 05 - 18

4440153 --> Thursday, 05 - 03

4440154 --> Thursday, 05 - 23

4440155 --> Thursday, 05 - 15

4440156 --> Thursday, 05 - 06

4440157 --> Thursday, 05 - 19

4440158 --> Thursday, 05 - 11

4440159 --> Thursday, 05 - 31

4440160 --> Thursday, 05 - 22

4440161 --> Thursday, 05 - 07

4440162 --> Thursday, 05 - 27

4440163 --> Thursday, 05 - 19

4440164 --> Thursday, 05 - 03

4440165 --> Thursday, 05 - 23

4440166 --> Thursday, 05 - 15

4440167 --> Thursday, 05 - 28

4440168 --> Thursday, 05 - 19

4440169 --> Thursday, 05 - 11

4440170 --> Thursday, 05 - 31

4440171 --> Thursday, 05 - 16

4440172 --> Thursday, 05 - 07

4440173 --> Thursday, 05 - 27

4440174 --> Thursday, 05 - 12

4440175 --> Thursday, 05 - 04

4440176 --> Thursday, 05 - 23

4440177 --> Thursday, 05 - 08

4440178 --> Thursday, 05 - 28

4440179 --> Thursday, 05 - 20

4440180 --> Thursday, 05 - 11

4440181 --> Thursday, 05 - 24

4440182 --> Thursday, 05 - 16

4440183 --> Thursday, 05 - 08

4440184 --> Thursday, 05 - 27

4440185 --> Thursday, 05 - 12

4440186 --> Thursday, 06 - 01

4440187 --> Thursday, 05 - 17

4440188 --> Thursday, 05 - 08

4440189 --> Thursday, 05 - 28

4440190 --> Thursday, 05 - 20

4440191 --> Thursday, 05 - 05

4440192 --> Thursday, 05 - 24

4440193 --> Thursday, 05 - 16

4440194 --> Thursday, 05 - 01

4440195 --> Thursday, 05 - 21

4440196 --> Thursday, 05 - 12

4440197 --> Thursday, 06 - 01

4440198 --> Thursday, 05 - 17

4440199 --> Thursday, 05 - 09

4440200 --> Thursday, 05 - 29

4440201 --> Thursday, 05 - 14

4440202 --> Thursday, 05 - 06

4440203 --> Thursday, 05 - 26

4440204 --> Thursday, 05 - 10

4440205 --> Thursday, 05 - 30

4440206 --> Thursday, 05 - 22

4440207 --> Thursday, 05 - 07

4440208 --> Thursday, 05 - 26

4440209 --> Thursday, 05 - 18

4440210 --> Thursday, 05 - 03

4440211 --> Thursday, 05 - 23

4440212 --> Thursday, 05 - 14

4440213 --> Thursday, 05 - 06

4440214 --> Thursday, 05 - 19

4440215 --> Thursday, 05 - 11

4440216 --> Thursday, 05 - 30

4440217 --> Thursday, 05 - 22

4440218 --> Thursday, 05 - 07

4440219 --> Thursday, 05 - 27

4440220 --> Thursday, 05 - 18

4440221 --> Thursday, 05 - 03

4440222 --> Thursday, 05 - 23

4440223 --> Thursday, 05 - 15

4440224 --> Thursday, 06 - 03

4440225 --> Thursday, 05 - 19

4440226 --> Thursday, 05 - 11

4440227 --> Thursday, 05 - 31

4440228 --> Thursday, 05 - 15

4440229 --> Thursday, 05 - 07

4440230 --> Thursday, 05 - 27

4440231 --> Thursday, 05 - 12

4440232 --> Thursday, 05 - 03

4440233 --> Thursday, 05 - 23

4440234 --> Thursday, 05 - 08

4440235 --> Thursday, 05 - 28

4440236 --> Thursday, 05 - 19

4440237 --> Thursday, 05 - 11

4440238 --> Thursday, 05 - 24

4440239 --> Thursday, 05 - 16

4440240 --> Thursday, 05 - 07

4440241 --> Thursday, 05 - 27

4440242 --> Thursday, 05 - 12

4440243 --> Thursday, 06 - 01

4440244 --> Thursday, 05 - 23

4440245 --> Thursday, 05 - 08

4440246 --> Thursday, 05 - 28

4440247 --> Thursday, 05 - 20

4440248 --> Thursday, 05 - 04

4440249 --> Thursday, 05 - 24

4440250 --> Thursday, 05 - 16

4440251 --> Thursday, 05 - 01

4440252 --> Thursday, 05 - 20

4440253 --> Thursday, 05 - 12

4440254 --> Thursday, 06 - 01

4440255 --> Thursday, 05 - 17

4440256 --> Thursday, 05 - 08

4440257 --> Thursday, 05 - 28

4440258 --> Thursday, 05 - 13

4440259 --> Thursday, 05 - 05

4440260 --> Thursday, 05 - 24

4440261 --> Thursday, 05 - 16

4440262 --> Thursday, 05 - 29

4440263 --> Thursday, 05 - 21

4440264 --> Thursday, 05 - 12

4440265 --> Thursday, 05 - 25

4440266 --> Thursday, 05 - 17

4440267 --> Thursday, 05 - 09

4440268 --> Thursday, 05 - 28

4440269 --> Thursday, 05 - 13

4440270 --> Thursday, 05 - 05

4440271 --> Thursday, 05 - 25

4440272 --> Thursday, 05 - 09

4440273 --> Thursday, 05 - 29

4440274 --> Thursday, 05 - 21

4440275 --> Thursday, 05 - 06

4440276 --> Thursday, 05 - 25

4440277 --> Thursday, 05 - 17

4440278 --> Thursday, 05 - 02

4440279 --> Thursday, 05 - 22

4440280 --> Thursday, 05 - 13

4440281 --> Thursday, 06 - 02

4440282 --> Thursday, 05 - 18

4440283 --> Thursday, 05 - 10

4440284 --> Thursday, 05 - 29

4440285 --> Thursday, 05 - 14

4440286 --> Thursday, 05 - 06

4440287 --> Thursday, 05 - 26

4440288 --> Thursday, 05 - 17

4440289 --> Thursday, 05 - 02

4440290 --> Thursday, 05 - 22

4440291 --> Thursday, 05 - 14

4440292 --> Thursday, 06 - 02

4440293 --> Thursday, 05 - 18

4440294 --> Thursday, 05 - 10

4440295 --> Thursday, 05 - 30

4440296 --> Thursday, 05 - 14

4440297 --> Thursday, 05 - 06

4440298 --> Thursday, 05 - 26

4440299 --> Thursday, 05 - 11

4440300 --> Thursday, 05 - 31

4440301 --> Thursday, 05 - 23

4440302 --> Thursday, 05 - 08

4440303 --> Thursday, 05 - 28

4440304 --> Thursday, 05 - 19

4440305 --> Thursday, 05 - 04

4440306 --> Thursday, 05 - 24

4440307 --> Thursday, 05 - 16

4440308 --> Thursday, 05 - 07

4440309 --> Thursday, 05 - 20

4440310 --> Thursday, 05 - 12

4440311 --> Thursday, 06 - 01

4440312 --> Thursday, 05 - 23

4440313 --> Thursday, 05 - 08

4440314 --> Thursday, 05 - 28

4440315 --> Thursday, 05 - 20

4440316 --> Thursday, 05 - 04

4440317 --> Thursday, 05 - 24

4440318 --> Thursday, 05 - 16

4440319 --> Thursday, 05 - 29

4440320 --> Thursday, 05 - 20

4440321 --> Thursday, 05 - 12

4440322 --> Thursday, 06 - 01

4440323 --> Thursday, 05 - 17

4440324 --> Thursday, 05 - 08

4440325 --> Thursday, 05 - 28

4440326 --> Thursday, 05 - 13

4440327 --> Thursday, 05 - 05

4440328 --> Thursday, 05 - 24

4440329 --> Thursday, 05 - 09

4440330 --> Thursday, 05 - 29

