Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 4260000 through 4269999



4260000 --> Thursday, 05 - 18

4260001 --> Thursday, 05 - 03

4260002 --> Thursday, 05 - 23

4260003 --> Thursday, 05 - 15

4260004 --> Thursday, 06 - 03

4260005 --> Thursday, 05 - 19

4260006 --> Thursday, 05 - 11

4260007 --> Thursday, 05 - 31

4260008 --> Thursday, 05 - 15

4260009 --> Thursday, 05 - 07

4260010 --> Thursday, 05 - 27

4260011 --> Thursday, 05 - 12

4260012 --> Thursday, 05 - 03

4260013 --> Thursday, 05 - 23

4260014 --> Thursday, 05 - 08

4260015 --> Thursday, 05 - 28

4260016 --> Thursday, 05 - 19

4260017 --> Thursday, 05 - 11

4260018 --> Thursday, 05 - 24

4260019 --> Thursday, 05 - 16

4260020 --> Thursday, 05 - 07

4260021 --> Thursday, 05 - 27

4260022 --> Thursday, 05 - 12

4260023 --> Thursday, 06 - 01

4260024 --> Thursday, 05 - 23

4260025 --> Thursday, 05 - 08

4260026 --> Thursday, 05 - 28

4260027 --> Thursday, 05 - 20

4260028 --> Thursday, 05 - 04

4260029 --> Thursday, 05 - 24

4260030 --> Thursday, 05 - 16

4260031 --> Thursday, 05 - 01

4260032 --> Thursday, 05 - 20

4260033 --> Thursday, 05 - 12

4260034 --> Thursday, 06 - 01

4260035 --> Thursday, 05 - 17

4260036 --> Thursday, 05 - 08

4260037 --> Thursday, 05 - 28

4260038 --> Thursday, 05 - 13

4260039 --> Thursday, 05 - 05

4260040 --> Thursday, 05 - 24

4260041 --> Thursday, 05 - 16

4260042 --> Thursday, 05 - 29

4260043 --> Thursday, 05 - 21

4260044 --> Thursday, 05 - 12

4260045 --> Thursday, 06 - 01

4260046 --> Thursday, 05 - 17

4260047 --> Thursday, 05 - 09

4260048 --> Thursday, 05 - 28

4260049 --> Thursday, 05 - 13

4260050 --> Thursday, 05 - 05

4260051 --> Thursday, 05 - 25

4260052 --> Thursday, 05 - 09

4260053 --> Thursday, 05 - 29

4260054 --> Thursday, 05 - 21

4260055 --> Thursday, 05 - 06

4260056 --> Thursday, 05 - 25

4260057 --> Thursday, 05 - 17

4260058 --> Thursday, 05 - 02

4260059 --> Thursday, 05 - 22

4260060 --> Thursday, 05 - 13

4260061 --> Thursday, 06 - 02

4260062 --> Thursday, 05 - 18

4260063 --> Thursday, 05 - 10

4260064 --> Thursday, 05 - 29

4260065 --> Thursday, 05 - 21

4260066 --> Thursday, 05 - 06

4260067 --> Thursday, 05 - 26

4260068 --> Thursday, 05 - 17

