Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2620000 through 2629999



2620000 --> Thursday, 06 - 01

2620001 --> Thursday, 05 - 17

2620002 --> Thursday, 05 - 09

2620003 --> Thursday, 05 - 29

2620004 --> Thursday, 05 - 13

2620005 --> Thursday, 05 - 05

2620006 --> Thursday, 05 - 25

2620007 --> Thursday, 05 - 10

2620008 --> Thursday, 05 - 29

2620009 --> Thursday, 05 - 21

2620010 --> Thursday, 05 - 06

2620011 --> Thursday, 05 - 26

2620012 --> Thursday, 05 - 17

2620013 --> Thursday, 05 - 09

2620014 --> Thursday, 05 - 22

2620015 --> Thursday, 05 - 14

2620016 --> Thursday, 05 - 05

2620017 --> Thursday, 05 - 25

2620018 --> Thursday, 05 - 10

2620019 --> Thursday, 05 - 30

2620020 --> Thursday, 05 - 21

2620021 --> Thursday, 05 - 06

2620022 --> Thursday, 05 - 26

2620023 --> Thursday, 05 - 18

2620024 --> Thursday, 05 - 02

2620025 --> Thursday, 05 - 22

2620026 --> Thursday, 05 - 14

2620027 --> Thursday, 06 - 03

2620028 --> Thursday, 05 - 18

2620029 --> Thursday, 05 - 10

2620030 --> Thursday, 05 - 30

2620031 --> Thursday, 05 - 15

2620032 --> Thursday, 05 - 06

2620033 --> Thursday, 05 - 26

2620034 --> Thursday, 05 - 11

2620035 --> Thursday, 05 - 03

2620036 --> Thursday, 05 - 22

2620037 --> Thursday, 05 - 14

2620038 --> Thursday, 05 - 27

2620039 --> Thursday, 05 - 19

2620040 --> Thursday, 05 - 10

2620041 --> Thursday, 05 - 30

2620042 --> Thursday, 05 - 15

2620043 --> Thursday, 05 - 07

2620044 --> Thursday, 05 - 26

2620045 --> Thursday, 05 - 11

2620046 --> Thursday, 05 - 31

2620047 --> Thursday, 05 - 23

2620048 --> Thursday, 05 - 07

2620049 --> Thursday, 05 - 27

2620050 --> Thursday, 05 - 19

2620051 --> Thursday, 05 - 04

2620052 --> Thursday, 05 - 23

2620053 --> Thursday, 05 - 15

2620054 --> Thursday, 04 - 30

2620055 --> Thursday, 05 - 20

2620056 --> Thursday, 05 - 11

2620057 --> Thursday, 05 - 31

2620058 --> Thursday, 05 - 16

2620059 --> Thursday, 05 - 08

2620060 --> Thursday, 05 - 27

2620061 --> Thursday, 05 - 19

2620062 --> Thursday, 05 - 04

2620063 --> Thursday, 05 - 24

2620064 --> Thursday, 05 - 15

2620065 --> Thursday, 05 - 28

2620066 --> Thursday, 05 - 20

2620067 --> Thursday, 05 - 12

2620068 --> Thursday, 05 - 31

2620069 --> Thursday, 05 - 16

2620070 --> Thursday, 05 - 08

2620071 --> Thursday, 05 - 28

2620072 --> Thursday, 05 - 12

2620073 --> Thursday, 05 - 04

2620074 --> Thursday, 05 - 24

2620075 --> Thursday, 05 - 09

2620076 --> Thursday, 05 - 28

2620077 --> Thursday, 05 - 20

2620078 --> Thursday, 05 - 05

2620079 --> Thursday, 05 - 25

2620080 --> Thursday, 05 - 16

2620081 --> Thursday, 05 - 01

2620082 --> Thursday, 05 - 21

2620083 --> Thursday, 05 - 13

2620084 --> Thursday, 06 - 01

2620085 --> Thursday, 05 - 17

2620086 --> Thursday, 05 - 09

2620087 --> Thursday, 05 - 29

2620088 --> Thursday, 05 - 20

2620089 --> Thursday, 05 - 05

2620090 --> Thursday, 05 - 25

2620091 --> Thursday, 05 - 17

2620092 --> Thursday, 05 - 01

2620093 --> Thursday, 05 - 21

2620094 --> Thursday, 05 - 13

2620095 --> Thursday, 06 - 02

2620096 --> Thursday, 05 - 17

2620097 --> Thursday, 05 - 09

2620098 --> Thursday, 05 - 29

2620099 --> Thursday, 05 - 14

2620100 --> Thursday, 05 - 06

2620101 --> Thursday, 05 - 26

2620102 --> Thursday, 05 - 11

2620103 --> Thursday, 05 - 31

2620104 --> Thursday, 05 - 22

2620105 --> Thursday, 05 - 07

2620106 --> Thursday, 05 - 27

2620107 --> Thursday, 05 - 19

2620108 --> Thursday, 05 - 10

2620109 --> Thursday, 05 - 23

2620110 --> Thursday, 05 - 15

2620111 --> Thursday, 05 - 07

2620112 --> Thursday, 05 - 26

2620113 --> Thursday, 05 - 11

2620114 --> Thursday, 05 - 31

2620115 --> Thursday, 05 - 23

2620116 --> Thursday, 05 - 07

2620117 --> Thursday, 05 - 27

2620118 --> Thursday, 05 - 19

2620119 --> Thursday, 05 - 04

2620120 --> Thursday, 05 - 23

2620121 --> Thursday, 05 - 15

2620122 --> Thursday, 05 - 28

2620123 --> Thursday, 05 - 20

2620124 --> Thursday, 05 - 11

2620125 --> Thursday, 05 - 31

2620126 --> Thursday, 05 - 16

2620127 --> Thursday, 05 - 08

2620128 --> Thursday, 05 - 27

2620129 --> Thursday, 05 - 12

2620130 --> Thursday, 05 - 04

2620131 --> Thursday, 05 - 24

2620132 --> Thursday, 05 - 15

2620133 --> Thursday, 05 - 28

2620134 --> Thursday, 05 - 20

2620135 --> Thursday, 05 - 12

2620136 --> Thursday, 05 - 31

2620137 --> Thursday, 05 - 16

2620138 --> Thursday, 05 - 08

2620139 --> Thursday, 05 - 21

2620140 --> Thursday, 05 - 12

2620141 --> Thursday, 06 - 01

2620142 --> Thursday, 05 - 24

2620143 --> Thursday, 05 - 09

2620144 --> Thursday, 05 - 28

2620145 --> Thursday, 05 - 20

2620146 --> Thursday, 05 - 05

2620147 --> Thursday, 05 - 25

2620148 --> Thursday, 05 - 16

