Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 4960000 through 4969999



4960000 --> Thursday, 05 - 04

4960001 --> Thursday, 05 - 24

4960002 --> Thursday, 05 - 09

4960003 --> Thursday, 05 - 29

4960004 --> Thursday, 05 - 20

4960005 --> Thursday, 05 - 12

4960006 --> Thursday, 05 - 25

4960007 --> Thursday, 05 - 17

4960008 --> Thursday, 05 - 08

4960009 --> Thursday, 05 - 21

4960010 --> Thursday, 05 - 13

4960011 --> Thursday, 06 - 02

4960012 --> Thursday, 05 - 24

4960013 --> Thursday, 05 - 09

4960014 --> Thursday, 05 - 29

4960015 --> Thursday, 05 - 21

4960016 --> Thursday, 05 - 05

4960017 --> Thursday, 05 - 25

4960018 --> Thursday, 05 - 17

4960019 --> Thursday, 05 - 02

4960020 --> Thursday, 05 - 21

4960021 --> Thursday, 05 - 13

4960022 --> Thursday, 06 - 02

4960023 --> Thursday, 05 - 18

4960024 --> Thursday, 05 - 09

4960025 --> Thursday, 05 - 29

4960026 --> Thursday, 05 - 14

4960027 --> Thursday, 05 - 06

4960028 --> Thursday, 05 - 25

4960029 --> Thursday, 05 - 10

4960030 --> Thursday, 05 - 30

4960031 --> Thursday, 05 - 22

4960032 --> Thursday, 05 - 13

4960033 --> Thursday, 05 - 26

4960034 --> Thursday, 05 - 18

4960035 --> Thursday, 05 - 10

4960036 --> Thursday, 05 - 29

4960037 --> Thursday, 05 - 14

4960038 --> Thursday, 05 - 06

4960039 --> Thursday, 05 - 26

4960040 --> Thursday, 05 - 10

4960041 --> Thursday, 05 - 30

4960042 --> Thursday, 05 - 22

4960043 --> Thursday, 05 - 07

4960044 --> Thursday, 05 - 26

4960045 --> Thursday, 05 - 18

4960046 --> Thursday, 05 - 03

4960047 --> Thursday, 05 - 23

4960048 --> Thursday, 05 - 14

4960049 --> Thursday, 06 - 03

4960050 --> Thursday, 05 - 19

4960051 --> Thursday, 05 - 11

4960052 --> Thursday, 05 - 30

4960053 --> Thursday, 05 - 15

4960054 --> Thursday, 05 - 07

4960055 --> Thursday, 05 - 27

4960056 --> Thursday, 05 - 18

4960057 --> Thursday, 05 - 03

4960058 --> Thursday, 05 - 23

4960059 --> Thursday, 05 - 15

4960060 --> Thursday, 05 - 27

4960061 --> Thursday, 05 - 19

4960062 --> Thursday, 05 - 11

4960063 --> Thursday, 05 - 31

4960064 --> Thursday, 05 - 15

4960065 --> Thursday, 05 - 07

4960066 --> Thursday, 05 - 27

4960067 --> Thursday, 05 - 12

4960068 --> Thursday, 05 - 31

4960069 --> Thursday, 05 - 23

4960070 --> Thursday, 05 - 08

4960071 --> Thursday, 05 - 28

4960072 --> Thursday, 05 - 19

4960073 --> Thursday, 05 - 04

4960074 --> Thursday, 05 - 24

4960075 --> Thursday, 05 - 16

4960076 --> Thursday, 05 - 07

4960077 --> Thursday, 05 - 20

4960078 --> Thursday, 05 - 12

4960079 --> Thursday, 06 - 01

4960080 --> Thursday, 05 - 23

4960081 --> Thursday, 05 - 08

4960082 --> Thursday, 05 - 28

4960083 --> Thursday, 05 - 13

4960084 --> Thursday, 05 - 04

4960085 --> Thursday, 05 - 24

4960086 --> Thursday, 05 - 16

4960087 --> Thursday, 05 - 29

4960088 --> Thursday, 05 - 20

4960089 --> Thursday, 05 - 12

4960090 --> Thursday, 06 - 01

4960091 --> Thursday, 05 - 17

4960092 --> Thursday, 05 - 08

4960093 --> Thursday, 05 - 28

4960094 --> Thursday, 05 - 13

4960095 --> Thursday, 05 - 05

4960096 --> Thursday, 05 - 24

4960097 --> Thursday, 05 - 09

4960098 --> Thursday, 05 - 29

4960099 --> Thursday, 05 - 21

4960100 --> Thursday, 05 - 13

4960101 --> Thursday, 05 - 26

4960102 --> Thursday, 05 - 18

4960103 --> Thursday, 05 - 03

4960104 --> Thursday, 05 - 22

4960105 --> Thursday, 05 - 14

4960106 --> Thursday, 05 - 06

4960107 --> Thursday, 05 - 19

4960108 --> Thursday, 05 - 10

4960109 --> Thursday, 05 - 30

4960110 --> Thursday, 05 - 22

4960111 --> Thursday, 05 - 07

4960112 --> Thursday, 05 - 26

4960113 --> Thursday, 05 - 18

4960114 --> Thursday, 05 - 03

4960115 --> Thursday, 05 - 23

4960116 --> Thursday, 05 - 14

4960117 --> Thursday, 06 - 03

4960118 --> Thursday, 05 - 19

4960119 --> Thursday, 05 - 11

4960120 --> Thursday, 05 - 30

4960121 --> Thursday, 05 - 15

4960122 --> Thursday, 05 - 07

4960123 --> Thursday, 05 - 27

4960124 --> Thursday, 05 - 11

4960125 --> Thursday, 05 - 03

4960126 --> Thursday, 05 - 23

4960127 --> Thursday, 05 - 08

4960128 --> Thursday, 05 - 27

4960129 --> Thursday, 05 - 19

4960130 --> Thursday, 05 - 11

4960131 --> Thursday, 05 - 24

4960132 --> Thursday, 05 - 15

4960133 --> Thursday, 05 - 07

4960134 --> Thursday, 05 - 27

4960135 --> Thursday, 05 - 12

4960136 --> Thursday, 05 - 31

4960137 --> Thursday, 05 - 23

4960138 --> Thursday, 05 - 08

4960139 --> Thursday, 05 - 28

4960140 --> Thursday, 05 - 19

4960141 --> Thursday, 05 - 04

4960142 --> Thursday, 05 - 24

4960143 --> Thursday, 05 - 16

4960144 --> Thursday, 04 - 30

4960145 --> Thursday, 05 - 20

4960146 --> Thursday, 05 - 12

4960147 --> Thursday, 06 - 01

4960148 --> Thursday, 05 - 16

4960149 --> Thursday, 05 - 08

4960150 --> Thursday, 05 - 28

4960151 --> Thursday, 05 - 13

4960152 --> Thursday, 05 - 04

4960153 --> Thursday, 05 - 24

4960154 --> Thursday, 05 - 16

4960155 --> Thursday, 05 - 29

4960156 --> Thursday, 05 - 20

4960157 --> Thursday, 05 - 12

4960158 --> Thursday, 06 - 01

4960159 --> Thursday, 05 - 17

4960160 --> Thursday, 05 - 08

4960161 --> Thursday, 05 - 28

4960162 --> Thursday, 05 - 13

4960163 --> Thursday, 05 - 05

4960164 --> Thursday, 05 - 24

4960165 --> Thursday, 05 - 09

4960166 --> Thursday, 05 - 29

4960167 --> Thursday, 05 - 21

4960168 --> Thursday, 05 - 05

4960169 --> Thursday, 05 - 25

4960170 --> Thursday, 05 - 17

4960171 --> Thursday, 05 - 02

4960172 --> Thursday, 05 - 21

4960173 --> Thursday, 05 - 13

4960174 --> Thursday, 06 - 02

4960175 --> Thursday, 05 - 18

4960176 --> Thursday, 05 - 09

4960177 --> Thursday, 05 - 29

4960178 --> Thursday, 05 - 14

4960179 --> Thursday, 05 - 06

4960180 --> Thursday, 05 - 25

4960181 --> Thursday, 05 - 17

4960182 --> Thursday, 05 - 02

4960183 --> Thursday, 05 - 22

4960184 --> Thursday, 05 - 13

4960185 --> Thursday, 06 - 02

4960186 --> Thursday, 05 - 18

4960187 --> Thursday, 05 - 10

4960188 --> Thursday, 05 - 29

4960189 --> Thursday, 05 - 14

4960190 --> Thursday, 05 - 06

4960191 --> Thursday, 05 - 26

4960192 --> Thursday, 05 - 10

4960193 --> Thursday, 05 - 30

4960194 --> Thursday, 05 - 22

4960195 --> Thursday, 05 - 07

4960196 --> Thursday, 05 - 26

4960197 --> Thursday, 05 - 18

4960198 --> Thursday, 05 - 03

4960199 --> Thursday, 05 - 23

4960200 --> Thursday, 05 - 15

4960201 --> Thursday, 04 - 30

4960202 --> Thursday, 05 - 20

4960203 --> Thursday, 05 - 12

4960204 --> Thursday, 05 - 31

4960205 --> Thursday, 05 - 16

4960206 --> Thursday, 05 - 08

4960207 --> Thursday, 05 - 28

4960208 --> Thursday, 05 - 19

4960209 --> Thursday, 05 - 04

4960210 --> Thursday, 05 - 24

4960211 --> Thursday, 05 - 16

4960212 --> Thursday, 05 - 28

4960213 --> Thursday, 05 - 20

4960214 --> Thursday, 05 - 12

4960215 --> Thursday, 06 - 01

4960216 --> Thursday, 05 - 16

4960217 --> Thursday, 05 - 08

4960218 --> Thursday, 05 - 28

4960219 --> Thursday, 05 - 13

4960220 --> Thursday, 05 - 04

4960221 --> Thursday, 05 - 24

4960222 --> Thursday, 05 - 09

4960223 --> Thursday, 05 - 29

4960224 --> Thursday, 05 - 20

4960225 --> Thursday, 05 - 05

4960226 --> Thursday, 05 - 25

4960227 --> Thursday, 05 - 17

4960228 --> Thursday, 05 - 08

4960229 --> Thursday, 05 - 21

4960230 --> Thursday, 05 - 13

4960231 --> Thursday, 06 - 02

4960232 --> Thursday, 05 - 24

4960233 --> Thursday, 05 - 09

4960234 --> Thursday, 05 - 29

4960235 --> Thursday, 05 - 14

4960236 --> Thursday, 05 - 05

4960237 --> Thursday, 05 - 25

4960238 --> Thursday, 05 - 17

4960239 --> Thursday, 05 - 02

4960240 --> Thursday, 05 - 21

4960241 --> Thursday, 05 - 13

4960242 --> Thursday, 06 - 02

4960243 --> Thursday, 05 - 18

4960244 --> Thursday, 05 - 09

4960245 --> Thursday, 05 - 29

4960246 --> Thursday, 05 - 14

4960247 --> Thursday, 05 - 06

4960248 --> Thursday, 05 - 25

4960249 --> Thursday, 05 - 10

4960250 --> Thursday, 05 - 30

4960251 --> Thursday, 05 - 22

4960252 --> Thursday, 05 - 13

4960253 --> Thursday, 05 - 26

4960254 --> Thursday, 05 - 18

4960255 --> Thursday, 05 - 03

4960256 --> Thursday, 05 - 22

4960257 --> Thursday, 05 - 14

4960258 --> Thursday, 05 - 06

4960259 --> Thursday, 05 - 19

4960260 --> Thursday, 05 - 10

4960261 --> Thursday, 05 - 30

4960262 --> Thursday, 05 - 22

4960263 --> Thursday, 05 - 07

4960264 --> Thursday, 05 - 26

4960265 --> Thursday, 05 - 18

4960266 --> Thursday, 05 - 03

4960267 --> Thursday, 05 - 23

4960268 --> Thursday, 05 - 14

4960269 --> Thursday, 06 - 03

4960270 --> Thursday, 05 - 19

4960271 --> Thursday, 05 - 11

4960272 --> Thursday, 05 - 30

4960273 --> Thursday, 05 - 15

4960274 --> Thursday, 05 - 07

4960275 --> Thursday, 05 - 27

4960276 --> Thursday, 05 - 11

4960277 --> Thursday, 05 - 03

4960278 --> Thursday, 05 - 23

4960279 --> Thursday, 05 - 08

4960280 --> Thursday, 05 - 27

4960281 --> Thursday, 05 - 19

4960282 --> Thursday, 05 - 11

4960283 --> Thursday, 05 - 24

4960284 --> Thursday, 05 - 15

4960285 --> Thursday, 05 - 07

4960286 --> Thursday, 05 - 27

4960287 --> Thursday, 05 - 12

4960288 --> Thursday, 05 - 31

4960289 --> Thursday, 05 - 23

4960290 --> Thursday, 05 - 08

4960291 --> Thursday, 05 - 28

4960292 --> Thursday, 05 - 19

4960293 --> Thursday, 05 - 04

4960294 --> Thursday, 05 - 24

4960295 --> Thursday, 05 - 16

4960296 --> Thursday, 04 - 30

4960297 --> Thursday, 05 - 20

4960298 --> Thursday, 05 - 12

4960299 --> Thursday, 06 - 01

4960300 --> Thursday, 05 - 17

4960301 --> Thursday, 05 - 09

4960302 --> Thursday, 05 - 29

4960303 --> Thursday, 05 - 14

4960304 --> Thursday, 05 - 05

4960305 --> Thursday, 05 - 25

4960306 --> Thursday, 05 - 17

4960307 --> Thursday, 05 - 02

4960308 --> Thursday, 05 - 21

4960309 --> Thursday, 05 - 13

4960310 --> Thursday, 06 - 02

4960311 --> Thursday, 05 - 18

4960312 --> Thursday, 05 - 09

4960313 --> Thursday, 05 - 29

4960314 --> Thursday, 05 - 14

4960315 --> Thursday, 05 - 06

4960316 --> Thursday, 05 - 25

4960317 --> Thursday, 05 - 10

4960318 --> Thursday, 05 - 30

4960319 --> Thursday, 05 - 22

4960320 --> Thursday, 05 - 06

4960321 --> Thursday, 05 - 26

4960322 --> Thursday, 05 - 18

4960323 --> Thursday, 05 - 03

4960324 --> Thursday, 05 - 22

4960325 --> Thursday, 05 - 14

4960326 --> Thursday, 05 - 06

4960327 --> Thursday, 05 - 19

4960328 --> Thursday, 05 - 10

4960329 --> Thursday, 05 - 30

4960330 --> Thursday, 05 - 15

4960331 --> Thursday, 05 - 07

4960332 --> Thursday, 05 - 26

4960333 --> Thursday, 05 - 18

4960334 --> Thursday, 05 - 03

4960335 --> Thursday, 05 - 23

4960336 --> Thursday, 05 - 14

4960337 --> Thursday, 06 - 03

4960338 --> Thursday, 05 - 19

4960339 --> Thursday, 05 - 11

4960340 --> Thursday, 05 - 30

4960341 --> Thursday, 05 - 15

4960342 --> Thursday, 05 - 07

4960343 --> Thursday, 05 - 27

4960344 --> Thursday, 05 - 11

4960345 --> Thursday, 05 - 03

4960346 --> Thursday, 05 - 23

4960347 --> Thursday, 05 - 08

4960348 --> Thursday, 05 - 27

4960349 --> Thursday, 05 - 19

4960350 --> Thursday, 05 - 04

4960351 --> Thursday, 05 - 24

4960352 --> Thursday, 05 - 15

4960353 --> Thursday, 05 - 07

4960354 --> Thursday, 05 - 20

4960355 --> Thursday, 05 - 12

4960356 --> Thursday, 05 - 31

4960357 --> Thursday, 05 - 23

4960358 --> Thursday, 05 - 08

4960359 --> Thursday, 05 - 28

4960360 --> Thursday, 05 - 19

4960361 --> Thursday, 05 - 04

4960362 --> Thursday, 05 - 24

4960363 --> Thursday, 05 - 16

4960364 --> Thursday, 04 - 30

4960365 --> Thursday, 05 - 20

4960366 --> Thursday, 05 - 12

4960367 --> Thursday, 06 - 01

4960368 --> Thursday, 05 - 16

4960369 --> Thursday, 05 - 08

4960370 --> Thursday, 05 - 28

4960371 --> Thursday, 05 - 13

4960372 --> Thursday, 05 - 04

4960373 --> Thursday, 05 - 24

4960374 --> Thursday, 05 - 09

4960375 --> Thursday, 05 - 29

4960376 --> Thursday, 05 - 20

4960377 --> Thursday, 05 - 12

4960378 --> Thursday, 05 - 25

4960379 --> Thursday, 05 - 17

4960380 --> Thursday, 05 - 08

4960381 --> Thursday, 05 - 28

4960382 --> Thursday, 05 - 13

4960383 --> Thursday, 05 - 05

4960384 --> Thursday, 05 - 24

4960385 --> Thursday, 05 - 09

4960386 --> Thursday, 05 - 29

4960387 --> Thursday, 05 - 21

4960388 --> Thursday, 05 - 05

4960389 --> Thursday, 05 - 25

4960390 --> Thursday, 05 - 17

4960391 --> Thursday, 05 - 02

4960392 --> Thursday, 05 - 21

4960393 --> Thursday, 05 - 13

4960394 --> Thursday, 06 - 02

4960395 --> Thursday, 05 - 18

4960396 --> Thursday, 05 - 09

4960397 --> Thursday, 05 - 29

4960398 --> Thursday, 05 - 14

4960399 --> Thursday, 05 - 06

4960400 --> Thursday, 05 - 25

4960401 --> Thursday, 05 - 17

4960402 --> Thursday, 05 - 02

4960403 --> Thursday, 05 - 22

4960404 --> Thursday, 05 - 13

4960405 --> Thursday, 06 - 02

4960406 --> Thursday, 05 - 18

4960407 --> Thursday, 05 - 10

4960408 --> Thursday, 05 - 29

4960409 --> Thursday, 05 - 14

4960410 --> Thursday, 05 - 06

4960411 --> Thursday, 05 - 26

4960412 --> Thursday, 05 - 10

4960413 --> Thursday, 05 - 30

4960414 --> Thursday, 05 - 22

4960415 --> Thursday, 05 - 07

4960416 --> Thursday, 05 - 26

4960417 --> Thursday, 05 - 18

4960418 --> Thursday, 05 - 03

4960419 --> Thursday, 05 - 23

4960420 --> Thursday, 05 - 14

4960421 --> Thursday, 05 - 06

4960422 --> Thursday, 05 - 19

4960423 --> Thursday, 05 - 11

4960424 --> Thursday, 05 - 30

4960425 --> Thursday, 05 - 15

4960426 --> Thursday, 05 - 07

4960427 --> Thursday, 05 - 27

4960428 --> Thursday, 05 - 18

4960429 --> Thursday, 05 - 03

4960430 --> Thursday, 05 - 23

4960431 --> Thursday, 05 - 15

4960432 --> Thursday, 06 - 03

4960433 --> Thursday, 05 - 19

4960434 --> Thursday, 05 - 11

4960435 --> Thursday, 05 - 31

4960436 --> Thursday, 05 - 15

4960437 --> Thursday, 05 - 07

4960438 --> Thursday, 05 - 27

4960439 --> Thursday, 05 - 12

4960440 --> Thursday, 05 - 03

4960441 --> Thursday, 05 - 23

4960442 --> Thursday, 05 - 08

4960443 --> Thursday, 05 - 28

4960444 --> Thursday, 05 - 19

4960445 --> Thursday, 05 - 04

4960446 --> Thursday, 05 - 24

4960447 --> Thursday, 05 - 16

4960448 --> Thursday, 05 - 07

4960449 --> Thursday, 05 - 20

4960450 --> Thursday, 05 - 12

4960451 --> Thursday, 06 - 01

4960452 --> Thursday, 05 - 23

4960453 --> Thursday, 05 - 08

4960454 --> Thursday, 05 - 28

4960455 --> Thursday, 05 - 20

4960456 --> Thursday, 05 - 04

4960457 --> Thursday, 05 - 24

4960458 --> Thursday, 05 - 16

4960459 --> Thursday, 05 - 01

4960460 --> Thursday, 05 - 20

4960461 --> Thursday, 05 - 12

4960462 --> Thursday, 06 - 01

4960463 --> Thursday, 05 - 17

4960464 --> Thursday, 05 - 08

4960465 --> Thursday, 05 - 28

4960466 --> Thursday, 05 - 13

4960467 --> Thursday, 05 - 05

4960468 --> Thursday, 05 - 24

4960469 --> Thursday, 05 - 09

4960470 --> Thursday, 05 - 29

4960471 --> Thursday, 05 - 21

4960472 --> Thursday, 05 - 12

4960473 --> Thursday, 05 - 25

4960474 --> Thursday, 05 - 17

4960475 --> Thursday, 05 - 09

4960476 --> Thursday, 05 - 28

4960477 --> Thursday, 05 - 13

4960478 --> Thursday, 05 - 05

4960479 --> Thursday, 05 - 25

4960480 --> Thursday, 05 - 09

4960481 --> Thursday, 05 - 29

4960482 --> Thursday, 05 - 21

4960483 --> Thursday, 05 - 06

4960484 --> Thursday, 05 - 25

4960485 --> Thursday, 05 - 17

4960486 --> Thursday, 05 - 02

4960487 --> Thursday, 05 - 22

4960488 --> Thursday, 05 - 13

4960489 --> Thursday, 06 - 02

4960490 --> Thursday, 05 - 18

4960491 --> Thursday, 05 - 10

4960492 --> Thursday, 05 - 29

4960493 --> Thursday, 05 - 14

4960494 --> Thursday, 05 - 06

4960495 --> Thursday, 05 - 26

4960496 --> Thursday, 05 - 17

4960497 --> Thursday, 05 - 02

4960498 --> Thursday, 05 - 22

4960499 --> Thursday, 05 - 14

4960500 --> Thursday, 05 - 27

4960501 --> Thursday, 05 - 19

4960502 --> Thursday, 05 - 04

4960503 --> Thursday, 05 - 24

4960504 --> Thursday, 05 - 15

4960505 --> Thursday, 05 - 07

4960506 --> Thursday, 05 - 20

4960507 --> Thursday, 05 - 12

4960508 --> Thursday, 05 - 31

4960509 --> Thursday, 05 - 23

4960510 --> Thursday, 05 - 08

4960511 --> Thursday, 05 - 28

4960512 --> Thursday, 05 - 19

4960513 --> Thursday, 05 - 04

4960514 --> Thursday, 05 - 24

4960515 --> Thursday, 05 - 16

4960516 --> Thursday, 04 - 30

4960517 --> Thursday, 05 - 20

4960518 --> Thursday, 05 - 12

4960519 --> Thursday, 06 - 01

4960520 --> Thursday, 05 - 16

4960521 --> Thursday, 05 - 08

4960522 --> Thursday, 05 - 28

4960523 --> Thursday, 05 - 13

4960524 --> Thursday, 05 - 04

4960525 --> Thursday, 05 - 24

4960526 --> Thursday, 05 - 09

4960527 --> Thursday, 05 - 29

4960528 --> Thursday, 05 - 20

4960529 --> Thursday, 05 - 12

4960530 --> Thursday, 05 - 25

4960531 --> Thursday, 05 - 17

4960532 --> Thursday, 05 - 08

4960533 --> Thursday, 05 - 28

4960534 --> Thursday, 05 - 13

4960535 --> Thursday, 05 - 05

4960536 --> Thursday, 05 - 24

4960537 --> Thursday, 05 - 09

4960538 --> Thursday, 05 - 29

4960539 --> Thursday, 05 - 21

4960540 --> Thursday, 05 - 05

4960541 --> Thursday, 05 - 25

4960542 --> Thursday, 05 - 17

4960543 --> Thursday, 05 - 02

4960544 --> Thursday, 05 - 21

4960545 --> Thursday, 05 - 13

4960546 --> Thursday, 06 - 02

4960547 --> Thursday, 05 - 18

