Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2700000 through 2709999



2700000 --> Thursday, 05 - 25

2700001 --> Thursday, 05 - 10

2700002 --> Thursday, 05 - 30

2700003 --> Thursday, 05 - 22

2700004 --> Thursday, 05 - 06

2700005 --> Thursday, 05 - 26

2700006 --> Thursday, 05 - 18

2700007 --> Thursday, 05 - 03

2700008 --> Thursday, 05 - 22

2700009 --> Thursday, 05 - 14

2700010 --> Thursday, 05 - 06

2700011 --> Thursday, 05 - 19

2700012 --> Thursday, 05 - 10

2700013 --> Thursday, 05 - 30

2700014 --> Thursday, 05 - 15

2700015 --> Thursday, 05 - 07

2700016 --> Thursday, 05 - 26

2700017 --> Thursday, 05 - 18

2700018 --> Thursday, 05 - 03

2700019 --> Thursday, 05 - 23

2700020 --> Thursday, 05 - 14

2700021 --> Thursday, 06 - 03

2700022 --> Thursday, 05 - 19

2700023 --> Thursday, 05 - 11

2700024 --> Thursday, 05 - 30

2700025 --> Thursday, 05 - 15

2700026 --> Thursday, 05 - 07

2700027 --> Thursday, 05 - 27

2700028 --> Thursday, 05 - 11

2700029 --> Thursday, 05 - 03

2700030 --> Thursday, 05 - 23

2700031 --> Thursday, 05 - 08

2700032 --> Thursday, 05 - 27

2700033 --> Thursday, 05 - 19

2700034 --> Thursday, 05 - 04

2700035 --> Thursday, 05 - 24

2700036 --> Thursday, 05 - 15

2700037 --> Thursday, 05 - 07

2700038 --> Thursday, 05 - 20

2700039 --> Thursday, 05 - 12

2700040 --> Thursday, 05 - 31

2700041 --> Thursday, 05 - 23

2700042 --> Thursday, 05 - 08

2700043 --> Thursday, 05 - 28

2700044 --> Thursday, 05 - 19

2700045 --> Thursday, 05 - 04

2700046 --> Thursday, 05 - 24

2700047 --> Thursday, 05 - 16

2700048 --> Thursday, 04 - 30

2700049 --> Thursday, 05 - 20

2700050 --> Thursday, 05 - 12

2700051 --> Thursday, 06 - 01

2700052 --> Thursday, 05 - 16

2700053 --> Thursday, 05 - 08

2700054 --> Thursday, 05 - 28

2700055 --> Thursday, 05 - 13

2700056 --> Thursday, 05 - 04

2700057 --> Thursday, 05 - 24

2700058 --> Thursday, 05 - 09

2700059 --> Thursday, 05 - 29

2700060 --> Thursday, 05 - 20

2700061 --> Thursday, 05 - 12

2700062 --> Thursday, 05 - 25

2700063 --> Thursday, 05 - 17

2700064 --> Thursday, 05 - 08

2700065 --> Thursday, 05 - 28

2700066 --> Thursday, 05 - 13

2700067 --> Thursday, 05 - 05

2700068 --> Thursday, 05 - 24

2700069 --> Thursday, 05 - 09

2700070 --> Thursday, 05 - 29

2700071 --> Thursday, 05 - 21

2700072 --> Thursday, 05 - 05

2700073 --> Thursday, 05 - 25

2700074 --> Thursday, 05 - 17

2700075 --> Thursday, 05 - 02

2700076 --> Thursday, 05 - 21

2700077 --> Thursday, 05 - 13

2700078 --> Thursday, 06 - 02

2700079 --> Thursday, 05 - 18

2700080 --> Thursday, 05 - 09

