Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 0950000 through 0959999



0950000 --> Thursday, 05 - 25

0950001 --> Thursday, 05 - 10

0950002 --> Thursday, 05 - 30

0950003 --> Thursday, 05 - 22

0950004 --> Thursday, 05 - 06

0950005 --> Thursday, 05 - 26

0950006 --> Thursday, 05 - 18

0950007 --> Thursday, 05 - 03

0950008 --> Thursday, 05 - 22

0950009 --> Thursday, 05 - 14

0950010 --> Thursday, 05 - 06

0950011 --> Thursday, 05 - 19

0950012 --> Thursday, 05 - 10

0950013 --> Thursday, 05 - 30

0950014 --> Thursday, 05 - 22

0950015 --> Thursday, 05 - 07

0950016 --> Thursday, 05 - 26

0950017 --> Thursday, 05 - 18

0950018 --> Thursday, 05 - 03

0950019 --> Thursday, 05 - 23

0950020 --> Thursday, 05 - 14

0950021 --> Thursday, 06 - 03

0950022 --> Thursday, 05 - 19

0950023 --> Thursday, 05 - 11

0950024 --> Thursday, 05 - 30

0950025 --> Thursday, 05 - 15

0950026 --> Thursday, 05 - 07

0950027 --> Thursday, 05 - 27

0950028 --> Thursday, 05 - 11

0950029 --> Thursday, 05 - 03

0950030 --> Thursday, 05 - 23

0950031 --> Thursday, 05 - 08

0950032 --> Thursday, 05 - 27

0950033 --> Thursday, 05 - 19

0950034 --> Thursday, 05 - 11

0950035 --> Thursday, 05 - 24

0950036 --> Thursday, 05 - 15

0950037 --> Thursday, 05 - 07

0950038 --> Thursday, 05 - 20

0950039 --> Thursday, 05 - 12

0950040 --> Thursday, 05 - 31

0950041 --> Thursday, 05 - 23

0950042 --> Thursday, 05 - 08

0950043 --> Thursday, 05 - 28

0950044 --> Thursday, 05 - 19

0950045 --> Thursday, 05 - 04

0950046 --> Thursday, 05 - 24

0950047 --> Thursday, 05 - 16

0950048 --> Thursday, 04 - 30

0950049 --> Thursday, 05 - 20

0950050 --> Thursday, 05 - 12

0950051 --> Thursday, 06 - 01

0950052 --> Thursday, 05 - 16

0950053 --> Thursday, 05 - 08

0950054 --> Thursday, 05 - 28

0950055 --> Thursday, 05 - 13

0950056 --> Thursday, 05 - 04

0950057 --> Thursday, 05 - 24

0950058 --> Thursday, 05 - 09

0950059 --> Thursday, 05 - 29

0950060 --> Thursday, 05 - 20

0950061 --> Thursday, 05 - 12

