Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2450000 through 2459999



2450000 --> Thursday, 05 - 04

2450001 --> Thursday, 05 - 24

2450002 --> Thursday, 05 - 16

2450003 --> Thursday, 05 - 01

2450004 --> Thursday, 05 - 20

2450005 --> Thursday, 05 - 12

2450006 --> Thursday, 06 - 01

2450007 --> Thursday, 05 - 17

2450008 --> Thursday, 05 - 08

2450009 --> Thursday, 05 - 28

2450010 --> Thursday, 05 - 13

2450011 --> Thursday, 05 - 05

2450012 --> Thursday, 05 - 24

2450013 --> Thursday, 05 - 09

2450014 --> Thursday, 05 - 29

2450015 --> Thursday, 05 - 21

2450016 --> Thursday, 05 - 12

2450017 --> Thursday, 05 - 25

2450018 --> Thursday, 05 - 17

2450019 --> Thursday, 05 - 09

2450020 --> Thursday, 05 - 28

2450021 --> Thursday, 05 - 13

2450022 --> Thursday, 05 - 05

2450023 --> Thursday, 05 - 25

2450024 --> Thursday, 05 - 09

2450025 --> Thursday, 05 - 29

2450026 --> Thursday, 05 - 21

2450027 --> Thursday, 05 - 06

2450028 --> Thursday, 05 - 25

2450029 --> Thursday, 05 - 17

2450030 --> Thursday, 05 - 02

2450031 --> Thursday, 05 - 22

2450032 --> Thursday, 05 - 13

2450033 --> Thursday, 06 - 02

2450034 --> Thursday, 05 - 18

2450035 --> Thursday, 05 - 10

2450036 --> Thursday, 05 - 29

2450037 --> Thursday, 05 - 14

2450038 --> Thursday, 05 - 06

2450039 --> Thursday, 05 - 26

2450040 --> Thursday, 05 - 17

2450041 --> Thursday, 05 - 02

2450042 --> Thursday, 05 - 22

2450043 --> Thursday, 05 - 14

2450044 --> Thursday, 06 - 02

2450045 --> Thursday, 05 - 18

2450046 --> Thursday, 05 - 10

2450047 --> Thursday, 05 - 30

2450048 --> Thursday, 05 - 14

2450049 --> Thursday, 05 - 06

2450050 --> Thursday, 05 - 26

2450051 --> Thursday, 05 - 11

2450052 --> Thursday, 05 - 30

2450053 --> Thursday, 05 - 22

2450054 --> Thursday, 05 - 07

2450055 --> Thursday, 05 - 27

2450056 --> Thursday, 05 - 18

2450057 --> Thursday, 05 - 03

2450058 --> Thursday, 05 - 23

2450059 --> Thursday, 05 - 15

2450060 --> Thursday, 05 - 06

2450061 --> Thursday, 05 - 19

2450062 --> Thursday, 05 - 11

2450063 --> Thursday, 05 - 31

2450064 --> Thursday, 05 - 22

2450065 --> Thursday, 05 - 07

2450066 --> Thursday, 05 - 27

2450067 --> Thursday, 05 - 19

2450068 --> Thursday, 05 - 03

2450069 --> Thursday, 05 - 23

2450070 --> Thursday, 05 - 15

2450071 --> Thursday, 05 - 28

2450072 --> Thursday, 05 - 19

2450073 --> Thursday, 05 - 11

2450074 --> Thursday, 05 - 31

2450075 --> Thursday, 05 - 16

2450076 --> Thursday, 05 - 07

2450077 --> Thursday, 05 - 27

2450078 --> Thursday, 05 - 12

2450079 --> Thursday, 05 - 04

2450080 --> Thursday, 05 - 23

2450081 --> Thursday, 05 - 08

2450082 --> Thursday, 05 - 28

2450083 --> Thursday, 05 - 20

2450084 --> Thursday, 05 - 11

2450085 --> Thursday, 05 - 24

2450086 --> Thursday, 05 - 16

2450087 --> Thursday, 05 - 08

2450088 --> Thursday, 05 - 20

2450089 --> Thursday, 05 - 12

2450090 --> Thursday, 06 - 01

2450091 --> Thursday, 05 - 17

2450092 --> Thursday, 05 - 08

2450093 --> Thursday, 05 - 28

2450094 --> Thursday, 05 - 20

2450095 --> Thursday, 05 - 05

2450096 --> Thursday, 05 - 24

2450097 --> Thursday, 05 - 16

2450098 --> Thursday, 05 - 01

2450099 --> Thursday, 05 - 21

2450100 --> Thursday, 05 - 13

2450101 --> Thursday, 06 - 02

2450102 --> Thursday, 05 - 18

2450103 --> Thursday, 05 - 10

2450104 --> Thursday, 05 - 29

2450105 --> Thursday, 05 - 14

2450106 --> Thursday, 05 - 06

2450107 --> Thursday, 05 - 26

2450108 --> Thursday, 05 - 10

2450109 --> Thursday, 05 - 30

2450110 --> Thursday, 05 - 22

2450111 --> Thursday, 05 - 07

2450112 --> Thursday, 05 - 26

2450113 --> Thursday, 05 - 18

2450114 --> Thursday, 05 - 10

2450115 --> Thursday, 05 - 23

2450116 --> Thursday, 05 - 14

2450117 --> Thursday, 05 - 06

2450118 --> Thursday, 05 - 26

2450119 --> Thursday, 05 - 11

2450120 --> Thursday, 05 - 30

2450121 --> Thursday, 05 - 22

2450122 --> Thursday, 05 - 07

2450123 --> Thursday, 05 - 27

2450124 --> Thursday, 05 - 18

2450125 --> Thursday, 05 - 03

2450126 --> Thursday, 05 - 23

2450127 --> Thursday, 05 - 15

2450128 --> Thursday, 06 - 03

2450129 --> Thursday, 05 - 19

2450130 --> Thursday, 05 - 11

2450131 --> Thursday, 05 - 31

2450132 --> Thursday, 05 - 15

2450133 --> Thursday, 05 - 07

2450134 --> Thursday, 05 - 27

2450135 --> Thursday, 05 - 12

2450136 --> Thursday, 05 - 03

2450137 --> Thursday, 05 - 23

2450138 --> Thursday, 05 - 15

2450139 --> Thursday, 05 - 28

2450140 --> Thursday, 05 - 19

2450141 --> Thursday, 05 - 11

2450142 --> Thursday, 05 - 31

2450143 --> Thursday, 05 - 16

2450144 --> Thursday, 05 - 07

2450145 --> Thursday, 05 - 27

2450146 --> Thursday, 05 - 12

2450147 --> Thursday, 06 - 01

2450148 --> Thursday, 05 - 23

2450149 --> Thursday, 05 - 08

2450150 --> Thursday, 05 - 28

2450151 --> Thursday, 05 - 20

2450152 --> Thursday, 05 - 04

2450153 --> Thursday, 05 - 24

2450154 --> Thursday, 05 - 16

2450155 --> Thursday, 05 - 01

2450156 --> Thursday, 05 - 20

2450157 --> Thursday, 05 - 12

2450158 --> Thursday, 06 - 01

2450159 --> Thursday, 05 - 17

2450160 --> Thursday, 05 - 08

2450161 --> Thursday, 05 - 28

2450162 --> Thursday, 05 - 20

2450163 --> Thursday, 05 - 05

2450164 --> Thursday, 05 - 24

2450165 --> Thursday, 05 - 16

2450166 --> Thursday, 05 - 29

2450167 --> Thursday, 05 - 21

2450168 --> Thursday, 05 - 12

2450169 --> Thursday, 06 - 01

2450170 --> Thursday, 05 - 17

2450171 --> Thursday, 05 - 09

2450172 --> Thursday, 05 - 28

2450173 --> Thursday, 05 - 13

2450174 --> Thursday, 05 - 05

2450175 --> Thursday, 05 - 25

2450176 --> Thursday, 05 - 09

2450177 --> Thursday, 05 - 29

2450178 --> Thursday, 05 - 21

2450179 --> Thursday, 05 - 06

2450180 --> Thursday, 05 - 25

2450181 --> Thursday, 05 - 17

2450182 --> Thursday, 05 - 09

2450183 --> Thursday, 05 - 22

2450184 --> Thursday, 05 - 13

2450185 --> Thursday, 06 - 02

2450186 --> Thursday, 05 - 18

2450187 --> Thursday, 05 - 10

2450188 --> Thursday, 05 - 29

2450189 --> Thursday, 05 - 21

2450190 --> Thursday, 05 - 06

2450191 --> Thursday, 05 - 26

2450192 --> Thursday, 05 - 17

2450193 --> Thursday, 05 - 02

2450194 --> Thursday, 05 - 22

2450195 --> Thursday, 05 - 14

2450196 --> Thursday, 06 - 02

2450197 --> Thursday, 05 - 18

2450198 --> Thursday, 05 - 10

2450199 --> Thursday, 05 - 30

2450200 --> Thursday, 05 - 15

2450201 --> Thursday, 05 - 07

2450202 --> Thursday, 05 - 27

2450203 --> Thursday, 05 - 12

2450204 --> Thursday, 05 - 31

2450205 --> Thursday, 05 - 23

2450206 --> Thursday, 05 - 08

2450207 --> Thursday, 05 - 28

2450208 --> Thursday, 05 - 19

2450209 --> Thursday, 05 - 04

2450210 --> Thursday, 05 - 24

2450211 --> Thursday, 05 - 16

2450212 --> Thursday, 05 - 07

2450213 --> Thursday, 05 - 20

2450214 --> Thursday, 05 - 12

2450215 --> Thursday, 06 - 01

2450216 --> Thursday, 05 - 23

2450217 --> Thursday, 05 - 08

2450218 --> Thursday, 05 - 28

2450219 --> Thursday, 05 - 20

2450220 --> Thursday, 05 - 04

2450221 --> Thursday, 05 - 24

2450222 --> Thursday, 05 - 16

2450223 --> Thursday, 05 - 29

2450224 --> Thursday, 05 - 20

2450225 --> Thursday, 05 - 12

2450226 --> Thursday, 06 - 01

2450227 --> Thursday, 05 - 17

2450228 --> Thursday, 05 - 08

2450229 --> Thursday, 05 - 28

2450230 --> Thursday, 05 - 13

2450231 --> Thursday, 05 - 05

2450232 --> Thursday, 05 - 24

2450233 --> Thursday, 05 - 09

2450234 --> Thursday, 05 - 29

2450235 --> Thursday, 05 - 21

2450236 --> Thursday, 05 - 12

2450237 --> Thursday, 05 - 25

2450238 --> Thursday, 05 - 17

2450239 --> Thursday, 05 - 09

2450240 --> Thursday, 05 - 21

2450241 --> Thursday, 05 - 13

2450242 --> Thursday, 06 - 02

2450243 --> Thursday, 05 - 18

2450244 --> Thursday, 05 - 09

2450245 --> Thursday, 05 - 29

2450246 --> Thursday, 05 - 21

2450247 --> Thursday, 05 - 06

2450248 --> Thursday, 05 - 25

2450249 --> Thursday, 05 - 17

2450250 --> Thursday, 05 - 02

2450251 --> Thursday, 05 - 22

2450252 --> Thursday, 05 - 13

2450253 --> Thursday, 06 - 02

2450254 --> Thursday, 05 - 18

2450255 --> Thursday, 05 - 10

2450256 --> Thursday, 05 - 29

2450257 --> Thursday, 05 - 14

2450258 --> Thursday, 05 - 06

2450259 --> Thursday, 05 - 26

2450260 --> Thursday, 05 - 10

2450261 --> Thursday, 05 - 30

2450262 --> Thursday, 05 - 22

2450263 --> Thursday, 05 - 07

2450264 --> Thursday, 05 - 26

2450265 --> Thursday, 05 - 18

2450266 --> Thursday, 05 - 10

2450267 --> Thursday, 05 - 23

2450268 --> Thursday, 05 - 14

2450269 --> Thursday, 05 - 06

2450270 --> Thursday, 05 - 26

