Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2910000 through 2919999



2910000 --> Thursday, 05 - 11

2910001 --> Thursday, 05 - 03

2910002 --> Thursday, 05 - 23

2910003 --> Thursday, 05 - 08

2910004 --> Thursday, 05 - 27

2910005 --> Thursday, 05 - 19

2910006 --> Thursday, 05 - 04

2910007 --> Thursday, 05 - 24

2910008 --> Thursday, 05 - 15

2910009 --> Thursday, 05 - 07

2910010 --> Thursday, 05 - 20

2910011 --> Thursday, 05 - 12

2910012 --> Thursday, 05 - 31

2910013 --> Thursday, 05 - 23

2910014 --> Thursday, 05 - 08

2910015 --> Thursday, 05 - 28

2910016 --> Thursday, 05 - 19

2910017 --> Thursday, 05 - 04

2910018 --> Thursday, 05 - 24

2910019 --> Thursday, 05 - 16

2910020 --> Thursday, 04 - 30

2910021 --> Thursday, 05 - 20

2910022 --> Thursday, 05 - 12

2910023 --> Thursday, 06 - 01

2910024 --> Thursday, 05 - 16

2910025 --> Thursday, 05 - 08

2910026 --> Thursday, 05 - 28

2910027 --> Thursday, 05 - 13

2910028 --> Thursday, 05 - 04

2910029 --> Thursday, 05 - 24

2910030 --> Thursday, 05 - 09

2910031 --> Thursday, 05 - 29

2910032 --> Thursday, 05 - 20

2910033 --> Thursday, 05 - 12

2910034 --> Thursday, 05 - 25

2910035 --> Thursday, 05 - 17

2910036 --> Thursday, 05 - 08

2910037 --> Thursday, 05 - 28

2910038 --> Thursday, 05 - 13

2910039 --> Thursday, 05 - 05

2910040 --> Thursday, 05 - 24

2910041 --> Thursday, 05 - 09

2910042 --> Thursday, 05 - 29

2910043 --> Thursday, 05 - 21

2910044 --> Thursday, 05 - 05

2910045 --> Thursday, 05 - 25

2910046 --> Thursday, 05 - 17

2910047 --> Thursday, 05 - 02

2910048 --> Thursday, 05 - 21

2910049 --> Thursday, 05 - 13

2910050 --> Thursday, 06 - 02

2910051 --> Thursday, 05 - 18

2910052 --> Thursday, 05 - 09

2910053 --> Thursday, 05 - 29

2910054 --> Thursday, 05 - 14

2910055 --> Thursday, 05 - 06

2910056 --> Thursday, 05 - 25

2910057 --> Thursday, 05 - 17

2910058 --> Thursday, 05 - 02

2910059 --> Thursday, 05 - 22

2910060 --> Thursday, 05 - 13

2910061 --> Thursday, 05 - 26

2910062 --> Thursday, 05 - 18

2910063 --> Thursday, 05 - 10

2910064 --> Thursday, 05 - 29

2910065 --> Thursday, 05 - 14

2910066 --> Thursday, 05 - 06

2910067 --> Thursday, 05 - 26

2910068 --> Thursday, 05 - 10

2910069 --> Thursday, 05 - 30

2910070 --> Thursday, 05 - 22

2910071 --> Thursday, 05 - 07

2910072 --> Thursday, 05 - 26

2910073 --> Thursday, 05 - 18

2910074 --> Thursday, 05 - 03

2910075 --> Thursday, 05 - 23

2910076 --> Thursday, 05 - 14

2910077 --> Thursday, 05 - 06

2910078 --> Thursday, 05 - 19

2910079 --> Thursday, 05 - 11

2910080 --> Thursday, 05 - 30

2910081 --> Thursday, 05 - 15

2910082 --> Thursday, 05 - 07

2910083 --> Thursday, 05 - 27

2910084 --> Thursday, 05 - 18

2910085 --> Thursday, 05 - 03

2910086 --> Thursday, 05 - 23

2910087 --> Thursday, 05 - 15

2910088 --> Thursday, 06 - 03

2910089 --> Thursday, 05 - 19

2910090 --> Thursday, 05 - 11

2910091 --> Thursday, 05 - 31

2910092 --> Thursday, 05 - 15

2910093 --> Thursday, 05 - 07

2910094 --> Thursday, 05 - 27

2910095 --> Thursday, 05 - 12

2910096 --> Thursday, 05 - 03

2910097 --> Thursday, 05 - 23

2910098 --> Thursday, 05 - 08

2910099 --> Thursday, 05 - 28

2910100 --> Thursday, 05 - 20

2910101 --> Thursday, 05 - 05

2910102 --> Thursday, 05 - 25

2910103 --> Thursday, 05 - 17

2910104 --> Thursday, 05 - 08

2910105 --> Thursday, 05 - 21

2910106 --> Thursday, 05 - 13

2910107 --> Thursday, 06 - 02

2910108 --> Thursday, 05 - 24

2910109 --> Thursday, 05 - 09

2910110 --> Thursday, 05 - 29

2910111 --> Thursday, 05 - 21

2910112 --> Thursday, 05 - 05

2910113 --> Thursday, 05 - 25

2910114 --> Thursday, 05 - 17

2910115 --> Thursday, 05 - 02

2910116 --> Thursday, 05 - 21

2910117 --> Thursday, 05 - 13

2910118 --> Thursday, 06 - 02

2910119 --> Thursday, 05 - 18

2910120 --> Thursday, 05 - 09

