Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3880000 through 3889999



3880000 --> Thursday, 06 - 01

3880001 --> Thursday, 05 - 24

3880002 --> Thursday, 05 - 09

3880003 --> Thursday, 05 - 29

3880004 --> Thursday, 05 - 20

3880005 --> Thursday, 05 - 05

3880006 --> Thursday, 05 - 25

3880007 --> Thursday, 05 - 17

3880008 --> Thursday, 05 - 01

3880009 --> Thursday, 05 - 21

3880010 --> Thursday, 05 - 13

3880011 --> Thursday, 06 - 02

3880012 --> Thursday, 05 - 17

3880013 --> Thursday, 05 - 09

3880014 --> Thursday, 05 - 29

3880015 --> Thursday, 05 - 14

3880016 --> Thursday, 05 - 05

3880017 --> Thursday, 05 - 25

3880018 --> Thursday, 05 - 10

3880019 --> Thursday, 05 - 30

3880020 --> Thursday, 05 - 21

3880021 --> Thursday, 05 - 13

3880022 --> Thursday, 05 - 26

3880023 --> Thursday, 05 - 18

3880024 --> Thursday, 05 - 09

3880025 --> Thursday, 05 - 29

3880026 --> Thursday, 05 - 14

3880027 --> Thursday, 05 - 06

3880028 --> Thursday, 05 - 25

3880029 --> Thursday, 05 - 10

3880030 --> Thursday, 05 - 30

3880031 --> Thursday, 05 - 22

3880032 --> Thursday, 05 - 06

3880033 --> Thursday, 05 - 26

3880034 --> Thursday, 05 - 18

3880035 --> Thursday, 05 - 03

3880036 --> Thursday, 05 - 22

3880037 --> Thursday, 05 - 14

3880038 --> Thursday, 06 - 03

3880039 --> Thursday, 05 - 19

3880040 --> Thursday, 05 - 10

3880041 --> Thursday, 05 - 30

3880042 --> Thursday, 05 - 15

3880043 --> Thursday, 05 - 07

3880044 --> Thursday, 05 - 26

3880045 --> Thursday, 05 - 18

3880046 --> Thursday, 05 - 03

3880047 --> Thursday, 05 - 23

3880048 --> Thursday, 05 - 14

3880049 --> Thursday, 05 - 27

3880050 --> Thursday, 05 - 19

3880051 --> Thursday, 05 - 11

3880052 --> Thursday, 05 - 30

3880053 --> Thursday, 05 - 15

3880054 --> Thursday, 05 - 07

3880055 --> Thursday, 05 - 27

3880056 --> Thursday, 05 - 11

3880057 --> Thursday, 05 - 31

3880058 --> Thursday, 05 - 23

3880059 --> Thursday, 05 - 08

3880060 --> Thursday, 05 - 27

3880061 --> Thursday, 05 - 19

3880062 --> Thursday, 05 - 04

3880063 --> Thursday, 05 - 24

3880064 --> Thursday, 05 - 15

3880065 --> Thursday, 05 - 07

3880066 --> Thursday, 05 - 20

3880067 --> Thursday, 05 - 12

3880068 --> Thursday, 05 - 31

3880069 --> Thursday, 05 - 16

3880070 --> Thursday, 05 - 08

3880071 --> Thursday, 05 - 28

3880072 --> Thursday, 05 - 19

3880073 --> Thursday, 05 - 04

3880074 --> Thursday, 05 - 24

3880075 --> Thursday, 05 - 16

3880076 --> Thursday, 05 - 28

3880077 --> Thursday, 05 - 20

3880078 --> Thursday, 05 - 12

3880079 --> Thursday, 06 - 01

3880080 --> Thursday, 05 - 16

3880081 --> Thursday, 05 - 08

3880082 --> Thursday, 05 - 28

3880083 --> Thursday, 05 - 13

3880084 --> Thursday, 05 - 04

3880085 --> Thursday, 05 - 24

3880086 --> Thursday, 05 - 09

3880087 --> Thursday, 05 - 29

3880088 --> Thursday, 05 - 20

3880089 --> Thursday, 05 - 05

3880090 --> Thursday, 05 - 25

3880091 --> Thursday, 05 - 17

3880092 --> Thursday, 05 - 08

3880093 --> Thursday, 05 - 21

3880094 --> Thursday, 05 - 13

3880095 --> Thursday, 06 - 02

3880096 --> Thursday, 05 - 24

3880097 --> Thursday, 05 - 09

3880098 --> Thursday, 05 - 29

3880099 --> Thursday, 05 - 21

3880100 --> Thursday, 05 - 06

3880101 --> Thursday, 05 - 26

3880102 --> Thursday, 05 - 18

3880103 --> Thursday, 05 - 03

3880104 --> Thursday, 05 - 22

3880105 --> Thursday, 05 - 14

3880106 --> Thursday, 06 - 03

3880107 --> Thursday, 05 - 19

3880108 --> Thursday, 05 - 10

3880109 --> Thursday, 05 - 30

3880110 --> Thursday, 05 - 15

3880111 --> Thursday, 05 - 07

3880112 --> Thursday, 05 - 26

3880113 --> Thursday, 05 - 11

3880114 --> Thursday, 05 - 03

3880115 --> Thursday, 05 - 23

3880116 --> Thursday, 05 - 14

3880117 --> Thursday, 05 - 27

3880118 --> Thursday, 05 - 19

3880119 --> Thursday, 05 - 11

3880120 --> Thursday, 05 - 30

3880121 --> Thursday, 05 - 15

3880122 --> Thursday, 05 - 07

3880123 --> Thursday, 05 - 20

3880124 --> Thursday, 05 - 11

3880125 --> Thursday, 05 - 31

3880126 --> Thursday, 05 - 23

3880127 --> Thursday, 05 - 08

3880128 --> Thursday, 05 - 27

3880129 --> Thursday, 05 - 19

3880130 --> Thursday, 05 - 04

3880131 --> Thursday, 05 - 24

3880132 --> Thursday, 05 - 15

3880133 --> Thursday, 04 - 30

3880134 --> Thursday, 05 - 20

3880135 --> Thursday, 05 - 12

3880136 --> Thursday, 05 - 31

3880137 --> Thursday, 05 - 16

3880138 --> Thursday, 05 - 08

3880139 --> Thursday, 05 - 28

3880140 --> Thursday, 05 - 19

3880141 --> Thursday, 05 - 04

3880142 --> Thursday, 05 - 24

3880143 --> Thursday, 05 - 09

3880144 --> Thursday, 05 - 28

3880145 --> Thursday, 05 - 20

3880146 --> Thursday, 05 - 12

3880147 --> Thursday, 05 - 25

3880148 --> Thursday, 05 - 16

3880149 --> Thursday, 05 - 08

3880150 --> Thursday, 05 - 28

3880151 --> Thursday, 05 - 13

3880152 --> Thursday, 05 - 04

3880153 --> Thursday, 05 - 24

3880154 --> Thursday, 05 - 09

3880155 --> Thursday, 05 - 29

3880156 --> Thursday, 05 - 20

3880157 --> Thursday, 05 - 05

3880158 --> Thursday, 05 - 25

3880159 --> Thursday, 05 - 17

3880160 --> Thursday, 05 - 08

3880161 --> Thursday, 05 - 21

3880162 --> Thursday, 05 - 13

3880163 --> Thursday, 06 - 02

3880164 --> Thursday, 05 - 17

3880165 --> Thursday, 05 - 09

3880166 --> Thursday, 05 - 29

3880167 --> Thursday, 05 - 14

3880168 --> Thursday, 05 - 05

3880169 --> Thursday, 05 - 25

3880170 --> Thursday, 05 - 17

3880171 --> Thursday, 05 - 02

3880172 --> Thursday, 05 - 21

3880173 --> Thursday, 05 - 13

3880174 --> Thursday, 06 - 02

3880175 --> Thursday, 05 - 18

3880176 --> Thursday, 05 - 09

3880177 --> Thursday, 05 - 29

3880178 --> Thursday, 05 - 14

3880179 --> Thursday, 05 - 06

3880180 --> Thursday, 05 - 25

3880181 --> Thursday, 05 - 10

3880182 --> Thursday, 05 - 30

3880183 --> Thursday, 05 - 22

3880184 --> Thursday, 05 - 06

3880185 --> Thursday, 05 - 26

3880186 --> Thursday, 05 - 18

3880187 --> Thursday, 05 - 03

3880188 --> Thursday, 05 - 22

3880189 --> Thursday, 05 - 14

3880190 --> Thursday, 05 - 06

3880191 --> Thursday, 05 - 19

