Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 1880000 through 1889999



1880000 --> Thursday, 05 - 18

1880001 --> Thursday, 05 - 03

1880002 --> Thursday, 05 - 23

1880003 --> Thursday, 05 - 15

1880004 --> Thursday, 05 - 27

1880005 --> Thursday, 05 - 19

1880006 --> Thursday, 05 - 11

1880007 --> Thursday, 05 - 31

1880008 --> Thursday, 05 - 15

1880009 --> Thursday, 05 - 07

1880010 --> Thursday, 05 - 27

1880011 --> Thursday, 05 - 12

1880012 --> Thursday, 05 - 31

1880013 --> Thursday, 05 - 23

1880014 --> Thursday, 05 - 08

1880015 --> Thursday, 05 - 28

1880016 --> Thursday, 05 - 19

1880017 --> Thursday, 05 - 04

1880018 --> Thursday, 05 - 24

1880019 --> Thursday, 05 - 16

1880020 --> Thursday, 05 - 07

1880021 --> Thursday, 05 - 20

1880022 --> Thursday, 05 - 12

1880023 --> Thursday, 06 - 01

1880024 --> Thursday, 05 - 23

1880025 --> Thursday, 05 - 08

1880026 --> Thursday, 05 - 28

1880027 --> Thursday, 05 - 20

1880028 --> Thursday, 05 - 04

1880029 --> Thursday, 05 - 24

1880030 --> Thursday, 05 - 16

1880031 --> Thursday, 05 - 29

1880032 --> Thursday, 05 - 20

1880033 --> Thursday, 05 - 12

1880034 --> Thursday, 06 - 01

1880035 --> Thursday, 05 - 17

1880036 --> Thursday, 05 - 08

1880037 --> Thursday, 05 - 28

1880038 --> Thursday, 05 - 13

1880039 --> Thursday, 05 - 05

1880040 --> Thursday, 05 - 24

1880041 --> Thursday, 05 - 09

1880042 --> Thursday, 05 - 29

1880043 --> Thursday, 05 - 21

1880044 --> Thursday, 05 - 12

1880045 --> Thursday, 05 - 25

1880046 --> Thursday, 05 - 17

1880047 --> Thursday, 05 - 09

1880048 --> Thursday, 05 - 28

1880049 --> Thursday, 05 - 13

1880050 --> Thursday, 06 - 02

1880051 --> Thursday, 05 - 18

1880052 --> Thursday, 05 - 09

1880053 --> Thursday, 05 - 29

1880054 --> Thursday, 05 - 21

1880055 --> Thursday, 05 - 06

1880056 --> Thursday, 05 - 25

1880057 --> Thursday, 05 - 17

1880058 --> Thursday, 05 - 02

1880059 --> Thursday, 05 - 22

1880060 --> Thursday, 05 - 13

1880061 --> Thursday, 06 - 02

1880062 --> Thursday, 05 - 18

1880063 --> Thursday, 05 - 10

1880064 --> Thursday, 05 - 29

1880065 --> Thursday, 05 - 14

1880066 --> Thursday, 05 - 06

1880067 --> Thursday, 05 - 26

1880068 --> Thursday, 05 - 17

1880069 --> Thursday, 05 - 30

1880070 --> Thursday, 05 - 22

1880071 --> Thursday, 05 - 07

1880072 --> Thursday, 05 - 26

1880073 --> Thursday, 05 - 18

1880074 --> Thursday, 05 - 10

1880075 --> Thursday, 05 - 23

1880076 --> Thursday, 05 - 14

1880077 --> Thursday, 05 - 06

1880078 --> Thursday, 05 - 26

1880079 --> Thursday, 05 - 11

1880080 --> Thursday, 05 - 30

1880081 --> Thursday, 05 - 22

1880082 --> Thursday, 05 - 07

1880083 --> Thursday, 05 - 27

1880084 --> Thursday, 05 - 18

1880085 --> Thursday, 05 - 03

1880086 --> Thursday, 05 - 23

1880087 --> Thursday, 05 - 15

1880088 --> Thursday, 06 - 03

1880089 --> Thursday, 05 - 19

1880090 --> Thursday, 05 - 11

1880091 --> Thursday, 05 - 31

1880092 --> Thursday, 05 - 15

1880093 --> Thursday, 05 - 07

1880094 --> Thursday, 05 - 27

1880095 --> Thursday, 05 - 12

1880096 --> Thursday, 05 - 03

1880097 --> Thursday, 05 - 23

1880098 --> Thursday, 05 - 15

1880099 --> Thursday, 05 - 28

1880100 --> Thursday, 05 - 20

1880101 --> Thursday, 05 - 12

1880102 --> Thursday, 06 - 01

1880103 --> Thursday, 05 - 17

1880104 --> Thursday, 05 - 08

1880105 --> Thursday, 05 - 28

1880106 --> Thursday, 05 - 13

1880107 --> Thursday, 05 - 05

1880108 --> Thursday, 05 - 24

1880109 --> Thursday, 05 - 09

1880110 --> Thursday, 05 - 29

1880111 --> Thursday, 05 - 21

1880112 --> Thursday, 05 - 05

1880113 --> Thursday, 05 - 25

1880114 --> Thursday, 05 - 17

1880115 --> Thursday, 05 - 02

1880116 --> Thursday, 05 - 21

1880117 --> Thursday, 05 - 13

1880118 --> Thursday, 06 - 02

1880119 --> Thursday, 05 - 18

1880120 --> Thursday, 05 - 09

1880121 --> Thursday, 05 - 29

1880122 --> Thursday, 05 - 21

1880123 --> Thursday, 05 - 06

1880124 --> Thursday, 05 - 25

1880125 --> Thursday, 05 - 17

1880126 --> Thursday, 05 - 02

1880127 --> Thursday, 05 - 22

1880128 --> Thursday, 05 - 13

1880129 --> Thursday, 06 - 02

1880130 --> Thursday, 05 - 18

1880131 --> Thursday, 05 - 10

1880132 --> Thursday, 05 - 29

1880133 --> Thursday, 05 - 14

1880134 --> Thursday, 05 - 06

1880135 --> Thursday, 05 - 26

1880136 --> Thursday, 05 - 10

1880137 --> Thursday, 05 - 30

1880138 --> Thursday, 05 - 22

1880139 --> Thursday, 05 - 07

1880140 --> Thursday, 05 - 26

1880141 --> Thursday, 05 - 18

1880142 --> Thursday, 05 - 10

1880143 --> Thursday, 05 - 23

1880144 --> Thursday, 05 - 14

1880145 --> Thursday, 05 - 06

1880146 --> Thursday, 05 - 19

1880147 --> Thursday, 05 - 11

1880148 --> Thursday, 05 - 30

1880149 --> Thursday, 05 - 22

1880150 --> Thursday, 05 - 07

1880151 --> Thursday, 05 - 27

1880152 --> Thursday, 05 - 18

