Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2050000 through 2059999



2050000 --> Thursday, 05 - 11
2050165 --> Thursday, 05 - 16

2050166 --> Thursday, 05 - 08

2050167 --> Thursday, 05 - 21

2050168 --> Thursday, 05 - 12

2050169 --> Thursday, 06 - 01

2050170 --> Thursday, 05 - 24

2050171 --> Thursday, 05 - 09

2050172 --> Thursday, 05 - 28

2050173 --> Thursday, 05 - 20

2050174 --> Thursday, 05 - 05

2050175 --> Thursday, 05 - 25

2050176 --> Thursday, 05 - 16

2050177 --> Thursday, 05 - 01

2050178 --> Thursday, 05 - 21

2050179 --> Thursday, 05 - 13

2050180 --> Thursday, 06 - 01

2050181 --> Thursday, 05 - 17

2050182 --> Thursday, 05 - 09

2050183 --> Thursday, 05 - 29

2050184 --> Thursday, 05 - 13

2050185 --> Thursday, 05 - 05

2050186 --> Thursday, 05 - 25

2050187 --> Thursday, 05 - 10

2050188 --> Thursday, 05 - 29

2050189 --> Thursday, 05 - 21

2050190 --> Thursday, 05 - 13

2050191 --> Thursday, 05 - 26

2050192 --> Thursday, 05 - 17

2050193 --> Thursday, 05 - 09

2050194 --> Thursday, 05 - 29

2050195 --> Thursday, 05 - 14

2050196 --> Thursday, 05 - 05

2050197 --> Thursday, 05 - 25

2050198 --> Thursday, 05 - 10

2050199 --> Thursday, 05 - 30

2050200 --> Thursday, 05 - 22

2050201 --> Thursday, 05 - 07

2050202 --> Thursday, 05 - 27

2050203 --> Thursday, 05 - 19

2050204 --> Thursday, 05 - 03

2050205 --> Thursday, 05 - 23

2050206 --> Thursday, 05 - 15

2050207 --> Thursday, 05 - 28

2050208 --> Thursday, 05 - 19

2050209 --> Thursday, 05 - 11

2050210 --> Thursday, 05 - 31

2050211 --> Thursday, 05 - 16

2050212 --> Thursday, 05 - 07

2050213 --> Thursday, 05 - 27

2050214 --> Thursday, 05 - 12

2050215 --> Thursday, 05 - 04

2050216 --> Thursday, 05 - 23

2050217 --> Thursday, 05 - 08

2050218 --> Thursday, 05 - 28

2050219 --> Thursday, 05 - 20

2050220 --> Thursday, 05 - 11

2050221 --> Thursday, 05 - 24

2050222 --> Thursday, 05 - 16

2050223 --> Thursday, 05 - 08

2050224 --> Thursday, 05 - 27

2050225 --> Thursday, 05 - 12

2050226 --> Thursday, 06 - 01

2050227 --> Thursday, 05 - 24

2050228 --> Thursday, 05 - 08

2050229 --> Thursday, 05 - 28

2050230 --> Thursday, 05 - 20

2050231 --> Thursday, 05 - 05

2050232 --> Thursday, 05 - 24

2050233 --> Thursday, 05 - 16

2050234 --> Thursday, 05 - 01

2050235 --> Thursday, 05 - 21

2050236 --> Thursday, 05 - 12

2050237 --> Thursday, 06 - 01

2050238 --> Thursday, 05 - 17

2050239 --> Thursday, 05 - 09

2050240 --> Thursday, 05 - 28

2050241 --> Thursday, 05 - 13

2050242 --> Thursday, 05 - 05

2050243 --> Thursday, 05 - 25

2050244 --> Thursday, 05 - 16

2050245 --> Thursday, 05 - 29

2050246 --> Thursday, 05 - 21

