Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 4290000 through 4299999



4290000 --> Thursday, 05 - 04

4290001 --> Thursday, 05 - 24

4290002 --> Thursday, 05 - 16

4290003 --> Thursday, 05 - 01

4290004 --> Thursday, 05 - 20

4290005 --> Thursday, 05 - 12

4290006 --> Thursday, 06 - 01

4290007 --> Thursday, 05 - 17

4290008 --> Thursday, 05 - 08

4290009 --> Thursday, 05 - 28

4290010 --> Thursday, 05 - 13

4290011 --> Thursday, 05 - 05

4290012 --> Thursday, 05 - 24

4290013 --> Thursday, 05 - 09

4290014 --> Thursday, 05 - 29

4290015 --> Thursday, 05 - 21

4290016 --> Thursday, 05 - 12

4290017 --> Thursday, 05 - 25

4290018 --> Thursday, 05 - 17

4290019 --> Thursday, 05 - 09

4290020 --> Thursday, 05 - 28

4290021 --> Thursday, 05 - 13

4290022 --> Thursday, 05 - 05

4290023 --> Thursday, 05 - 25

4290024 --> Thursday, 05 - 09

4290025 --> Thursday, 05 - 29

4290026 --> Thursday, 05 - 21

4290027 --> Thursday, 05 - 06

4290028 --> Thursday, 05 - 25

4290029 --> Thursday, 05 - 17

4290030 --> Thursday, 05 - 02

4290031 --> Thursday, 05 - 22

4290032 --> Thursday, 05 - 13

4290033 --> Thursday, 06 - 02

4290034 --> Thursday, 05 - 18

4290035 --> Thursday, 05 - 10

4290036 --> Thursday, 05 - 29

4290037 --> Thursday, 05 - 14

4290038 --> Thursday, 05 - 06

4290039 --> Thursday, 05 - 26

4290040 --> Thursday, 05 - 17

4290041 --> Thursday, 05 - 02

4290042 --> Thursday, 05 - 22

4290043 --> Thursday, 05 - 14

4290044 --> Thursday, 06 - 02

4290045 --> Thursday, 05 - 18

4290046 --> Thursday, 05 - 10

4290047 --> Thursday, 05 - 30

4290048 --> Thursday, 05 - 14

4290049 --> Thursday, 05 - 06

4290050 --> Thursday, 05 - 26

4290051 --> Thursday, 05 - 11

4290052 --> Thursday, 05 - 30

4290053 --> Thursday, 05 - 22

4290054 --> Thursday, 05 - 07

4290055 --> Thursday, 05 - 27

4290056 --> Thursday, 05 - 18

4290057 --> Thursday, 05 - 03

4290058 --> Thursday, 05 - 23

4290059 --> Thursday, 05 - 15

4290060 --> Thursday, 05 - 06

4290061 --> Thursday, 05 - 19

4290062 --> Thursday, 05 - 11

4290063 --> Thursday, 05 - 31

4290064 --> Thursday, 05 - 22

4290065 --> Thursday, 05 - 07

4290066 --> Thursday, 05 - 27

4290067 --> Thursday, 05 - 12

4290068 --> Thursday, 05 - 03

4290069 --> Thursday, 05 - 23

4290070 --> Thursday, 05 - 15

4290071 --> Thursday, 05 - 28

4290072 --> Thursday, 05 - 19

4290073 --> Thursday, 05 - 11

4290074 --> Thursday, 05 - 31

4290075 --> Thursday, 05 - 16

4290076 --> Thursday, 05 - 07

4290077 --> Thursday, 05 - 27

4290078 --> Thursday, 05 - 12

4290079 --> Thursday, 05 - 04

4290080 --> Thursday, 05 - 23

4290081 --> Thursday, 05 - 08

4290082 --> Thursday, 05 - 28

4290083 --> Thursday, 05 - 20

4290084 --> Thursday, 05 - 11

4290085 --> Thursday, 05 - 24

4290086 --> Thursday, 05 - 16

4290087 --> Thursday, 05 - 01

4290088 --> Thursday, 05 - 20

4290089 --> Thursday, 05 - 12

4290090 --> Thursday, 06 - 01

4290091 --> Thursday, 05 - 17

4290092 --> Thursday, 05 - 08

4290093 --> Thursday, 05 - 28

4290094 --> Thursday, 05 - 20

4290095 --> Thursday, 05 - 05

4290096 --> Thursday, 05 - 24

4290097 --> Thursday, 05 - 16

4290098 --> Thursday, 05 - 01

4290099 --> Thursday, 05 - 21

4290100 --> Thursday, 05 - 13

4290101 --> Thursday, 06 - 02

4290102 --> Thursday, 05 - 18

4290103 --> Thursday, 05 - 10

4290104 --> Thursday, 05 - 29

4290105 --> Thursday, 05 - 14

4290106 --> Thursday, 05 - 06

4290107 --> Thursday, 05 - 26

4290108 --> Thursday, 05 - 10

4290109 --> Thursday, 05 - 30

4290110 --> Thursday, 05 - 22

4290111 --> Thursday, 05 - 07

4290112 --> Thursday, 05 - 26

4290113 --> Thursday, 05 - 18

4290114 --> Thursday, 05 - 10

4290115 --> Thursday, 05 - 23

4290116 --> Thursday, 05 - 14

4290117 --> Thursday, 05 - 06

4290118 --> Thursday, 05 - 26

4290119 --> Thursday, 05 - 11

4290120 --> Thursday, 05 - 30

4290121 --> Thursday, 05 - 22

4290122 --> Thursday, 05 - 07

4290123 --> Thursday, 05 - 27

4290124 --> Thursday, 05 - 18

4290125 --> Thursday, 05 - 03

4290126 --> Thursday, 05 - 23

4290127 --> Thursday, 05 - 15

4290128 --> Thursday, 06 - 03

4290129 --> Thursday, 05 - 19

4290130 --> Thursday, 05 - 11

4290131 --> Thursday, 05 - 31

4290132 --> Thursday, 05 - 15

4290133 --> Thursday, 05 - 07

4290134 --> Thursday, 05 - 27

4290135 --> Thursday, 05 - 12

4290136 --> Thursday, 05 - 03

4290137 --> Thursday, 05 - 23

4290138 --> Thursday, 05 - 15

4290139 --> Thursday, 05 - 28

4290140 --> Thursday, 05 - 19

4290141 --> Thursday, 05 - 11

4290142 --> Thursday, 05 - 31

4290143 --> Thursday, 05 - 16

4290144 --> Thursday, 05 - 07

4290145 --> Thursday, 05 - 27

4290146 --> Thursday, 05 - 12

4290147 --> Thursday, 06 - 01

4290148 --> Thursday, 05 - 23

4290149 --> Thursday, 05 - 08

4290150 --> Thursday, 05 - 28

4290151 --> Thursday, 05 - 20

4290152 --> Thursday, 05 - 04

4290153 --> Thursday, 05 - 24

4290154 --> Thursday, 05 - 16

4290155 --> Thursday, 05 - 01

4290156 --> Thursday, 05 - 20

4290157 --> Thursday, 05 - 12

4290158 --> Thursday, 06 - 01

4290159 --> Thursday, 05 - 17

4290160 --> Thursday, 05 - 08

4290161 --> Thursday, 05 - 28

4290162 --> Thursday, 05 - 13

4290163 --> Thursday, 05 - 05

4290164 --> Thursday, 05 - 24

4290165 --> Thursday, 05 - 16

4290166 --> Thursday, 05 - 29

4290167 --> Thursday, 05 - 21

4290168 --> Thursday, 05 - 12

4290169 --> Thursday, 06 - 01

4290170 --> Thursday, 05 - 17

4290171 --> Thursday, 05 - 09

4290172 --> Thursday, 05 - 28

4290173 --> Thursday, 05 - 13

4290174 --> Thursday, 05 - 05

4290175 --> Thursday, 05 - 25

4290176 --> Thursday, 05 - 09

4290177 --> Thursday, 05 - 29

4290178 --> Thursday, 05 - 21

4290179 --> Thursday, 05 - 06

4290180 --> Thursday, 05 - 25

4290181 --> Thursday, 05 - 17

4290182 --> Thursday, 05 - 02

4290183 --> Thursday, 05 - 22

4290184 --> Thursday, 05 - 13

4290185 --> Thursday, 06 - 02

4290186 --> Thursday, 05 - 18

4290187 --> Thursday, 05 - 10

4290188 --> Thursday, 05 - 29

4290189 --> Thursday, 05 - 21

4290190 --> Thursday, 05 - 06

4290191 --> Thursday, 05 - 26

4290192 --> Thursday, 05 - 17

4290193 --> Thursday, 05 - 02

4290194 --> Thursday, 05 - 22

4290195 --> Thursday, 05 - 14

4290196 --> Thursday, 06 - 02

4290197 --> Thursday, 05 - 18

4290198 --> Thursday, 05 - 10

4290199 --> Thursday, 05 - 30

4290200 --> Thursday, 05 - 15

4290201 --> Thursday, 05 - 07

4290202 --> Thursday, 05 - 27

4290203 --> Thursday, 05 - 12

4290204 --> Thursday, 05 - 31

4290205 --> Thursday, 05 - 23

4290206 --> Thursday, 05 - 08

4290207 --> Thursday, 05 - 28

4290208 --> Thursday, 05 - 19

4290209 --> Thursday, 05 - 04

4290210 --> Thursday, 05 - 24

4290211 --> Thursday, 05 - 16

4290212 --> Thursday, 05 - 07

4290213 --> Thursday, 05 - 20

4290214 --> Thursday, 05 - 12

4290215 --> Thursday, 06 - 01

4290216 --> Thursday, 05 - 23

4290217 --> Thursday, 05 - 08

4290218 --> Thursday, 05 - 28

4290219 --> Thursday, 05 - 13

4290220 --> Thursday, 05 - 04

4290221 --> Thursday, 05 - 24

4290222 --> Thursday, 05 - 16

4290223 --> Thursday, 05 - 29

4290224 --> Thursday, 05 - 20

4290225 --> Thursday, 05 - 12

4290226 --> Thursday, 06 - 01

4290227 --> Thursday, 05 - 17

4290228 --> Thursday, 05 - 08

4290229 --> Thursday, 05 - 28

4290230 --> Thursday, 05 - 13

4290231 --> Thursday, 05 - 05

4290232 --> Thursday, 05 - 24

4290233 --> Thursday, 05 - 09

4290234 --> Thursday, 05 - 29

4290235 --> Thursday, 05 - 21

4290236 --> Thursday, 05 - 12

4290237 --> Thursday, 05 - 25

4290238 --> Thursday, 05 - 17

4290239 --> Thursday, 05 - 02

4290240 --> Thursday, 05 - 21

4290241 --> Thursday, 05 - 13

4290242 --> Thursday, 06 - 02

4290243 --> Thursday, 05 - 18

4290244 --> Thursday, 05 - 09

4290245 --> Thursday, 05 - 29

4290246 --> Thursday, 05 - 21

4290247 --> Thursday, 05 - 06

4290248 --> Thursday, 05 - 25

4290249 --> Thursday, 05 - 17

4290250 --> Thursday, 05 - 02

4290251 --> Thursday, 05 - 22

4290252 --> Thursday, 05 - 13

4290253 --> Thursday, 06 - 02

4290254 --> Thursday, 05 - 18

4290255 --> Thursday, 05 - 10

4290256 --> Thursday, 05 - 29

4290257 --> Thursday, 05 - 14

4290258 --> Thursday, 05 - 06

4290259 --> Thursday, 05 - 26

4290260 --> Thursday, 05 - 10

4290261 --> Thursday, 05 - 30

4290262 --> Thursday, 05 - 22

4290263 --> Thursday, 05 - 07

4290264 --> Thursday, 05 - 26

4290265 --> Thursday, 05 - 18

4290266 --> Thursday, 05 - 10

4290267 --> Thursday, 05 - 23

4290268 --> Thursday, 05 - 14

4290269 --> Thursday, 05 - 06

4290270 --> Thursday, 05 - 26

4290271 --> Thursday, 05 - 11

4290272 --> Thursday, 05 - 30

4290273 --> Thursday, 05 - 22

4290274 --> Thursday, 05 - 07

4290275 --> Thursday, 05 - 27

4290276 --> Thursday, 05 - 18

4290277 --> Thursday, 05 - 03

4290278 --> Thursday, 05 - 23

4290279 --> Thursday, 05 - 15

4290280 --> Thursday, 06 - 03

4290281 --> Thursday, 05 - 19

4290282 --> Thursday, 05 - 11

4290283 --> Thursday, 05 - 31

4290284 --> Thursday, 05 - 15

4290285 --> Thursday, 05 - 07

4290286 --> Thursday, 05 - 27

4290287 --> Thursday, 05 - 12

4290288 --> Thursday, 05 - 03

4290289 --> Thursday, 05 - 23

4290290 --> Thursday, 05 - 15

4290291 --> Thursday, 05 - 28

4290292 --> Thursday, 05 - 19

4290293 --> Thursday, 05 - 11

4290294 --> Thursday, 05 - 31

4290295 --> Thursday, 05 - 16

4290296 --> Thursday, 05 - 07

4290297 --> Thursday, 05 - 27

4290298 --> Thursday, 05 - 12

4290299 --> Thursday, 06 - 01

