Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 1210000 through 1219999



1210000 --> Thursday, 05 - 18

1210001 --> Thursday, 05 - 03

1210002 --> Thursday, 05 - 23

1210003 --> Thursday, 05 - 15

1210004 --> Thursday, 05 - 06

1210005 --> Thursday, 05 - 19

1210006 --> Thursday, 05 - 11

1210007 --> Thursday, 05 - 31

1210008 --> Thursday, 05 - 22

1210009 --> Thursday, 05 - 07

1210010 --> Thursday, 05 - 27

1210011 --> Thursday, 05 - 19

1210012 --> Thursday, 05 - 03

1210013 --> Thursday, 05 - 23

1210014 --> Thursday, 05 - 15

1210015 --> Thursday, 05 - 28

1210016 --> Thursday, 05 - 19

1210017 --> Thursday, 05 - 11

1210018 --> Thursday, 05 - 31

1210019 --> Thursday, 05 - 16

1210020 --> Thursday, 05 - 07

1210021 --> Thursday, 05 - 27

1210022 --> Thursday, 05 - 12

1210023 --> Thursday, 05 - 04

1210024 --> Thursday, 05 - 23

1210025 --> Thursday, 05 - 08

1210026 --> Thursday, 05 - 28

1210027 --> Thursday, 05 - 20

1210028 --> Thursday, 05 - 11

1210029 --> Thursday, 05 - 24

1210030 --> Thursday, 05 - 16

1210031 --> Thursday, 05 - 08

1210032 --> Thursday, 05 - 27

1210033 --> Thursday, 05 - 12

1210034 --> Thursday, 06 - 01

1210035 --> Thursday, 05 - 17

1210036 --> Thursday, 05 - 08

1210037 --> Thursday, 05 - 28

1210038 --> Thursday, 05 - 20

1210039 --> Thursday, 05 - 05

1210040 --> Thursday, 05 - 24

1210041 --> Thursday, 05 - 16

1210042 --> Thursday, 05 - 01

1210043 --> Thursday, 05 - 21

1210044 --> Thursday, 05 - 12

1210045 --> Thursday, 06 - 01

1210046 --> Thursday, 05 - 17

1210047 --> Thursday, 05 - 09

1210048 --> Thursday, 05 - 28

1210049 --> Thursday, 05 - 13

1210050 --> Thursday, 05 - 05

1210051 --> Thursday, 05 - 25

1210052 --> Thursday, 05 - 16

