Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 5220000 through 5229999



5220000 --> Thursday, 05 - 25

5220001 --> Thursday, 05 - 17

5220002 --> Thursday, 05 - 09

5220003 --> Thursday, 05 - 22

5220004 --> Thursday, 05 - 13

5220005 --> Thursday, 06 - 02

5220006 --> Thursday, 05 - 18

5220007 --> Thursday, 05 - 10

5220008 --> Thursday, 05 - 29

5220009 --> Thursday, 05 - 21

5220010 --> Thursday, 05 - 06

5220011 --> Thursday, 05 - 26

5220012 --> Thursday, 05 - 17

5220013 --> Thursday, 05 - 02

5220014 --> Thursday, 05 - 22

5220015 --> Thursday, 05 - 14

5220016 --> Thursday, 06 - 02

5220017 --> Thursday, 05 - 18

5220018 --> Thursday, 05 - 10

5220019 --> Thursday, 05 - 30

5220020 --> Thursday, 05 - 14

5220021 --> Thursday, 05 - 06

5220022 --> Thursday, 05 - 26

5220023 --> Thursday, 05 - 11

5220024 --> Thursday, 05 - 30

5220025 --> Thursday, 05 - 22

5220026 --> Thursday, 05 - 07

5220027 --> Thursday, 05 - 27

5220028 --> Thursday, 05 - 18

5220029 --> Thursday, 05 - 10

5220030 --> Thursday, 05 - 23

5220031 --> Thursday, 05 - 15

5220032 --> Thursday, 05 - 06

5220033 --> Thursday, 05 - 26

5220034 --> Thursday, 05 - 11

5220035 --> Thursday, 05 - 31

5220036 --> Thursday, 05 - 22

5220037 --> Thursday, 05 - 07

5220038 --> Thursday, 05 - 27

5220039 --> Thursday, 05 - 19

5220040 --> Thursday, 05 - 03

5220041 --> Thursday, 05 - 23

5220042 --> Thursday, 05 - 15

5220043 --> Thursday, 05 - 28

5220044 --> Thursday, 05 - 19

5220045 --> Thursday, 05 - 11

5220046 --> Thursday, 05 - 31

5220047 --> Thursday, 05 - 16

5220048 --> Thursday, 05 - 07

5220049 --> Thursday, 05 - 27

5220050 --> Thursday, 05 - 12

5220051 --> Thursday, 05 - 04

5220052 --> Thursday, 05 - 23

5220053 --> Thursday, 05 - 15

5220054 --> Thursday, 05 - 28

5220055 --> Thursday, 05 - 20

5220056 --> Thursday, 05 - 11

5220057 --> Thursday, 05 - 31

5220058 --> Thursday, 05 - 16

5220059 --> Thursday, 05 - 08

5220060 --> Thursday, 05 - 27

5220061 --> Thursday, 05 - 12

5220062 --> Thursday, 06 - 01

5220063 --> Thursday, 05 - 24

5220064 --> Thursday, 05 - 08

5220065 --> Thursday, 05 - 28

5220066 --> Thursday, 05 - 20

5220067 --> Thursday, 05 - 05

5220068 --> Thursday, 05 - 24

5220069 --> Thursday, 05 - 16

5220070 --> Thursday, 05 - 01

5220071 --> Thursday, 05 - 21

5220072 --> Thursday, 05 - 12

5220073 --> Thursday, 06 - 01

5220074 --> Thursday, 05 - 17

5220075 --> Thursday, 05 - 09

5220076 --> Thursday, 05 - 28

5220077 --> Thursday, 05 - 20

5220078 --> Thursday, 05 - 05

5220079 --> Thursday, 05 - 25

5220080 --> Thursday, 05 - 16

5220081 --> Thursday, 05 - 29

5220082 --> Thursday, 05 - 21

5220083 --> Thursday, 05 - 13

5220084 --> Thursday, 06 - 01

5220085 --> Thursday, 05 - 17

5220086 --> Thursday, 05 - 09

5220087 --> Thursday, 05 - 29

5220088 --> Thursday, 05 - 13

5220089 --> Thursday, 05 - 05

5220090 --> Thursday, 05 - 25

5220091 --> Thursday, 05 - 10

5220092 --> Thursday, 05 - 29

5220093 --> Thursday, 05 - 21

5220094 --> Thursday, 05 - 06

5220095 --> Thursday, 05 - 26

5220096 --> Thursday, 05 - 17

5220097 --> Thursday, 05 - 09

5220098 --> Thursday, 05 - 22

5220099 --> Thursday, 05 - 14

5220100 --> Thursday, 05 - 06

5220101 --> Thursday, 05 - 19

5220102 --> Thursday, 05 - 11

5220103 --> Thursday, 05 - 31

5220104 --> Thursday, 05 - 22

5220105 --> Thursday, 05 - 07

5220106 --> Thursday, 05 - 27

5220107 --> Thursday, 05 - 19

5220108 --> Thursday, 05 - 03

5220109 --> Thursday, 05 - 23

5220110 --> Thursday, 05 - 15

5220111 --> Thursday, 05 - 28

5220112 --> Thursday, 05 - 19

5220113 --> Thursday, 05 - 11

5220114 --> Thursday, 05 - 31

5220115 --> Thursday, 05 - 16

5220116 --> Thursday, 05 - 07

5220117 --> Thursday, 05 - 27

5220118 --> Thursday, 05 - 12

5220119 --> Thursday, 05 - 04

5220120 --> Thursday, 05 - 23

5220121 --> Thursday, 05 - 08

5220122 --> Thursday, 05 - 28

5220123 --> Thursday, 05 - 20

5220124 --> Thursday, 05 - 11

5220125 --> Thursday, 05 - 24

5220126 --> Thursday, 05 - 16

5220127 --> Thursday, 05 - 08

5220128 --> Thursday, 05 - 27

5220129 --> Thursday, 05 - 12

5220130 --> Thursday, 06 - 01

5220131 --> Thursday, 05 - 24

5220132 --> Thursday, 05 - 08

5220133 --> Thursday, 05 - 28

5220134 --> Thursday, 05 - 20

5220135 --> Thursday, 05 - 05

5220136 --> Thursday, 05 - 24

5220137 --> Thursday, 05 - 16

5220138 --> Thursday, 05 - 01

5220139 --> Thursday, 05 - 21

5220140 --> Thursday, 05 - 12

5220141 --> Thursday, 06 - 01

5220142 --> Thursday, 05 - 17

5220143 --> Thursday, 05 - 09

5220144 --> Thursday, 05 - 28

5220145 --> Thursday, 05 - 13

5220146 --> Thursday, 05 - 05

5220147 --> Thursday, 05 - 25

5220148 --> Thursday, 05 - 16

5220149 --> Thursday, 05 - 29

5220150 --> Thursday, 05 - 21

5220151 --> Thursday, 05 - 13

5220152 --> Thursday, 06 - 01

5220153 --> Thursday, 05 - 17

5220154 --> Thursday, 05 - 09

5220155 --> Thursday, 05 - 22

5220156 --> Thursday, 05 - 13

5220157 --> Thursday, 05 - 05

5220158 --> Thursday, 05 - 25

5220159 --> Thursday, 05 - 10

5220160 --> Thursday, 05 - 29

5220161 --> Thursday, 05 - 21

5220162 --> Thursday, 05 - 06

5220163 --> Thursday, 05 - 26

5220164 --> Thursday, 05 - 17

5220165 --> Thursday, 05 - 02

5220166 --> Thursday, 05 - 22

5220167 --> Thursday, 05 - 14

5220168 --> Thursday, 06 - 02

5220169 --> Thursday, 05 - 18

5220170 --> Thursday, 05 - 10

5220171 --> Thursday, 05 - 30

5220172 --> Thursday, 05 - 21

5220173 --> Thursday, 05 - 06

5220174 --> Thursday, 05 - 26

5220175 --> Thursday, 05 - 11

5220176 --> Thursday, 05 - 02

5220177 --> Thursday, 05 - 22

5220178 --> Thursday, 05 - 14

5220179 --> Thursday, 05 - 27

5220180 --> Thursday, 05 - 18

5220181 --> Thursday, 05 - 10

5220182 --> Thursday, 05 - 30

5220183 --> Thursday, 05 - 15

5220184 --> Thursday, 05 - 06

5220185 --> Thursday, 05 - 26

5220186 --> Thursday, 05 - 11

5220187 --> Thursday, 05 - 31

5220188 --> Thursday, 05 - 22

5220189 --> Thursday, 05 - 07

5220190 --> Thursday, 05 - 27

5220191 --> Thursday, 05 - 19

5220192 --> Thursday, 05 - 10

5220193 --> Thursday, 05 - 23

5220194 --> Thursday, 05 - 15

5220195 --> Thursday, 04 - 30

5220196 --> Thursday, 05 - 19

5220197 --> Thursday, 05 - 11

5220198 --> Thursday, 05 - 31

5220199 --> Thursday, 05 - 16

5220200 --> Thursday, 05 - 08

5220201 --> Thursday, 05 - 28

5220202 --> Thursday, 05 - 13

5220203 --> Thursday, 05 - 05

5220204 --> Thursday, 05 - 24

5220205 --> Thursday, 05 - 16

5220206 --> Thursday, 05 - 29

5220207 --> Thursday, 05 - 21

5220208 --> Thursday, 05 - 12

5220209 --> Thursday, 06 - 01

5220210 --> Thursday, 05 - 17

5220211 --> Thursday, 05 - 09

5220212 --> Thursday, 05 - 28

5220213 --> Thursday, 05 - 13

5220214 --> Thursday, 05 - 05

5220215 --> Thursday, 05 - 25

5220216 --> Thursday, 05 - 09

5220217 --> Thursday, 05 - 29

5220218 --> Thursday, 05 - 21

5220219 --> Thursday, 05 - 06

5220220 --> Thursday, 05 - 25

5220221 --> Thursday, 05 - 17

5220222 --> Thursday, 05 - 02

5220223 --> Thursday, 05 - 22

5220224 --> Thursday, 05 - 13

5220225 --> Thursday, 06 - 02

5220226 --> Thursday, 05 - 18

5220227 --> Thursday, 05 - 10

5220228 --> Thursday, 05 - 29

5220229 --> Thursday, 05 - 21

5220230 --> Thursday, 05 - 06

5220231 --> Thursday, 05 - 26

5220232 --> Thursday, 05 - 17

5220233 --> Thursday, 05 - 02

5220234 --> Thursday, 05 - 22

5220235 --> Thursday, 05 - 14

5220236 --> Thursday, 06 - 02

5220237 --> Thursday, 05 - 18

5220238 --> Thursday, 05 - 10

5220239 --> Thursday, 05 - 30

5220240 --> Thursday, 05 - 14

5220241 --> Thursday, 05 - 06

5220242 --> Thursday, 05 - 26

5220243 --> Thursday, 05 - 11

5220244 --> Thursday, 05 - 30

5220245 --> Thursday, 05 - 22

5220246 --> Thursday, 05 - 07

5220247 --> Thursday, 05 - 27

5220248 --> Thursday, 05 - 18

5220249 --> Thursday, 05 - 10

5220250 --> Thursday, 05 - 23

5220251 --> Thursday, 05 - 15

5220252 --> Thursday, 05 - 06

5220253 --> Thursday, 05 - 19

5220254 --> Thursday, 05 - 11

5220255 --> Thursday, 05 - 31

5220256 --> Thursday, 05 - 22

5220257 --> Thursday, 05 - 07

5220258 --> Thursday, 05 - 27

5220259 --> Thursday, 05 - 19

5220260 --> Thursday, 05 - 03

5220261 --> Thursday, 05 - 23

5220262 --> Thursday, 05 - 15

5220263 --> Thursday, 05 - 28

5220264 --> Thursday, 05 - 19

5220265 --> Thursday, 05 - 11

5220266 --> Thursday, 05 - 31

5220267 --> Thursday, 05 - 16

5220268 --> Thursday, 05 - 07

5220269 --> Thursday, 05 - 27

5220270 --> Thursday, 05 - 12

5220271 --> Thursday, 05 - 04

5220272 --> Thursday, 05 - 23

5220273 --> Thursday, 05 - 08

