Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3460000 through 3469999



3460000 --> Thursday, 05 - 18

3460001 --> Thursday, 05 - 10

3460002 --> Thursday, 05 - 30

3460003 --> Thursday, 05 - 15

3460004 --> Thursday, 05 - 06

3460005 --> Thursday, 05 - 26

3460006 --> Thursday, 05 - 18

3460007 --> Thursday, 05 - 03

3460008 --> Thursday, 05 - 22

3460009 --> Thursday, 05 - 14

3460010 --> Thursday, 05 - 27

3460011 --> Thursday, 05 - 19

3460012 --> Thursday, 05 - 10

3460013 --> Thursday, 05 - 30

3460014 --> Thursday, 05 - 15

3460015 --> Thursday, 05 - 07

3460016 --> Thursday, 05 - 26

3460017 --> Thursday, 05 - 11

3460018 --> Thursday, 05 - 31

3460019 --> Thursday, 05 - 23

3460020 --> Thursday, 05 - 07

3460021 --> Thursday, 05 - 27

3460022 --> Thursday, 05 - 19

3460023 --> Thursday, 05 - 04

3460024 --> Thursday, 05 - 23

3460025 --> Thursday, 05 - 15

3460026 --> Thursday, 05 - 07

3460027 --> Thursday, 05 - 20

3460028 --> Thursday, 05 - 11

3460029 --> Thursday, 05 - 31

3460030 --> Thursday, 05 - 23

3460031 --> Thursday, 05 - 08

3460032 --> Thursday, 05 - 27

3460033 --> Thursday, 05 - 19

3460034 --> Thursday, 05 - 04

3460035 --> Thursday, 05 - 24

3460036 --> Thursday, 05 - 15

3460037 --> Thursday, 05 - 28

3460038 --> Thursday, 05 - 20

3460039 --> Thursday, 05 - 12

3460040 --> Thursday, 05 - 31

3460041 --> Thursday, 05 - 16

3460042 --> Thursday, 05 - 08

3460043 --> Thursday, 05 - 28

3460044 --> Thursday, 05 - 12

3460045 --> Thursday, 05 - 04

3460046 --> Thursday, 05 - 24

3460047 --> Thursday, 05 - 09

3460048 --> Thursday, 05 - 28

3460049 --> Thursday, 05 - 20

3460050 --> Thursday, 05 - 12

3460051 --> Thursday, 05 - 25

3460052 --> Thursday, 05 - 16

3460053 --> Thursday, 05 - 08

3460054 --> Thursday, 05 - 21

3460055 --> Thursday, 05 - 13

3460056 --> Thursday, 06 - 01

3460057 --> Thursday, 05 - 24

3460058 --> Thursday, 05 - 09

3460059 --> Thursday, 05 - 29

3460060 --> Thursday, 05 - 20

3460061 --> Thursday, 05 - 05

3460062 --> Thursday, 05 - 25

3460063 --> Thursday, 05 - 17

3460064 --> Thursday, 05 - 01

3460065 --> Thursday, 05 - 21

3460066 --> Thursday, 05 - 13

3460067 --> Thursday, 06 - 02

3460068 --> Thursday, 05 - 17

3460069 --> Thursday, 05 - 09

3460070 --> Thursday, 05 - 29

3460071 --> Thursday, 05 - 14

3460072 --> Thursday, 05 - 05

3460073 --> Thursday, 05 - 25

3460074 --> Thursday, 05 - 10

3460075 --> Thursday, 05 - 30

3460076 --> Thursday, 05 - 21

3460077 --> Thursday, 05 - 13

3460078 --> Thursday, 05 - 26

3460079 --> Thursday, 05 - 18

3460080 --> Thursday, 05 - 09

3460081 --> Thursday, 05 - 29

3460082 --> Thursday, 05 - 14

3460083 --> Thursday, 05 - 06

3460084 --> Thursday, 05 - 25

3460085 --> Thursday, 05 - 10

3460086 --> Thursday, 05 - 30

3460087 --> Thursday, 05 - 22

3460088 --> Thursday, 05 - 06

3460089 --> Thursday, 05 - 26

3460090 --> Thursday, 05 - 18

3460091 --> Thursday, 05 - 03

3460092 --> Thursday, 05 - 22

3460093 --> Thursday, 05 - 14

3460094 --> Thursday, 06 - 03

3460095 --> Thursday, 05 - 19

3460096 --> Thursday, 05 - 10

3460097 --> Thursday, 05 - 30

3460098 --> Thursday, 05 - 15

3460099 --> Thursday, 05 - 07

3460100 --> Thursday, 05 - 27

3460101 --> Thursday, 05 - 19

3460102 --> Thursday, 05 - 04

3460103 --> Thursday, 05 - 24

3460104 --> Thursday, 05 - 15

3460105 --> Thursday, 05 - 28

3460106 --> Thursday, 05 - 20

3460107 --> Thursday, 05 - 12

3460108 --> Thursday, 05 - 31

3460109 --> Thursday, 05 - 16

3460110 --> Thursday, 05 - 08

3460111 --> Thursday, 05 - 28

3460112 --> Thursday, 05 - 12

3460113 --> Thursday, 05 - 04

3460114 --> Thursday, 05 - 24

