Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3550000 through 3559999



3550000 --> Thursday, 05 - 18

3550001 --> Thursday, 05 - 10

3550002 --> Thursday, 05 - 30

3550003 --> Thursday, 05 - 15

3550004 --> Thursday, 05 - 06

3550005 --> Thursday, 05 - 26

3550006 --> Thursday, 05 - 18

3550007 --> Thursday, 05 - 03

3550008 --> Thursday, 05 - 22

3550009 --> Thursday, 05 - 14

3550010 --> Thursday, 05 - 27

3550011 --> Thursday, 05 - 19

3550012 --> Thursday, 05 - 10

3550013 --> Thursday, 05 - 30

3550014 --> Thursday, 05 - 15

3550015 --> Thursday, 05 - 07

3550016 --> Thursday, 05 - 26

3550017 --> Thursday, 05 - 11

3550018 --> Thursday, 05 - 31

3550019 --> Thursday, 05 - 23

3550020 --> Thursday, 05 - 07

3550021 --> Thursday, 05 - 27

3550022 --> Thursday, 05 - 19

3550023 --> Thursday, 05 - 04

3550024 --> Thursday, 05 - 23

3550025 --> Thursday, 05 - 15

3550026 --> Thursday, 05 - 07

3550027 --> Thursday, 05 - 20

3550028 --> Thursday, 05 - 11

3550029 --> Thursday, 05 - 31

3550030 --> Thursday, 05 - 23

3550031 --> Thursday, 05 - 08

3550032 --> Thursday, 05 - 27

3550033 --> Thursday, 05 - 19

3550034 --> Thursday, 05 - 04

3550035 --> Thursday, 05 - 24

3550036 --> Thursday, 05 - 15

3550037 --> Thursday, 05 - 28

3550038 --> Thursday, 05 - 20

3550039 --> Thursday, 05 - 12

3550040 --> Thursday, 05 - 31

3550041 --> Thursday, 05 - 16

3550042 --> Thursday, 05 - 08

3550043 --> Thursday, 05 - 28

3550044 --> Thursday, 05 - 12

3550045 --> Thursday, 05 - 04

3550046 --> Thursday, 05 - 24

3550047 --> Thursday, 05 - 09

3550048 --> Thursday, 05 - 28

3550049 --> Thursday, 05 - 20

3550050 --> Thursday, 05 - 12

3550051 --> Thursday, 05 - 25

3550052 --> Thursday, 05 - 16

3550053 --> Thursday, 05 - 08

3550054 --> Thursday, 05 - 28

3550055 --> Thursday, 05 - 13

3550056 --> Thursday, 06 - 01

3550057 --> Thursday, 05 - 24

3550058 --> Thursday, 05 - 09

3550059 --> Thursday, 05 - 29

3550060 --> Thursday, 05 - 20

3550061 --> Thursday, 05 - 05

3550062 --> Thursday, 05 - 25

3550063 --> Thursday, 05 - 17

3550064 --> Thursday, 05 - 01

3550065 --> Thursday, 05 - 21

3550066 --> Thursday, 05 - 13

3550067 --> Thursday, 06 - 02

3550068 --> Thursday, 05 - 17

3550069 --> Thursday, 05 - 09

3550070 --> Thursday, 05 - 29

3550071 --> Thursday, 05 - 14

3550072 --> Thursday, 05 - 05

3550073 --> Thursday, 05 - 25

3550074 --> Thursday, 05 - 10

3550075 --> Thursday, 05 - 30

3550076 --> Thursday, 05 - 21

3550077 --> Thursday, 05 - 13

3550078 --> Thursday, 05 - 26

3550079 --> Thursday, 05 - 18

3550080 --> Thursday, 05 - 09

3550081 --> Thursday, 05 - 29

3550082 --> Thursday, 05 - 14

3550083 --> Thursday, 05 - 06

3550084 --> Thursday, 05 - 25

3550085 --> Thursday, 05 - 10

3550086 --> Thursday, 05 - 30

3550087 --> Thursday, 05 - 22

3550088 --> Thursday, 05 - 06

3550089 --> Thursday, 05 - 26

3550090 --> Thursday, 05 - 18

3550091 --> Thursday, 05 - 03

3550092 --> Thursday, 05 - 22

3550093 --> Thursday, 05 - 14

3550094 --> Thursday, 06 - 03

3550095 --> Thursday, 05 - 19

3550096 --> Thursday, 05 - 10

3550097 --> Thursday, 05 - 30

3550098 --> Thursday, 05 - 15

3550099 --> Thursday, 05 - 07

3550100 --> Thursday, 05 - 27

3550101 --> Thursday, 05 - 19

3550102 --> Thursday, 05 - 04

3550103 --> Thursday, 05 - 24

3550104 --> Thursday, 05 - 15

3550105 --> Thursday, 05 - 28

3550106 --> Thursday, 05 - 20

3550107 --> Thursday, 05 - 12

3550108 --> Thursday, 05 - 31

3550109 --> Thursday, 05 - 16

3550110 --> Thursday, 05 - 08

3550111 --> Thursday, 05 - 28

3550112 --> Thursday, 05 - 12

3550113 --> Thursday, 05 - 04

3550114 --> Thursday, 05 - 24

3550115 --> Thursday, 05 - 09

3550116 --> Thursday, 05 - 28

3550117 --> Thursday, 05 - 20

3550118 --> Thursday, 05 - 05

3550119 --> Thursday, 05 - 25

3550120 --> Thursday, 05 - 16

3550121 --> Thursday, 05 - 08

3550122 --> Thursday, 05 - 21

3550123 --> Thursday, 05 - 13

3550124 --> Thursday, 06 - 01

3550125 --> Thursday, 05 - 24

3550126 --> Thursday, 05 - 09

3550127 --> Thursday, 05 - 29

3550128 --> Thursday, 05 - 20

3550129 --> Thursday, 05 - 05

3550130 --> Thursday, 05 - 25

3550131 --> Thursday, 05 - 17

3550132 --> Thursday, 05 - 01

3550133 --> Thursday, 05 - 21

3550134 --> Thursday, 05 - 13

3550135 --> Thursday, 06 - 02

3550136 --> Thursday, 05 - 17

3550137 --> Thursday, 05 - 09

3550138 --> Thursday, 05 - 29

3550139 --> Thursday, 05 - 14

3550140 --> Thursday, 05 - 05

3550141 --> Thursday, 05 - 25

3550142 --> Thursday, 05 - 10

3550143 --> Thursday, 05 - 30

3550144 --> Thursday, 05 - 21

3550145 --> Thursday, 05 - 13

3550146 --> Thursday, 05 - 26

3550147 --> Thursday, 05 - 18

3550148 --> Thursday, 05 - 09

3550149 --> Thursday, 05 - 29

3550150 --> Thursday, 05 - 14

3550151 --> Thursday, 05 - 06

3550152 --> Thursday, 05 - 25

3550153 --> Thursday, 05 - 10

3550154 --> Thursday, 05 - 30

3550155 --> Thursday, 05 - 22

3550156 --> Thursday, 05 - 06

3550157 --> Thursday, 05 - 26

3550158 --> Thursday, 05 - 18

3550159 --> Thursday, 05 - 03

3550160 --> Thursday, 05 - 22

3550161 --> Thursday, 05 - 14

3550162 --> Thursday, 06 - 03

3550163 --> Thursday, 05 - 19

3550164 --> Thursday, 05 - 10

3550165 --> Thursday, 05 - 30

3550166 --> Thursday, 05 - 15

3550167 --> Thursday, 05 - 07

3550168 --> Thursday, 05 - 26

3550169 --> Thursday, 05 - 11

3550170 --> Thursday, 05 - 03

3550171 --> Thursday, 05 - 23

3550172 --> Thursday, 05 - 14

3550173 --> Thursday, 05 - 27

3550174 --> Thursday, 05 - 19

3550175 --> Thursday, 05 - 11

3550176 --> Thursday, 05 - 30

3550177 --> Thursday, 05 - 15

3550178 --> Thursday, 05 - 07

3550179 --> Thursday, 05 - 27

3550180 --> Thursday, 05 - 11

3550181 --> Thursday, 05 - 31

3550182 --> Thursday, 05 - 23

3550183 --> Thursday, 05 - 08

3550184 --> Thursday, 05 - 27

3550185 --> Thursday, 05 - 19

3550186 --> Thursday, 05 - 04

3550187 --> Thursday, 05 - 24

3550188 --> Thursday, 05 - 15

3550189 --> Thursday, 04 - 30

3550190 --> Thursday, 05 - 20

3550191 --> Thursday, 05 - 12

3550192 --> Thursday, 05 - 31

3550193 --> Thursday, 05 - 16

3550194 --> Thursday, 05 - 08

3550195 --> Thursday, 05 - 28

3550196 --> Thursday, 05 - 19

3550197 --> Thursday, 05 - 04

3550198 --> Thursday, 05 - 24

3550199 --> Thursday, 05 - 16

3550200 --> Thursday, 05 - 29

3550201 --> Thursday, 05 - 21

3550202 --> Thursday, 05 - 13

3550203 --> Thursday, 05 - 26

3550204 --> Thursday, 05 - 17

3550205 --> Thursday, 05 - 09

3550206 --> Thursday, 05 - 29

3550207 --> Thursday, 05 - 14

3550208 --> Thursday, 05 - 05

3550209 --> Thursday, 05 - 25

3550210 --> Thursday, 05 - 10

3550211 --> Thursday, 05 - 30

3550212 --> Thursday, 05 - 21

3550213 --> Thursday, 05 - 06

3550214 --> Thursday, 05 - 26

3550215 --> Thursday, 05 - 18

3550216 --> Thursday, 05 - 02

3550217 --> Thursday, 05 - 22

3550218 --> Thursday, 05 - 14

3550219 --> Thursday, 06 - 03

3550220 --> Thursday, 05 - 18

3550221 --> Thursday, 05 - 10

3550222 --> Thursday, 05 - 30

3550223 --> Thursday, 05 - 15

3550224 --> Thursday, 05 - 06

3550225 --> Thursday, 05 - 26

3550226 --> Thursday, 05 - 11

3550227 --> Thursday, 05 - 03

3550228 --> Thursday, 05 - 22

3550229 --> Thursday, 05 - 14

3550230 --> Thursday, 05 - 27

3550231 --> Thursday, 05 - 19

3550232 --> Thursday, 05 - 10

3550233 --> Thursday, 05 - 30

3550234 --> Thursday, 05 - 15

3550235 --> Thursday, 05 - 07

3550236 --> Thursday, 05 - 26

3550237 --> Thursday, 05 - 11

3550238 --> Thursday, 05 - 31

3550239 --> Thursday, 05 - 23

3550240 --> Thursday, 05 - 07

3550241 --> Thursday, 05 - 27

3550242 --> Thursday, 05 - 19

3550243 --> Thursday, 05 - 04

3550244 --> Thursday, 05 - 23

3550245 --> Thursday, 05 - 15

3550246 --> Thursday, 04 - 30

3550247 --> Thursday, 05 - 20

3550248 --> Thursday, 05 - 11

3550249 --> Thursday, 05 - 31

3550250 --> Thursday, 05 - 16

3550251 --> Thursday, 05 - 08

3550252 --> Thursday, 05 - 27

3550253 --> Thursday, 05 - 19

3550254 --> Thursday, 05 - 04

3550255 --> Thursday, 05 - 24

3550256 --> Thursday, 05 - 15

3550257 --> Thursday, 05 - 28

3550258 --> Thursday, 05 - 20

3550259 --> Thursday, 05 - 12

3550260 --> Thursday, 05 - 31

3550261 --> Thursday, 05 - 16

3550262 --> Thursday, 05 - 08

3550263 --> Thursday, 05 - 28

3550264 --> Thursday, 05 - 12

3550265 --> Thursday, 05 - 04

3550266 --> Thursday, 05 - 24

3550267 --> Thursday, 05 - 09

3550268 --> Thursday, 05 - 28

3550269 --> Thursday, 05 - 20

3550270 --> Thursday, 05 - 05

3550271 --> Thursday, 05 - 25

3550272 --> Thursday, 05 - 16

3550273 --> Thursday, 05 - 08

3550274 --> Thursday, 05 - 21

3550275 --> Thursday, 05 - 13

3550276 --> Thursday, 06 - 01

3550277 --> Thursday, 05 - 24

3550278 --> Thursday, 05 - 09

3550279 --> Thursday, 05 - 29

3550280 --> Thursday, 05 - 20

3550281 --> Thursday, 05 - 05

3550282 --> Thursday, 05 - 25

3550283 --> Thursday, 05 - 17

3550284 --> Thursday, 05 - 01

3550285 --> Thursday, 05 - 21

3550286 --> Thursday, 05 - 13

3550287 --> Thursday, 06 - 02

3550288 --> Thursday, 05 - 17

3550289 --> Thursday, 05 - 09

3550290 --> Thursday, 05 - 29

3550291 --> Thursday, 05 - 14

3550292 --> Thursday, 05 - 05

3550293 --> Thursday, 05 - 25

3550294 --> Thursday, 05 - 10

3550295 --> Thursday, 05 - 30

3550296 --> Thursday, 05 - 21

3550297 --> Thursday, 05 - 13

3550298 --> Thursday, 05 - 26

3550299 --> Thursday, 05 - 18

3550300 --> Thursday, 05 - 10

3550301 --> Thursday, 05 - 30

3550302 --> Thursday, 05 - 15

3550303 --> Thursday, 05 - 07

3550304 --> Thursday, 05 - 26

3550305 --> Thursday, 05 - 11

3550306 --> Thursday, 05 - 31

3550307 --> Thursday, 05 - 23

3550308 --> Thursday, 05 - 07

3550309 --> Thursday, 05 - 27

3550310 --> Thursday, 05 - 19

3550311 --> Thursday, 05 - 04

3550312 --> Thursday, 05 - 23

3550313 --> Thursday, 05 - 15

3550314 --> Thursday, 04 - 30

3550315 --> Thursday, 05 - 20

3550316 --> Thursday, 05 - 11

3550317 --> Thursday, 05 - 31

3550318 --> Thursday, 05 - 16

3550319 --> Thursday, 05 - 08

3550320 --> Thursday, 05 - 27

3550321 --> Thursday, 05 - 12

3550322 --> Thursday, 05 - 04

3550323 --> Thursday, 05 - 24

3550324 --> Thursday, 05 - 15

3550325 --> Thursday, 05 - 28

3550326 --> Thursday, 05 - 20

3550327 --> Thursday, 05 - 12

3550328 --> Thursday, 05 - 31

3550329 --> Thursday, 05 - 16

3550330 --> Thursday, 05 - 08

3550331 --> Thursday, 05 - 28

3550332 --> Thursday, 05 - 12

3550333 --> Thursday, 05 - 04

3550334 --> Thursday, 05 - 24

3550335 --> Thursday, 05 - 09

3550336 --> Thursday, 05 - 28

3550337 --> Thursday, 05 - 20

3550338 --> Thursday, 05 - 05

3550339 --> Thursday, 05 - 25

3550340 --> Thursday, 05 - 16

3550341 --> Thursday, 05 - 01

3550342 --> Thursday, 05 - 21

3550343 --> Thursday, 05 - 13

3550344 --> Thursday, 06 - 01

3550345 --> Thursday, 05 - 17

3550346 --> Thursday, 05 - 09

3550347 --> Thursday, 05 - 29

3550348 --> Thursday, 05 - 20

3550349 --> Thursday, 05 - 05

3550350 --> Thursday, 05 - 25

3550351 --> Thursday, 05 - 17

3550352 --> Thursday, 05 - 01

3550353 --> Thursday, 05 - 21

3550354 --> Thursday, 05 - 13

3550355 --> Thursday, 06 - 02

3550356 --> Thursday, 05 - 17

3550357 --> Thursday, 05 - 09

3550358 --> Thursday, 05 - 29

3550359 --> Thursday, 05 - 14

3550360 --> Thursday, 05 - 05

3550361 --> Thursday, 05 - 25

3550362 --> Thursday, 05 - 10

3550363 --> Thursday, 05 - 30

3550364 --> Thursday, 05 - 21

3550365 --> Thursday, 05 - 06

3550366 --> Thursday, 05 - 26

3550367 --> Thursday, 05 - 18

3550368 --> Thursday, 05 - 09

3550369 --> Thursday, 05 - 22

3550370 --> Thursday, 05 - 14

3550371 --> Thursday, 05 - 06

3550372 --> Thursday, 05 - 25

3550373 --> Thursday, 05 - 10

3550374 --> Thursday, 05 - 30

3550375 --> Thursday, 05 - 22

3550376 --> Thursday, 05 - 06

3550377 --> Thursday, 05 - 26

3550378 --> Thursday, 05 - 18

3550379 --> Thursday, 05 - 03

3550380 --> Thursday, 05 - 22

3550381 --> Thursday, 05 - 14

3550382 --> Thursday, 06 - 03

3550383 --> Thursday, 05 - 19

3550384 --> Thursday, 05 - 10

3550385 --> Thursday, 05 - 30

3550386 --> Thursday, 05 - 15

3550387 --> Thursday, 05 - 07

3550388 --> Thursday, 05 - 26

3550389 --> Thursday, 05 - 11

3550390 --> Thursday, 05 - 03

3550391 --> Thursday, 05 - 23

3550392 --> Thursday, 05 - 14

3550393 --> Thursday, 05 - 27

3550394 --> Thursday, 05 - 19

3550395 --> Thursday, 05 - 11

3550396 --> Thursday, 05 - 30

3550397 --> Thursday, 05 - 15

3550398 --> Thursday, 05 - 07

3550399 --> Thursday, 05 - 20

3550400 --> Thursday, 05 - 11

3550401 --> Thursday, 05 - 31

3550402 --> Thursday, 05 - 23

3550403 --> Thursday, 05 - 08

3550404 --> Thursday, 05 - 27

3550405 --> Thursday, 05 - 19

3550406 --> Thursday, 05 - 04

3550407 --> Thursday, 05 - 24

3550408 --> Thursday, 05 - 15

3550409 --> Thursday, 04 - 30

3550410 --> Thursday, 05 - 20

3550411 --> Thursday, 05 - 12

3550412 --> Thursday, 05 - 31

3550413 --> Thursday, 05 - 16

3550414 --> Thursday, 05 - 08

