Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2830000 through 2839999



2830000 --> Thursday, 05 - 18

2830001 --> Thursday, 05 - 10

2830002 --> Thursday, 05 - 30

2830003 --> Thursday, 05 - 15

2830004 --> Thursday, 05 - 06

2830005 --> Thursday, 05 - 26

2830006 --> Thursday, 05 - 11

2830007 --> Thursday, 05 - 03

2830008 --> Thursday, 05 - 22

2830009 --> Thursday, 05 - 14

2830010 --> Thursday, 05 - 27

2830011 --> Thursday, 05 - 19

2830012 --> Thursday, 05 - 10

2830013 --> Thursday, 05 - 23

2830014 --> Thursday, 05 - 15

2830015 --> Thursday, 05 - 07

2830016 --> Thursday, 05 - 26

2830017 --> Thursday, 05 - 11

2830018 --> Thursday, 05 - 31

2830019 --> Thursday, 05 - 23

2830020 --> Thursday, 05 - 07

2830021 --> Thursday, 05 - 27

2830022 --> Thursday, 05 - 19

2830023 --> Thursday, 05 - 04

2830024 --> Thursday, 05 - 23

2830025 --> Thursday, 05 - 15

2830026 --> Thursday, 04 - 30

2830027 --> Thursday, 05 - 20

2830028 --> Thursday, 05 - 11

2830029 --> Thursday, 05 - 31

2830030 --> Thursday, 05 - 16

2830031 --> Thursday, 05 - 08

2830032 --> Thursday, 05 - 27

2830033 --> Thursday, 05 - 12

2830034 --> Thursday, 05 - 04

2830035 --> Thursday, 05 - 24

2830036 --> Thursday, 05 - 15

2830037 --> Thursday, 05 - 28

2830038 --> Thursday, 05 - 20

2830039 --> Thursday, 05 - 12

2830040 --> Thursday, 05 - 31

2830041 --> Thursday, 05 - 16

2830042 --> Thursday, 05 - 08

2830043 --> Thursday, 05 - 28

2830044 --> Thursday, 05 - 12

2830045 --> Thursday, 05 - 04

2830046 --> Thursday, 05 - 24

2830047 --> Thursday, 05 - 09

2830048 --> Thursday, 05 - 28

2830049 --> Thursday, 05 - 20

2830050 --> Thursday, 05 - 05

2830051 --> Thursday, 05 - 25

2830052 --> Thursday, 05 - 16

2830053 --> Thursday, 05 - 01

2830054 --> Thursday, 05 - 21

2830055 --> Thursday, 05 - 13

2830056 --> Thursday, 06 - 01

2830057 --> Thursday, 05 - 17

2830058 --> Thursday, 05 - 09

2830059 --> Thursday, 05 - 29

2830060 --> Thursday, 05 - 20

2830061 --> Thursday, 05 - 05

2830062 --> Thursday, 05 - 25

2830063 --> Thursday, 05 - 17

2830064 --> Thursday, 05 - 01

2830065 --> Thursday, 05 - 21

2830066 --> Thursday, 05 - 13

2830067 --> Thursday, 06 - 02

2830068 --> Thursday, 05 - 17

2830069 --> Thursday, 05 - 09

2830070 --> Thursday, 05 - 29

2830071 --> Thursday, 05 - 14

2830072 --> Thursday, 05 - 05

2830073 --> Thursday, 05 - 25

2830074 --> Thursday, 05 - 10

2830075 --> Thursday, 05 - 30

2830076 --> Thursday, 05 - 21

2830077 --> Thursday, 05 - 06

2830078 --> Thursday, 05 - 26

2830079 --> Thursday, 05 - 18

2830080 --> Thursday, 05 - 09

2830081 --> Thursday, 05 - 22

2830082 --> Thursday, 05 - 14

2830083 --> Thursday, 05 - 06

2830084 --> Thursday, 05 - 25

2830085 --> Thursday, 05 - 10

2830086 --> Thursday, 05 - 30

2830087 --> Thursday, 05 - 22

2830088 --> Thursday, 05 - 06

2830089 --> Thursday, 05 - 26

2830090 --> Thursday, 05 - 18

2830091 --> Thursday, 05 - 03

2830092 --> Thursday, 05 - 22

2830093 --> Thursday, 05 - 14

2830094 --> Thursday, 06 - 03

2830095 --> Thursday, 05 - 19

2830096 --> Thursday, 05 - 10

2830097 --> Thursday, 05 - 30

2830098 --> Thursday, 05 - 15

2830099 --> Thursday, 05 - 07

2830100 --> Thursday, 05 - 27

2830101 --> Thursday, 05 - 12

2830102 --> Thursday, 05 - 04

2830103 --> Thursday, 05 - 24

2830104 --> Thursday, 05 - 15

2830105 --> Thursday, 05 - 28

2830106 --> Thursday, 05 - 20

2830107 --> Thursday, 05 - 05

2830108 --> Thursday, 05 - 24

2830109 --> Thursday, 05 - 16

2830110 --> Thursday, 05 - 08

2830111 --> Thursday, 05 - 21

2830112 --> Thursday, 05 - 12

2830113 --> Thursday, 06 - 01

2830114 --> Thursday, 05 - 24

2830115 --> Thursday, 05 - 09

2830116 --> Thursday, 05 - 28

2830117 --> Thursday, 05 - 20

2830118 --> Thursday, 05 - 05

2830119 --> Thursday, 05 - 25

2830120 --> Thursday, 05 - 16

2830121 --> Thursday, 05 - 01

2830122 --> Thursday, 05 - 21

2830123 --> Thursday, 05 - 13

2830124 --> Thursday, 06 - 01

2830125 --> Thursday, 05 - 17

2830126 --> Thursday, 05 - 09

2830127 --> Thursday, 05 - 29

2830128 --> Thursday, 05 - 13

2830129 --> Thursday, 05 - 05

2830130 --> Thursday, 05 - 25

2830131 --> Thursday, 05 - 10

2830132 --> Thursday, 05 - 29

2830133 --> Thursday, 05 - 21

2830134 --> Thursday, 05 - 13

2830135 --> Thursday, 05 - 26

2830136 --> Thursday, 05 - 17

2830137 --> Thursday, 05 - 09

2830138 --> Thursday, 05 - 29

2830139 --> Thursday, 05 - 14

2830140 --> Thursday, 05 - 05

2830141 --> Thursday, 05 - 25

2830142 --> Thursday, 05 - 10

2830143 --> Thursday, 05 - 30

2830144 --> Thursday, 05 - 21

2830145 --> Thursday, 05 - 06

2830146 --> Thursday, 05 - 26

2830147 --> Thursday, 05 - 18

2830148 --> Thursday, 05 - 02

2830149 --> Thursday, 05 - 22

2830150 --> Thursday, 05 - 14

2830151 --> Thursday, 06 - 03

2830152 --> Thursday, 05 - 18

2830153 --> Thursday, 05 - 10

2830154 --> Thursday, 05 - 30

2830155 --> Thursday, 05 - 15

2830156 --> Thursday, 05 - 06

2830157 --> Thursday, 05 - 26

2830158 --> Thursday, 05 - 18

2830159 --> Thursday, 05 - 03

2830160 --> Thursday, 05 - 22

2830161 --> Thursday, 05 - 14

2830162 --> Thursday, 05 - 27

2830163 --> Thursday, 05 - 19

2830164 --> Thursday, 05 - 10

2830165 --> Thursday, 05 - 30

2830166 --> Thursday, 05 - 15

2830167 --> Thursday, 05 - 07

2830168 --> Thursday, 05 - 26

2830169 --> Thursday, 05 - 11

2830170 --> Thursday, 05 - 31

2830171 --> Thursday, 05 - 23

2830172 --> Thursday, 05 - 07

2830173 --> Thursday, 05 - 27

2830174 --> Thursday, 05 - 19

2830175 --> Thursday, 05 - 04

2830176 --> Thursday, 05 - 23

2830177 --> Thursday, 05 - 15

2830178 --> Thursday, 05 - 07

2830179 --> Thursday, 05 - 20

2830180 --> Thursday, 05 - 11

2830181 --> Thursday, 05 - 31

2830182 --> Thursday, 05 - 23

2830183 --> Thursday, 05 - 08

2830184 --> Thursday, 05 - 27

2830185 --> Thursday, 05 - 19

2830186 --> Thursday, 05 - 04

2830187 --> Thursday, 05 - 24

2830188 --> Thursday, 05 - 15

2830189 --> Thursday, 05 - 28

2830190 --> Thursday, 05 - 20

2830191 --> Thursday, 05 - 12

2830192 --> Thursday, 05 - 31

2830193 --> Thursday, 05 - 16

2830194 --> Thursday, 05 - 08

2830195 --> Thursday, 05 - 28

2830196 --> Thursday, 05 - 12

2830197 --> Thursday, 05 - 04

2830198 --> Thursday, 05 - 24

2830199 --> Thursday, 05 - 09

2830200 --> Thursday, 05 - 29

2830201 --> Thursday, 05 - 21

2830202 --> Thursday, 05 - 06

2830203 --> Thursday, 05 - 26

2830204 --> Thursday, 05 - 17

2830205 --> Thursday, 05 - 02

2830206 --> Thursday, 05 - 22

2830207 --> Thursday, 05 - 14

2830208 --> Thursday, 06 - 02

2830209 --> Thursday, 05 - 18

2830210 --> Thursday, 05 - 10

2830211 --> Thursday, 05 - 30

2830212 --> Thursday, 05 - 21

2830213 --> Thursday, 05 - 06

2830214 --> Thursday, 05 - 26

2830215 --> Thursday, 05 - 18

2830216 --> Thursday, 05 - 02

2830217 --> Thursday, 05 - 22

2830218 --> Thursday, 05 - 14

2830219 --> Thursday, 05 - 27

2830220 --> Thursday, 05 - 18

2830221 --> Thursday, 05 - 10

2830222 --> Thursday, 05 - 30

2830223 --> Thursday, 05 - 15

2830224 --> Thursday, 05 - 06

2830225 --> Thursday, 05 - 26

2830226 --> Thursday, 05 - 11

2830227 --> Thursday, 05 - 31

2830228 --> Thursday, 05 - 22

2830229 --> Thursday, 05 - 07

2830230 --> Thursday, 05 - 27

2830231 --> Thursday, 05 - 19

2830232 --> Thursday, 05 - 10

2830233 --> Thursday, 05 - 23

2830234 --> Thursday, 05 - 15

2830235 --> Thursday, 05 - 07

2830236 --> Thursday, 05 - 26

2830237 --> Thursday, 05 - 11

2830238 --> Thursday, 05 - 31

2830239 --> Thursday, 05 - 23

2830240 --> Thursday, 05 - 07

2830241 --> Thursday, 05 - 27

2830242 --> Thursday, 05 - 19

2830243 --> Thursday, 05 - 04

2830244 --> Thursday, 05 - 23

2830245 --> Thursday, 05 - 15

2830246 --> Thursday, 05 - 28

2830247 --> Thursday, 05 - 20

2830248 --> Thursday, 05 - 11

2830249 --> Thursday, 05 - 31

2830250 --> Thursday, 05 - 16

2830251 --> Thursday, 05 - 08

2830252 --> Thursday, 05 - 27

2830253 --> Thursday, 05 - 12

2830254 --> Thursday, 05 - 04

2830255 --> Thursday, 05 - 24

2830256 --> Thursday, 05 - 15

2830257 --> Thursday, 05 - 28

2830258 --> Thursday, 05 - 20

2830259 --> Thursday, 05 - 05

2830260 --> Thursday, 05 - 24

2830261 --> Thursday, 05 - 16

2830262 --> Thursday, 05 - 08

2830263 --> Thursday, 05 - 21

2830264 --> Thursday, 05 - 12

2830265 --> Thursday, 06 - 01

2830266 --> Thursday, 05 - 24

2830267 --> Thursday, 05 - 09

2830268 --> Thursday, 05 - 28

2830269 --> Thursday, 05 - 20

2830270 --> Thursday, 05 - 05

2830271 --> Thursday, 05 - 25

2830272 --> Thursday, 05 - 16

2830273 --> Thursday, 05 - 01

2830274 --> Thursday, 05 - 21

2830275 --> Thursday, 05 - 13

2830276 --> Thursday, 06 - 01

2830277 --> Thursday, 05 - 17

2830278 --> Thursday, 05 - 09

2830279 --> Thursday, 05 - 29

2830280 --> Thursday, 05 - 13

2830281 --> Thursday, 05 - 05

2830282 --> Thursday, 05 - 25

2830283 --> Thursday, 05 - 10

2830284 --> Thursday, 05 - 29

2830285 --> Thursday, 05 - 21

2830286 --> Thursday, 05 - 13

2830287 --> Thursday, 05 - 26

2830288 --> Thursday, 05 - 17

2830289 --> Thursday, 05 - 09

2830290 --> Thursday, 05 - 29

2830291 --> Thursday, 05 - 14

2830292 --> Thursday, 05 - 05

2830293 --> Thursday, 05 - 25

2830294 --> Thursday, 05 - 10

2830295 --> Thursday, 05 - 30

2830296 --> Thursday, 05 - 21

2830297 --> Thursday, 05 - 06

2830298 --> Thursday, 05 - 26

2830299 --> Thursday, 05 - 18

2830300 --> Thursday, 05 - 03

2830301 --> Thursday, 05 - 23

2830302 --> Thursday, 05 - 15

2830303 --> Thursday, 04 - 30

2830304 --> Thursday, 05 - 19

2830305 --> Thursday, 05 - 11

2830306 --> Thursday, 05 - 31

2830307 --> Thursday, 05 - 16

2830308 --> Thursday, 05 - 07

2830309 --> Thursday, 05 - 27

2830310 --> Thursday, 05 - 19

2830311 --> Thursday, 05 - 04

2830312 --> Thursday, 05 - 23

2830313 --> Thursday, 05 - 15

2830314 --> Thursday, 05 - 28

2830315 --> Thursday, 05 - 20

2830316 --> Thursday, 05 - 11

2830317 --> Thursday, 05 - 31

2830318 --> Thursday, 05 - 16

2830319 --> Thursday, 05 - 08

2830320 --> Thursday, 05 - 27

2830321 --> Thursday, 05 - 12

2830322 --> Thursday, 05 - 04

2830323 --> Thursday, 05 - 24

2830324 --> Thursday, 05 - 08

2830325 --> Thursday, 05 - 28

2830326 --> Thursday, 05 - 20

2830327 --> Thursday, 05 - 05

2830328 --> Thursday, 05 - 24

2830329 --> Thursday, 05 - 16

2830330 --> Thursday, 05 - 08

2830331 --> Thursday, 05 - 21

2830332 --> Thursday, 05 - 12

2830333 --> Thursday, 06 - 01

2830334 --> Thursday, 05 - 24

2830335 --> Thursday, 05 - 09

2830336 --> Thursday, 05 - 28

2830337 --> Thursday, 05 - 20

2830338 --> Thursday, 05 - 05

2830339 --> Thursday, 05 - 25

2830340 --> Thursday, 05 - 16

2830341 --> Thursday, 05 - 01

2830342 --> Thursday, 05 - 21

2830343 --> Thursday, 05 - 13

2830344 --> Thursday, 06 - 01

2830345 --> Thursday, 05 - 17

2830346 --> Thursday, 05 - 09

2830347 --> Thursday, 05 - 29

