Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 5470000 through 5479999



5470000 --> Thursday, 05 - 18

5470001 --> Thursday, 05 - 03

5470002 --> Thursday, 05 - 23

5470003 --> Thursday, 05 - 15

5470004 --> Thursday, 05 - 27

5470005 --> Thursday, 05 - 19

5470006 --> Thursday, 05 - 11

5470007 --> Thursday, 05 - 24

5470008 --> Thursday, 05 - 15

5470009 --> Thursday, 05 - 07

5470010 --> Thursday, 05 - 27

5470011 --> Thursday, 05 - 12

5470012 --> Thursday, 05 - 31

5470013 --> Thursday, 05 - 23

5470014 --> Thursday, 05 - 08

5470015 --> Thursday, 05 - 28

5470016 --> Thursday, 05 - 19

5470017 --> Thursday, 05 - 04

5470018 --> Thursday, 05 - 24

5470019 --> Thursday, 05 - 16

5470020 --> Thursday, 05 - 07

5470021 --> Thursday, 05 - 20

5470022 --> Thursday, 05 - 12

5470023 --> Thursday, 06 - 01

5470024 --> Thursday, 05 - 16

5470025 --> Thursday, 05 - 08

5470026 --> Thursday, 05 - 28

5470027 --> Thursday, 05 - 13

5470028 --> Thursday, 05 - 04

5470029 --> Thursday, 05 - 24

5470030 --> Thursday, 05 - 16

5470031 --> Thursday, 05 - 29

5470032 --> Thursday, 05 - 20

5470033 --> Thursday, 05 - 12

5470034 --> Thursday, 06 - 01

5470035 --> Thursday, 05 - 17

5470036 --> Thursday, 05 - 08

5470037 --> Thursday, 05 - 28

5470038 --> Thursday, 05 - 13

5470039 --> Thursday, 05 - 05

5470040 --> Thursday, 05 - 24

5470041 --> Thursday, 05 - 09

5470042 --> Thursday, 05 - 29

5470043 --> Thursday, 05 - 21

5470044 --> Thursday, 05 - 05

5470045 --> Thursday, 05 - 25

5470046 --> Thursday, 05 - 17

5470047 --> Thursday, 05 - 02

5470048 --> Thursday, 05 - 21

5470049 --> Thursday, 05 - 13

5470050 --> Thursday, 06 - 02

5470051 --> Thursday, 05 - 18

5470052 --> Thursday, 05 - 09

5470053 --> Thursday, 05 - 29

5470054 --> Thursday, 05 - 21

5470055 --> Thursday, 05 - 06

5470056 --> Thursday, 05 - 25

5470057 --> Thursday, 05 - 17

5470058 --> Thursday, 05 - 02

5470059 --> Thursday, 05 - 22

5470060 --> Thursday, 05 - 13

5470061 --> Thursday, 06 - 02

5470062 --> Thursday, 05 - 18

5470063 --> Thursday, 05 - 10

5470064 --> Thursday, 05 - 29

5470065 --> Thursday, 05 - 14

5470066 --> Thursday, 05 - 06

5470067 --> Thursday, 05 - 26

5470068 --> Thursday, 05 - 10

5470069 --> Thursday, 05 - 30

5470070 --> Thursday, 05 - 22

5470071 --> Thursday, 05 - 07

5470072 --> Thursday, 05 - 26

5470073 --> Thursday, 05 - 18

5470074 --> Thursday, 05 - 10

5470075 --> Thursday, 05 - 23

5470076 --> Thursday, 05 - 14

5470077 --> Thursday, 05 - 06

5470078 --> Thursday, 05 - 26

5470079 --> Thursday, 05 - 11

5470080 --> Thursday, 05 - 30

5470081 --> Thursday, 05 - 22

5470082 --> Thursday, 05 - 07

