Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 5300000 through 5309999



5300000 --> Thursday, 05 - 18

5300001 --> Thursday, 05 - 10

5300002 --> Thursday, 05 - 30

5300003 --> Thursday, 05 - 15

5300004 --> Thursday, 05 - 06

5300005 --> Thursday, 05 - 26

5300006 --> Thursday, 05 - 18

5300007 --> Thursday, 05 - 03

5300008 --> Thursday, 05 - 22

5300009 --> Thursday, 05 - 14

5300010 --> Thursday, 05 - 27

5300011 --> Thursday, 05 - 19

5300012 --> Thursday, 05 - 10

5300013 --> Thursday, 05 - 30

5300014 --> Thursday, 05 - 15

5300015 --> Thursday, 05 - 07

5300016 --> Thursday, 05 - 26

5300017 --> Thursday, 05 - 11

5300018 --> Thursday, 05 - 31

5300019 --> Thursday, 05 - 23

5300020 --> Thursday, 05 - 07

5300021 --> Thursday, 05 - 27

5300022 --> Thursday, 05 - 19

5300023 --> Thursday, 05 - 04

5300024 --> Thursday, 05 - 23

5300025 --> Thursday, 05 - 15

5300026 --> Thursday, 05 - 07

5300027 --> Thursday, 05 - 20

5300028 --> Thursday, 05 - 11

5300029 --> Thursday, 05 - 31

5300030 --> Thursday, 05 - 23

5300031 --> Thursday, 05 - 08

5300032 --> Thursday, 05 - 27

5300033 --> Thursday, 05 - 19

5300034 --> Thursday, 05 - 04

5300035 --> Thursday, 05 - 24

5300036 --> Thursday, 05 - 15

5300037 --> Thursday, 05 - 28

5300038 --> Thursday, 05 - 20

5300039 --> Thursday, 05 - 12

5300040 --> Thursday, 05 - 31

5300041 --> Thursday, 05 - 16

5300042 --> Thursday, 05 - 08

5300043 --> Thursday, 05 - 28

5300044 --> Thursday, 05 - 12

5300045 --> Thursday, 05 - 04

5300046 --> Thursday, 05 - 24

5300047 --> Thursday, 05 - 09

5300048 --> Thursday, 05 - 28

5300049 --> Thursday, 05 - 20

5300050 --> Thursday, 05 - 05

5300051 --> Thursday, 05 - 25

5300052 --> Thursday, 05 - 16

5300053 --> Thursday, 05 - 08

5300054 --> Thursday, 05 - 21

5300055 --> Thursday, 05 - 13

5300056 --> Thursday, 06 - 01

