Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 0300000 through 0309999



0300000 --> Thursday, 05 - 11

0300001 --> Thursday, 05 - 31

0300002 --> Thursday, 05 - 16

0300003 --> Thursday, 05 - 08

0300004 --> Thursday, 05 - 27

0300005 --> Thursday, 05 - 12

0300006 --> Thursday, 05 - 04

0300007 --> Thursday, 05 - 24

0300008 --> Thursday, 05 - 08

0300009 --> Thursday, 05 - 28

0300010 --> Thursday, 05 - 20

0300011 --> Thursday, 05 - 05

0300012 --> Thursday, 05 - 24

0300013 --> Thursday, 05 - 16

0300014 --> Thursday, 05 - 01

0300015 --> Thursday, 05 - 21

0300016 --> Thursday, 05 - 12

0300017 --> Thursday, 06 - 01

0300018 --> Thursday, 05 - 17

0300019 --> Thursday, 05 - 09

0300020 --> Thursday, 05 - 28

0300021 --> Thursday, 05 - 20

0300022 --> Thursday, 05 - 05

0300023 --> Thursday, 05 - 25

0300024 --> Thursday, 05 - 16

0300025 --> Thursday, 05 - 01

0300026 --> Thursday, 05 - 21

0300027 --> Thursday, 05 - 13

0300028 --> Thursday, 06 - 01

0300029 --> Thursday, 05 - 17

0300030 --> Thursday, 05 - 09

0300031 --> Thursday, 05 - 29

0300032 --> Thursday, 05 - 13

0300033 --> Thursday, 05 - 05

0300034 --> Thursday, 05 - 25

0300035 --> Thursday, 05 - 10

0300036 --> Thursday, 05 - 29

0300037 --> Thursday, 05 - 21

0300038 --> Thursday, 05 - 06

0300039 --> Thursday, 05 - 26

0300040 --> Thursday, 05 - 17

0300041 --> Thursday, 05 - 09

0300042 --> Thursday, 05 - 22

0300043 --> Thursday, 05 - 14

0300044 --> Thursday, 05 - 05

0300045 --> Thursday, 05 - 25

0300046 --> Thursday, 05 - 10

0300047 --> Thursday, 05 - 30

0300048 --> Thursday, 05 - 21

0300049 --> Thursday, 05 - 06

0300050 --> Thursday, 05 - 26

0300051 --> Thursday, 05 - 18

0300052 --> Thursday, 05 - 02

0300053 --> Thursday, 05 - 22

0300054 --> Thursday, 05 - 14

0300055 --> Thursday, 06 - 03

0300056 --> Thursday, 05 - 18

0300057 --> Thursday, 05 - 10

0300058 --> Thursday, 05 - 30

0300059 --> Thursday, 05 - 15

0300060 --> Thursday, 05 - 06

0300061 --> Thursday, 05 - 26

0300062 --> Thursday, 05 - 11

0300063 --> Thursday, 05 - 03

0300064 --> Thursday, 05 - 22

0300065 --> Thursday, 05 - 14

0300066 --> Thursday, 05 - 27

0300067 --> Thursday, 05 - 19

0300068 --> Thursday, 05 - 10

0300069 --> Thursday, 05 - 23

0300070 --> Thursday, 05 - 15

0300071 --> Thursday, 05 - 07

0300072 --> Thursday, 05 - 26

0300073 --> Thursday, 05 - 11

0300074 --> Thursday, 05 - 31

0300075 --> Thursday, 05 - 23

0300076 --> Thursday, 05 - 07

0300077 --> Thursday, 05 - 27

0300078 --> Thursday, 05 - 19

0300079 --> Thursday, 05 - 04

0300080 --> Thursday, 05 - 23

0300081 --> Thursday, 05 - 15

0300082 --> Thursday, 04 - 30

0300083 --> Thursday, 05 - 20

0300084 --> Thursday, 05 - 11

0300085 --> Thursday, 05 - 31

0300086 --> Thursday, 05 - 16

0300087 --> Thursday, 05 - 08

0300088 --> Thursday, 05 - 27

0300089 --> Thursday, 05 - 12

0300090 --> Thursday, 05 - 04

0300091 --> Thursday, 05 - 24

0300092 --> Thursday, 05 - 15

0300093 --> Thursday, 05 - 28

0300094 --> Thursday, 05 - 20

0300095 --> Thursday, 05 - 12

0300096 --> Thursday, 05 - 31

0300097 --> Thursday, 05 - 16

0300098 --> Thursday, 05 - 08

0300099 --> Thursday, 05 - 28

0300100 --> Thursday, 05 - 13

0300101 --> Thursday, 05 - 05

0300102 --> Thursday, 05 - 25

0300103 --> Thursday, 05 - 10

0300104 --> Thursday, 05 - 29

0300105 --> Thursday, 05 - 21

0300106 --> Thursday, 05 - 06

0300107 --> Thursday, 05 - 26

0300108 --> Thursday, 05 - 17

0300109 --> Thursday, 05 - 02

0300110 --> Thursday, 05 - 22

0300111 --> Thursday, 05 - 14

0300112 --> Thursday, 06 - 02

0300113 --> Thursday, 05 - 18

0300114 --> Thursday, 05 - 10

0300115 --> Thursday, 05 - 30

0300116 --> Thursday, 05 - 21

0300117 --> Thursday, 05 - 06

0300118 --> Thursday, 05 - 26

0300119 --> Thursday, 05 - 18

0300120 --> Thursday, 05 - 02

0300121 --> Thursday, 05 - 22

0300122 --> Thursday, 05 - 14

0300123 --> Thursday, 05 - 27

0300124 --> Thursday, 05 - 18

0300125 --> Thursday, 05 - 10

0300126 --> Thursday, 05 - 30

0300127 --> Thursday, 05 - 15

0300128 --> Thursday, 05 - 06

0300129 --> Thursday, 05 - 26

0300130 --> Thursday, 05 - 11

0300131 --> Thursday, 05 - 31

0300132 --> Thursday, 05 - 22

0300133 --> Thursday, 05 - 07

0300134 --> Thursday, 05 - 27

0300135 --> Thursday, 05 - 19

0300136 --> Thursday, 05 - 10

0300137 --> Thursday, 05 - 23

0300138 --> Thursday, 05 - 15

0300139 --> Thursday, 05 - 07

0300140 --> Thursday, 05 - 26

0300141 --> Thursday, 05 - 11

0300142 --> Thursday, 05 - 31

0300143 --> Thursday, 05 - 16

0300144 --> Thursday, 05 - 07

0300145 --> Thursday, 05 - 27

0300146 --> Thursday, 05 - 19

0300147 --> Thursday, 05 - 04

0300148 --> Thursday, 05 - 23

0300149 --> Thursday, 05 - 15

0300150 --> Thursday, 05 - 28

0300151 --> Thursday, 05 - 20

0300152 --> Thursday, 05 - 11

0300153 --> Thursday, 05 - 31

0300154 --> Thursday, 05 - 16

0300155 --> Thursday, 05 - 08

0300156 --> Thursday, 05 - 27

0300157 --> Thursday, 05 - 12

0300158 --> Thursday, 05 - 04

0300159 --> Thursday, 05 - 24

0300160 --> Thursday, 05 - 15

0300161 --> Thursday, 05 - 28

0300162 --> Thursday, 05 - 20

0300163 --> Thursday, 05 - 05

0300164 --> Thursday, 05 - 24

0300165 --> Thursday, 05 - 16

0300166 --> Thursday, 05 - 08

0300167 --> Thursday, 05 - 21

0300168 --> Thursday, 05 - 12

0300169 --> Thursday, 06 - 01

0300170 --> Thursday, 05 - 24

0300171 --> Thursday, 05 - 09

0300172 --> Thursday, 05 - 28

0300173 --> Thursday, 05 - 20

0300174 --> Thursday, 05 - 05

0300175 --> Thursday, 05 - 25

0300176 --> Thursday, 05 - 16

0300177 --> Thursday, 05 - 01

0300178 --> Thursday, 05 - 21

0300179 --> Thursday, 05 - 13

0300180 --> Thursday, 06 - 01

0300181 --> Thursday, 05 - 17

0300182 --> Thursday, 05 - 09

0300183 --> Thursday, 05 - 29

0300184 --> Thursday, 05 - 13

0300185 --> Thursday, 05 - 05

0300186 --> Thursday, 05 - 25

0300187 --> Thursday, 05 - 10

0300188 --> Thursday, 05 - 29

0300189 --> Thursday, 05 - 21

0300190 --> Thursday, 05 - 13

0300191 --> Thursday, 05 - 26

0300192 --> Thursday, 05 - 17

0300193 --> Thursday, 05 - 09

0300194 --> Thursday, 05 - 29

0300195 --> Thursday, 05 - 14

0300196 --> Thursday, 05 - 05

0300197 --> Thursday, 05 - 25

0300198 --> Thursday, 05 - 10

0300199 --> Thursday, 05 - 30

0300200 --> Thursday, 05 - 22

0300201 --> Thursday, 05 - 07

0300202 --> Thursday, 05 - 27

0300203 --> Thursday, 05 - 19

0300204 --> Thursday, 05 - 03

0300205 --> Thursday, 05 - 23

0300206 --> Thursday, 05 - 15

0300207 --> Thursday, 05 - 28

0300208 --> Thursday, 05 - 19

0300209 --> Thursday, 05 - 11

0300210 --> Thursday, 05 - 31

0300211 --> Thursday, 05 - 16

0300212 --> Thursday, 05 - 07

0300213 --> Thursday, 05 - 27

0300214 --> Thursday, 05 - 12

0300215 --> Thursday, 05 - 04

0300216 --> Thursday, 05 - 23

0300217 --> Thursday, 05 - 15

0300218 --> Thursday, 05 - 28

0300219 --> Thursday, 05 - 20

0300220 --> Thursday, 05 - 11

0300221 --> Thursday, 05 - 24

0300222 --> Thursday, 05 - 16

0300223 --> Thursday, 05 - 08

0300224 --> Thursday, 05 - 27

0300225 --> Thursday, 05 - 12

0300226 --> Thursday, 06 - 01

0300227 --> Thursday, 05 - 24

0300228 --> Thursday, 05 - 08

0300229 --> Thursday, 05 - 28

0300230 --> Thursday, 05 - 20

0300231 --> Thursday, 05 - 05

0300232 --> Thursday, 05 - 24

0300233 --> Thursday, 05 - 16

0300234 --> Thursday, 05 - 01

0300235 --> Thursday, 05 - 21

0300236 --> Thursday, 05 - 12

0300237 --> Thursday, 06 - 01

0300238 --> Thursday, 05 - 17

0300239 --> Thursday, 05 - 09

0300240 --> Thursday, 05 - 28

0300241 --> Thursday, 05 - 13

0300242 --> Thursday, 05 - 05

0300243 --> Thursday, 05 - 25

0300244 --> Thursday, 05 - 16

0300245 --> Thursday, 05 - 29

0300246 --> Thursday, 05 - 21

0300247 --> Thursday, 05 - 13

0300248 --> Thursday, 06 - 01

0300249 --> Thursday, 05 - 17

0300250 --> Thursday, 05 - 09

0300251 --> Thursday, 05 - 29

0300252 --> Thursday, 05 - 13

0300253 --> Thursday, 05 - 05

0300254 --> Thursday, 05 - 25

0300255 --> Thursday, 05 - 10

0300256 --> Thursday, 05 - 29

0300257 --> Thursday, 05 - 21

0300258 --> Thursday, 05 - 06

0300259 --> Thursday, 05 - 26

0300260 --> Thursday, 05 - 17

0300261 --> Thursday, 05 - 02

0300262 --> Thursday, 05 - 22

0300263 --> Thursday, 05 - 14

0300264 --> Thursday, 06 - 02

0300265 --> Thursday, 05 - 18

0300266 --> Thursday, 05 - 10

0300267 --> Thursday, 05 - 30

0300268 --> Thursday, 05 - 21

0300269 --> Thursday, 05 - 06

0300270 --> Thursday, 05 - 26

0300271 --> Thursday, 05 - 18

0300272 --> Thursday, 05 - 02

0300273 --> Thursday, 05 - 22

0300274 --> Thursday, 05 - 14

0300275 --> Thursday, 05 - 27

0300276 --> Thursday, 05 - 18

0300277 --> Thursday, 05 - 10

0300278 --> Thursday, 05 - 30

0300279 --> Thursday, 05 - 15

0300280 --> Thursday, 05 - 06

0300281 --> Thursday, 05 - 26

0300282 --> Thursday, 05 - 11

0300283 --> Thursday, 05 - 31

0300284 --> Thursday, 05 - 22

0300285 --> Thursday, 05 - 07

0300286 --> Thursday, 05 - 27

0300287 --> Thursday, 05 - 19

0300288 --> Thursday, 05 - 10

0300289 --> Thursday, 05 - 23

0300290 --> Thursday, 05 - 15

0300291 --> Thursday, 05 - 07

0300292 --> Thursday, 05 - 26

0300293 --> Thursday, 05 - 11

0300294 --> Thursday, 05 - 31

0300295 --> Thursday, 05 - 16

0300296 --> Thursday, 05 - 07

0300297 --> Thursday, 05 - 27

0300298 --> Thursday, 05 - 19

0300299 --> Thursday, 05 - 04

0300300 --> Thursday, 05 - 24

0300301 --> Thursday, 05 - 16

0300302 --> Thursday, 05 - 01

0300303 --> Thursday, 05 - 21

0300304 --> Thursday, 05 - 12

0300305 --> Thursday, 06 - 01

0300306 --> Thursday, 05 - 17

0300307 --> Thursday, 05 - 09

0300308 --> Thursday, 05 - 28

0300309 --> Thursday, 05 - 13

0300310 --> Thursday, 05 - 05

0300311 --> Thursday, 05 - 25

0300312 --> Thursday, 05 - 16

0300313 --> Thursday, 05 - 29

0300314 --> Thursday, 05 - 21

0300315 --> Thursday, 05 - 06

0300316 --> Thursday, 05 - 25

0300317 --> Thursday, 05 - 17

0300318 --> Thursday, 05 - 09

0300319 --> Thursday, 05 - 22

0300320 --> Thursday, 05 - 13

0300321 --> Thursday, 05 - 05

0300322 --> Thursday, 05 - 25

0300323 --> Thursday, 05 - 10

0300324 --> Thursday, 05 - 29

0300325 --> Thursday, 05 - 21

0300326 --> Thursday, 05 - 06

0300327 --> Thursday, 05 - 26

0300328 --> Thursday, 05 - 17

0300329 --> Thursday, 05 - 02

0300330 --> Thursday, 05 - 22

0300331 --> Thursday, 05 - 14

0300332 --> Thursday, 06 - 02

0300333 --> Thursday, 05 - 18

0300334 --> Thursday, 05 - 10

0300335 --> Thursday, 05 - 30

0300336 --> Thursday, 05 - 14

0300337 --> Thursday, 05 - 06

0300338 --> Thursday, 05 - 26

0300339 --> Thursday, 05 - 11

0300340 --> Thursday, 05 - 02

0300341 --> Thursday, 05 - 22

0300342 --> Thursday, 05 - 14

0300343 --> Thursday, 05 - 27

0300344 --> Thursday, 05 - 18

0300345 --> Thursday, 05 - 10

0300346 --> Thursday, 05 - 30

0300347 --> Thursday, 05 - 15

0300348 --> Thursday, 05 - 06

0300349 --> Thursday, 05 - 26

0300350 --> Thursday, 05 - 11

0300351 --> Thursday, 05 - 31

0300352 --> Thursday, 05 - 22

0300353 --> Thursday, 05 - 07

0300354 --> Thursday, 05 - 27

0300355 --> Thursday, 05 - 19

0300356 --> Thursday, 05 - 03

0300357 --> Thursday, 05 - 23

0300358 --> Thursday, 05 - 15

0300359 --> Thursday, 04 - 30

0300360 --> Thursday, 05 - 19

0300361 --> Thursday, 05 - 11

0300362 --> Thursday, 05 - 31

0300363 --> Thursday, 05 - 16

0300364 --> Thursday, 05 - 07

0300365 --> Thursday, 05 - 27

0300366 --> Thursday, 05 - 19

0300367 --> Thursday, 05 - 04

0300368 --> Thursday, 05 - 23

0300369 --> Thursday, 05 - 15

0300370 --> Thursday, 05 - 28

0300371 --> Thursday, 05 - 20

0300372 --> Thursday, 05 - 11

0300373 --> Thursday, 05 - 31

0300374 --> Thursday, 05 - 16

0300375 --> Thursday, 05 - 08

0300376 --> Thursday, 05 - 27

0300377 --> Thursday, 05 - 12

0300378 --> Thursday, 05 - 04

0300379 --> Thursday, 05 - 24

0300380 --> Thursday, 05 - 08

0300381 --> Thursday, 05 - 28

0300382 --> Thursday, 05 - 20

0300383 --> Thursday, 05 - 05

0300384 --> Thursday, 05 - 24

0300385 --> Thursday, 05 - 16

0300386 --> Thursday, 05 - 08

0300387 --> Thursday, 05 - 21

0300388 --> Thursday, 05 - 12

0300389 --> Thursday, 06 - 01

0300390 --> Thursday, 05 - 17

0300391 --> Thursday, 05 - 09

0300392 --> Thursday, 05 - 28

0300393 --> Thursday, 05 - 20

0300394 --> Thursday, 05 - 05

0300395 --> Thursday, 05 - 25

0300396 --> Thursday, 05 - 16

0300397 --> Thursday, 05 - 01

0300398 --> Thursday, 05 - 21

0300399 --> Thursday, 05 - 13

0300400 --> Thursday, 06 - 01

0300401 --> Thursday, 05 - 17

0300402 --> Thursday, 05 - 09

0300403 --> Thursday, 05 - 29

0300404 --> Thursday, 05 - 13

0300405 --> Thursday, 05 - 05

0300406 --> Thursday, 05 - 25

0300407 --> Thursday, 05 - 10

0300408 --> Thursday, 05 - 29

0300409 --> Thursday, 05 - 21

0300410 --> Thursday, 05 - 06

0300411 --> Thursday, 05 - 26

0300412 --> Thursday, 05 - 17

0300413 --> Thursday, 05 - 09

0300414 --> Thursday, 05 - 22

0300415 --> Thursday, 05 - 14

0300416 --> Thursday, 05 - 05

0300417 --> Thursday, 05 - 25

0300418 --> Thursday, 05 - 10

0300419 --> Thursday, 05 - 30

0300420 --> Thursday, 05 - 21

0300421 --> Thursday, 05 - 06

0300422 --> Thursday, 05 - 26

0300423 --> Thursday, 05 - 18

0300424 --> Thursday, 05 - 02

0300425 --> Thursday, 05 - 22

0300426 --> Thursday, 05 - 14

0300427 --> Thursday, 06 - 03

0300428 --> Thursday, 05 - 18

0300429 --> Thursday, 05 - 10
