Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2420000 through 2429999



2420000 --> Thursday, 05 - 18

2420001 --> Thursday, 05 - 03

2420002 --> Thursday, 05 - 23

2420003 --> Thursday, 05 - 15

2420004 --> Thursday, 06 - 03

2420005 --> Thursday, 05 - 19

2420006 --> Thursday, 05 - 11

2420007 --> Thursday, 05 - 31

2420008 --> Thursday, 05 - 15

2420009 --> Thursday, 05 - 07

2420010 --> Thursday, 05 - 27

2420011 --> Thursday, 05 - 12

2420012 --> Thursday, 05 - 03

2420013 --> Thursday, 05 - 23

2420014 --> Thursday, 05 - 08

2420015 --> Thursday, 05 - 28

2420016 --> Thursday, 05 - 19

2420017 --> Thursday, 05 - 11

2420018 --> Thursday, 05 - 24

2420019 --> Thursday, 05 - 16

2420020 --> Thursday, 05 - 07

2420021 --> Thursday, 05 - 27

2420022 --> Thursday, 05 - 12

2420023 --> Thursday, 06 - 01

2420024 --> Thursday, 05 - 23

2420025 --> Thursday, 05 - 08

2420026 --> Thursday, 05 - 28

2420027 --> Thursday, 05 - 20

2420028 --> Thursday, 05 - 04

2420029 --> Thursday, 05 - 24

2420030 --> Thursday, 05 - 16

2420031 --> Thursday, 05 - 01

2420032 --> Thursday, 05 - 20

2420033 --> Thursday, 05 - 12

2420034 --> Thursday, 06 - 01

2420035 --> Thursday, 05 - 17

2420036 --> Thursday, 05 - 08

2420037 --> Thursday, 05 - 28

2420038 --> Thursday, 05 - 13

2420039 --> Thursday, 05 - 05

2420040 --> Thursday, 05 - 24

2420041 --> Thursday, 05 - 16

2420042 --> Thursday, 05 - 29

2420043 --> Thursday, 05 - 21

2420044 --> Thursday, 05 - 12

2420045 --> Thursday, 06 - 01

2420046 --> Thursday, 05 - 17

2420047 --> Thursday, 05 - 09

2420048 --> Thursday, 05 - 28

2420049 --> Thursday, 05 - 13

2420050 --> Thursday, 05 - 05

2420051 --> Thursday, 05 - 25

2420052 --> Thursday, 05 - 09

2420053 --> Thursday, 05 - 29

2420054 --> Thursday, 05 - 21

2420055 --> Thursday, 05 - 06

2420056 --> Thursday, 05 - 25

2420057 --> Thursday, 05 - 17

2420058 --> Thursday, 05 - 02

2420059 --> Thursday, 05 - 22

2420060 --> Thursday, 05 - 13

2420061 --> Thursday, 06 - 02

2420062 --> Thursday, 05 - 18

2420063 --> Thursday, 05 - 10

2420064 --> Thursday, 05 - 29

2420065 --> Thursday, 05 - 21

2420066 --> Thursday, 05 - 06

2420067 --> Thursday, 05 - 26

2420068 --> Thursday, 05 - 17

2420069 --> Thursday, 05 - 02

2420070 --> Thursday, 05 - 22

2420071 --> Thursday, 05 - 14

2420072 --> Thursday, 06 - 02

2420073 --> Thursday, 05 - 18

2420074 --> Thursday, 05 - 10

2420075 --> Thursday, 05 - 30

2420076 --> Thursday, 05 - 14

2420077 --> Thursday, 05 - 06

2420078 --> Thursday, 05 - 26

2420079 --> Thursday, 05 - 11

2420080 --> Thursday, 05 - 30

2420081 --> Thursday, 05 - 22

2420082 --> Thursday, 05 - 07

2420083 --> Thursday, 05 - 27

2420084 --> Thursday, 05 - 18

2420085 --> Thursday, 05 - 10

2420086 --> Thursday, 05 - 23

2420087 --> Thursday, 05 - 15

2420088 --> Thursday, 05 - 06

2420089 --> Thursday, 05 - 19

2420090 --> Thursday, 05 - 11

2420091 --> Thursday, 05 - 31

2420092 --> Thursday, 05 - 22

2420093 --> Thursday, 05 - 07

2420094 --> Thursday, 05 - 27

2420095 --> Thursday, 05 - 19

2420096 --> Thursday, 05 - 03

2420097 --> Thursday, 05 - 23

2420098 --> Thursday, 05 - 15

2420099 --> Thursday, 05 - 28

2420100 --> Thursday, 05 - 20

2420101 --> Thursday, 05 - 12

2420102 --> Thursday, 06 - 01

2420103 --> Thursday, 05 - 17

2420104 --> Thursday, 05 - 08

2420105 --> Thursday, 05 - 28

2420106 --> Thursday, 05 - 13

2420107 --> Thursday, 05 - 05

2420108 --> Thursday, 05 - 24

2420109 --> Thursday, 05 - 09

2420110 --> Thursday, 05 - 29

2420111 --> Thursday, 05 - 21

2420112 --> Thursday, 05 - 12

2420113 --> Thursday, 05 - 25

2420114 --> Thursday, 05 - 17

2420115 --> Thursday, 05 - 09

2420116 --> Thursday, 05 - 28

2420117 --> Thursday, 05 - 13

2420118 --> Thursday, 05 - 05

2420119 --> Thursday, 05 - 25

2420120 --> Thursday, 05 - 09

2420121 --> Thursday, 05 - 29

2420122 --> Thursday, 05 - 21

2420123 --> Thursday, 05 - 06

2420124 --> Thursday, 05 - 25

2420125 --> Thursday, 05 - 17

2420126 --> Thursday, 05 - 02

2420127 --> Thursday, 05 - 22

2420128 --> Thursday, 05 - 13

2420129 --> Thursday, 06 - 02

2420130 --> Thursday, 05 - 18

2420131 --> Thursday, 05 - 10

2420132 --> Thursday, 05 - 29

2420133 --> Thursday, 05 - 14

2420134 --> Thursday, 05 - 06

2420135 --> Thursday, 05 - 26

2420136 --> Thursday, 05 - 17

