Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3640000 through 3649999



3640000 --> Thursday, 05 - 25

3640001 --> Thursday, 05 - 10

3640002 --> Thursday, 05 - 30

3640003 --> Thursday, 05 - 15

3640004 --> Thursday, 05 - 06

3640005 --> Thursday, 05 - 26

3640006 --> Thursday, 05 - 18

3640007 --> Thursday, 05 - 03

3640008 --> Thursday, 05 - 22

3640009 --> Thursday, 05 - 14

3640010 --> Thursday, 06 - 03

3640011 --> Thursday, 05 - 19

3640012 --> Thursday, 05 - 10

3640013 --> Thursday, 05 - 30

3640014 --> Thursday, 05 - 15

3640015 --> Thursday, 05 - 07

3640016 --> Thursday, 05 - 26

3640017 --> Thursday, 05 - 11

3640018 --> Thursday, 05 - 03

3640019 --> Thursday, 05 - 23

3640020 --> Thursday, 05 - 07

3640021 --> Thursday, 05 - 27

3640022 --> Thursday, 05 - 19

3640023 --> Thursday, 05 - 04

3640024 --> Thursday, 05 - 23

3640025 --> Thursday, 05 - 15

3640026 --> Thursday, 05 - 07

3640027 --> Thursday, 05 - 20

3640028 --> Thursday, 05 - 11

3640029 --> Thursday, 05 - 31

3640030 --> Thursday, 05 - 23

3640031 --> Thursday, 05 - 08

3640032 --> Thursday, 05 - 27

3640033 --> Thursday, 05 - 19

3640034 --> Thursday, 05 - 04

3640035 --> Thursday, 05 - 24

3640036 --> Thursday, 05 - 15

3640037 --> Thursday, 04 - 30

3640038 --> Thursday, 05 - 20

3640039 --> Thursday, 05 - 12

3640040 --> Thursday, 05 - 31

3640041 --> Thursday, 05 - 16

3640042 --> Thursday, 05 - 08

3640043 --> Thursday, 05 - 28

3640044 --> Thursday, 05 - 12

3640045 --> Thursday, 05 - 04

3640046 --> Thursday, 05 - 24

3640047 --> Thursday, 05 - 09

3640048 --> Thursday, 05 - 28

3640049 --> Thursday, 05 - 20

3640050 --> Thursday, 05 - 12

3640051 --> Thursday, 05 - 25

3640052 --> Thursday, 05 - 16

3640053 --> Thursday, 05 - 08

3640054 --> Thursday, 05 - 28

3640055 --> Thursday, 05 - 13

3640056 --> Thursday, 05 - 04

3640057 --> Thursday, 05 - 24

3640058 --> Thursday, 05 - 09

3640059 --> Thursday, 05 - 29

3640060 --> Thursday, 05 - 20

3640061 --> Thursday, 05 - 05

3640062 --> Thursday, 05 - 25

3640063 --> Thursday, 05 - 17

3640064 --> Thursday, 05 - 01

3640065 --> Thursday, 05 - 21

3640066 --> Thursday, 05 - 13

3640067 --> Thursday, 06 - 02

3640068 --> Thursday, 05 - 17

3640069 --> Thursday, 05 - 09

3640070 --> Thursday, 05 - 29

3640071 --> Thursday, 05 - 14

3640072 --> Thursday, 05 - 05

3640073 --> Thursday, 05 - 25

3640074 --> Thursday, 05 - 17

3640075 --> Thursday, 05 - 02

3640076 --> Thursday, 05 - 21

3640077 --> Thursday, 05 - 13

3640078 --> Thursday, 05 - 26

3640079 --> Thursday, 05 - 18

3640080 --> Thursday, 05 - 09

3640081 --> Thursday, 05 - 29

3640082 --> Thursday, 05 - 14

3640083 --> Thursday, 05 - 06

3640084 --> Thursday, 05 - 25

3640085 --> Thursday, 05 - 10

3640086 --> Thursday, 05 - 30

3640087 --> Thursday, 05 - 22

3640088 --> Thursday, 05 - 06

3640089 --> Thursday, 05 - 26

3640090 --> Thursday, 05 - 18

3640091 --> Thursday, 05 - 03

3640092 --> Thursday, 05 - 22

3640093 --> Thursday, 05 - 14

3640094 --> Thursday, 05 - 06

3640095 --> Thursday, 05 - 19

3640096 --> Thursday, 05 - 10

3640097 --> Thursday, 05 - 30

3640098 --> Thursday, 05 - 15

3640099 --> Thursday, 05 - 07

3640100 --> Thursday, 05 - 27

3640101 --> Thursday, 05 - 19

3640102 --> Thursday, 05 - 04

3640103 --> Thursday, 05 - 24

3640104 --> Thursday, 05 - 15

3640105 --> Thursday, 05 - 28

3640106 --> Thursday, 05 - 20

3640107 --> Thursday, 05 - 12

3640108 --> Thursday, 05 - 31

3640109 --> Thursday, 05 - 16

3640110 --> Thursday, 05 - 08

3640111 --> Thursday, 05 - 28

3640112 --> Thursday, 05 - 12

3640113 --> Thursday, 05 - 04

3640114 --> Thursday, 05 - 24

3640115 --> Thursday, 05 - 09

3640116 --> Thursday, 05 - 28

3640117 --> Thursday, 05 - 20

3640118 --> Thursday, 05 - 05

3640119 --> Thursday, 05 - 25

3640120 --> Thursday, 05 - 16

3640121 --> Thursday, 05 - 08

3640122 --> Thursday, 05 - 21

3640123 --> Thursday, 05 - 13

3640124 --> Thursday, 06 - 01

3640125 --> Thursday, 05 - 24

3640126 --> Thursday, 05 - 09

3640127 --> Thursday, 05 - 29

3640128 --> Thursday, 05 - 20

3640129 --> Thursday, 05 - 05

3640130 --> Thursday, 05 - 25

3640131 --> Thursday, 05 - 17

3640132 --> Thursday, 05 - 01

3640133 --> Thursday, 05 - 21

3640134 --> Thursday, 05 - 13

3640135 --> Thursday, 06 - 02

3640136 --> Thursday, 05 - 17

3640137 --> Thursday, 05 - 09

3640138 --> Thursday, 05 - 29

3640139 --> Thursday, 05 - 14

3640140 --> Thursday, 05 - 05

3640141 --> Thursday, 05 - 25

3640142 --> Thursday, 05 - 10

3640143 --> Thursday, 05 - 30

3640144 --> Thursday, 05 - 21

3640145 --> Thursday, 05 - 13

3640146 --> Thursday, 05 - 26

3640147 --> Thursday, 05 - 18

3640148 --> Thursday, 05 - 09

3640149 --> Thursday, 05 - 29

3640150 --> Thursday, 05 - 14

3640151 --> Thursday, 05 - 06

3640152 --> Thursday, 05 - 25

3640153 --> Thursday, 05 - 10

3640154 --> Thursday, 05 - 30

3640155 --> Thursday, 05 - 22

3640156 --> Thursday, 05 - 06

3640157 --> Thursday, 05 - 26

3640158 --> Thursday, 05 - 18

3640159 --> Thursday, 05 - 03

3640160 --> Thursday, 05 - 22

3640161 --> Thursday, 05 - 14

3640162 --> Thursday, 06 - 03

3640163 --> Thursday, 05 - 19

3640164 --> Thursday, 05 - 10

3640165 --> Thursday, 05 - 30

3640166 --> Thursday, 05 - 15

3640167 --> Thursday, 05 - 07

3640168 --> Thursday, 05 - 26

3640169 --> Thursday, 05 - 18

3640170 --> Thursday, 05 - 03

3640171 --> Thursday, 05 - 23

3640172 --> Thursday, 05 - 14

3640173 --> Thursday, 05 - 27

3640174 --> Thursday, 05 - 19

3640175 --> Thursday, 05 - 11

3640176 --> Thursday, 05 - 30

3640177 --> Thursday, 05 - 15

3640178 --> Thursday, 05 - 07

3640179 --> Thursday, 05 - 27

3640180 --> Thursday, 05 - 11

3640181 --> Thursday, 05 - 31

3640182 --> Thursday, 05 - 23

3640183 --> Thursday, 05 - 08

3640184 --> Thursday, 05 - 27

3640185 --> Thursday, 05 - 19

3640186 --> Thursday, 05 - 04

3640187 --> Thursday, 05 - 24

3640188 --> Thursday, 05 - 15

3640189 --> Thursday, 05 - 07

3640190 --> Thursday, 05 - 20

3640191 --> Thursday, 05 - 12

3640192 --> Thursday, 05 - 31

3640193 --> Thursday, 05 - 16

3640194 --> Thursday, 05 - 08

3640195 --> Thursday, 05 - 28

3640196 --> Thursday, 05 - 19

3640197 --> Thursday, 05 - 04

3640198 --> Thursday, 05 - 24

3640199 --> Thursday, 05 - 16

3640200 --> Thursday, 05 - 29

3640201 --> Thursday, 05 - 21

3640202 --> Thursday, 05 - 13

3640203 --> Thursday, 05 - 26

3640204 --> Thursday, 05 - 17

3640205 --> Thursday, 05 - 09

3640206 --> Thursday, 05 - 29

3640207 --> Thursday, 05 - 14

3640208 --> Thursday, 05 - 05

3640209 --> Thursday, 05 - 25

3640210 --> Thursday, 05 - 10

3640211 --> Thursday, 05 - 30

3640212 --> Thursday, 05 - 21

3640213 --> Thursday, 05 - 06

3640214 --> Thursday, 05 - 26

3640215 --> Thursday, 05 - 18

3640216 --> Thursday, 05 - 02

3640217 --> Thursday, 05 - 22

3640218 --> Thursday, 05 - 14

3640219 --> Thursday, 06 - 03

3640220 --> Thursday, 05 - 18

3640221 --> Thursday, 05 - 10

3640222 --> Thursday, 05 - 30

3640223 --> Thursday, 05 - 15

3640224 --> Thursday, 05 - 06

3640225 --> Thursday, 05 - 26

3640226 --> Thursday, 05 - 18

3640227 --> Thursday, 05 - 03

3640228 --> Thursday, 05 - 22

3640229 --> Thursday, 05 - 14

3640230 --> Thursday, 05 - 27

3640231 --> Thursday, 05 - 19

3640232 --> Thursday, 05 - 10

3640233 --> Thursday, 05 - 30

3640234 --> Thursday, 05 - 15

3640235 --> Thursday, 05 - 07

3640236 --> Thursday, 05 - 26

3640237 --> Thursday, 05 - 11

3640238 --> Thursday, 05 - 31

3640239 --> Thursday, 05 - 23

3640240 --> Thursday, 05 - 07

