Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3240000 through 3249999



3240000 --> Thursday, 05 - 25

3240001 --> Thursday, 05 - 10

3240002 --> Thursday, 05 - 30

3240003 --> Thursday, 05 - 22

3240004 --> Thursday, 05 - 13

3240005 --> Thursday, 05 - 26

3240006 --> Thursday, 05 - 18

3240007 --> Thursday, 05 - 10

3240008 --> Thursday, 05 - 29

3240009 --> Thursday, 05 - 14

3240010 --> Thursday, 05 - 06

3240011 --> Thursday, 05 - 26

3240012 --> Thursday, 05 - 10

3240013 --> Thursday, 05 - 30

3240014 --> Thursday, 05 - 22

3240015 --> Thursday, 05 - 07

3240016 --> Thursday, 05 - 26

3240017 --> Thursday, 05 - 18

3240018 --> Thursday, 05 - 03

3240019 --> Thursday, 05 - 23

3240020 --> Thursday, 05 - 14

3240021 --> Thursday, 06 - 03

3240022 --> Thursday, 05 - 19

3240023 --> Thursday, 05 - 11

3240024 --> Thursday, 05 - 30

3240025 --> Thursday, 05 - 15

3240026 --> Thursday, 05 - 07

3240027 --> Thursday, 05 - 27

3240028 --> Thursday, 05 - 18

3240029 --> Thursday, 05 - 03

3240030 --> Thursday, 05 - 23

3240031 --> Thursday, 05 - 15

3240032 --> Thursday, 05 - 27

3240033 --> Thursday, 05 - 19

3240034 --> Thursday, 05 - 11

3240035 --> Thursday, 05 - 24

3240036 --> Thursday, 05 - 15

3240037 --> Thursday, 05 - 07

3240038 --> Thursday, 05 - 27

3240039 --> Thursday, 05 - 12

3240040 --> Thursday, 05 - 31

3240041 --> Thursday, 05 - 23

3240042 --> Thursday, 05 - 08

3240043 --> Thursday, 05 - 28

3240044 --> Thursday, 05 - 19

3240045 --> Thursday, 05 - 04

3240046 --> Thursday, 05 - 24

3240047 --> Thursday, 05 - 16

3240048 --> Thursday, 05 - 07

3240049 --> Thursday, 05 - 20

3240050 --> Thursday, 05 - 12

3240051 --> Thursday, 06 - 01

3240052 --> Thursday, 05 - 16

3240053 --> Thursday, 05 - 08

3240054 --> Thursday, 05 - 28

3240055 --> Thursday, 05 - 13

3240056 --> Thursday, 05 - 04

3240057 --> Thursday, 05 - 24

3240058 --> Thursday, 05 - 16

3240059 --> Thursday, 05 - 29

3240060 --> Thursday, 05 - 20

3240061 --> Thursday, 05 - 12

3240062 --> Thursday, 06 - 01

3240063 --> Thursday, 05 - 17

3240064 --> Thursday, 05 - 08

3240065 --> Thursday, 05 - 28

3240066 --> Thursday, 05 - 13

3240067 --> Thursday, 05 - 05

3240068 --> Thursday, 05 - 24

3240069 --> Thursday, 05 - 09

3240070 --> Thursday, 05 - 29

3240071 --> Thursday, 05 - 21

3240072 --> Thursday, 05 - 05

3240073 --> Thursday, 05 - 25

3240074 --> Thursday, 05 - 17

3240075 --> Thursday, 05 - 02

