Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2030000 through 2039999



2030000 --> Thursday, 05 - 25

2030001 --> Thursday, 05 - 17

2030002 --> Thursday, 05 - 02

2030003 --> Thursday, 05 - 22

2030004 --> Thursday, 05 - 13

2030005 --> Thursday, 06 - 02

2030006 --> Thursday, 05 - 18

2030007 --> Thursday, 05 - 10

2030008 --> Thursday, 05 - 29

2030009 --> Thursday, 05 - 14

2030010 --> Thursday, 05 - 06

2030011 --> Thursday, 05 - 26

2030012 --> Thursday, 05 - 10

2030013 --> Thursday, 05 - 30

2030014 --> Thursday, 05 - 22

2030015 --> Thursday, 05 - 07

2030016 --> Thursday, 05 - 26

2030017 --> Thursday, 05 - 18

2030018 --> Thursday, 05 - 03

2030019 --> Thursday, 05 - 23

2030020 --> Thursday, 05 - 14

2030021 --> Thursday, 05 - 06

2030022 --> Thursday, 05 - 19

2030023 --> Thursday, 05 - 11

2030024 --> Thursday, 05 - 30

2030025 --> Thursday, 05 - 22

2030026 --> Thursday, 05 - 07

2030027 --> Thursday, 05 - 27

2030028 --> Thursday, 05 - 18

2030029 --> Thursday, 05 - 03

2030030 --> Thursday, 05 - 23

2030031 --> Thursday, 05 - 15

2030032 --> Thursday, 06 - 03

2030033 --> Thursday, 05 - 19

2030034 --> Thursday, 05 - 11

2030035 --> Thursday, 05 - 31

2030036 --> Thursday, 05 - 15

2030037 --> Thursday, 05 - 07

2030038 --> Thursday, 05 - 27

2030039 --> Thursday, 05 - 12

2030040 --> Thursday, 05 - 03

2030041 --> Thursday, 05 - 23

2030042 --> Thursday, 05 - 08

2030043 --> Thursday, 05 - 28

2030044 --> Thursday, 05 - 19

2030045 --> Thursday, 05 - 11

2030046 --> Thursday, 05 - 24

2030047 --> Thursday, 05 - 16

2030048 --> Thursday, 05 - 07

2030049 --> Thursday, 05 - 27

2030050 --> Thursday, 05 - 12

2030051 --> Thursday, 06 - 01

2030052 --> Thursday, 05 - 23

2030053 --> Thursday, 05 - 08

2030054 --> Thursday, 05 - 28

2030055 --> Thursday, 05 - 20

2030056 --> Thursday, 05 - 04

2030057 --> Thursday, 05 - 24

2030058 --> Thursday, 05 - 16

2030059 --> Thursday, 05 - 01

2030060 --> Thursday, 05 - 20

2030061 --> Thursday, 05 - 12

2030062 --> Thursday, 06 - 01

2030063 --> Thursday, 05 - 17

2030064 --> Thursday, 05 - 08

2030065 --> Thursday, 05 - 28

2030066 --> Thursday, 05 - 13

2030067 --> Thursday, 05 - 05

2030068 --> Thursday, 05 - 24

2030069 --> Thursday, 05 - 16

2030070 --> Thursday, 05 - 29

2030071 --> Thursday, 05 - 21

2030072 --> Thursday, 05 - 12

2030073 --> Thursday, 06 - 01

2030074 --> Thursday, 05 - 17

2030075 --> Thursday, 05 - 09

2030076 --> Thursday, 05 - 28

2030077 --> Thursday, 05 - 13

2030078 --> Thursday, 05 - 05

2030079 --> Thursday, 05 - 25

2030080 --> Thursday, 05 - 09

2030081 --> Thursday, 05 - 29

2030082 --> Thursday, 05 - 21

2030083 --> Thursday, 05 - 06

2030084 --> Thursday, 05 - 25

2030085 --> Thursday, 05 - 17

2030086 --> Thursday, 05 - 02

2030087 --> Thursday, 05 - 22

2030088 --> Thursday, 05 - 13

2030089 --> Thursday, 06 - 02

2030090 --> Thursday, 05 - 18

2030091 --> Thursday, 05 - 10

2030092 --> Thursday, 05 - 29

2030093 --> Thursday, 05 - 14

2030094 --> Thursday, 05 - 06

2030095 --> Thursday, 05 - 26

2030096 --> Thursday, 05 - 17

2030097 --> Thursday, 05 - 02

2030098 --> Thursday, 05 - 22

2030099 --> Thursday, 05 - 14

2030100 --> Thursday, 06 - 03

2030101 --> Thursday, 05 - 19

2030102 --> Thursday, 05 - 11

2030103 --> Thursday, 05 - 31

2030104 --> Thursday, 05 - 15

2030105 --> Thursday, 05 - 07

2030106 --> Thursday, 05 - 27

2030107 --> Thursday, 05 - 12

2030108 --> Thursday, 05 - 03

2030109 --> Thursday, 05 - 23

2030110 --> Thursday, 05 - 08

2030111 --> Thursday, 05 - 28

2030112 --> Thursday, 05 - 19

2030113 --> Thursday, 05 - 04

2030114 --> Thursday, 05 - 24

2030115 --> Thursday, 05 - 16

2030116 --> Thursday, 05 - 07

2030117 --> Thursday, 05 - 20

2030118 --> Thursday, 05 - 12

2030119 --> Thursday, 06 - 01

2030120 --> Thursday, 05 - 23

2030121 --> Thursday, 05 - 08

2030122 --> Thursday, 05 - 28

2030123 --> Thursday, 05 - 20

2030124 --> Thursday, 05 - 04

2030125 --> Thursday, 05 - 24

2030126 --> Thursday, 05 - 16

2030127 --> Thursday, 05 - 01

2030128 --> Thursday, 05 - 20

2030129 --> Thursday, 05 - 12

2030130 --> Thursday, 06 - 01

2030131 --> Thursday, 05 - 17

2030132 --> Thursday, 05 - 08

2030133 --> Thursday, 05 - 28

2030134 --> Thursday, 05 - 13

2030135 --> Thursday, 05 - 05

2030136 --> Thursday, 05 - 24

2030137 --> Thursday, 05 - 09

2030138 --> Thursday, 05 - 29

2030139 --> Thursday, 05 - 21

2030140 --> Thursday, 05 - 12

2030141 --> Thursday, 05 - 25

2030142 --> Thursday, 05 - 17

2030143 --> Thursday, 05 - 09

2030144 --> Thursday, 05 - 28

2030145 --> Thursday, 05 - 13

2030146 --> Thursday, 05 - 05

2030147 --> Thursday, 05 - 25

2030148 --> Thursday, 05 - 09

2030149 --> Thursday, 05 - 29

2030150 --> Thursday, 05 - 21

2030151 --> Thursday, 05 - 06

2030152 --> Thursday, 05 - 25

2030153 --> Thursday, 05 - 17

2030154 --> Thursday, 05 - 02

2030155 --> Thursday, 05 - 22

2030156 --> Thursday, 05 - 13

2030157 --> Thursday, 06 - 02

2030158 --> Thursday, 05 - 18

2030159 --> Thursday, 05 - 10

2030160 --> Thursday, 05 - 29

2030161 --> Thursday, 05 - 14

2030162 --> Thursday, 05 - 06

2030163 --> Thursday, 05 - 26

2030164 --> Thursday, 05 - 17

2030165 --> Thursday, 05 - 02

2030166 --> Thursday, 05 - 22

2030167 --> Thursday, 05 - 14

2030168 --> Thursday, 06 - 02

2030169 --> Thursday, 05 - 18

2030170 --> Thursday, 05 - 10

2030171 --> Thursday, 05 - 23

2030172 --> Thursday, 05 - 14

2030173 --> Thursday, 05 - 06

2030174 --> Thursday, 05 - 26

2030175 --> Thursday, 05 - 11

2030176 --> Thursday, 05 - 30

2030177 --> Thursday, 05 - 22

2030178 --> Thursday, 05 - 07

2030179 --> Thursday, 05 - 27

2030180 --> Thursday, 05 - 18

2030181 --> Thursday, 05 - 03

2030182 --> Thursday, 05 - 23

2030183 --> Thursday, 05 - 15

2030184 --> Thursday, 05 - 06

2030185 --> Thursday, 05 - 19

2030186 --> Thursday, 05 - 11

2030187 --> Thursday, 05 - 31

2030188 --> Thursday, 05 - 15

2030189 --> Thursday, 05 - 07

2030190 --> Thursday, 05 - 27

2030191 --> Thursday, 05 - 12

2030192 --> Thursday, 05 - 03

2030193 --> Thursday, 05 - 23

2030194 --> Thursday, 05 - 15

2030195 --> Thursday, 05 - 28

2030196 --> Thursday, 05 - 19

2030197 --> Thursday, 05 - 11

2030198 --> Thursday, 05 - 31

2030199 --> Thursday, 05 - 16

2030200 --> Thursday, 05 - 08

2030201 --> Thursday, 05 - 28

2030202 --> Thursday, 05 - 13

2030203 --> Thursday, 05 - 05

2030204 --> Thursday, 05 - 24

2030205 --> Thursday, 05 - 09

2030206 --> Thursday, 05 - 29

2030207 --> Thursday, 05 - 21

2030208 --> Thursday, 05 - 05

2030209 --> Thursday, 05 - 25

2030210 --> Thursday, 05 - 17

2030211 --> Thursday, 05 - 02

2030212 --> Thursday, 05 - 21

2030213 --> Thursday, 05 - 13

2030214 --> Thursday, 06 - 02

2030215 --> Thursday, 05 - 18

2030216 --> Thursday, 05 - 09

2030217 --> Thursday, 05 - 29

2030218 --> Thursday, 05 - 14

2030219 --> Thursday, 05 - 06

2030220 --> Thursday, 05 - 25

2030221 --> Thursday, 05 - 17

2030222 --> Thursday, 05 - 02

2030223 --> Thursday, 05 - 22

2030224 --> Thursday, 05 - 13

2030225 --> Thursday, 06 - 02

2030226 --> Thursday, 05 - 18

2030227 --> Thursday, 05 - 10

2030228 --> Thursday, 05 - 29

2030229 --> Thursday, 05 - 14

2030230 --> Thursday, 05 - 06

2030231 --> Thursday, 05 - 26

2030232 --> Thursday, 05 - 10

2030233 --> Thursday, 05 - 30

2030234 --> Thursday, 05 - 22

2030235 --> Thursday, 05 - 07

2030236 --> Thursday, 05 - 26

2030237 --> Thursday, 05 - 18

2030238 --> Thursday, 05 - 03

2030239 --> Thursday, 05 - 23

2030240 --> Thursday, 05 - 14

2030241 --> Thursday, 05 - 06

2030242 --> Thursday, 05 - 19

2030243 --> Thursday, 05 - 11

2030244 --> Thursday, 05 - 30

2030245 --> Thursday, 05 - 15

2030246 --> Thursday, 05 - 07

2030247 --> Thursday, 05 - 27

2030248 --> Thursday, 05 - 18

2030249 --> Thursday, 05 - 03

2030250 --> Thursday, 05 - 23

2030251 --> Thursday, 05 - 15

2030252 --> Thursday, 06 - 03

2030253 --> Thursday, 05 - 19

2030254 --> Thursday, 05 - 11

2030255 --> Thursday, 05 - 31

2030256 --> Thursday, 05 - 15

2030257 --> Thursday, 05 - 07

2030258 --> Thursday, 05 - 27

2030259 --> Thursday, 05 - 12

2030260 --> Thursday, 05 - 03

2030261 --> Thursday, 05 - 23

2030262 --> Thursday, 05 - 08

2030263 --> Thursday, 05 - 28

2030264 --> Thursday, 05 - 19

2030265 --> Thursday, 05 - 04

2030266 --> Thursday, 05 - 24

2030267 --> Thursday, 05 - 16

2030268 --> Thursday, 05 - 07

2030269 --> Thursday, 05 - 20

2030270 --> Thursday, 05 - 12

2030271 --> Thursday, 06 - 01

2030272 --> Thursday, 05 - 23

2030273 --> Thursday, 05 - 08

2030274 --> Thursday, 05 - 28

2030275 --> Thursday, 05 - 20

2030276 --> Thursday, 05 - 04

2030277 --> Thursday, 05 - 24

2030278 --> Thursday, 05 - 16

2030279 --> Thursday, 05 - 01

2030280 --> Thursday, 05 - 20

2030281 --> Thursday, 05 - 12

2030282 --> Thursday, 06 - 01

2030283 --> Thursday, 05 - 17

2030284 --> Thursday, 05 - 08

2030285 --> Thursday, 05 - 28

2030286 --> Thursday, 05 - 13

2030287 --> Thursday, 05 - 05

2030288 --> Thursday, 05 - 24

2030289 --> Thursday, 05 - 09

2030290 --> Thursday, 05 - 29

2030291 --> Thursday, 05 - 21

2030292 --> Thursday, 05 - 12

2030293 --> Thursday, 05 - 25

2030294 --> Thursday, 05 - 17

2030295 --> Thursday, 05 - 09

2030296 --> Thursday, 05 - 28

2030297 --> Thursday, 05 - 13

2030298 --> Thursday, 05 - 05

2030299 --> Thursday, 05 - 25

2030300 --> Thursday, 05 - 10

2030301 --> Thursday, 05 - 30

2030302 --> Thursday, 05 - 22

2030303 --> Thursday, 05 - 07

2030304 --> Thursday, 05 - 26

2030305 --> Thursday, 05 - 18

2030306 --> Thursday, 05 - 03

2030307 --> Thursday, 05 - 23

2030308 --> Thursday, 05 - 14

2030309 --> Thursday, 06 - 03

2030310 --> Thursday, 05 - 19

2030311 --> Thursday, 05 - 11

2030312 --> Thursday, 05 - 30

2030313 --> Thursday, 05 - 15

2030314 --> Thursday, 05 - 07

2030315 --> Thursday, 05 - 27

2030316 --> Thursday, 05 - 18

2030317 --> Thursday, 05 - 03

2030318 --> Thursday, 05 - 23

2030319 --> Thursday, 05 - 15

2030320 --> Thursday, 05 - 27

2030321 --> Thursday, 05 - 19

2030322 --> Thursday, 05 - 11

2030323 --> Thursday, 05 - 24

2030324 --> Thursday, 05 - 15

