Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 0070000 through 0079999



0070000 --> Thursday, 05 - 04

0070001 --> Thursday, 05 - 24

0070002 --> Thursday, 05 - 16

0070003 --> Thursday, 05 - 29

0070004 --> Thursday, 05 - 20

0070005 --> Thursday, 05 - 12

0070006 --> Thursday, 06 - 01

0070007 --> Thursday, 05 - 17

0070008 --> Thursday, 05 - 08

0070009 --> Thursday, 05 - 28

0070010 --> Thursday, 05 - 13

0070011 --> Thursday, 05 - 05

0070012 --> Thursday, 05 - 24

0070013 --> Thursday, 05 - 09

0070014 --> Thursday, 05 - 29

0070015 --> Thursday, 05 - 21

0070016 --> Thursday, 05 - 05

0070017 --> Thursday, 05 - 25

0070018 --> Thursday, 05 - 17

0070019 --> Thursday, 05 - 02

0070020 --> Thursday, 05 - 21

0070021 --> Thursday, 05 - 13

0070022 --> Thursday, 06 - 02

0070023 --> Thursday, 05 - 18

0070024 --> Thursday, 05 - 09

0070025 --> Thursday, 05 - 29

0070026 --> Thursday, 05 - 21

0070027 --> Thursday, 05 - 06

0070028 --> Thursday, 05 - 25

0070029 --> Thursday, 05 - 17

0070030 --> Thursday, 05 - 02

0070031 --> Thursday, 05 - 22

0070032 --> Thursday, 05 - 13

0070033 --> Thursday, 06 - 02

0070034 --> Thursday, 05 - 18

0070035 --> Thursday, 05 - 10

0070036 --> Thursday, 05 - 29

0070037 --> Thursday, 05 - 14

0070038 --> Thursday, 05 - 06

0070039 --> Thursday, 05 - 26

0070040 --> Thursday, 05 - 10

0070041 --> Thursday, 05 - 30

0070042 --> Thursday, 05 - 22

0070043 --> Thursday, 05 - 07

0070044 --> Thursday, 05 - 26

0070045 --> Thursday, 05 - 18

0070046 --> Thursday, 05 - 10

0070047 --> Thursday, 05 - 23

0070048 --> Thursday, 05 - 14

0070049 --> Thursday, 05 - 06

0070050 --> Thursday, 05 - 26

0070051 --> Thursday, 05 - 11

0070052 --> Thursday, 05 - 30

0070053 --> Thursday, 05 - 22

0070054 --> Thursday, 05 - 07

0070055 --> Thursday, 05 - 27

0070056 --> Thursday, 05 - 18

0070057 --> Thursday, 05 - 03

0070058 --> Thursday, 05 - 23

0070059 --> Thursday, 05 - 15

0070060 --> Thursday, 06 - 03

0070061 --> Thursday, 05 - 19

0070062 --> Thursday, 05 - 11

0070063 --> Thursday, 05 - 31

0070064 --> Thursday, 05 - 15

0070065 --> Thursday, 05 - 07

0070066 --> Thursday, 05 - 27

0070067 --> Thursday, 05 - 12

0070068 --> Thursday, 05 - 03

0070069 --> Thursday, 05 - 23

0070070 --> Thursday, 05 - 15

0070071 --> Thursday, 05 - 28

0070072 --> Thursday, 05 - 19

0070073 --> Thursday, 05 - 11

0070074 --> Thursday, 05 - 24

0070075 --> Thursday, 05 - 16

0070076 --> Thursday, 05 - 07

0070077 --> Thursday, 05 - 27

0070078 --> Thursday, 05 - 12

0070079 --> Thursday, 06 - 01

0070080 --> Thursday, 05 - 23

0070081 --> Thursday, 05 - 08

0070082 --> Thursday, 05 - 28

0070083 --> Thursday, 05 - 20

0070084 --> Thursday, 05 - 04

0070085 --> Thursday, 05 - 24

0070086 --> Thursday, 05 - 16

0070087 --> Thursday, 05 - 01

0070088 --> Thursday, 05 - 20

0070089 --> Thursday, 05 - 12

0070090 --> Thursday, 06 - 01

0070091 --> Thursday, 05 - 17

0070092 --> Thursday, 05 - 08

0070093 --> Thursday, 05 - 28

0070094 --> Thursday, 05 - 13

0070095 --> Thursday, 05 - 05

0070096 --> Thursday, 05 - 24

0070097 --> Thursday, 05 - 16

0070098 --> Thursday, 05 - 29

0070099 --> Thursday, 05 - 21

0070100 --> Thursday, 05 - 13

0070101 --> Thursday, 06 - 02

0070102 --> Thursday, 05 - 18

0070103 --> Thursday, 05 - 10

0070104 --> Thursday, 05 - 29

0070105 --> Thursday, 05 - 14

0070106 --> Thursday, 05 - 06

0070107 --> Thursday, 05 - 26

0070108 --> Thursday, 05 - 10

0070109 --> Thursday, 05 - 30

0070110 --> Thursday, 05 - 22

0070111 --> Thursday, 05 - 07

0070112 --> Thursday, 05 - 26

0070113 --> Thursday, 05 - 18

0070114 --> Thursday, 05 - 03

0070115 --> Thursday, 05 - 23

0070116 --> Thursday, 05 - 14

0070117 --> Thursday, 05 - 06

0070118 --> Thursday, 05 - 19

0070119 --> Thursday, 05 - 11

0070120 --> Thursday, 05 - 30

0070121 --> Thursday, 05 - 22

0070122 --> Thursday, 05 - 07

0070123 --> Thursday, 05 - 27

0070124 --> Thursday, 05 - 18

0070125 --> Thursday, 05 - 03

0070126 --> Thursday, 05 - 23

0070127 --> Thursday, 05 - 15

0070128 --> Thursday, 06 - 03

0070129 --> Thursday, 05 - 19

0070130 --> Thursday, 05 - 11

0070131 --> Thursday, 05 - 31

0070132 --> Thursday, 05 - 15

0070133 --> Thursday, 05 - 07

0070134 --> Thursday, 05 - 27

0070135 --> Thursday, 05 - 12

0070136 --> Thursday, 05 - 03

0070137 --> Thursday, 05 - 23

0070138 --> Thursday, 05 - 08

0070139 --> Thursday, 05 - 28

0070140 --> Thursday, 05 - 19

0070141 --> Thursday, 05 - 11

0070142 --> Thursday, 05 - 24

0070143 --> Thursday, 05 - 16

0070144 --> Thursday, 05 - 07

0070145 --> Thursday, 05 - 27

0070146 --> Thursday, 05 - 12
