Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 1070000 through 1079999



1070000 --> Thursday, 05 - 11

1070001 --> Thursday, 05 - 03

1070002 --> Thursday, 05 - 23

1070003 --> Thursday, 05 - 08

1070004 --> Thursday, 05 - 27

1070005 --> Thursday, 05 - 19

1070006 --> Thursday, 05 - 04

1070007 --> Thursday, 05 - 24

1070008 --> Thursday, 05 - 15

1070009 --> Thursday, 05 - 07

1070010 --> Thursday, 05 - 20

1070011 --> Thursday, 05 - 12

1070012 --> Thursday, 05 - 31

1070013 --> Thursday, 05 - 23

1070014 --> Thursday, 05 - 08

1070015 --> Thursday, 05 - 28

1070016 --> Thursday, 05 - 19

1070017 --> Thursday, 05 - 04

1070018 --> Thursday, 05 - 24

1070019 --> Thursday, 05 - 16

1070020 --> Thursday, 04 - 30

1070021 --> Thursday, 05 - 20

1070022 --> Thursday, 05 - 12

1070023 --> Thursday, 06 - 01

1070024 --> Thursday, 05 - 16

1070025 --> Thursday, 05 - 08

1070026 --> Thursday, 05 - 28

1070027 --> Thursday, 05 - 13

1070028 --> Thursday, 05 - 04

1070029 --> Thursday, 05 - 24

1070030 --> Thursday, 05 - 09

1070031 --> Thursday, 05 - 29

1070032 --> Thursday, 05 - 20

1070033 --> Thursday, 05 - 12

1070034 --> Thursday, 05 - 25

1070035 --> Thursday, 05 - 17

1070036 --> Thursday, 05 - 08

1070037 --> Thursday, 05 - 28

1070038 --> Thursday, 05 - 13

1070039 --> Thursday, 05 - 05

1070040 --> Thursday, 05 - 24

1070041 --> Thursday, 05 - 09

1070042 --> Thursday, 05 - 29

1070043 --> Thursday, 05 - 21

1070044 --> Thursday, 05 - 05

1070045 --> Thursday, 05 - 25

1070046 --> Thursday, 05 - 17

1070047 --> Thursday, 05 - 02

1070048 --> Thursday, 05 - 21

1070049 --> Thursday, 05 - 13

1070050 --> Thursday, 06 - 02

1070051 --> Thursday, 05 - 18

1070052 --> Thursday, 05 - 09

1070053 --> Thursday, 05 - 29

1070054 --> Thursday, 05 - 14

1070055 --> Thursday, 05 - 06

1070056 --> Thursday, 05 - 25

1070057 --> Thursday, 05 - 17

1070058 --> Thursday, 05 - 02

1070059 --> Thursday, 05 - 22

1070060 --> Thursday, 05 - 13

1070061 --> Thursday, 05 - 26

1070062 --> Thursday, 05 - 18

1070063 --> Thursday, 05 - 10

1070064 --> Thursday, 05 - 29

1070065 --> Thursday, 05 - 14

1070066 --> Thursday, 05 - 06

1070067 --> Thursday, 05 - 26

1070068 --> Thursday, 05 - 10

1070069 --> Thursday, 05 - 30

1070070 --> Thursday, 05 - 22

1070071 --> Thursday, 05 - 07

1070072 --> Thursday, 05 - 26

1070073 --> Thursday, 05 - 18

1070074 --> Thursday, 05 - 03

1070075 --> Thursday, 05 - 23

1070076 --> Thursday, 05 - 14

1070077 --> Thursday, 05 - 06

1070078 --> Thursday, 05 - 19

1070079 --> Thursday, 05 - 11

1070080 --> Thursday, 05 - 30

1070081 --> Thursday, 05 - 15

1070082 --> Thursday, 05 - 07

