Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 4660000 through 4669999



4660000 --> Thursday, 05 - 11

4660001 --> Thursday, 05 - 31

4660002 --> Thursday, 05 - 23

4660003 --> Thursday, 05 - 08

4660004 --> Thursday, 05 - 27

4660005 --> Thursday, 05 - 19

4660006 --> Thursday, 05 - 04

4660007 --> Thursday, 05 - 24

4660008 --> Thursday, 05 - 15

4660009 --> Thursday, 05 - 07

4660010 --> Thursday, 05 - 20

4660011 --> Thursday, 05 - 12

4660012 --> Thursday, 05 - 31

4660013 --> Thursday, 05 - 23

4660014 --> Thursday, 05 - 08

4660015 --> Thursday, 05 - 28

4660016 --> Thursday, 05 - 19

4660017 --> Thursday, 05 - 04

4660018 --> Thursday, 05 - 24

4660019 --> Thursday, 05 - 16

4660020 --> Thursday, 05 - 28

4660021 --> Thursday, 05 - 20

4660022 --> Thursday, 05 - 12

4660023 --> Thursday, 06 - 01

4660024 --> Thursday, 05 - 16

4660025 --> Thursday, 05 - 08

4660026 --> Thursday, 05 - 28

4660027 --> Thursday, 05 - 13

4660028 --> Thursday, 05 - 04

4660029 --> Thursday, 05 - 24

4660030 --> Thursday, 05 - 09

4660031 --> Thursday, 05 - 29

4660032 --> Thursday, 05 - 20

4660033 --> Thursday, 05 - 12

4660034 --> Thursday, 05 - 25

4660035 --> Thursday, 05 - 17

4660036 --> Thursday, 05 - 08

4660037 --> Thursday, 05 - 21

4660038 --> Thursday, 05 - 13

4660039 --> Thursday, 06 - 02

4660040 --> Thursday, 05 - 24

4660041 --> Thursday, 05 - 09

4660042 --> Thursday, 05 - 29

4660043 --> Thursday, 05 - 21

4660044 --> Thursday, 05 - 05

4660045 --> Thursday, 05 - 25

4660046 --> Thursday, 05 - 17

4660047 --> Thursday, 05 - 02

4660048 --> Thursday, 05 - 21

4660049 --> Thursday, 05 - 13

4660050 --> Thursday, 06 - 02

4660051 --> Thursday, 05 - 18

4660052 --> Thursday, 05 - 09

4660053 --> Thursday, 05 - 29

4660054 --> Thursday, 05 - 14

4660055 --> Thursday, 05 - 06

4660056 --> Thursday, 05 - 25

4660057 --> Thursday, 05 - 10

4660058 --> Thursday, 05 - 30

4660059 --> Thursday, 05 - 22

4660060 --> Thursday, 05 - 13

4660061 --> Thursday, 05 - 26

4660062 --> Thursday, 05 - 18

4660063 --> Thursday, 05 - 10

4660064 --> Thursday, 05 - 29

4660065 --> Thursday, 05 - 14

4660066 --> Thursday, 05 - 06

4660067 --> Thursday, 05 - 26

4660068 --> Thursday, 05 - 10

4660069 --> Thursday, 05 - 30

4660070 --> Thursday, 05 - 22

4660071 --> Thursday, 05 - 07

4660072 --> Thursday, 05 - 26

4660073 --> Thursday, 05 - 18

4660074 --> Thursday, 05 - 03

4660075 --> Thursday, 05 - 23

4660076 --> Thursday, 05 - 14

4660077 --> Thursday, 06 - 03

4660078 --> Thursday, 05 - 19

4660079 --> Thursday, 05 - 11

4660080 --> Thursday, 05 - 30

4660081 --> Thursday, 05 - 15

4660082 --> Thursday, 05 - 07

4660083 --> Thursday, 05 - 27

4660084 --> Thursday, 05 - 18

4660085 --> Thursday, 05 - 03

4660086 --> Thursday, 05 - 23

4660087 --> Thursday, 05 - 15

4660088 --> Thursday, 05 - 27

4660089 --> Thursday, 05 - 19

4660090 --> Thursday, 05 - 11

4660091 --> Thursday, 05 - 31

4660092 --> Thursday, 05 - 15

4660093 --> Thursday, 05 - 07

4660094 --> Thursday, 05 - 27

4660095 --> Thursday, 05 - 12

4660096 --> Thursday, 05 - 31

4660097 --> Thursday, 05 - 23

4660098 --> Thursday, 05 - 08

4660099 --> Thursday, 05 - 28

4660100 --> Thursday, 05 - 20

4660101 --> Thursday, 05 - 05

4660102 --> Thursday, 05 - 25

4660103 --> Thursday, 05 - 17

4660104 --> Thursday, 05 - 08

4660105 --> Thursday, 05 - 21

4660106 --> Thursday, 05 - 13

4660107 --> Thursday, 06 - 02

4660108 --> Thursday, 05 - 24

4660109 --> Thursday, 05 - 09

4660110 --> Thursday, 05 - 29

4660111 --> Thursday, 05 - 14

4660112 --> Thursday, 05 - 05

4660113 --> Thursday, 05 - 25

4660114 --> Thursday, 05 - 17

4660115 --> Thursday, 05 - 02

4660116 --> Thursday, 05 - 21

4660117 --> Thursday, 05 - 13

4660118 --> Thursday, 06 - 02

4660119 --> Thursday, 05 - 18

4660120 --> Thursday, 05 - 09

4660121 --> Thursday, 05 - 29

4660122 --> Thursday, 05 - 14

4660123 --> Thursday, 05 - 06

4660124 --> Thursday, 05 - 25

4660125 --> Thursday, 05 - 10

4660126 --> Thursday, 05 - 30

4660127 --> Thursday, 05 - 22

4660128 --> Thursday, 05 - 13

4660129 --> Thursday, 05 - 26

4660130 --> Thursday, 05 - 18

4660131 --> Thursday, 05 - 03

4660132 --> Thursday, 05 - 22

4660133 --> Thursday, 05 - 14

4660134 --> Thursday, 05 - 06

4660135 --> Thursday, 05 - 19

4660136 --> Thursday, 05 - 10

4660137 --> Thursday, 05 - 30

4660138 --> Thursday, 05 - 22

4660139 --> Thursday, 05 - 07

4660140 --> Thursday, 05 - 26

4660141 --> Thursday, 05 - 18

4660142 --> Thursday, 05 - 03

4660143 --> Thursday, 05 - 23

4660144 --> Thursday, 05 - 14

4660145 --> Thursday, 06 - 03

4660146 --> Thursday, 05 - 19

4660147 --> Thursday, 05 - 11

4660148 --> Thursday, 05 - 30

4660149 --> Thursday, 05 - 15

4660150 --> Thursday, 05 - 07

4660151 --> Thursday, 05 - 27

4660152 --> Thursday, 05 - 11

4660153 --> Thursday, 05 - 03

4660154 --> Thursday, 05 - 23

4660155 --> Thursday, 05 - 08

4660156 --> Thursday, 05 - 27

4660157 --> Thursday, 05 - 19

4660158 --> Thursday, 05 - 11

4660159 --> Thursday, 05 - 24

4660160 --> Thursday, 05 - 15

4660161 --> Thursday, 05 - 07

4660162 --> Thursday, 05 - 27

4660163 --> Thursday, 05 - 12

4660164 --> Thursday, 05 - 31

4660165 --> Thursday, 05 - 23

4660166 --> Thursday, 05 - 08

4660167 --> Thursday, 05 - 28

4660168 --> Thursday, 05 - 19

4660169 --> Thursday, 05 - 04

4660170 --> Thursday, 05 - 24

4660171 --> Thursday, 05 - 16

4660172 --> Thursday, 04 - 30

4660173 --> Thursday, 05 - 20

4660174 --> Thursday, 05 - 12

4660175 --> Thursday, 06 - 01

4660176 --> Thursday, 05 - 16

4660177 --> Thursday, 05 - 08

4660178 --> Thursday, 05 - 28

4660179 --> Thursday, 05 - 13

4660180 --> Thursday, 05 - 04

4660181 --> Thursday, 05 - 24

4660182 --> Thursday, 05 - 16

4660183 --> Thursday, 05 - 29

4660184 --> Thursday, 05 - 20

4660185 --> Thursday, 05 - 12

