Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 5110000 through 5119999



5110000 --> Thursday, 05 - 11

5110001 --> Thursday, 05 - 03

5110002 --> Thursday, 05 - 23

5110003 --> Thursday, 05 - 08

5110004 --> Thursday, 05 - 27

5110005 --> Thursday, 05 - 19

5110006 --> Thursday, 05 - 11

5110007 --> Thursday, 05 - 24

5110008 --> Thursday, 05 - 15

5110009 --> Thursday, 05 - 07

5110010 --> Thursday, 05 - 27

5110011 --> Thursday, 05 - 12

5110012 --> Thursday, 05 - 31

5110013 --> Thursday, 05 - 23

5110014 --> Thursday, 05 - 08

5110015 --> Thursday, 05 - 28

5110016 --> Thursday, 05 - 19

5110017 --> Thursday, 05 - 04

5110018 --> Thursday, 05 - 24

5110019 --> Thursday, 05 - 16

5110020 --> Thursday, 04 - 30

5110021 --> Thursday, 05 - 20

5110022 --> Thursday, 05 - 12

5110023 --> Thursday, 06 - 01

5110024 --> Thursday, 05 - 16

5110025 --> Thursday, 05 - 08

5110026 --> Thursday, 05 - 28

5110027 --> Thursday, 05 - 13

5110028 --> Thursday, 05 - 04

5110029 --> Thursday, 05 - 24

5110030 --> Thursday, 05 - 16

5110031 --> Thursday, 05 - 29

5110032 --> Thursday, 05 - 20

5110033 --> Thursday, 05 - 12

5110034 --> Thursday, 05 - 25

5110035 --> Thursday, 05 - 17

5110036 --> Thursday, 05 - 08

5110037 --> Thursday, 05 - 28

5110038 --> Thursday, 05 - 13

5110039 --> Thursday, 05 - 05

5110040 --> Thursday, 05 - 24

5110041 --> Thursday, 05 - 09

5110042 --> Thursday, 05 - 29

5110043 --> Thursday, 05 - 21

5110044 --> Thursday, 05 - 05

5110045 --> Thursday, 05 - 25

5110046 --> Thursday, 05 - 17

5110047 --> Thursday, 05 - 02

5110048 --> Thursday, 05 - 21

5110049 --> Thursday, 05 - 13

5110050 --> Thursday, 06 - 02

5110051 --> Thursday, 05 - 18

5110052 --> Thursday, 05 - 09

5110053 --> Thursday, 05 - 29

5110054 --> Thursday, 05 - 14

5110055 --> Thursday, 05 - 06

5110056 --> Thursday, 05 - 25

5110057 --> Thursday, 05 - 17

5110058 --> Thursday, 05 - 02

5110059 --> Thursday, 05 - 22

5110060 --> Thursday, 05 - 13

5110061 --> Thursday, 06 - 02

5110062 --> Thursday, 05 - 18

5110063 --> Thursday, 05 - 10

5110064 --> Thursday, 05 - 29

5110065 --> Thursday, 05 - 14

5110066 --> Thursday, 05 - 06

5110067 --> Thursday, 05 - 26

5110068 --> Thursday, 05 - 10

5110069 --> Thursday, 05 - 30

5110070 --> Thursday, 05 - 22

5110071 --> Thursday, 05 - 07

5110072 --> Thursday, 05 - 26

5110073 --> Thursday, 05 - 18

5110074 --> Thursday, 05 - 03

5110075 --> Thursday, 05 - 23

5110076 --> Thursday, 05 - 14

5110077 --> Thursday, 05 - 06

5110078 --> Thursday, 05 - 19

5110079 --> Thursday, 05 - 11

5110080 --> Thursday, 05 - 30

5110081 --> Thursday, 05 - 22

5110082 --> Thursday, 05 - 07

5110083 --> Thursday, 05 - 27

5110084 --> Thursday, 05 - 18

5110085 --> Thursday, 05 - 03

5110086 --> Thursday, 05 - 23

5110087 --> Thursday, 05 - 15

5110088 --> Thursday, 06 - 03

5110089 --> Thursday, 05 - 19

5110090 --> Thursday, 05 - 11

5110091 --> Thursday, 05 - 31

5110092 --> Thursday, 05 - 15

5110093 --> Thursday, 05 - 07

5110094 --> Thursday, 05 - 27

5110095 --> Thursday, 05 - 12

5110096 --> Thursday, 05 - 03

5110097 --> Thursday, 05 - 23

5110098 --> Thursday, 05 - 08

5110099 --> Thursday, 05 - 28

5110100 --> Thursday, 05 - 20

5110101 --> Thursday, 05 - 12

5110102 --> Thursday, 05 - 25

5110103 --> Thursday, 05 - 17

5110104 --> Thursday, 05 - 08

5110105 --> Thursday, 05 - 28

5110106 --> Thursday, 05 - 13

5110107 --> Thursday, 06 - 02

5110108 --> Thursday, 05 - 24

5110109 --> Thursday, 05 - 09

5110110 --> Thursday, 05 - 29

5110111 --> Thursday, 05 - 21

5110112 --> Thursday, 05 - 05

5110113 --> Thursday, 05 - 25

5110114 --> Thursday, 05 - 17

5110115 --> Thursday, 05 - 02

5110116 --> Thursday, 05 - 21

5110117 --> Thursday, 05 - 13

5110118 --> Thursday, 06 - 02

5110119 --> Thursday, 05 - 18

5110120 --> Thursday, 05 - 09

5110121 --> Thursday, 05 - 29

5110122 --> Thursday, 05 - 14

5110123 --> Thursday, 05 - 06

5110124 --> Thursday, 05 - 25

5110125 --> Thursday, 05 - 17

5110126 --> Thursday, 05 - 30

5110127 --> Thursday, 05 - 22

5110128 --> Thursday, 05 - 13

5110129 --> Thursday, 05 - 26

5110130 --> Thursday, 05 - 18

5110131 --> Thursday, 05 - 10

5110132 --> Thursday, 05 - 29

