Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 1550000 through 1559999



1550000 --> Thursday, 05 - 04

1550001 --> Thursday, 05 - 24

1550002 --> Thursday, 05 - 09

1550003 --> Thursday, 05 - 29

1550004 --> Thursday, 05 - 20

1550005 --> Thursday, 05 - 12

1550006 --> Thursday, 05 - 25

1550007 --> Thursday, 05 - 17

1550008 --> Thursday, 05 - 08

1550009 --> Thursday, 05 - 28

1550010 --> Thursday, 05 - 13

1550011 --> Thursday, 05 - 05

1550012 --> Thursday, 05 - 24

1550013 --> Thursday, 05 - 09

1550014 --> Thursday, 05 - 29

1550015 --> Thursday, 05 - 21

1550016 --> Thursday, 05 - 05

1550017 --> Thursday, 05 - 25

1550018 --> Thursday, 05 - 17

1550019 --> Thursday, 05 - 02

1550020 --> Thursday, 05 - 21

1550021 --> Thursday, 05 - 13

1550022 --> Thursday, 06 - 02

1550023 --> Thursday, 05 - 18

1550024 --> Thursday, 05 - 09

1550025 --> Thursday, 05 - 29

1550026 --> Thursday, 05 - 14

1550027 --> Thursday, 05 - 06

1550028 --> Thursday, 05 - 25

1550029 --> Thursday, 05 - 17

1550030 --> Thursday, 05 - 02

1550031 --> Thursday, 05 - 22

1550032 --> Thursday, 05 - 13

1550033 --> Thursday, 06 - 02

1550034 --> Thursday, 05 - 18

1550035 --> Thursday, 05 - 10

1550036 --> Thursday, 05 - 29

1550037 --> Thursday, 05 - 14

1550038 --> Thursday, 05 - 06

1550039 --> Thursday, 05 - 26

1550040 --> Thursday, 05 - 10

1550041 --> Thursday, 05 - 30

1550042 --> Thursday, 05 - 22

1550043 --> Thursday, 05 - 07

1550044 --> Thursday, 05 - 26

1550045 --> Thursday, 05 - 18

1550046 --> Thursday, 05 - 03

1550047 --> Thursday, 05 - 23

1550048 --> Thursday, 05 - 14

1550049 --> Thursday, 05 - 06

1550050 --> Thursday, 05 - 19

1550051 --> Thursday, 05 - 11

1550052 --> Thursday, 05 - 30

1550053 --> Thursday, 05 - 22

1550054 --> Thursday, 05 - 07

1550055 --> Thursday, 05 - 27

1550056 --> Thursday, 05 - 18

1550057 --> Thursday, 05 - 03

1550058 --> Thursday, 05 - 23

1550059 --> Thursday, 05 - 15

1550060 --> Thursday, 06 - 03

1550061 --> Thursday, 05 - 19

1550062 --> Thursday, 05 - 11

1550063 --> Thursday, 05 - 31

1550064 --> Thursday, 05 - 15

1550065 --> Thursday, 05 - 07

