Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 1920000 through 1929999



1920000 --> Thursday, 05 - 11

1920001 --> Thursday, 05 - 31

1920002 --> Thursday, 05 - 23

1920003 --> Thursday, 05 - 08

1920004 --> Thursday, 05 - 27

1920005 --> Thursday, 05 - 19

1920006 --> Thursday, 05 - 04

1920007 --> Thursday, 05 - 24

1920008 --> Thursday, 05 - 15

1920009 --> Thursday, 05 - 28

1920010 --> Thursday, 05 - 20

1920011 --> Thursday, 05 - 12

1920012 --> Thursday, 05 - 31

1920013 --> Thursday, 05 - 16

1920014 --> Thursday, 05 - 08

1920015 --> Thursday, 05 - 28

1920016 --> Thursday, 05 - 12

1920017 --> Thursday, 05 - 04

1920018 --> Thursday, 05 - 24

1920019 --> Thursday, 05 - 09

1920020 --> Thursday, 05 - 28

1920021 --> Thursday, 05 - 20

1920022 --> Thursday, 05 - 12

1920023 --> Thursday, 05 - 25

1920024 --> Thursday, 05 - 16

1920025 --> Thursday, 05 - 08

1920026 --> Thursday, 05 - 21

1920027 --> Thursday, 05 - 13

1920028 --> Thursday, 06 - 01

1920029 --> Thursday, 05 - 24

1920030 --> Thursday, 05 - 09

1920031 --> Thursday, 05 - 29

1920032 --> Thursday, 05 - 20

1920033 --> Thursday, 05 - 05

1920034 --> Thursday, 05 - 25

1920035 --> Thursday, 05 - 17

1920036 --> Thursday, 05 - 01

1920037 --> Thursday, 05 - 21

1920038 --> Thursday, 05 - 13

1920039 --> Thursday, 06 - 02

1920040 --> Thursday, 05 - 17

1920041 --> Thursday, 05 - 09

1920042 --> Thursday, 05 - 29

1920043 --> Thursday, 05 - 14

1920044 --> Thursday, 05 - 05

1920045 --> Thursday, 05 - 25

1920046 --> Thursday, 05 - 10

1920047 --> Thursday, 05 - 30

1920048 --> Thursday, 05 - 21

1920049 --> Thursday, 05 - 13

1920050 --> Thursday, 05 - 26

1920051 --> Thursday, 05 - 18

1920052 --> Thursday, 05 - 09

1920053 --> Thursday, 05 - 29

1920054 --> Thursday, 05 - 14

1920055 --> Thursday, 05 - 06

1920056 --> Thursday, 05 - 25

1920057 --> Thursday, 05 - 10

1920058 --> Thursday, 05 - 30

1920059 --> Thursday, 05 - 22

1920060 --> Thursday, 05 - 06

1920061 --> Thursday, 05 - 26

1920062 --> Thursday, 05 - 18

1920063 --> Thursday, 05 - 03

1920064 --> Thursday, 05 - 22

1920065 --> Thursday, 05 - 14

1920066 --> Thursday, 06 - 03

1920067 --> Thursday, 05 - 19

1920068 --> Thursday, 05 - 10

1920069 --> Thursday, 05 - 30

1920070 --> Thursday, 05 - 15

1920071 --> Thursday, 05 - 07

1920072 --> Thursday, 05 - 26

1920073 --> Thursday, 05 - 18

1920074 --> Thursday, 05 - 03

1920075 --> Thursday, 05 - 23

1920076 --> Thursday, 05 - 14

1920077 --> Thursday, 05 - 27

1920078 --> Thursday, 05 - 19

1920079 --> Thursday, 05 - 11

1920080 --> Thursday, 05 - 30

1920081 --> Thursday, 05 - 15

1920082 --> Thursday, 05 - 07

1920083 --> Thursday, 05 - 27

1920084 --> Thursday, 05 - 11

1920085 --> Thursday, 05 - 31

1920086 --> Thursday, 05 - 23

1920087 --> Thursday, 05 - 08

1920088 --> Thursday, 05 - 27

1920089 --> Thursday, 05 - 19

1920090 --> Thursday, 05 - 04

1920091 --> Thursday, 05 - 24

1920092 --> Thursday, 05 - 15

1920093 --> Thursday, 05 - 07

1920094 --> Thursday, 05 - 20

1920095 --> Thursday, 05 - 12

