Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 4390000 through 4399999



4390000 --> Thursday, 05 - 11

4390001 --> Thursday, 05 - 31

4390002 --> Thursday, 05 - 23

4390003 --> Thursday, 05 - 08

4390004 --> Thursday, 05 - 27

4390005 --> Thursday, 05 - 19

4390006 --> Thursday, 05 - 04

4390007 --> Thursday, 05 - 24

4390008 --> Thursday, 05 - 15

4390009 --> Thursday, 04 - 30

4390010 --> Thursday, 05 - 20

4390011 --> Thursday, 05 - 12

4390012 --> Thursday, 05 - 31

4390013 --> Thursday, 05 - 16

4390014 --> Thursday, 05 - 08

4390015 --> Thursday, 05 - 28

4390016 --> Thursday, 05 - 19

4390017 --> Thursday, 05 - 04

4390018 --> Thursday, 05 - 24

4390019 --> Thursday, 05 - 16

4390020 --> Thursday, 05 - 28

4390021 --> Thursday, 05 - 20

4390022 --> Thursday, 05 - 12

4390023 --> Thursday, 06 - 01

4390024 --> Thursday, 05 - 16

4390025 --> Thursday, 05 - 08

4390026 --> Thursday, 05 - 28

4390027 --> Thursday, 05 - 13

4390028 --> Thursday, 05 - 04

4390029 --> Thursday, 05 - 24

4390030 --> Thursday, 05 - 09

4390031 --> Thursday, 05 - 29

4390032 --> Thursday, 05 - 20

4390033 --> Thursday, 05 - 05

4390034 --> Thursday, 05 - 25

4390035 --> Thursday, 05 - 17

4390036 --> Thursday, 05 - 08

4390037 --> Thursday, 05 - 21

4390038 --> Thursday, 05 - 13

4390039 --> Thursday, 06 - 02

4390040 --> Thursday, 05 - 24

4390041 --> Thursday, 05 - 09

4390042 --> Thursday, 05 - 29

4390043 --> Thursday, 05 - 21

4390044 --> Thursday, 05 - 05

4390045 --> Thursday, 05 - 25

4390046 --> Thursday, 05 - 17

4390047 --> Thursday, 05 - 02

4390048 --> Thursday, 05 - 21

4390049 --> Thursday, 05 - 13

4390050 --> Thursday, 06 - 02

4390051 --> Thursday, 05 - 18

4390052 --> Thursday, 05 - 09

4390053 --> Thursday, 05 - 29

4390054 --> Thursday, 05 - 14

4390055 --> Thursday, 05 - 06

4390056 --> Thursday, 05 - 25

4390057 --> Thursday, 05 - 10

4390058 --> Thursday, 05 - 30

4390059 --> Thursday, 05 - 22

4390060 --> Thursday, 05 - 13

4390061 --> Thursday, 05 - 26

4390062 --> Thursday, 05 - 18

4390063 --> Thursday, 05 - 10

4390064 --> Thursday, 05 - 22

4390065 --> Thursday, 05 - 14

4390066 --> Thursday, 05 - 06

4390067 --> Thursday, 05 - 19

4390068 --> Thursday, 05 - 10

4390069 --> Thursday, 05 - 30

4390070 --> Thursday, 05 - 22

4390071 --> Thursday, 05 - 07

4390072 --> Thursday, 05 - 26

4390073 --> Thursday, 05 - 18

4390074 --> Thursday, 05 - 03

4390075 --> Thursday, 05 - 23

4390076 --> Thursday, 05 - 14

4390077 --> Thursday, 06 - 03

4390078 --> Thursday, 05 - 19

4390079 --> Thursday, 05 - 11

4390080 --> Thursday, 05 - 30

4390081 --> Thursday, 05 - 15

4390082 --> Thursday, 05 - 07

4390083 --> Thursday, 05 - 27

4390084 --> Thursday, 05 - 11

4390085 --> Thursday, 05 - 03

4390086 --> Thursday, 05 - 23

4390087 --> Thursday, 05 - 08

4390088 --> Thursday, 05 - 27

4390089 --> Thursday, 05 - 19

4390090 --> Thursday, 05 - 11

4390091 --> Thursday, 05 - 24

4390092 --> Thursday, 05 - 15

4390093 --> Thursday, 05 - 07

4390094 --> Thursday, 05 - 27

4390095 --> Thursday, 05 - 12

4390096 --> Thursday, 05 - 31

4390097 --> Thursday, 05 - 23

4390098 --> Thursday, 05 - 08

4390099 --> Thursday, 05 - 28

4390100 --> Thursday, 05 - 20

4390101 --> Thursday, 05 - 05

4390102 --> Thursday, 05 - 25

4390103 --> Thursday, 05 - 17

4390104 --> Thursday, 05 - 01

4390105 --> Thursday, 05 - 21

4390106 --> Thursday, 05 - 13

4390107 --> Thursday, 06 - 02

4390108 --> Thursday, 05 - 17

4390109 --> Thursday, 05 - 09

4390110 --> Thursday, 05 - 29

4390111 --> Thursday, 05 - 14

4390112 --> Thursday, 05 - 05

4390113 --> Thursday, 05 - 25

4390114 --> Thursday, 05 - 17

4390115 --> Thursday, 05 - 02

4390116 --> Thursday, 05 - 21

4390117 --> Thursday, 05 - 13

4390118 --> Thursday, 06 - 02

4390119 --> Thursday, 05 - 18

4390120 --> Thursday, 05 - 09

4390121 --> Thursday, 05 - 29

4390122 --> Thursday, 05 - 14

4390123 --> Thursday, 05 - 06

4390124 --> Thursday, 05 - 25

4390125 --> Thursday, 05 - 10

4390126 --> Thursday, 05 - 30

4390127 --> Thursday, 05 - 22

4390128 --> Thursday, 05 - 06

4390129 --> Thursday, 05 - 26

4390130 --> Thursday, 05 - 18

4390131 --> Thursday, 05 - 03

