Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 1240000 through 1249999



1240000 --> Thursday, 05 - 04

1240001 --> Thursday, 05 - 24

1240002 --> Thursday, 05 - 16

1240003 --> Thursday, 05 - 01

1240004 --> Thursday, 05 - 20

1240005 --> Thursday, 05 - 12

1240006 --> Thursday, 06 - 01

1240007 --> Thursday, 05 - 17

1240008 --> Thursday, 05 - 08

1240009 --> Thursday, 05 - 28

1240010 --> Thursday, 05 - 20

1240011 --> Thursday, 05 - 05

1240012 --> Thursday, 05 - 24

1240013 --> Thursday, 05 - 16

1240014 --> Thursday, 05 - 01

1240015 --> Thursday, 05 - 21

1240016 --> Thursday, 05 - 12

1240017 --> Thursday, 06 - 01

1240018 --> Thursday, 05 - 17

1240019 --> Thursday, 05 - 09

1240020 --> Thursday, 05 - 28

1240021 --> Thursday, 05 - 13

1240022 --> Thursday, 05 - 05

1240023 --> Thursday, 05 - 25

1240024 --> Thursday, 05 - 09

1240025 --> Thursday, 05 - 29

1240026 --> Thursday, 05 - 21

1240027 --> Thursday, 05 - 06

1240028 --> Thursday, 05 - 25

1240029 --> Thursday, 05 - 17

1240030 --> Thursday, 05 - 09

1240031 --> Thursday, 05 - 22

1240032 --> Thursday, 05 - 13

1240033 --> Thursday, 05 - 05

1240034 --> Thursday, 05 - 25

1240035 --> Thursday, 05 - 10

1240036 --> Thursday, 05 - 29

1240037 --> Thursday, 05 - 21

1240038 --> Thursday, 05 - 06

1240039 --> Thursday, 05 - 26

1240040 --> Thursday, 05 - 17

1240041 --> Thursday, 05 - 02

1240042 --> Thursday, 05 - 22

1240043 --> Thursday, 05 - 14

1240044 --> Thursday, 06 - 02

1240045 --> Thursday, 05 - 18

1240046 --> Thursday, 05 - 10

1240047 --> Thursday, 05 - 30

1240048 --> Thursday, 05 - 14

1240049 --> Thursday, 05 - 06

1240050 --> Thursday, 05 - 26

1240051 --> Thursday, 05 - 11

1240052 --> Thursday, 05 - 02

1240053 --> Thursday, 05 - 22

1240054 --> Thursday, 05 - 07

1240055 --> Thursday, 05 - 27

1240056 --> Thursday, 05 - 18

1240057 --> Thursday, 05 - 10

1240058 --> Thursday, 05 - 23

1240059 --> Thursday, 05 - 15

1240060 --> Thursday, 05 - 06

1240061 --> Thursday, 05 - 26

1240062 --> Thursday, 05 - 11

1240063 --> Thursday, 05 - 31

1240064 --> Thursday, 05 - 22

1240065 --> Thursday, 05 - 07

1240066 --> Thursday, 05 - 27

1240067 --> Thursday, 05 - 19

1240068 --> Thursday, 05 - 03

1240069 --> Thursday, 05 - 23

1240070 --> Thursday, 05 - 15

1240071 --> Thursday, 04 - 30

1240072 --> Thursday, 05 - 19

1240073 --> Thursday, 05 - 11

1240074 --> Thursday, 05 - 31

1240075 --> Thursday, 05 - 16

1240076 --> Thursday, 05 - 07

1240077 --> Thursday, 05 - 27

1240078 --> Thursday, 05 - 12

1240079 --> Thursday, 05 - 04

1240080 --> Thursday, 05 - 23

1240081 --> Thursday, 05 - 15

1240082 --> Thursday, 05 - 28

1240083 --> Thursday, 05 - 20

1240084 --> Thursday, 05 - 11

1240085 --> Thursday, 05 - 31

1240086 --> Thursday, 05 - 16

1240087 --> Thursday, 05 - 08

