Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 5030000 through 5039999



5030000 --> Thursday, 05 - 18

5030001 --> Thursday, 05 - 10

5030002 --> Thursday, 05 - 30

5030003 --> Thursday, 05 - 15

5030004 --> Thursday, 05 - 06

5030005 --> Thursday, 05 - 26

5030006 --> Thursday, 05 - 11

5030007 --> Thursday, 05 - 03

5030008 --> Thursday, 05 - 22

5030009 --> Thursday, 05 - 14

5030010 --> Thursday, 05 - 27

5030011 --> Thursday, 05 - 19

5030012 --> Thursday, 05 - 10

5030013 --> Thursday, 05 - 30

5030014 --> Thursday, 05 - 15

5030015 --> Thursday, 05 - 07

5030016 --> Thursday, 05 - 26

5030017 --> Thursday, 05 - 11

5030018 --> Thursday, 05 - 31

5030019 --> Thursday, 05 - 23

5030020 --> Thursday, 05 - 07

5030021 --> Thursday, 05 - 27

5030022 --> Thursday, 05 - 19

5030023 --> Thursday, 05 - 04

5030024 --> Thursday, 05 - 23

5030025 --> Thursday, 05 - 15

5030026 --> Thursday, 04 - 30

5030027 --> Thursday, 05 - 20

5030028 --> Thursday, 05 - 11

5030029 --> Thursday, 05 - 31

5030030 --> Thursday, 05 - 16

5030031 --> Thursday, 05 - 08

5030032 --> Thursday, 05 - 27

5030033 --> Thursday, 05 - 19

5030034 --> Thursday, 05 - 04

5030035 --> Thursday, 05 - 24

5030036 --> Thursday, 05 - 15

5030037 --> Thursday, 05 - 28

5030038 --> Thursday, 05 - 20

5030039 --> Thursday, 05 - 12

5030040 --> Thursday, 05 - 31

5030041 --> Thursday, 05 - 16

5030042 --> Thursday, 05 - 08

5030043 --> Thursday, 05 - 28

5030044 --> Thursday, 05 - 12

5030045 --> Thursday, 05 - 04

5030046 --> Thursday, 05 - 24

5030047 --> Thursday, 05 - 09

5030048 --> Thursday, 05 - 28

5030049 --> Thursday, 05 - 20

5030050 --> Thursday, 05 - 05

5030051 --> Thursday, 05 - 25

5030052 --> Thursday, 05 - 16

5030053 --> Thursday, 05 - 08

5030054 --> Thursday, 05 - 21

5030055 --> Thursday, 05 - 13

5030056 --> Thursday, 06 - 01

5030057 --> Thursday, 05 - 24

5030058 --> Thursday, 05 - 09

